But he vowed : ' If I am, I will fight the case tooth and nail. '	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0	fight tooth and nail	figurative	insertion-other	CCONJ PRON VERB PUNCT PUNCT ADP PRON VERB PRON VERB VERB DET NOUN NOUN CCONJ NOUN PUNCT
The fact that you are here in Wakefield is a stimulus — a challenge that will inspire us to fight you tooth and nail.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	fight tooth and nail	figurative	insertion-other	DET NOUN ADP PRON VERB ADV ADP PROPN VERB DET NOUN PUNCT DET NOUN ADJ VERB VERB PRON PART VERB PRON VERB CCONJ NOUN
When they rise to an equal level, like for instance if I have a choice between going to a woman doctor and a man doctor and they 're both on the GP list, I will choose the woman, because the woman has had to fight tooth and nail, probably, and work much harder, to get at an equal level with the man, so I would suspect that I 'm getting value for and quality there by going for the woman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	identical	ADV PRON VERB ADP DET ADJ NOUN ADP ADP NOUN ADP PRON VERB DET NOUN ADP VERB ADP DET NOUN NOUN CCONJ DET NOUN NOUN CCONJ PRON VERB DET ADP DET PROPN NOUN PRON VERB VERB DET NOUN ADP DET NOUN VERB VERB PART VERB NOUN CCONJ NOUN ADV CCONJ VERB ADV ADV PART VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ PRON VERB VERB ADP PRON VERB VERB NOUN ADP CCONJ NOUN ADV ADP VERB ADP DET NOUN
Thorn, the big defender who was also the hero of the midweek Coca - Cola Cup triumph over Liverpool, powered the Eagles ahead with a 29th minute header and Steve Coppell's men grimly fought tooth and nail to claim their fourth successive victory.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	PROPN DET ADJ NOUN NOUN VERB ADV DET NOUN ADP DET ADJ PROPN PUNCT PROPN PROPN NOUN ADP PROPN VERB DET PROPN ADV ADP DET ADJ NOUN NOUN CCONJ PROPN PROPN NOUN ADV VERB NOUN CCONJ NOUN PART VERB ADJ ADJ ADJ NOUN
' I 'm sure they 'll be furious and fight us tooth and nail. '	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0	fight tooth and nail	figurative	insertion-other	PUNCT PRON VERB ADJ PRON VERB VERB ADJ CCONJ VERB PRON NOUN CCONJ NOUN PUNCT
Stephen Pyper pressured him all the way, while Alister McKerr the championship leader fought tooth and nail to take third having started in midfield after problems in practice.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	inflection	PROPN PROPN VERB PRON ADJ DET NOUN ADP PROPN PROPN DET NOUN NOUN VERB NOUN CCONJ NOUN PART VERB ADV VERB VERB ADP NOUN ADP NOUN ADP NOUN
Labour MP Mr Hall said the motorway link which is being fought tooth - and - nail by action groups in Cheshire and south Manchester was completely unnecessary.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	combined-inflection	PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADJ VERB VERB VERB NOUN PUNCT CCONJ PUNCT NOUN ADP NOUN NOUN ADP PROPN CCONJ ADJ PROPN VERB ADV ADJ
Cricket officials and local residents say they will fight tooth and nail to save the ground, home to both clubs since the early 1930s.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	identical	NOUN NOUN CCONJ ADJ NOUN VERB PRON VERB VERB NOUN CCONJ NOUN PART VERB DET NOUN NOUN ADP DET NOUN ADP DET ADJ NUM
well you can guarantee they 're gon na fight tooth and nail over this job creation scheme, to stop it.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	identical	INTJ PRON VERB VERB PRON VERB VERB PART VERB NOUN CCONJ NOUN ADP DET NOUN NOUN NOUN PART VERB PRON
Exceptionally, if a Bill is extremely controversial, the opposition may fight it tooth and nail even at this stage.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0	fight tooth and nail	figurative	insertion-other	ADV ADP DET PROPN VERB ADV ADJ DET NOUN VERB VERB PRON VERB CCONJ VERB ADV ADP DET NOUN
' I will fight this tooth and nail and won't hesitate to organise a demonstration right outside the airport if necessary. '	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fight tooth and nail	figurative	insertion-determiner	PUNCT PRON VERB VERB DET NOUN CCONJ NOUN CCONJ VERB VERB PART VERB DET NOUN ADV ADP DET NOUN ADP ADJ PUNCT
