NME flew in the face of such reactionary tosh.	0 1 1 0 1 1 0 0 0	fly in the face of	figurative	inflection	PROPN VERB ADP DET NOUN ADP ADJ ADJ NOUN
But such things fly so flagrantly in the face of known history, so flagrantly in the face of human experience, so flagrantly in the face of simple probability, that they impose an inordinate strain upon credulity.	0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	insertion-other	CCONJ ADJ NOUN VERB ADV ADV ADP DET NOUN ADP VERB NOUN ADV ADV ADP DET NOUN ADP ADJ NOUN ADV ADV ADP DET NOUN ADP ADJ NOUN ADP PRON VERB DET ADJ NOUN ADP NOUN
This flies in the face of the most fundamental principles of the historian's — or indeed any scholarly — profession.	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	DET VERB ADP DET NOUN ADP DET ADV ADJ NOUN ADP DET NOUN PUNCT CCONJ ADV DET ADJ PUNCT NOUN
One writer went so far as to say that this construction ‘ flies in the face of the settled interpretation of this provision.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0	fly in the face of	figurative	inflection	NUM NOUN VERB ADV ADV ADP PART VERB ADP DET NOUN PART NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN
It flies in the face of commitments made at the Earth Summit to reduce consumption.	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB ADP DET NOUN ADP NOUN VERB ADP DET PROPN PROPN PART VERB NOUN
This would fly in the face of our intense conviction that 20,002, 20,004, 20,006 is the right way and all others are just wrong.	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	identical	DET VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN ADP NUM NUM NUM VERB DET ADJ NOUN CCONJ DET NOUN VERB ADV ADJ
Flying in the face of today's ubiquitous electronickery, the turbocharger uses nothing more than a simple spring - loaded wastegate to regulate boost, which is never allowed to build too high in deference to the engine's life expectancy.	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	combined-inflection	VERB ADP DET NOUN ADP NOUN ADJ NOUN DET NOUN VERB NOUN ADJ ADP DET ADJ NOUN PUNCT VERB NOUN PART VERB NOUN ADJ VERB ADV VERB PART VERB ADV ADJ ADP NOUN ADP DET NOUN NOUN NOUN
I mean, that flies in the face of all the current pressures, all of the current political about, if you 're a naughty boy, into prison you go, and for the longer the better.	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB ADJ VERB ADP DET NOUN ADP ADJ DET ADJ NOUN DET ADP DET ADJ ADJ ADP ADP PRON VERB DET ADJ NOUN ADP NOUN PRON VERB CCONJ ADP DET ADJ DET ADJ
There isn't the same need to fly in the face of convention or oppose the wishes of parents.	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0	fly in the face of	figurative	identical	ADV VERB DET ADJ NOUN PART VERB ADP DET NOUN ADP NOUN CCONJ VERB DET NOUN ADP NOUN
It is a good example of a major service being given to local government so that local rather than national democracy can determine the details of its future and how it flies in the face of the criticisms of the party opposite, that we 're always taking important things away from local government.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB DET ADJ NOUN ADP DET ADJ NOUN VERB VERB ADP ADJ NOUN ADP ADP ADJ ADV ADP ADJ NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ ADV PRON VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PRON VERB ADV VERB ADJ NOUN ADV ADP ADJ NOUN
This is an economic fact of fundamental significance, for the real long - term interest rate is a direct measure of the cost of borrowing to conduct business, launch new enterprises, or expand existing ones – and its levels now fly in the face of all the talk about the need to slash government deficits.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	identical	DET VERB DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ ADJ PUNCT NOUN NOUN NOUN VERB DET ADJ NOUN ADP DET NOUN ADP VERB PART VERB NOUN VERB ADJ NOUN CCONJ VERB ADJ NOUN PUNCT CCONJ ADJ NOUN ADV VERB ADP DET NOUN ADP ADJ DET NOUN ADP DET NOUN PART VERB NOUN NOUN
The matters of employing people is changing and in the main those changes fly in the face of traditional G M B organization and make recruitment and retention of membership more difficult.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	identical	DET NOUN ADP VERB NOUN VERB VERB CCONJ ADP DET ADJ DET NOUN VERB ADP DET NOUN ADP ADJ NOUN PROPN PROPN NOUN CCONJ VERB NOUN CCONJ NOUN ADP NOUN ADV ADJ
It simply doesn't answer our need and is flying in the face of common sense.’	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0	fly in the face of	figurative	inflection	PRON ADV VERB VERB ADJ NOUN CCONJ VERB VERB ADP DET NOUN ADP ADJ NOUN
Such a statement flies in the face of the types of acrylic primers offered to artists who wish to over paint in oils.	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	ADJ DET NOUN VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN VERB ADP NOUN NOUN VERB ADP ADP NOUN ADP NOUN
Flying in the face of public opinion and patriotic fervour, the authorities decided to go ahead with games as planned.	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	combined-inflection	VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN DET NOUN VERB PART VERB ADV ADP NOUN ADP VERB
This approach flies in the face of established practice.	0 0 1 1 0 1 1 0 0	fly in the face of	figurative	inflection	DET NOUN VERB ADP DET NOUN ADP ADJ NOUN
This flies in the face of the cautious nature of the Bush administration.	0 1 1 0 1 1 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	DET VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET PROPN NOUN
Flying in the face of the facts, he prophesied that the economic crisis was so close that there was no time to build the party : the RCP must join the Labour Party, whose working class members, given Trotskyist leadership, would become revolutionary under the pressure of events.	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	combined-inflection	VERB ADP DET NOUN ADP DET NOUN PRON VERB ADP DET ADJ NOUN VERB ADV ADJ ADP ADV VERB DET NOUN PART VERB DET NOUN PUNCT DET PROPN VERB VERB DET PROPN PROPN ADJ NOUN NOUN NOUN VERB ADJ NOUN VERB VERB ADJ ADP DET NOUN ADP NOUN
In many respects it was a compulsive and unexpected decision which flew in the face of other better offers.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0	fly in the face of	figurative	inflection	ADP ADJ NOUN PRON VERB DET ADJ CCONJ ADJ NOUN ADJ VERB ADP DET NOUN ADP ADJ ADJ NOUN
This statement flies in the face of what many regard as high - status behaviour.	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	DET NOUN VERB ADP DET NOUN ADP NOUN ADJ NOUN ADP ADJ PUNCT NOUN NOUN
Rajasthan's mining department earns around £ 1.1 million per year from the licenses, which fly in the face of the provisions of the federal government's Forest Conservation Act.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	identical	PROPN NOUN NOUN VERB ADP SYM NUM NUM ADP NOUN ADP DET NOUN ADJ VERB ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN PROPN PROPN PROPN
Is this flying in the face of what makes good cinema?’	0 0 1 1 0 1 1 0 0 0 0	fly in the face of	figurative	inflection	VERB DET NOUN ADP DET NOUN ADP NOUN VERB ADJ NOUN
There was a home opened in Tayside earlier this year — a 90 bed home — and this is flying in the face of what a lot of people have put in a lot of effort arguing with health service that you have to get away from the concept that 80, 90, 120 beds is a small unit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	ADV VERB DET NOUN VERB ADP PROPN ADV DET NOUN PUNCT DET NUM NOUN NOUN PUNCT CCONJ DET VERB VERB ADP DET NOUN ADP NOUN DET NOUN ADP NOUN VERB VERB ADP DET NOUN ADP NOUN VERB ADP NOUN NOUN ADJ PRON VERB PART VERB ADV ADP DET NOUN ADP NUM NUM NUM NOUN VERB DET ADJ NOUN
This narrow interpretation may be ingenious but in my judgment it flies in the face of the ordinary meaning of the language and of the purpose of the statute.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	DET ADJ NOUN VERB VERB ADJ CCONJ ADP ADJ NOUN PRON VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET NOUN
Some of them apparently feel that the move flies in the face of the philosophy expressed in the document prepared by the task force which examined the way ahead for BBC Scotland.	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	DET ADP PRON ADV VERB ADP DET NOUN VERB ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN VERB ADP DET NOUN NOUN ADJ VERB DET NOUN ADV ADP PROPN PROPN
What the Government are doing about the inspectorate is extremely foolish and flies in the face of its proud history.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0	fly in the face of	figurative	inflection	NOUN DET PROPN VERB VERB ADP DET NOUN VERB ADV ADJ CCONJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN
Brian Stewart, chief executive of Scottish and Newcastle, said the Budget was wide - ranging but in the context of his own industry, the Chancellor's decision to raise excise duty on beer flew in the face of commercial reality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0	fly in the face of	figurative	inflection	PROPN PROPN ADJ NOUN ADP PROPN CCONJ PROPN VERB DET PROPN VERB ADV PUNCT VERB CCONJ ADP DET NOUN ADP ADJ ADJ NOUN DET PROPN NOUN PART VERB NOUN NOUN ADP NOUN VERB ADP DET NOUN ADP ADJ NOUN
Injury and suspension could now give Walter Smith's team a vulnerability on two fronts that tests even their noticeable capacity for ignoring logic and achieving results that fly in the face of realism.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0	fly in the face of	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB PROPN PROPN NOUN DET NOUN ADP NUM NOUN ADJ VERB ADV ADJ ADJ NOUN ADP VERB NOUN CCONJ VERB NOUN ADJ VERB ADP DET NOUN ADP NOUN
But he is flying in the face of opposition from the ruling Labour group who recently boycotted a visit by a South African diplomat saying it was too early to bring them in from the cold.	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	CCONJ PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET VERB PROPN NOUN NOUN ADV VERB DET NOUN ADP DET ADJ ADJ NOUN VERB PRON VERB ADV ADJ PART VERB PRON PART ADP DET NOUN
It flew in the face of the laws of physics, said the Irish banker, a learned man with a considerable library of golfing books.	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB ADP DET NOUN ADP DET NOUN ADP NOUN VERB DET ADJ NOUN DET VERB NOUN ADP DET ADJ NOUN ADP NOUN NOUN
‘ You know what will happen to you, child, if you continue to disobey your father,’ he said wearily, ‘ and if you continue to fly in the face of God's will.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0	fly in the face of	figurative	identical	PUNCT PRON VERB NOUN VERB VERB ADP PRON NOUN ADP PRON VERB PART VERB ADJ X PRON VERB ADV PUNCT CCONJ ADP PRON VERB PART VERB ADP DET NOUN ADP PROPN NOUN
We therefore argued that given the radical nature of women acting as independent agents, action which still flies in the face of dominant ideologies and which challenges the nature of the family, it is astonishing how much progress women have made in this period.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON ADV VERB ADP VERB DET ADJ NOUN ADP NOUN VERB ADP ADJ NOUN NOUN ADJ ADV VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADJ VERB DET NOUN ADP DET NOUN PRON VERB VERB ADV ADJ NOUN NOUN VERB VERB ADP DET NOUN
To say that there was no evidence that the building society relied on the transfer being, as it purported to be, a transfer on sale, flies in the face of reality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0	fly in the face of	figurative	inflection	PART VERB ADP ADV VERB DET NOUN ADP DET NOUN NOUN VERB ADP DET NOUN VERB ADP PRON VERB PART VERB DET NOUN ADP NOUN NOUN ADP DET NOUN ADP NOUN
Yet in one sense the circumstances of any and every poem are ‘ special’ ; and at any rate all these instances show that, in his own writing as in the writing of others, Pound was prepared to recognize circumstances which justified departing very far indeed from Ford's and the imagists ' precepts about diction, indeed flying in the face of them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0	fly in the face of	figurative	inflection	CCONJ ADP NUM NOUN DET NOUN ADP DET CCONJ DET NOUN VERB PUNCT ADJ PUNCT CCONJ ADP DET NOUN ADJ DET NOUN VERB ADP ADP ADJ ADJ NOUN ADP ADP DET NOUN ADP NOUN PROPN VERB VERB PART VERB NOUN ADJ VERB VERB ADV ADV ADV ADP PROPN CCONJ DET NOUN PART NOUN ADP NOUN ADV VERB ADP DET NOUN ADP PRON
Labour will give people more say in drawing up plans for their area and create a new right of appeal for residents against developments which fly in the face of their local plan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0	fly in the face of	figurative	identical	NOUN VERB VERB NOUN ADJ VERB ADP VERB PART NOUN ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP NOUN ADP NOUN ADP NOUN ADJ VERB ADP DET NOUN ADP ADJ ADJ NOUN
Crystal Palace chairman Ron Noades is behind the TV - oriented scheme — which flies in the face of FA policy — to be considered by chairmen of the 22 clubs at a meeting in London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PROPN PROPN NOUN PROPN PROPN VERB ADP DET NOUN PUNCT VERB NOUN PUNCT ADJ VERB ADP DET NOUN ADP PROPN NOUN PUNCT PART VERB VERB ADP NOUN ADP DET NUM NOUN ADP DET NOUN ADP PROPN
The Government appear to be flying in the face of that report.	0 0 0 0 0 1 1 0 1 1 0 0	fly in the face of	figurative	inflection	DET PROPN VERB PART VERB VERB ADP DET NOUN ADP DET NOUN
We are talking about care in the community, we know there a on routine fifty thousand pounds extra to community voluntary groups which we can well afford it flies in the face of the group, the instincts of the people that we represent and what the government is expecting.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB VERB ADP NOUN ADP DET NOUN PRON VERB ADV DET ADP ADJ NUM NUM NOUN ADJ ADP NOUN ADJ NOUN ADJ PRON VERB ADV VERB PRON VERB ADP DET NOUN ADP DET NOUN DET NOUN ADP DET NOUN ADJ PRON VERB CCONJ NOUN DET NOUN VERB VERB
Conversely, Habitat flew in the face of expert opinion when it introduced pack - flat furniture on to the American market.	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	ADV PROPN VERB ADP DET NOUN ADP NOUN NOUN ADV PRON VERB NOUN PUNCT ADJ NOUN ADP ADP DET ADJ NOUN
Erm yeah er mm yeah no I 'm quite intrigued myself about this, this idea that erm somehow it's heterosexuals who trus who are trustworthy and that, you know, once you have a sexuality that's different from heterosexuality then you can't be trusted with children and you, you know you, you can't be trusted to er you know I don't know, run boys ' clubs, you can't be trusted in, in a, you know, it's sort of, it's almost like, like erm er it, it almost flies in the face of evidence that the vast majority of sexual abuse that goes on of one sort or another is, is heterosexual, it's	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	INTJ INTJ INTJ INTJ INTJ INTJ PRON VERB ADV VERB PRON ADP DET DET NOUN ADP ADV ADV PRON NOUN NOUN VERB NOUN VERB ADJ CCONJ ADP PRON VERB ADP PRON VERB DET NOUN ADJ ADJ ADP NOUN ADV PRON VERB VERB VERB ADP NOUN CCONJ PRON PRON VERB PRON PRON VERB VERB VERB ADP INTJ PRON VERB PRON VERB VERB VERB NOUN PART NOUN PRON VERB VERB VERB PART ADP DET PRON VERB PRON ADV ADV PRON ADV ADP ADP INTJ INTJ PRON PRON ADV VERB ADP DET NOUN ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADJ VERB PART ADP NUM NOUN CCONJ DET VERB VERB ADJ PRON
Such a sudden death, while engaged upon a religious war, and without the essential last sacrament, seemed almost to be an impossibility, an event which flew in the face of all religion, order and concepts of essential rightness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	ADJ DET ADJ NOUN ADP VERB ADP DET ADJ NOUN CCONJ ADP DET ADJ ADJ NOUN VERB ADV PART VERB DET NOUN DET NOUN ADJ VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN ADP ADJ NOUN
However desirable, that might fly in the face of everything the 1984 decree was about.	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0	fly in the face of	figurative	identical	ADV ADJ ADJ VERB VERB ADP DET NOUN ADP NOUN DET NUM NOUN VERB ADP
I do not wish to exclude him from such private and individual arenas, for to do so would be to fly in the face of Christian tradition from the fathers to C. S. Lewis and Cardinal Suenens ( 1982 ) in our own time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	identical	PRON VERB ADV VERB PART VERB PRON ADP ADJ ADJ CCONJ ADJ NOUN ADP PART VERB ADV VERB VERB PART VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PUNCT NUM PUNCT ADP ADJ ADJ NOUN
I mean, personally I don't think Terry's very good at interviews, I think I 'd be flying in the face of public opinion if I said he was.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB ADV PRON VERB VERB PROPN ADV ADJ ADP NOUN PRON VERB PRON VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP PRON VERB PRON VERB
It flies in the face of commitments made at the Earth Summit to reduce consumption.	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	inflection	PRON VERB ADP DET NOUN ADP NOUN VERB ADP DET PROPN PROPN PART VERB NOUN
Very pleased to have yours and as I said in my last it's your money, God has been very kind to you and you mustn't fly up in the face of his kindness and I wish you had not taken this step, your Uncle Steve says property's more trouble than it's worth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	insertion-other	ADV ADJ PART VERB PRON CCONJ ADP PRON VERB ADP ADJ ADJ PRON ADJ NOUN PROPN VERB VERB ADV ADJ ADP PRON CCONJ PRON VERB VERB PART ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB PRON VERB ADV VERB DET NOUN ADJ PROPN PROPN VERB NOUN ADJ NOUN ADP PRON ADJ
I think just to conclude the the engine of growth argument, erm, has obviously been raised in relation to other new settlements, notably Cambridge and and this has been referred to already, erm the situation in Cambridge is different to York in in that the level of growth that's that's anticipated for that city is is is significantly higher, and the new settlement erm proposals there have been considered in in that regard and and just for the record C P R E have supported the the new settlement in that particular location, but it does seem to me that the returning to your basic point, that that erm if one applies those circumstances in Nor North Yorkshire it does fly in the face of of established policy in the structure plan, and the overriding er policy is is one of restraint in what is is considered to be one of the country's most sensitive environmental areas, thank you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly in the face of	figurative	identical	PRON VERB ADV PART VERB DET DET NOUN ADP NOUN NOUN NOUN VERB ADV VERB VERB ADP NOUN ADP ADJ ADJ NOUN ADV PROPN CCONJ CCONJ DET VERB VERB VERB ADP ADV ADV DET NOUN ADP PROPN VERB ADJ ADP PROPN ADP ADP ADP DET NOUN ADP NOUN ADJ DET VERB ADP DET NOUN VERB VERB VERB ADV ADJ CCONJ DET ADJ NOUN NOUN NOUN ADV VERB VERB VERB ADV ADP DET NOUN CCONJ CCONJ ADV ADP DET NOUN PROPN NOUN NOUN NOUN VERB VERB DET DET ADJ NOUN ADP DET ADJ NOUN CCONJ PRON VERB VERB ADP PRON ADP DET VERB ADP ADJ ADJ NOUN ADP DET NOUN ADP PRON VERB DET NOUN ADP CCONJ PROPN PROPN PRON VERB VERB ADP DET NOUN ADP ADP ADJ NOUN ADP DET NOUN NOUN CCONJ DET VERB INTJ NOUN VERB VERB NUM ADP NOUN ADP NOUN VERB VERB VERB PART VERB NUM ADP DET NOUN ADV ADJ ADJ NOUN VERB PRON
