Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
Food for thought.	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
There were fairly obvious warnings here for a man contemplating the future independence of his own country, but, if he was shocked by what he saw here, it was the land freed by Toussaint Louverture, Haiti, that gave him most food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	ADV VERB ADV ADJ NOUN ADV ADP DET NOUN VERB DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADP PRON VERB VERB ADP NOUN PRON VERB ADV PRON VERB DET NOUN VERB ADP PROPN PROPN PROPN ADJ VERB PRON ADJ NOUN ADP NOUN
And that should give us food for thought ; while his uncle William in Frome, amongst others, was receiving poor relief at the rate of between 1s. and 4s. per fortnight, here, in the same year of 1799, the nephew - made - good was handing over what amounted to about a year's dole payments to join an exclusive club in the metropolis.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	CCONJ DET VERB VERB PRON NOUN ADP NOUN PUNCT ADP ADJ NOUN PROPN ADP PROPN ADP NOUN VERB VERB ADJ NOUN ADP DET NOUN ADP ADP NOUN CCONJ NUM ADP NOUN ADV ADP DET ADJ NOUN ADP NUM DET NOUN PUNCT VERB PUNCT NOUN VERB VERB ADP NOUN VERB ADP ADV DET NOUN NOUN NOUN PART VERB DET ADJ NOUN ADP DET NOUN
Such an in - depth analysis of last season's loss of form obviously gives me food for thought and deserves a similarly constructive reply.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	food for thought	figurative	identical	ADJ DET ADP PUNCT NOUN NOUN ADP ADJ NOUN NOUN ADP NOUN ADV VERB PRON NOUN ADP NOUN CCONJ VERB DET ADV ADJ NOUN
VET 'S CORNER Food for thought	0 0 0 1 1 1	food for thought	figurative	case	PROPN PART PROPN PROPN ADP NOUN
Ian Wright also had food for thought as he made a hasty exit from Arsenal's demoralised dressing room.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	PROPN PROPN ADV VERB NOUN ADP NOUN ADP PRON VERB DET ADJ NOUN ADP PROPN ADJ NOUN NOUN
Food for Thought in North ~ Korea	1 1 1 0 0 0 0	food for thought	figurative	case	NOUN ADP PROPN ADP PROPN PUNCT PROPN
As for Mozart himself, who had married the sister of the woman he loved, the subject of Cosi must surely have given him food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	ADP ADP PROPN PRON NOUN VERB VERB DET NOUN ADP DET NOUN PRON VERB DET NOUN ADP PROPN VERB ADV VERB VERB PRON NOUN ADP NOUN
It's food for thought, though.	0 1 1 1 0	food for thought	figurative	identical	PRON NOUN ADP NOUN ADV
Now that the Spanish race has been and gone, it is a matter of clearing Mansell's name and it would seem that the evidence offered gave the court food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	ADV ADP DET ADJ NOUN VERB VERB CCONJ VERB PRON VERB DET NOUN ADP VERB PROPN NOUN CCONJ PRON VERB VERB ADP DET NOUN VERB VERB DET NOUN NOUN ADP NOUN
