Drama had, from the word go, a very definite appeal for the young Pigott Smith.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	from the word go	figurative	identical	PROPN VERB ADP DET NOUN VERB DET ADV ADJ NOUN ADP DET ADJ PROPN PROPN	▁Dr ama ▁had , ▁from ▁the ▁word ▁go , ▁a ▁very ▁definite ▁appeal ▁for ▁the ▁young ▁Pig ott ▁Smith .	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB ADP DET NOUN VERB VERB DET ADV ADJ NOUN ADP DET ADJ PROPN PROPN PROPN PROPN
I think also on the inherent fault situation, I mean when somebody buys a vehicle the vehicle has to be of a standard obviously and if there are problems there then obviously people appreciate the fact that they can go back and this is really the point of dealing with a reputable dealer from the word go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	PRON VERB ADV ADP DET ADJ NOUN NOUN PRON VERB ADV NOUN VERB DET NOUN DET NOUN VERB PART VERB ADP DET NOUN ADV CCONJ ADP ADV VERB NOUN ADV ADV ADV NOUN VERB DET NOUN ADP PRON VERB VERB ADV CCONJ DET VERB ADV DET NOUN ADP VERB ADP DET ADJ NOUN ADP DET NOUN VERB	▁I ▁think ▁also ▁on ▁the ▁inherent ▁fault ▁situation , ▁I ▁mean ▁when ▁somebody ▁buy s ▁a ▁vehicle ▁the ▁vehicle ▁has ▁to ▁be ▁of ▁a ▁standard ▁obviously ▁and ▁if ▁there ▁are ▁problems ▁there ▁then ▁obviously ▁people ▁appreciate ▁the ▁fact ▁that ▁they ▁can ▁go ▁back ▁and ▁this ▁is ▁really ▁the ▁point ▁of ▁dealing ▁with ▁a ▁re put able ▁dealer ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB ADV ADP DET ADJ NOUN NOUN NOUN PRON VERB ADV NOUN VERB VERB DET NOUN DET NOUN VERB PART VERB ADP DET NOUN ADV CCONJ ADP ADV VERB NOUN ADV ADV ADV NOUN VERB DET NOUN ADP PRON VERB VERB ADV CCONJ DET VERB ADV DET NOUN ADP VERB ADP DET ADJ ADJ ADJ NOUN ADP DET NOUN VERB VERB
they should be thinking about it right from the word go.	0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	PRON VERB VERB VERB ADP PRON ADV ADP DET NOUN VERB	▁they ▁should ▁be ▁thinking ▁about ▁it ▁right ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB VERB VERB ADP PRON ADV ADP DET NOUN VERB VERB
They are reflexes built into the system from the word go.	0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	PRON VERB NOUN VERB ADP DET NOUN ADP DET NOUN VERB	▁They ▁are ▁reflex es ▁built ▁into ▁the ▁system ▁from ▁the ▁word ▁go .	0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB NOUN NOUN VERB ADP DET NOUN ADP DET NOUN VERB VERB
But, to be fair to your potential customers, who could do this themselves, if they so desired, it seems to me that you have to treat the thing as a business from the word go, and try to bring something different to the market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	from the word go	figurative	identical	CCONJ PART VERB ADJ ADP ADJ ADJ NOUN NOUN VERB VERB DET PRON ADP PRON ADV VERB PRON VERB ADP PRON ADP PRON VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN VERB CCONJ VERB PART VERB NOUN ADJ ADP DET NOUN	▁But , ▁to ▁be ▁fair ▁to ▁your ▁potential ▁customers , ▁who ▁could ▁do ▁this ▁themselves , ▁if ▁they ▁so ▁desired , ▁it ▁seems ▁to ▁me ▁that ▁you ▁have ▁to ▁treat ▁the ▁thing ▁as ▁a ▁business ▁from ▁the ▁word ▁go , ▁and ▁try ▁to ▁bring ▁something ▁different ▁to ▁the ▁market .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ PART VERB ADJ ADP ADJ ADJ NOUN NOUN NOUN VERB VERB DET PRON PRON ADP PRON ADV VERB VERB PRON VERB ADP PRON ADP PRON VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB CCONJ VERB PART VERB NOUN ADJ ADP DET NOUN NOUN
But they had a new headmaster oh he's just retired, he's been there been there since Lynn was there when since she was since the er she's twice that age so I mean he must have been there eighteen years but when he went there he's er totally the school from the word go	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	from the word go	figurative	identical	CCONJ PRON VERB DET ADJ NOUN INTJ PRON ADV VERB PRON VERB ADV VERB ADV ADP PROPN VERB ADV ADV ADP PRON VERB ADP DET INTJ PRON ADJ DET NOUN ADV PRON VERB PRON VERB VERB VERB ADV NUM NOUN CCONJ ADV PRON VERB ADV PRON INTJ ADV DET NOUN ADP DET NOUN VERB	▁But ▁they ▁had ▁a ▁new ▁head master ▁ oh ▁he ' s ▁just ▁retired , ▁he ' s ▁been ▁there ▁been ▁there ▁since ▁L y nn ▁was ▁there ▁when ▁since ▁she ▁was ▁since ▁the ▁er ▁she ' s ▁twice ▁that ▁age ▁so ▁I ▁mean ▁he ▁must ▁have ▁been ▁there ▁eighteen ▁years ▁but ▁when ▁he ▁went ▁there ▁he ' s ▁er ▁totally ▁the ▁school ▁from ▁the ▁word ▁go	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ PRON VERB DET ADJ NOUN NOUN INTJ INTJ PRON PRON PRON ADV VERB VERB PRON PRON PRON VERB ADV VERB ADV ADP PROPN PROPN PROPN VERB ADV ADV ADP PRON VERB ADP DET INTJ PRON PRON PRON ADJ DET NOUN ADV PRON VERB PRON VERB VERB VERB ADV NUM NOUN CCONJ ADV PRON VERB ADV PRON PRON PRON INTJ ADV DET NOUN ADP DET NOUN VERB
It wasn't until a week later that I was able to ring John Reeves, vicar of St Luke's, Cranham, who later said that he was intrigued from the word go by the strange activities we were involved with when he first contacted us.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	identical	PRON VERB ADP DET NOUN ADV ADP PRON VERB ADJ PART VERB PROPN PROPN NOUN ADP PROPN PROPN PROPN NOUN ADV VERB ADP PRON VERB VERB ADP DET NOUN VERB ADP DET ADJ NOUN PRON VERB VERB ADP ADV PRON ADV VERB PRON	▁It ▁was n ' t ▁until ▁a ▁week ▁later ▁that ▁I ▁was ▁able ▁to ▁ring ▁John ▁Re e ves , ▁vi car ▁of ▁St ▁L uke ' s , ▁C ran ham , ▁who ▁later ▁said ▁that ▁he ▁was ▁in tri gu ed ▁from ▁the ▁word ▁go ▁by ▁the ▁strange ▁activities ▁we ▁were ▁involved ▁with ▁when ▁he ▁first ▁contacted ▁us .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADP DET NOUN ADV ADP PRON VERB ADJ PART VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADV VERB ADP PRON VERB VERB VERB VERB VERB ADP DET NOUN VERB ADP DET ADJ NOUN PRON VERB VERB ADP ADV PRON ADV VERB PRON PRON
From the word go the crowd ( badly dressed, smelly, blank - faced and radiating tragedy ) greeted the bands with abuse and bottles of cider which they had feverishly pissed in.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	case	ADP DET NOUN VERB DET NOUN PUNCT ADV ADJ ADJ ADV PUNCT ADJ CCONJ NOUN NOUN PUNCT VERB DET NOUN ADP NOUN CCONJ NOUN ADP NOUN ADJ PRON VERB ADV ADJ ADP	▁From ▁the ▁word ▁go ▁the ▁crowd ▁( ▁badly ▁dressed , ▁smell y , ▁blank ▁- ▁faced ▁and ▁radiat ing ▁tragedy ▁ ) ▁greet ed ▁the ▁bands ▁with ▁abuse ▁and ▁bottles ▁of ▁cider ▁which ▁they ▁had ▁fever ish ly ▁p isse d ▁in .	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB DET NOUN PUNCT ADV ADJ ADJ ADJ ADJ ADJ ADV PUNCT ADJ CCONJ NOUN NOUN NOUN PUNCT PUNCT VERB VERB DET NOUN ADP NOUN CCONJ NOUN ADP NOUN ADJ PRON VERB ADV ADV ADV ADJ ADJ ADJ ADP ADP
A representative assessment is that given by the library manager : I would say that one of the biggest advantages was the fact that senior management … from the Head down, from the very word go, were after making it a success … one thing we have got is a greater awareness from a greater number of staff, because they come in here to supervise and help [ and]get involved … but I think the biggest advantage has been the fact that time devoted to … library skills for all the first year … [has]been extended to an hour a week …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	insertion-other	DET ADJ NOUN VERB ADP VERB ADP DET NOUN NOUN PUNCT PRON VERB VERB ADP NUM ADP DET ADJ NOUN VERB DET NOUN ADP ADJ NOUN PUNCT ADP DET PROPN ADV ADP DET ADJ NOUN VERB VERB ADP VERB PRON DET NOUN PUNCT NUM NOUN PRON VERB VERB VERB DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADP PRON VERB ADV ADV PART VERB CCONJ VERB PUNCT VERB ADJ PUNCT CCONJ PRON VERB DET ADJ NOUN VERB VERB DET NOUN ADP NOUN VERB ADP VERB NOUN NOUN ADP ADJ DET ADJ NOUN PUNCT NUM VERB ADP DET NOUN DET NOUN PUNCT	▁A ▁representative ▁assessment ▁is ▁that ▁given ▁by ▁the ▁library ▁manager ▁ : ▁I ▁would ▁say ▁that ▁one ▁of ▁the ▁biggest ▁advantages ▁was ▁the ▁fact ▁that ▁senior ▁management ▁... ▁from ▁the ▁Head ▁down , ▁from ▁the ▁very ▁word ▁go , ▁were ▁after ▁making ▁it ▁a ▁success ▁... ▁one ▁thing ▁we ▁have ▁got ▁is ▁a ▁greater ▁awareness ▁from ▁a ▁greater ▁number ▁of ▁staff , ▁because ▁they ▁come ▁in ▁here ▁to ▁supervise ▁and ▁help ▁[ ▁and ] get ▁involved ▁... ▁but ▁I ▁think ▁the ▁biggest ▁advantage ▁has ▁been ▁the ▁fact ▁that ▁time ▁devoted ▁to ▁... ▁library ▁skills ▁for ▁all ▁the ▁first ▁year ▁... ▁[ has ] been ▁extended ▁to ▁an ▁hour ▁a ▁week ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADP VERB ADP DET NOUN NOUN PUNCT PUNCT PRON VERB VERB ADP NUM ADP DET ADJ NOUN VERB DET NOUN ADP ADJ NOUN PUNCT ADP DET PROPN ADV ADV ADP DET ADJ NOUN VERB VERB VERB ADP VERB PRON DET NOUN PUNCT NUM NOUN PRON VERB VERB VERB DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN NOUN ADP PRON VERB ADV ADV PART VERB CCONJ VERB PUNCT VERB VERB VERB ADJ PUNCT CCONJ PRON VERB DET ADJ NOUN VERB VERB DET NOUN ADP NOUN VERB ADP VERB NOUN NOUN ADP ADJ DET ADJ NOUN PUNCT NUM NUM NUM NUM VERB ADP DET NOUN DET NOUN PUNCT
‘ In such cases the documentation has to be correct from the word go and if Mr Grainger puts it all down in writing his account will be used as the basis for our inquiries.’	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	from the word go	figurative	identical	PUNCT ADP ADJ NOUN DET NOUN VERB PART VERB ADJ ADP DET NOUN VERB CCONJ ADP PROPN PROPN VERB PRON DET PART ADP VERB ADJ NOUN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN	▁ ‘ ▁In ▁such ▁cases ▁the ▁documentation ▁has ▁to ▁be ▁correct ▁from ▁the ▁word ▁go ▁and ▁if ▁Mr ▁Grain ger ▁puts ▁it ▁all ▁down ▁in ▁writing ▁his ▁account ▁will ▁be ▁used ▁as ▁the ▁basis ▁for ▁our ▁inquiries . ’	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP ADJ NOUN DET NOUN VERB PART VERB ADJ ADP DET NOUN VERB CCONJ ADP PROPN PROPN PROPN VERB PRON DET PART ADP VERB ADJ NOUN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN NOUN
I mean I was asked to do it right from the word go wasn't I?	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	from the word go	figurative	identical	PRON VERB PRON VERB VERB PART VERB PRON ADV ADP DET NOUN VERB VERB PRON	▁I ▁mean ▁I ▁was ▁asked ▁to ▁do ▁it ▁right ▁from ▁the ▁word ▁go ▁was n ' t ▁I ?	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	PRON VERB PRON VERB VERB PART VERB PRON ADV ADP DET NOUN VERB VERB VERB VERB VERB PRON PRON
