Golf : Lane ties it up, then Canizares gets a grip	0 0 0 0 0 0 0 0 1 0 1	get a grip	figurative	inflection	NOUN PUNCT NOUN VERB PRON PART ADV PROPN VERB DET NOUN
For fuck's sake get a grip.	0 0 0 1 0 1	get a grip	figurative	identical	ADP NOUN NOUN VERB DET NOUN
and Big Frank Connell hissing Get a grip.	0 0 0 0 0 1 0 1	get a grip	figurative	case	CCONJ PROPN PROPN PROPN NOUN VERB DET NOUN
The shark catches it by its feet, but as it tries to get a better grip the young bird is released and flaps into the air over the shark's back.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	literal	insertion-other	DET NOUN VERB PRON ADP ADJ NOUN CCONJ ADP PRON VERB PART VERB DET ADJ NOUN DET ADJ NOUN VERB VERB CCONJ NOUN ADP DET NOUN ADP DET NOUN NOUN
If a grip could be got on the parcel, maybe she could thread it up between the wood and through?	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	literal	misc	ADP DET NOUN VERB VERB VERB ADP DET NOUN ADV PRON VERB VERB PRON PART ADP DET NOUN CCONJ ADV
Hold on, Yank tour madness is getting a grip again.	0 0 0 0 0 0 1 0 1 0	get a grip	figurative	inflection	VERB PART PROPN NOUN NOUN VERB VERB DET NOUN ADV
The sudden descent into abuse took McLeish by surprise and he realized he must have shown it, because the girl literally got a grip on herself, folding her arms and hunching over the table.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	inflection	DET ADJ NOUN ADP NOUN VERB PROPN ADP NOUN CCONJ PRON VERB PRON VERB VERB VERB PRON ADP DET NOUN ADV VERB DET NOUN ADP PRON VERB ADJ NOUN CCONJ VERB ADP DET NOUN
We are all too aware that fashions come and go before we have had time to get a grip on the underlying theology which informs them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB ADV ADV ADJ ADP NOUN VERB CCONJ VERB ADP PRON VERB VERB NOUN PART VERB DET NOUN ADP DET ADJ NOUN ADJ VERB PRON
' Get a grip, Aurora, ' she told herself sternly as she rummaged in the cupboard.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	case	PUNCT VERB DET NOUN PROPN PUNCT PRON VERB PRON ADV ADP PRON VERB ADP DET NOUN
She had to get a grip on her ridiculous emotions, had to keep reminding herself that it was only the club he wanted.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB PART VERB DET NOUN ADP ADJ ADJ NOUN VERB PART VERB VERB PRON ADP PRON VERB ADV DET NOUN PRON VERB
She was breathing deeply, her breasts heaving, fighting to get a grip on herself.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	get a grip	figurative	identical	PRON VERB VERB ADV ADJ NOUN VERB VERB PART VERB DET NOUN ADP PRON
HARD TIMES REQUIRE TOUCH MEASURES AS LOGICA GETS A GRIP ON PROBLEMATIC US	0 0 0 0 0 0 0 1 0 1 0 0 0	get a grip	figurative	combined-inflection	ADJ PROPN PROPN PROPN PROPN ADP PROPN VERB DET NOUN ADP PROPN PROPN
of private lessons but I just really can't get a grip of it.	0 0 0 0 0 0 0 0 1 0 1 0 0	get a grip	figurative	identical	ADP ADJ NOUN CCONJ PRON ADV ADV VERB VERB DET NOUN ADP PRON
But if the Prime Minister does not get a grip soon, even those who have staunchly backed him up to now will conclude that there is no alternative but for him to go.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	CCONJ ADP DET PROPN PROPN VERB ADV VERB DET NOUN ADV ADV DET NOUN VERB ADV VERB PRON PART ADP ADV VERB VERB ADP ADV VERB DET NOUN CCONJ ADP PRON PART VERB
GRAHAM TAYLOR searches desperately for someone to get a grip of England's midfield and you wonder if it is too late — at 28 — for Stewart Robson.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PROPN PROPN VERB ADV ADP NOUN PART VERB DET NOUN ADP PROPN NOUN CCONJ PRON VERB ADP PRON VERB ADV ADJ PUNCT ADP NUM PUNCT ADP PROPN PROPN
She sat there for nearly half an hour, staring at the wall, trying to get a grip.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	get a grip	figurative	identical	PRON VERB ADV ADP ADV ADJ DET NOUN VERB ADP DET NOUN VERB PART VERB DET NOUN
‘ The guy that was sober told him to get a grip and pulled him out the shop.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	get a grip	figurative	identical	PUNCT DET NOUN ADJ VERB ADJ VERB PRON PART VERB DET NOUN CCONJ VERB PRON PART DET NOUN
I must get a grip on my mind.	0 0 1 0 1 0 0 0	get a grip	figurative	identical	PRON VERB VERB DET NOUN ADP ADJ NOUN
By bucking your ideas up, by getting a grip on yourself, above all, by pulling your socks up.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	get a grip	figurative	inflection	ADP VERB ADJ NOUN PART ADP VERB DET NOUN ADP PRON ADP DET ADP VERB ADJ NOUN ADV
She kicked him in the face with her boot - heel, and he got a grip on her knee.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	get a grip	literal	inflection	PRON VERB PRON ADP DET NOUN ADP ADJ NOUN PUNCT PROPN CCONJ PRON VERB DET NOUN ADP ADJ NOUN
Annabel was determined to get a grip on herself and do as Scott advised : remember 1965 as the year she stopped having to go to auditions and 1966 as the year in which she blossomed into a successful young New York hostess as she met Andy Warhol, Lenny Bernstein, Baby Jane Holzer, and all the other gossip - columnist fodder.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PROPN VERB VERB PART VERB DET NOUN ADP PRON CCONJ VERB ADP PROPN VERB PUNCT VERB NUM ADP DET NOUN PRON VERB VERB PART VERB ADP NOUN CCONJ NUM ADP DET NOUN ADP ADJ PRON VERB ADP DET ADJ ADJ PROPN PROPN NOUN ADP PRON VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ DET ADJ NOUN PUNCT NOUN NOUN
Get a grip of yourself, Robbie, she adjured herself.	1 0 1 0 0 0 0 0 0	get a grip	figurative	case	VERB DET NOUN ADP PRON PROPN PRON VERB PRON
She lay sleepless for so long — trying to get a grip on the situation, convincing herself that one kiss, one evening that held all the trimmings of romance had no real value — that she awoke late.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	PRON VERB NOUN ADP ADV ADV PUNCT VERB PART VERB DET NOUN ADP DET NOUN VERB PRON ADP NUM NOUN NUM NOUN ADJ VERB ADJ DET NOUN ADP NOUN VERB DET ADJ NOUN PUNCT ADP PRON VERB ADV
Get a grip here.	1 0 1 0	get a grip	figurative	case	VERB DET NOUN ADV
Get a grip	1 0 1	get a grip	figurative	case	VERB DET NOUN
When beating the sideways force of the wind is at a maximum and so we need the daggerboard right down to get a good grip on the water and stop the boat drifting sideways.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	get a grip	literal	insertion-other	ADV VERB DET NOUN NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ ADV PRON VERB DET NOUN ADV ADV PART VERB DET ADJ NOUN ADP DET NOUN CCONJ VERB DET NOUN VERB ADV
From a boat it can be squeezed enough to get a grip on it, and when it hits the water it sinks in a big brown cloud.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get a grip	figurative	identical	ADP DET NOUN PRON VERB VERB VERB ADV PART VERB DET NOUN ADP PRON CCONJ ADV PRON VERB DET NOUN PRON VERB ADP DET ADJ ADJ NOUN
but we need to get a grip on it.	0 0 0 0 1 0 1 0 0	get a grip	figurative	identical	CCONJ PRON VERB PART VERB DET NOUN ADP PRON
Jessica breathed deeply, trying to get a grip.	0 0 0 0 0 1 0 1	get a grip	figurative	identical	PROPN VERB ADV VERB PART VERB DET NOUN
She was trailing behind the other two and trying to get a grip on her nerves.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	get a grip	figurative	identical	PRON VERB VERB ADP DET ADJ NUM CCONJ VERB PART VERB DET NOUN ADP ADJ NOUN
