You can get away with murder with words.	0 0 1 1 1 1 0 0	get away with murder	figurative	identical	PRON VERB VERB ADV ADP NOUN ADP NOUN	▁You ▁can ▁get ▁away ▁with ▁murder ▁with ▁words .	0 0 1 1 1 1 0 0 0	PRON VERB VERB ADV ADP NOUN ADP NOUN NOUN
Lizzy would be allowed to get away with blue murder while her father was around, it was always the same, then when he swanned off again, it would be left to Kate to pick up the pieces and get back some kind of equilibrium.	0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get away with murder	figurative	insertion-other	PROPN VERB VERB VERB PART VERB ADV ADP ADJ NOUN ADP ADJ NOUN VERB ADV PRON VERB ADV DET ADJ ADV ADV PRON VERB PART ADV PRON VERB VERB VERB ADP PROPN PART VERB PART DET NOUN CCONJ VERB ADV DET NOUN ADP NOUN	▁L izz y ▁would ▁be ▁allowed ▁to ▁get ▁away ▁with ▁blue ▁murder ▁while ▁her ▁father ▁was ▁around , ▁it ▁was ▁always ▁the ▁same , ▁then ▁when ▁he ▁sw anne d ▁off ▁again , ▁it ▁would ▁be ▁left ▁to ▁K ate ▁to ▁pick ▁up ▁the ▁pieces ▁and ▁get ▁back ▁some ▁kind ▁of ▁equilibrium .	0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB VERB PART VERB ADV ADP ADJ NOUN ADP ADJ NOUN VERB ADV ADV PRON VERB ADV DET ADJ ADJ ADV ADV PRON VERB VERB VERB PART ADV ADV PRON VERB VERB VERB ADP PROPN PROPN PART VERB PART DET NOUN CCONJ VERB ADV DET NOUN ADP NOUN NOUN
Even if you belong to the getting - away - with - murder group, the time will come when you have to follow the rules precisely in order to maintain a speedy weight loss.	0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get away with murder	figurative	combined-inflection	ADV ADP PRON VERB ADP DET VERB PUNCT ADV PUNCT ADP PUNCT NOUN NOUN DET NOUN VERB VERB ADV PRON VERB PART VERB DET NOUN ADV ADP NOUN PART VERB DET ADJ NOUN NOUN	▁Even ▁if ▁you ▁belong ▁to ▁the ▁gett ing ▁- ▁away ▁- ▁with ▁- ▁murder ▁group , ▁the ▁time ▁will ▁come ▁when ▁you ▁have ▁to ▁follow ▁the ▁rules ▁precisely ▁in ▁order ▁to ▁maintain ▁a ▁speed y ▁weight ▁loss .	0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PRON VERB ADP DET VERB VERB PUNCT ADV PUNCT ADP PUNCT NOUN NOUN NOUN DET NOUN VERB VERB ADV PRON VERB PART VERB DET NOUN ADV ADP NOUN PART VERB DET ADJ ADJ NOUN NOUN NOUN
And he gets away with bloody murder!	0 0 1 1 1 0 1	get away with murder	figurative	combined-inflection	CCONJ PRON VERB ADV ADP ADJ NOUN	▁And ▁he ▁get s ▁away ▁with ▁blood y ▁murder !	0 0 1 1 1 1 0 0 1 1	CCONJ PRON VERB VERB ADV ADP ADJ ADJ NOUN NOUN
The English National Opera hopes to get away with murder.	0 0 0 0 0 0 1 1 1 1	get away with murder	figurative	identical	DET PROPN PROPN PROPN VERB PART VERB ADV ADP NOUN	▁The ▁English ▁National ▁Op era ▁hopes ▁to ▁get ▁away ▁with ▁murder .	0 0 0 0 0 0 0 1 1 1 1 1	DET PROPN PROPN PROPN PROPN VERB PART VERB ADV ADP NOUN NOUN
Yeah they got away with murder there, that looked very very iffy whether it was offside, the linesman didn't give it, the really should have scored.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get away with murder	figurative	inflection	INTJ PRON VERB ADV ADP NOUN ADV ADJ VERB ADV ADV ADJ ADP PRON VERB ADJ DET NOUN VERB VERB PRON DET ADV VERB VERB VERB	▁Ye ah ▁they ▁got ▁away ▁with ▁murder ▁there , ▁that ▁looked ▁very ▁very ▁if f y ▁whether ▁it ▁was ▁off side , ▁the ▁lines man ▁did n ' t ▁give ▁it , ▁the ▁really ▁should ▁have ▁score d .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB ADV ADP NOUN ADV ADV ADJ VERB ADV ADV ADJ ADJ ADJ ADP PRON VERB ADJ ADJ ADJ DET NOUN NOUN VERB VERB VERB VERB VERB PRON PRON DET ADV VERB VERB VERB VERB VERB
For a long time local authorities have been getting away with murder — they 're not keeping maps up - to - date and have low maintenance budgets for rights of way.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get away with murder	figurative	inflection	ADP DET ADJ NOUN ADJ NOUN VERB VERB VERB ADV ADP NOUN PUNCT PRON VERB ADV VERB NOUN ADP PUNCT ADP PUNCT NOUN CCONJ VERB ADJ NOUN NOUN ADP NOUN ADP NOUN	▁For ▁a ▁long ▁time ▁local ▁authorities ▁have ▁been ▁gett ing ▁away ▁with ▁murder ▁ — ▁they ▁' re ▁not ▁keeping ▁maps ▁up ▁- ▁to ▁- ▁date ▁and ▁have ▁low ▁maintenance ▁budgets ▁for ▁rights ▁of ▁way .	0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN ADJ NOUN VERB VERB VERB VERB ADV ADP NOUN PUNCT PUNCT PRON VERB VERB ADV VERB NOUN ADP PUNCT ADP PUNCT NOUN CCONJ VERB ADJ NOUN NOUN ADP NOUN ADP NOUN NOUN
Nobody gets away with murder in this City.’	0 1 1 1 1 0 0 0	get away with murder	literal	inflection	NOUN VERB ADV ADP NOUN ADP DET NOUN	▁Nobody ▁get s ▁away ▁with ▁murder ▁in ▁this ▁City . ’	0 1 1 1 1 1 0 0 0 0 0	NOUN VERB VERB ADV ADP NOUN ADP DET NOUN NOUN NOUN
I could have got away with murder that Saturday night, although under the present circumstances I had better add that I made no attempt to do so.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get away with murder	figurative	inflection	PRON VERB VERB VERB ADV ADP NOUN ADP PROPN NOUN ADP ADP DET ADJ NOUN PRON VERB ADV VERB ADP PRON VERB DET NOUN PART VERB ADV	▁I ▁could ▁have ▁got ▁away ▁with ▁murder ▁that ▁Saturday ▁night , ▁although ▁under ▁the ▁present ▁circumstances ▁I ▁had ▁better ▁add ▁that ▁I ▁made ▁no ▁attempt ▁to ▁do ▁so .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADV ADP NOUN ADP PROPN NOUN NOUN ADP ADP DET ADJ NOUN PRON VERB ADV VERB ADP PRON VERB DET NOUN PART VERB ADV ADV
Will the Minister take time in the next week, as a matter of urgency, to meet the Israeli ambassador and tell him about the feeling in the country generally that the Israeli Government are literally getting away with murder?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get away with murder	figurative	inflection	VERB DET PROPN VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NOUN PART VERB DET ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP DET NOUN ADV ADP DET ADJ PROPN VERB ADV VERB ADV ADP NOUN	▁Will ▁the ▁Minister ▁take ▁time ▁in ▁the ▁next ▁week , ▁as ▁a ▁matter ▁of ▁urgency , ▁to ▁meet ▁the ▁Israeli ▁ambassador ▁and ▁tell ▁him ▁about ▁the ▁feeling ▁in ▁the ▁country ▁generally ▁that ▁the ▁Israeli ▁Government ▁are ▁literally ▁gett ing ▁away ▁with ▁murder ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	VERB DET PROPN VERB NOUN ADP DET ADJ NOUN NOUN ADP DET NOUN ADP NOUN NOUN PART VERB DET ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP DET NOUN ADV ADP DET ADJ PROPN VERB ADV VERB VERB ADV ADP NOUN NOUN
I think the women of your time have been allowed to get away with murder.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get away with murder	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN VERB VERB VERB PART VERB ADV ADP NOUN	▁I ▁think ▁the ▁women ▁of ▁your ▁time ▁have ▁been ▁allowed ▁to ▁get ▁away ▁with ▁murder .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB DET NOUN ADP ADJ NOUN VERB VERB VERB PART VERB ADV ADP NOUN NOUN
