For once he seems to be at a loss for words.	0 0 0 0 0 0 1 0 1 1 1	at a loss for words	figurative	identical	ADP ADP PRON VERB PART VERB ADP DET NOUN ADP NOUN	▁For ▁once ▁he ▁seems ▁to ▁be ▁at ▁a ▁loss ▁for ▁words .	0 0 0 0 0 0 1 0 1 1 1 1	ADP ADP PRON VERB PART VERB ADP DET NOUN ADP NOUN NOUN
She could see that he was at a loss for words — which was reason enough for her to be pleased with her impetuous decision.	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a loss for words	figurative	identical	PRON VERB VERB ADP PRON VERB ADP DET NOUN ADP NOUN PUNCT ADJ VERB NOUN ADJ ADP PRON PART VERB ADJ ADP ADJ ADJ NOUN	▁She ▁could ▁see ▁that ▁he ▁was ▁at ▁a ▁loss ▁for ▁words ▁ — ▁which ▁was ▁reason ▁enough ▁for ▁her ▁to ▁be ▁pleased ▁with ▁her ▁imp et uous ▁decision .	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PRON VERB ADP DET NOUN ADP NOUN PUNCT PUNCT ADJ VERB NOUN ADJ ADP PRON PART VERB ADJ ADP ADJ ADJ ADJ ADJ NOUN NOUN
Edward seemed of a sudden bereft of further speech and Joan was at a loss for the right words.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1	at a loss for words	figurative	insertion-other	PROPN VERB ADP DET ADJ NOUN ADP ADJ NOUN CCONJ PROPN VERB ADP DET NOUN ADP DET ADJ NOUN	▁Edward ▁seemed ▁of ▁a ▁sudden ▁be ref t ▁of ▁further ▁speech ▁and ▁Jo an ▁was ▁at ▁a ▁loss ▁for ▁the ▁right ▁words .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1	PROPN VERB ADP DET ADJ NOUN NOUN NOUN ADP ADJ NOUN CCONJ PROPN PROPN VERB ADP DET NOUN ADP DET ADJ NOUN NOUN
My life- ' Andrée appeared at a loss for a word.	0 0 0 0 0 1 0 1 1 0 1	at a loss for words	figurative	combined-inflection	ADJ NOUN PUNCT PROPN VERB ADP DET NOUN ADP DET NOUN	▁My ▁life - ▁' ▁André e ▁appeared ▁at ▁a ▁loss ▁for ▁a ▁word .	0 0 0 0 0 0 0 1 0 1 1 0 1 1	ADJ NOUN NOUN PUNCT PROPN PROPN VERB ADP DET NOUN ADP DET NOUN NOUN
‘ How do you do?’ she said shyly, since both women seemed momentarily at a loss for words.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	at a loss for words	figurative	identical	PUNCT ADV VERB PRON VERB PRON VERB ADV ADP DET NOUN VERB ADV ADP DET NOUN ADP NOUN	▁ ‘ ▁How ▁do ▁you ▁do ? ’ ▁she ▁said ▁sh y ly , ▁since ▁both ▁women ▁seemed ▁moment arily ▁at ▁a ▁loss ▁for ▁words .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	PUNCT PUNCT ADV VERB PRON VERB VERB VERB PRON VERB ADV ADV ADV ADV ADP DET NOUN VERB ADV ADV ADP DET NOUN ADP NOUN NOUN
IN THE current lukewarm musical climate there is something very likeable about a record that genuinely leaves you at a loss for words.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	at a loss for words	figurative	identical	ADP DET ADJ ADJ ADJ NOUN ADV VERB NOUN ADV ADJ ADP DET NOUN ADJ ADV VERB PRON ADP DET NOUN ADP NOUN	▁IN ▁THE ▁current ▁l uke war m ▁music al ▁climate ▁there ▁is ▁something ▁very ▁like able ▁about ▁a ▁record ▁that ▁genuine ly ▁leaves ▁you ▁at ▁a ▁loss ▁for ▁words .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	ADP DET ADJ ADJ ADJ ADJ ADJ ADJ ADJ NOUN ADV VERB NOUN ADV ADJ ADJ ADP DET NOUN ADJ ADV ADV VERB PRON ADP DET NOUN ADP NOUN NOUN
' I have exhorted my wife to the point where I am at a loss for patient words, ' he protested.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0	at a loss for words	figurative	insertion-other	PUNCT PRON VERB VERB ADJ NOUN ADP DET NOUN ADV PRON VERB ADP DET NOUN ADP ADJ NOUN PUNCT PRON VERB	▁' ▁I ▁have ▁ex hor ted ▁my ▁wife ▁to ▁the ▁point ▁where ▁I ▁am ▁at ▁a ▁loss ▁for ▁patient ▁words , ▁' ▁he ▁protest ed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0	PUNCT PRON VERB VERB VERB VERB ADJ NOUN ADP DET NOUN ADV PRON VERB ADP DET NOUN ADP ADJ NOUN NOUN PUNCT PRON VERB VERB VERB
Ernest and Rosie looked at one another again, at a loss for words, as he went on, ‘ If you are prepared to give your agreement to such an undertaking, I will give instructions to your bank without delay, and the necessary funds will be put at your disposal.	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at a loss for words	figurative	identical	PROPN CCONJ PROPN VERB ADP NUM DET ADV ADP DET NOUN ADP NOUN ADP PRON VERB PART PUNCT ADP PRON VERB ADJ PART VERB ADJ NOUN ADP ADJ DET NOUN PRON VERB VERB NOUN ADP ADJ NOUN ADP NOUN CCONJ DET ADJ NOUN VERB VERB VERB ADP ADJ NOUN	▁E rn est ▁and ▁Ro s ie ▁looked ▁at ▁one ▁another ▁again , ▁at ▁a ▁loss ▁for ▁words , ▁as ▁he ▁went ▁on , ▁ ‘ ▁If ▁you ▁are ▁prepared ▁to ▁give ▁your ▁agreement ▁to ▁such ▁an ▁undertaking , ▁I ▁will ▁give ▁instructions ▁to ▁your ▁bank ▁without ▁delay , ▁and ▁the ▁necessary ▁funds ▁will ▁be ▁put ▁at ▁your ▁disposal .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADP NUM DET ADV ADV ADP DET NOUN ADP NOUN NOUN ADP PRON VERB PART PART PUNCT PUNCT ADP PRON VERB ADJ PART VERB ADJ NOUN ADP ADJ DET NOUN NOUN PRON VERB VERB NOUN ADP ADJ NOUN ADP NOUN NOUN CCONJ DET ADJ NOUN VERB VERB VERB ADP ADJ NOUN NOUN
He seemed, for once, at a loss for words.	0 0 0 0 1 0 1 1 1	at a loss for words	figurative	identical	PRON VERB ADP ADV ADP DET NOUN ADP NOUN	▁He ▁seemed , ▁for ▁once , ▁at ▁a ▁loss ▁for ▁words .	0 0 0 0 0 0 1 0 1 1 1 1	PRON VERB VERB ADP ADV ADV ADP DET NOUN ADP NOUN NOUN
I stopped, at a loss for words.	0 0 1 0 1 1 1	at a loss for words	figurative	identical	PRON VERB ADP DET NOUN ADP NOUN	▁I ▁stopped , ▁at ▁a ▁loss ▁for ▁words .	0 0 0 1 0 1 1 1 1	PRON VERB VERB ADP DET NOUN ADP NOUN NOUN
Lamb was at a loss for words.	0 0 1 0 1 1 1	at a loss for words	figurative	identical	PROPN VERB ADP DET NOUN ADP NOUN	▁Lamb ▁was ▁at ▁a ▁loss ▁for ▁words .	0 0 1 0 1 1 1 1	PROPN VERB ADP DET NOUN ADP NOUN NOUN
