Do they think they can get it up to fifteen?	0 0 0 0 0 1 1 1 0 0	get it up	literal	identical	VERB PRON VERB PRON VERB VERB PRON PART ADP NUM
It nearly killed me getting it up and down the stairs.	0 0 0 0 1 1 1 0 0 0 0	get it up	literal	inflection	PRON ADV VERB PRON VERB PRON PART CCONJ ADP DET NOUN
they all at top, you can get it up easy enough can ya?	0 0 0 0 0 0 1 1 1 0 0 0 0	get it up	literal	identical	PRON DET ADP NOUN PRON VERB VERB PRON PART ADJ ADV VERB PRON
So we got it up that way.	0 0 1 1 1 0 0	get it up	literal	inflection	ADV PRON VERB PRON PART DET NOUN
He was 128th in driving accuracy, 180th in sand saves, 192nd, which is to say dead last, in sub - par holes ( percentage of eagles and birdies ), 191st ( or second - to - last ) in scoring average, dead last in both putting on the few greens he hit in regulation and in total putts ( which means that when he missed a green, he seldom got it up and down ), and dead last again in shooting birdies on par-3s, par-4s and par-5s.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get it up	literal	inflection	PRON VERB ADJ ADP VERB NOUN NOUN ADP NOUN NOUN NOUN ADJ VERB PART VERB ADJ ADJ ADP NOUN PUNCT NOUN NOUN PUNCT NOUN ADP NOUN CCONJ NOUN PUNCT NOUN PUNCT CCONJ ADJ PUNCT ADP PUNCT ADJ PUNCT ADP VERB ADJ ADJ ADJ ADP DET VERB PART DET ADJ NOUN PRON VERB ADP NOUN CCONJ ADP ADJ NOUN PUNCT ADJ VERB ADP ADV PRON VERB DET ADJ PRON ADV VERB PRON PART CCONJ ADV PUNCT CCONJ ADV ADJ ADV ADP VERB NOUN ADP NOUN NOUN CCONJ PROPN
So I said to Geoff I 'll get it up the village shop.	0 0 0 0 0 0 0 1 1 1 0 0 0	get it up	figurative	identical	ADV PRON VERB ADP PROPN PRON VERB VERB PRON ADP DET NOUN NOUN
Yeah and get it up there yeah.	0 0 1 1 1 0 0	get it up	literal	identical	INTJ CCONJ VERB PRON PART ADV INTJ
so those houses were all sandbagged, but it, it got into some, the problem was that the, the road closed sign kept blowing down in the wind, I tried to stand it up but it was oh so heavy, I got it up, but it, it immediately blew down again, and	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	get it up	literal	inflection	ADP DET NOUN VERB DET VERB CCONJ PRON PRON VERB ADP DET DET NOUN VERB ADP DET DET NOUN VERB NOUN VERB VERB PART ADP DET NOUN PRON VERB PART VERB PRON PART CCONJ PRON VERB INTJ ADV ADJ PRON VERB PRON PART CCONJ PRON PRON ADV VERB PART ADV CCONJ
Oh Jesus I thought that was it what's he doing, get it up here oh come on	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	get it up	literal	identical	INTJ PROPN PRON VERB DET VERB PRON NOUN PRON VERB VERB PRON PART ADV INTJ VERB PART
It's just getting it up here.	0 0 1 1 1 0	get it up	literal	inflection	PRON ADV VERB PRON PART ADV
I didn't know how he got it up, it's, it's only thin	0 0 0 0 0 1 1 1 0 0 0 0	get it up	literal	inflection	PRON VERB VERB ADV PRON VERB PRON PART PRON PRON ADV ADJ
