But Walsh got stuck into the project with typical determination.	0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	inflection	CCONJ PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN	▁But ▁W al sh ▁got ▁stuck ▁into ▁the ▁project ▁with ▁typical ▁determination .	0 0 0 0 1 1 1 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN
After we returned home it was time to order seeds for the coming year and get stuck into renovations of Melin Cottage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	get stuck into	figurative	identical	ADP PRON VERB ADV PRON VERB NOUN PART VERB NOUN ADP DET ADJ NOUN CCONJ VERB VERB ADP NOUN ADP PROPN PROPN	▁After ▁we ▁returned ▁home ▁it ▁was ▁time ▁to ▁order ▁seeds ▁for ▁the ▁coming ▁year ▁and ▁get ▁stuck ▁into ▁renovation s ▁of ▁Mel in ▁Cot t age .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADV PRON VERB NOUN PART VERB NOUN ADP DET ADJ NOUN CCONJ VERB VERB ADP NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
get stuck into them!	1 1 1 0	get stuck into	figurative	identical	VERB VERB ADP PRON	▁get ▁stuck ▁into ▁them !	1 1 1 0 0	VERB VERB ADP PRON PRON
To get stuck into Part Two you don't have to have completed the first instalment, but you DO need to have the password.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	PART VERB VERB ADP PROPN NUM PRON VERB VERB PART VERB VERB DET ADJ NOUN CCONJ PRON VERB VERB PART VERB DET NOUN	▁To ▁get ▁stuck ▁into ▁Part ▁Two ▁you ▁don ' t ▁have ▁to ▁have ▁completed ▁the ▁first ▁instalment , ▁but ▁you ▁DO ▁need ▁to ▁have ▁the ▁pass word .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PART VERB VERB ADP PROPN NUM PRON VERB VERB VERB VERB PART VERB VERB DET ADJ NOUN NOUN CCONJ PRON VERB VERB PART VERB DET NOUN NOUN NOUN
Such commitments makes it hard for them to really get stuck into each and every league match.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	identical	ADJ NOUN VERB PRON ADJ ADP PRON PART ADV VERB VERB ADP DET CCONJ DET NOUN NOUN	▁Such ▁commitments ▁makes ▁it ▁hard ▁for ▁them ▁to ▁really ▁get ▁stuck ▁into ▁each ▁and ▁every ▁league ▁match .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	ADJ NOUN VERB PRON ADJ ADP PRON PART ADV VERB VERB ADP DET CCONJ DET NOUN NOUN NOUN
We had a drink out there before we got stuck into that amazing menu.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	get stuck into	figurative	inflection	PRON VERB DET NOUN ADV ADV ADP PRON VERB VERB ADP DET ADJ NOUN	▁We ▁had ▁a ▁drink ▁out ▁there ▁before ▁we ▁got ▁stuck ▁into ▁that ▁amazing ▁ menu .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PRON VERB DET NOUN ADV ADV ADP PRON VERB VERB ADP DET ADJ NOUN NOUN NOUN
Before the hon. Gentleman gets stuck into the CAP, on which matter I hope that he will be as robust as my right hon. Friend in defending the interests of the British farmer, may I advise him that I was interested to note that he began his speech by talking about animal diseases and BSE?	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	ADP DET NOUN PROPN VERB VERB ADP DET PROPN ADP ADJ NOUN PRON VERB ADP PRON VERB VERB ADV ADJ ADP ADJ ADJ NOUN NOUN ADP VERB DET NOUN ADP DET ADJ NOUN VERB PRON VERB PRON ADP PRON VERB ADJ PART VERB ADP PRON VERB ADJ NOUN ADP VERB ADP NOUN NOUN CCONJ PROPN	▁Before ▁the ▁ hon . ▁Gen tle man ▁get s ▁stuck ▁into ▁the ▁CAP , ▁on ▁which ▁matter ▁I ▁hope ▁that ▁he ▁will ▁be ▁as ▁robust ▁as ▁my ▁right ▁ hon . ▁Friend ▁in ▁defend ing ▁the ▁interests ▁of ▁the ▁British ▁farmer , ▁may ▁I ▁advise ▁him ▁that ▁I ▁was ▁interested ▁to ▁note ▁that ▁he ▁began ▁his ▁speech ▁by ▁talking ▁about ▁animal ▁diseases ▁and ▁BSE ?	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN NOUN PROPN PROPN PROPN VERB VERB VERB ADP DET PROPN PROPN ADP ADJ NOUN PRON VERB ADP PRON VERB VERB ADV ADJ ADP ADJ ADJ NOUN NOUN NOUN NOUN ADP VERB VERB DET NOUN ADP DET ADJ NOUN NOUN VERB PRON VERB PRON ADP PRON VERB ADJ PART VERB ADP PRON VERB ADJ NOUN ADP VERB ADP NOUN NOUN CCONJ PROPN PROPN
for victory, because I 'd like to get stuck into that	0 0 0 0 0 0 0 1 1 1 0	get stuck into	figurative	identical	ADP NOUN ADP PRON VERB VERB PART VERB VERB ADP DET	▁for ▁victory , ▁because ▁I ▁' d ▁like ▁to ▁get ▁stuck ▁into ▁that	0 0 0 0 0 0 0 0 0 1 1 1 0	ADP NOUN NOUN ADP PRON VERB VERB VERB PART VERB VERB ADP DET
But once you got there and got stuck into the work and	0 0 0 0 0 0 1 1 1 0 0 0	get stuck into	figurative	inflection	CCONJ ADP PRON VERB ADV CCONJ VERB VERB ADP DET NOUN CCONJ	▁But ▁once ▁you ▁got ▁there ▁and ▁got ▁stuck ▁into ▁the ▁work ▁and	0 0 0 0 0 0 1 1 1 0 0 0	CCONJ ADP PRON VERB ADV CCONJ VERB VERB ADP DET NOUN CCONJ
The prescription is expected : lay off the climbing and get stuck into physiotherapy.	0 0 0 0 0 0 0 0 0 0 1 1 1 0	get stuck into	figurative	identical	DET NOUN VERB VERB PUNCT VERB PART DET NOUN CCONJ VERB VERB ADP NOUN	▁The ▁prescription ▁is ▁expected ▁ : ▁lay ▁off ▁the ▁climb ing ▁and ▁get ▁stuck ▁into ▁ phy si otherapy .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	DET NOUN VERB VERB PUNCT PUNCT VERB PART DET NOUN NOUN CCONJ VERB VERB ADP NOUN NOUN NOUN NOUN NOUN
' Throw away the chip pan! ' say the coronary experts ; ' Get stuck into fruit and vegetables '.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	get stuck into	figurative	case	PUNCT VERB PART DET NOUN NOUN PUNCT VERB DET ADJ NOUN PUNCT PUNCT VERB VERB ADP NOUN CCONJ NOUN PUNCT	▁' ▁Th row ▁away ▁the ▁ chip ▁pan ! ▁' ▁say ▁the ▁ coronary ▁experts ▁ ; ▁' ▁G et ▁stuck ▁into ▁fruit ▁and ▁vegetables ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	PUNCT VERB VERB PART DET NOUN NOUN NOUN NOUN PUNCT VERB DET ADJ ADJ NOUN PUNCT PUNCT PUNCT VERB VERB VERB ADP NOUN CCONJ NOUN PUNCT PUNCT
