" Yes, quite … you've got the picture — time to go! "	0 0 0 0 0 1 0 1 0 0 0 0 0	get the picture	figurative	inflection	PUNCT INTJ ADV PUNCT PRON VERB DET NOUN PUNCT NOUN PART VERB PUNCT
He joked : ' In England, if you were sent to a rugby league match at Batley on a night you had to park your car on the touch line and leave the headlights on and hope the players would run into the beam of light so you could get a picture.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	get the picture	literal	determiner-narrow	PRON VERB PUNCT PUNCT ADP PROPN ADP PRON VERB VERB ADP DET NOUN NOUN NOUN ADP PROPN ADP DET NOUN PRON VERB PART VERB ADJ NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN ADP CCONJ VERB DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP PRON VERB VERB DET NOUN
that telly was mine but I 've got a lovely picture when I used to have it in the kitchen.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	DET NOUN VERB ADJ CCONJ PRON VERB VERB DET ADJ NOUN ADV PRON VERB PART VERB PRON ADP DET NOUN
If I tell you she is known by some here as ‘ Aunty’ Muriel, you may get the picture.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	get the picture	figurative	identical	ADP PRON VERB PRON PRON VERB VERB ADP DET ADV ADP PUNCT PROPN PROPN PRON VERB VERB DET NOUN
You 've got a get another a picture, it's crap	0 0 0 0 1 0 0 1 0 0	get the picture	literal	combined-other	PRON VERB VERB DET NOUN DET DET NOUN PRON ADJ
So parents tend not to hear about the things that really go on a lot of the time in nearly all schools and they do hear a bit about the things that are a little bit different, so they can get quite a distorted picture of, of what's going on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	get the picture	figurative	combined-other	ADP NOUN VERB ADV PART VERB ADP DET NOUN ADJ ADV VERB ADP DET NOUN ADP DET NOUN ADP ADV DET NOUN CCONJ PRON VERB VERB DET NOUN ADP DET NOUN ADJ VERB DET ADJ NOUN ADJ ADP PRON VERB VERB ADJ DET ADJ NOUN ADP ADP NOUN VERB PART
Unfortunately, I couldn't get the pictures to hang correctly in my kitchen, so I decided to improvise and use pots and pans instead.’	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	inflection	ADV PRON VERB VERB DET NOUN PART VERB ADV ADP ADJ NOUN CCONJ PRON VERB PART VERB CCONJ VERB NOUN CCONJ NOUN VERB
I said bye then see you sometime, bye and I put the phone down, and she said what does she want then and I said oh she wanted to know where, you know she 'd gone and I said oh I haven't seen her all week you know after, while we was hanging, she was hanging pictures, erm, she come through, she said oh they look wonderful she said I 've got pictures she said, I want my mountain put up in my lounge, with that June burst out laughing, Neil went through and he, he put her pictures up and he was gone there, he said, god he said, you know literally it's a day to hang pictures, I said well don't worry about it, you know, that's what he said to do	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	combined-inflection	PRON VERB INTJ ADV VERB PRON ADV INTJ CCONJ PRON VERB DET NOUN PART CCONJ PRON VERB NOUN VERB PRON VERB ADV CCONJ PRON VERB INTJ PRON VERB PART VERB ADV PRON VERB PRON VERB VERB CCONJ PRON VERB INTJ PRON VERB VERB PRON DET NOUN PRON VERB ADP ADP PRON VERB VERB PRON VERB VERB NOUN INTJ PRON VERB PART PRON VERB INTJ PRON VERB ADJ PRON VERB PRON VERB VERB NOUN PRON VERB PRON VERB ADJ NOUN VERB PART ADP ADJ NOUN ADP DET PROPN VERB PART VERB PROPN VERB PART CCONJ PRON PRON VERB ADJ NOUN PART CCONJ PRON VERB VERB ADV PRON VERB INTJ PRON VERB PRON VERB ADV PRON DET NOUN PART VERB NOUN PRON VERB INTJ VERB VERB ADP PRON PRON VERB DET NOUN PRON VERB PART VERB
So write it down, get a picture of it, it's like a car salesman, what does he do when you go into a car showroom?	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get the picture	literal	determiner-narrow	ADV VERB PRON PART VERB DET NOUN ADP PRON PRON ADP DET NOUN NOUN NOUN VERB PRON VERB ADV PRON VERB ADP DET NOUN NOUN
But get a picture of something.	0 1 0 1 0 0	get the picture	literal	determiner-narrow	CCONJ VERB DET NOUN ADP NOUN
And I said no fucking way you 'll get any pictures of me having a bang!	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	get the picture	literal	determiner-broad	CCONJ PRON VERB DET ADJ NOUN PRON VERB VERB DET NOUN ADP PRON VERB DET NOUN
