The trouble was that he got under her skin.	0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	combined-inflection	DET NOUN VERB ADP PRON VERB ADP ADJ NOUN
So, come on you literary types ; stop fretting about Orwell and start getting under our skins.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	combined-inflection	ADV VERB ADP ADJ ADJ NOUN PUNCT VERB VERB ADP PROPN CCONJ VERB VERB ADP ADJ NOUN
Sorge was annoyed with himself, irritated that he had allowed the Intelligence man to get under his skin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	possessive	NOUN VERB VERB ADP PRON ADJ ADP PRON VERB VERB DET PROPN NOUN PART VERB ADP ADJ NOUN
He managed somehow to get under my skin, tangle me up inside so that I didn't know if I was coming or going.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get under someone's skin	figurative	possessive	PRON VERB ADV PART VERB ADP ADJ NOUN VERB PRON PART ADV ADP ADP PRON VERB VERB ADP PRON VERB VERB CCONJ VERB
Why, she asked herself, was she allowing this magnetic package of male virility to get under her skin, especially when she hardly knew him?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	get under someone's skin	figurative	possessive	ADV PRON VERB PRON VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN PART VERB ADP ADJ NOUN ADV ADV PRON ADV VERB PRON
‘ Why do you let her get under your skin?’	0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	combined-other	PUNCT ADV VERB PRON VERB PRON VERB ADP ADJ NOUN
Then ' I 've got you under my skin just as you 're getting me outta your system '.	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	get under someone's skin	figurative	combined-inflection	ADV PUNCT PRON VERB VERB PRON ADP ADJ NOUN ADV ADP PRON VERB VERB PRON ADP ADJ NOUN PUNCT
‘ I was beginning to think you were truly immune — I actually thought the man hadn't been born who could get under your skin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	possessive	PUNCT PRON VERB VERB PART VERB PRON VERB ADV ADJ PUNCT PRON ADV VERB DET NOUN VERB VERB VERB NOUN VERB VERB ADP ADJ NOUN
And was this how he had got under Elise's skin?	0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	combined-inflection	CCONJ VERB DET ADV PRON VERB VERB ADP PROPN NOUN
You have the uncanny knack of getting under my skin and raising my temperature to an uncomfortable degree.’	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	get under someone's skin	figurative	combined-inflection	PRON VERB DET ADJ NOUN ADP VERB ADP ADJ NOUN CCONJ VERB ADJ NOUN ADP DET ADJ NOUN
‘ I know we haven't known each other long, but you 've got under my skin like no other woman I 've ever met.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	get under someone's skin	figurative	combined-inflection	PUNCT PRON VERB PRON VERB VERB DET ADJ ADJ CCONJ PRON VERB VERB ADP ADJ NOUN ADP DET ADJ NOUN PRON VERB ADV VERB
‘ My dear — don't allow his obsession for everything being first class at the Wilderness get under your skin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	possessive	PUNCT ADJ ADJ PUNCT VERB VERB ADJ NOUN ADP NOUN VERB ADJ NOUN ADP DET PROPN VERB ADP ADJ NOUN
‘ Not like you to let someone get under your skin.’	0 0 0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	combined-other	PUNCT ADV ADP PRON PART VERB NOUN VERB ADP ADJ PUNCT
Why was she allowing Doreen to get under her skin in this manner?	0 0 0 0 0 0 1 1 1 1 0 0 0	get under someone's skin	figurative	possessive	ADV VERB PRON VERB PROPN PART VERB ADP ADJ NOUN ADP DET NOUN
‘ Because if you try to do anything so misguided I might have to give a Press interview to explain just why I got under your skin so badly!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	get under someone's skin	figurative	combined-inflection	PUNCT ADP ADP PRON VERB PART VERB NOUN ADV ADJ PRON VERB VERB PART VERB DET PROPN NOUN PART VERB ADV ADV PRON VERB ADP ADJ NOUN ADV NOUN
‘ He gets under my skin sometimes.’	0 0 1 1 1 1 0	get under someone's skin	figurative	combined-inflection	PUNCT PRON VERB ADP ADJ NOUN NOUN
He certainly knows how to get under your skin.	0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	possessive	PRON ADV VERB ADV PART VERB ADP ADJ NOUN
He still knew how to get under their skin.	0 0 0 0 0 1 1 1 1	get under someone's skin	figurative	possessive	PRON ADV VERB ADV PART VERB ADP ADJ NOUN
‘ It's Wilder himself who has got under her skin,’ Silas commented drily.	0 0 0 0 0 0 1 1 1 1 0 0 0	get under someone's skin	figurative	combined-inflection	PUNCT PRON ADP PRON NOUN VERB VERB ADP ADJ PROPN PROPN VERB ADV
