So might the decision to let the republics go it alone on economic reform.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN	▁So ▁might ▁the ▁decision ▁to ▁let ▁the ▁republics ▁go ▁it ▁alone ▁on ▁economic ▁reform .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN NOUN
As in commercial aircraft, going it alone was never a realistic option.	0 0 0 0 1 1 1 0 0 0 0 0	go it alone	figurative	inflection	ADP ADP ADJ NOUN VERB PRON ADJ VERB ADV DET ADJ NOUN	▁As ▁in ▁commercial ▁aircraft , ▁going ▁it ▁alone ▁was ▁never ▁a ▁realistic ▁option .	0 0 0 0 0 1 1 1 0 0 0 0 0 0	ADP ADP ADJ NOUN NOUN VERB PRON ADJ VERB ADV DET ADJ NOUN NOUN
The Syrian episode suggests that it can not, which means that Israel may decide to go it alone once again, this time to eliminate Iran's nuclear facilities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	DET ADJ NOUN VERB ADP PRON VERB ADV ADJ VERB ADP PROPN VERB VERB PART VERB PRON ADV ADV ADV DET NOUN PART VERB PROPN ADJ NOUN	▁The ▁Syrian ▁episode ▁suggests ▁that ▁it ▁can ▁not , ▁which ▁means ▁that ▁Israel ▁may ▁decide ▁to ▁go ▁it ▁alone ▁once ▁again , ▁this ▁time ▁to ▁eliminate ▁Iran ' s ▁nuclear ▁facilities .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADP PRON VERB ADV ADV ADJ VERB ADP PROPN VERB VERB PART VERB PRON ADV ADV ADV ADV DET NOUN PART VERB PROPN PROPN PROPN ADJ NOUN NOUN
Wherever possible, though, he recommends turning to family and friends for emotional help with the problem, rather than going it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	inflection	ADV ADJ ADV PRON VERB VERB ADP NOUN CCONJ NOUN ADP ADJ NOUN ADP DET NOUN ADV ADP VERB PRON ADV	▁Where ver ▁possible , ▁though , ▁he ▁recommends ▁turning ▁to ▁family ▁and ▁friends ▁for ▁emotion al ▁help ▁with ▁the ▁problem , ▁rather ▁than ▁going ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV ADJ ADJ ADV ADV PRON VERB VERB ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN ADP DET NOUN NOUN ADV ADP VERB PRON ADV ADV
Elliott told to go it alone in injury row	0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	PROPN VERB PART VERB PRON ADV ADP NOUN NOUN	▁Elliot t ▁told ▁to ▁go ▁it ▁alone ▁in ▁injury ▁row	0 0 0 0 1 1 1 0 0 0	PROPN PROPN VERB PART VERB PRON ADV ADP NOUN NOUN
You 're going it alone.	0 0 1 1 1	go it alone	figurative	inflection	PRON VERB VERB PRON ADJ	▁You ▁' re ▁going ▁it ▁alone .	0 0 0 1 1 1 1	PRON VERB VERB VERB PRON ADJ ADJ
They decided to go it alone.	0 0 0 1 1 1	go it alone	figurative	identical	PRON VERB PART VERB PRON ADV	▁They ▁decided ▁to ▁go ▁it ▁alone .	0 0 0 1 1 1 1	PRON VERB PART VERB PRON ADV ADV
By now the time had come for me to hand back to these women responsibility to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADP ADV DET NOUN VERB VERB ADP PRON PART VERB ADV ADP DET NOUN NOUN PART VERB PRON ADV	▁By ▁now ▁the ▁time ▁had ▁come ▁for ▁me ▁to ▁hand ▁back ▁to ▁these ▁women ▁responsibility ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP ADV DET NOUN VERB VERB ADP PRON PART VERB ADV ADP DET NOUN NOUN PART VERB PRON ADV ADV
Elderly people and their families who wish to ' go it alone, so far as obtaining outside help is concerned are, of course, quite at liberty to do so, and four of the large organisations who can give advice on a great variety of problems are :	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	ADJ NOUN CCONJ ADJ NOUN NOUN VERB PART PUNCT VERB PRON ADV ADV ADV ADP VERB ADJ NOUN VERB VERB VERB ADP NOUN ADV ADP NOUN PART VERB ADV CCONJ NUM ADP DET ADJ NOUN NOUN VERB VERB NOUN ADP DET ADJ NOUN ADP NOUN VERB PUNCT	▁Elderly ▁people ▁and ▁their ▁families ▁who ▁wish ▁to ▁' ▁go ▁it ▁alone , ▁so ▁far ▁as ▁obtaining ▁outside ▁help ▁is ▁concerned ▁are , ▁of ▁course , ▁quite ▁at ▁liberty ▁to ▁do ▁so , ▁and ▁four ▁of ▁the ▁large ▁organisations ▁who ▁can ▁give ▁advice ▁on ▁a ▁great ▁variety ▁of ▁problems ▁are ▁ :	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN CCONJ ADJ NOUN NOUN VERB PART PUNCT VERB PRON ADV ADV ADV ADV ADP VERB ADJ NOUN VERB VERB VERB VERB ADP NOUN NOUN ADV ADP NOUN PART VERB ADV ADV CCONJ NUM ADP DET ADJ NOUN NOUN VERB VERB NOUN ADP DET ADJ NOUN ADP NOUN VERB PUNCT PUNCT
Millions go it alone	0 1 1 1	go it alone	figurative	identical	NOUN VERB PRON ADV	▁Million s ▁go ▁it ▁alone	0 0 1 1 1	NOUN NOUN VERB PRON ADV
And going it alone in this kind of way increases the risks as well as limiting choice.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	CCONJ VERB PRON ADV ADP DET NOUN ADP NOUN VERB DET NOUN ADV ADV ADP VERB NOUN	▁And ▁going ▁it ▁alone ▁in ▁this ▁kind ▁of ▁way ▁increases ▁the ▁risks ▁as ▁well ▁as ▁limiting ▁choice .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ VERB PRON ADV ADP DET NOUN ADP NOUN VERB DET NOUN ADV ADV ADP VERB NOUN NOUN
