To my mind we 've gone overboard on fitness.	0 0 0 0 0 1 1 0 0	go overboard	figurative	inflection	ADP ADJ NOUN PRON VERB VERB ADV ADP NOUN	▁To ▁my ▁mind ▁we ▁' ve ▁gone ▁over board ▁on ▁fitness .	0 0 0 0 0 0 1 1 1 0 0 0	ADP ADJ NOUN PRON VERB VERB VERB ADV ADV ADP NOUN NOUN
Don't go overboard with it, or your owner won't thank you.	0 1 1 0 0 0 0 0 0 0 0	go overboard	figurative	identical	VERB VERB ADV ADP PRON CCONJ ADJ NOUN VERB VERB PRON	▁Don ' t ▁go ▁over board ▁with ▁it , ▁or ▁your ▁owner ▁won ' t ▁thank ▁you .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB VERB ADV ADV ADP PRON PRON CCONJ ADJ NOUN VERB VERB VERB VERB PRON PRON
Yes I know I 'm going overboard but I was impressed.	0 0 0 0 0 1 1 0 0 0 0	go overboard	figurative	inflection	INTJ PRON VERB PRON VERB VERB ADV CCONJ PRON VERB ADJ	▁Yes ▁I ▁know ▁I ▁' m ▁going ▁over board ▁but ▁I ▁was ▁impress ed .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	INTJ PRON VERB PRON VERB VERB VERB ADV ADV CCONJ PRON VERB ADJ ADJ ADJ
But Hugh Dykes, MP for Harrow East, said : ‘ I hope politicians will not go overboard and seek to bring in tough laws to curb the press.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	identical	CCONJ PROPN PROPN PROPN ADP PROPN PROPN VERB PUNCT PUNCT PRON VERB NOUN VERB ADV VERB ADV CCONJ VERB PART VERB PART ADJ NOUN PART VERB DET NOUN	▁But ▁Hugh ▁D yke s , ▁MP ▁for ▁H arrow ▁East , ▁said ▁ : ▁ ‘ ▁I ▁hope ▁politician s ▁will ▁not ▁go ▁over board ▁and ▁seek ▁to ▁bring ▁in ▁tough ▁laws ▁to ▁curb ▁the ▁press .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PRON VERB NOUN NOUN VERB ADV VERB ADV ADV CCONJ VERB PART VERB PART ADJ NOUN PART VERB DET NOUN NOUN
It went overboard into the sea. "	0 1 1 0 0 0 0	go overboard	literal	inflection	PRON VERB ADV ADP DET NOUN PUNCT	▁It ▁went ▁over board ▁into ▁the ▁sea . ▁"	0 1 1 1 0 0 0 0 0	PRON VERB ADV ADV ADP DET NOUN NOUN PUNCT
Lee Morris, of Newbiggin, went overboard at about 3:50am some three miles east of Whitley Bay while the vessel Boy Peter, on which he was a crew member, was putting out nets.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	literal	inflection	PROPN PROPN ADP PROPN VERB ADV ADP ADP NOUN DET NUM NOUN ADV ADP PROPN PROPN ADP DET NOUN PROPN PROPN ADP ADJ PRON VERB DET NOUN NOUN VERB VERB PART NOUN	▁Le e ▁Morris , ▁of ▁New bi gg in , ▁went ▁over board ▁at ▁about ▁3: 50 am ▁some ▁three ▁miles ▁east ▁of ▁Whit ley ▁Bay ▁while ▁the ▁vessel ▁Boy ▁Peter , ▁on ▁which ▁he ▁was ▁a ▁crew ▁member , ▁was ▁putting ▁out ▁nets .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB ADV ADV ADP ADP NOUN NOUN NOUN DET NUM NOUN ADV ADP PROPN PROPN PROPN ADP DET NOUN PROPN PROPN PROPN ADP ADJ PRON VERB DET NOUN NOUN NOUN VERB VERB PART NOUN NOUN
yeah, something really, no don't go overboard	0 0 0 0 0 1 1	go overboard	figurative	identical	INTJ NOUN ADV INTJ VERB VERB ADV	▁ye ah , ▁something ▁really , ▁no ▁don ' t ▁go ▁over board	0 0 0 0 0 0 0 0 0 0 1 1 1	INTJ INTJ INTJ NOUN ADV ADV INTJ VERB VERB VERB VERB ADV ADV
Gifford had gone overboard a bit in the blues though …	0 0 1 1 0 0 0 0 0 0 0	go overboard	figurative	inflection	PROPN VERB VERB ADV DET NOUN ADP DET NOUN ADV PUNCT	▁G if ford ▁had ▁gone ▁over board ▁a ▁bit ▁in ▁the ▁blue s ▁though ▁...	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB ADV ADV DET NOUN ADP DET NOUN NOUN ADV PUNCT
On the other hand, talk to him about a book — like one that Gordon Jackson lent him — and he would go overboard about it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	go overboard	figurative	identical	ADP DET ADJ NOUN VERB ADP PRON ADP DET NOUN PUNCT ADP NUM ADJ PROPN PROPN VERB PRON PUNCT CCONJ PRON VERB VERB ADV ADP NOUN	▁On ▁the ▁other ▁hand , ▁talk ▁to ▁him ▁about ▁a ▁book ▁ — ▁like ▁one ▁that ▁G or don ▁Jackson ▁lent ▁him ▁ — ▁and ▁he ▁would ▁go ▁over board ▁about ▁it . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADP DET ADJ NOUN NOUN VERB ADP PRON ADP DET NOUN PUNCT PUNCT ADP NUM ADJ PROPN PROPN PROPN PROPN VERB PRON PUNCT PUNCT CCONJ PRON VERB VERB ADV ADV ADP NOUN NOUN NOUN
But I am not going to go overboard — I expect us to beat them. '	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	go overboard	figurative	identical	CCONJ PRON VERB ADV VERB PART VERB ADV PUNCT PRON VERB PRON PART VERB PRON PUNCT	▁But ▁I ▁am ▁not ▁going ▁to ▁go ▁over board ▁ — ▁I ▁expect ▁us ▁to ▁beat ▁them . ▁'	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADV VERB PART VERB ADV ADV PUNCT PUNCT PRON VERB PRON PART VERB PRON PRON PUNCT
Hunched in a remote and subordinate cranny of government — devising a rent bill at the Ministry of Housing and Local Government, as a matter of fact — I was not disposed to go overboard when our armed forces were launched into the attack in November ; but what on earth was intended to come out of it and how an occupation found untenable could be tenably restored and sustained by force was beyond the comprehension of this unmoved spectator.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go overboard	figurative	identical	VERB ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT VERB DET NOUN NOUN ADP DET PROPN ADP PROPN CCONJ ADJ PROPN ADP DET NOUN ADP NOUN PUNCT PRON VERB ADV VERB PART VERB ADV ADV ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN PUNCT CCONJ NOUN ADP NOUN VERB VERB PART VERB ADP ADP PRON CCONJ ADV DET NOUN VERB ADJ VERB VERB ADV VERB CCONJ VERB ADP NOUN VERB ADP DET NOUN ADP DET ADJ NOUN	▁Hun ched ▁in ▁a ▁remote ▁and ▁subordinate ▁c ran ny ▁of ▁government ▁ — ▁devis ing ▁a ▁rent ▁bill ▁at ▁the ▁Ministry ▁of ▁Housing ▁and ▁Local ▁Government , ▁as ▁a ▁matter ▁of ▁fact ▁ — ▁I ▁was ▁not ▁disposed ▁to ▁go ▁over board ▁when ▁our ▁armed ▁forces ▁were ▁launched ▁into ▁the ▁attack ▁in ▁November ▁ ; ▁but ▁what ▁on ▁earth ▁was ▁intended ▁to ▁come ▁out ▁of ▁it ▁and ▁how ▁an ▁occupation ▁found ▁un ten able ▁could ▁be ▁ten ably ▁restored ▁and ▁sustained ▁by ▁force ▁was ▁beyond ▁the ▁com pre hen sion ▁of ▁this ▁un mo ved ▁spect ator .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP DET ADJ CCONJ ADJ NOUN NOUN NOUN ADP NOUN PUNCT PUNCT VERB VERB DET NOUN NOUN ADP DET PROPN ADP PROPN CCONJ ADJ PROPN PROPN ADP DET NOUN ADP NOUN PUNCT PUNCT PRON VERB ADV VERB PART VERB ADV ADV ADV ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN PUNCT PUNCT CCONJ NOUN ADP NOUN VERB VERB PART VERB ADP ADP PRON CCONJ ADV DET NOUN VERB ADJ ADJ ADJ VERB VERB ADV ADV VERB CCONJ VERB ADP NOUN VERB ADP DET NOUN NOUN NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN
