Christ, he was going round in circles.	0 0 0 1 1 1 1	go round in circles	figurative	inflection	PROPN PRON VERB VERB ADV ADP NOUN	▁Christ , ▁he ▁was ▁going ▁round ▁in ▁circles .	0 0 0 0 1 1 1 1 1	PROPN PROPN PRON VERB VERB ADV ADP NOUN NOUN
We haven't quite got the hang of it, square houses and straight roads, with our little round huts and coracles we can only go round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	identical	PRON VERB ADV VERB DET NOUN ADP PRON ADJ NOUN CCONJ ADJ NOUN ADP ADJ ADJ ADJ NOUN CCONJ NOUN PRON VERB ADV VERB ADV ADP NOUN	▁We ▁have n ' t ▁quite ▁got ▁the ▁hang ▁of ▁it , ▁square ▁houses ▁and ▁straight ▁roads , ▁with ▁our ▁little ▁round ▁hu ts ▁and ▁co racle s ▁we ▁can ▁only ▁go ▁round ▁in ▁circles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB VERB ADV VERB DET NOUN ADP PRON PRON ADJ NOUN CCONJ ADJ NOUN NOUN ADP ADJ ADJ ADJ NOUN NOUN CCONJ NOUN NOUN NOUN PRON VERB ADV VERB ADV ADP NOUN NOUN
press for action to make sure people don't waste time or go round in circles	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	identical	NOUN ADP NOUN PART VERB ADJ NOUN VERB VERB NOUN CCONJ VERB ADV ADP NOUN	▁press ▁for ▁action ▁to ▁make ▁sure ▁people ▁don ' t ▁waste ▁time ▁or ▁go ▁round ▁in ▁circles	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN ADP NOUN PART VERB ADJ NOUN VERB VERB VERB VERB NOUN CCONJ VERB ADV ADP NOUN
We debated hopelessly, going round in ever decreasing circles : the Alps too crowded, the Himalaya too frightening.	0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0	go round in circles	figurative	combined-inflection	PRON VERB ADV VERB ADV ADP ADV VERB NOUN PUNCT DET PROPN ADV VERB DET PROPN ADV ADJ	▁We ▁debated ▁hope lessly , ▁going ▁round ▁in ▁ever ▁decreasing ▁circles ▁ : ▁the ▁Alps ▁too ▁crowd ed , ▁the ▁Hi mal aya ▁too ▁f right ening .	0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV ADV VERB ADV ADP ADV VERB NOUN PUNCT PUNCT DET PROPN ADV VERB VERB VERB DET PROPN PROPN PROPN ADV ADJ ADJ ADJ ADJ
stop going round in circles	0 1 1 1 1	go round in circles	figurative	inflection	VERB VERB ADV ADP NOUN	▁stop ▁going ▁round ▁in ▁circles	0 1 1 1 1	VERB VERB ADV ADP NOUN
Meetings are infamous for getting stuck and going round in circles.	0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	inflection	NOUN VERB ADJ ADP VERB ADJ CCONJ VERB ADV ADP NOUN	▁Meetings ▁are ▁in f am ous ▁for ▁gett ing ▁stuck ▁and ▁going ▁round ▁in ▁circles .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN VERB ADJ ADJ ADJ ADJ ADP VERB VERB ADJ CCONJ VERB ADV ADP NOUN NOUN
I 'm going round in circles here, I know, that's why I bought the refill for, that's what I 'm saying I don't know what the other one is,	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB VERB ADV ADP NOUN ADV PRON VERB DET ADV PRON VERB DET NOUN ADP DET NOUN PRON VERB VERB PRON VERB VERB NOUN DET ADJ NOUN VERB	▁I ▁' m ▁going ▁round ▁in ▁circles ▁here , ▁I ▁know , ▁that ' s ▁why ▁I ▁bought ▁the ▁refill ▁for , ▁that ' s ▁what ▁I ▁' m ▁saying ▁I ▁don ' t ▁know ▁what ▁the ▁other ▁one ▁is ,	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADV ADP NOUN ADV ADV PRON VERB VERB DET DET DET ADV PRON VERB DET NOUN ADP ADP DET DET DET NOUN PRON VERB VERB VERB PRON VERB VERB VERB VERB NOUN DET ADJ NOUN VERB VERB
So the numbers go round in a circle one, two, three, four, five, six, buzz, eight, nine, ten, eleven, twelve, thirteen, buzz, fifteen, sixteen, buzz, eighteen, nineteen, twenty, buzz, twenty two, twenty three, twenty four, twenty five, twenty six, buzz, buzz, twenty nine, thirty.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	literal	combined-inflection	ADV DET NOUN VERB ADV ADP DET NOUN NUM NUM NUM NUM NUM NUM NOUN NUM NUM NUM NUM NUM NUM NOUN NUM NUM NOUN NUM NUM NUM NOUN NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NOUN NOUN NUM NUM NUM	▁So ▁the ▁numbers ▁go ▁round ▁in ▁a ▁circle ▁one , ▁two , ▁three , ▁four , ▁five , ▁six , ▁bu zz , ▁eight , ▁nine , ▁ten , ▁eleven , ▁twelve , ▁thirteen , ▁bu zz , ▁fifteen , ▁sixteen , ▁bu zz , ▁eighteen , ▁nine te en , ▁twenty , ▁bu zz , ▁twenty ▁two , ▁twenty ▁three , ▁twenty ▁four , ▁twenty ▁five , ▁twenty ▁six , ▁bu zz , ▁bu zz , ▁twenty ▁nine , ▁thirty .	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET NOUN VERB ADV ADP DET NOUN NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NOUN NOUN NOUN NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NOUN NOUN NOUN NUM NUM NUM NUM NOUN NOUN NOUN NUM NUM NUM NUM NUM NUM NUM NUM NOUN NOUN NOUN NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NOUN NOUN NOUN NOUN NOUN NOUN NUM NUM NUM NUM NUM
‘ I was going to say if we carve notches on the Trees, at least we shan't go round in circles,’ said Floy, grinning.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	go round in circles	figurative	dashes	PUNCT PRON VERB VERB PART VERB ADP PRON VERB NOUN ADP DET PROPN ADP ADJ PRON VERB VERB ADV ADP NOUN VERB PROPN VERB	▁ ‘ ▁I ▁was ▁going ▁to ▁say ▁if ▁we ▁car ve ▁not ches ▁on ▁the ▁Tre es , ▁at ▁least ▁we ▁ shan ' t ▁go ▁round ▁in ▁circles , ’ ▁said ▁Flo y , ▁gr in ning .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PART VERB ADP PRON VERB VERB NOUN NOUN ADP DET PROPN PROPN PROPN ADP ADJ PRON VERB VERB VERB VERB VERB ADV ADP NOUN NOUN NOUN VERB PROPN PROPN PROPN VERB VERB VERB VERB
Well it does go round in circles they see don't they?	0 0 0 1 1 1 1 0 0 0 0	go round in circles	figurative	identical	INTJ PRON VERB VERB ADV ADP NOUN PRON VERB VERB PRON	▁Well ▁it ▁does ▁go ▁round ▁in ▁circles ▁they ▁see ▁don ' t ▁they ?	0 0 0 1 1 1 1 0 0 0 0 0 0 0	INTJ PRON VERB VERB ADV ADP NOUN PRON VERB VERB VERB VERB PRON PRON
Then, exasperated by her own confusion, and the fact that they seemed to be going round in circles, Ellie demanded, ‘ Feargal, just tell me what it is you want to know — what, in fact, we 're supposed to be talking about!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	ADV VERB ADP ADJ ADJ NOUN CCONJ DET NOUN ADP PRON VERB PART VERB VERB ADV ADP NOUN PROPN VERB PUNCT PROPN ADV VERB PRON NOUN PRON VERB PRON VERB PART VERB PUNCT NOUN ADP NOUN PRON VERB VERB PART VERB VERB ADP	▁Then , ▁ex as per ated ▁by ▁her ▁own ▁confusion , ▁and ▁the ▁fact ▁that ▁they ▁seemed ▁to ▁be ▁going ▁round ▁in ▁circles , ▁El lie ▁demanded , ▁ ‘ ▁F ear gal , ▁just ▁tell ▁me ▁what ▁it ▁is ▁you ▁want ▁to ▁know ▁ — ▁what , ▁in ▁fact , ▁we ▁' re ▁supposed ▁to ▁be ▁talking ▁about ! ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV VERB VERB VERB VERB ADP ADJ ADJ NOUN NOUN CCONJ DET NOUN ADP PRON VERB PART VERB VERB ADV ADP NOUN NOUN PROPN PROPN VERB VERB PUNCT PUNCT PROPN PROPN PROPN PROPN ADV VERB PRON NOUN PRON VERB PRON VERB PART VERB PUNCT PUNCT NOUN NOUN ADP NOUN NOUN PRON VERB VERB VERB PART VERB VERB ADP ADP ADP
