‘ Someone's really let this lot go to seed.’	0 0 0 0 0 0 1 1 1	go to seed	figurative	dashes	PUNCT NOUN ADV VERB DET NOUN VERB ADP NUM
‘ Looks somewhat gone to seed.’	0 0 0 1 1 1	go to seed	figurative	combined-inflection	PUNCT VERB ADV VERB ADP NUM
It's gone to seed now ; each loose pane pitted	0 1 1 1 0 0 0 0 0 0	go to seed	figurative	inflection	PRON VERB PART NOUN ADV PUNCT DET ADJ NOUN VERB
Onions, left to go to seed, displayed magnificent fluffy heads, and a host of chirruping birds fluttered excitedly about the varied riches of the wilderness.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go to seed	figurative	identical	NOUN VERB PART VERB ADP NOUN VERB ADJ ADJ NOUN CCONJ DET NOUN ADP VERB NOUN VERB ADV ADP DET ADJ NOUN ADP DET NOUN
Many were dressed in fatigues ; some, with unkempt hair and pot - bellies, looked as if they had started to go to seed long ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	go to seed	figurative	identical	ADJ VERB VERB ADP NOUN PUNCT DET ADP ADJ NOUN CCONJ NOUN PUNCT NOUN VERB ADP ADP PRON VERB VERB PART VERB ADP NOUN ADV ADV
The area had been going to seed for many years after the ship chandlers who once thrived there went one by one out of business.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go to seed	figurative	inflection	DET NOUN VERB VERB VERB PART VERB ADP ADJ NOUN ADP DET NOUN NOUN NOUN ADV VERB ADV VERB NUM ADP NUM ADP ADP NOUN
At the same time, a drought affected the area, and heliotrope had time to grow and go to seed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go to seed	figurative	identical	ADP DET ADJ NOUN DET NOUN VERB DET NOUN CCONJ NOUN VERB NOUN PART VERB CCONJ VERB ADP NOUN
Going to seed	1 1 1	go to seed	literal	combined-inflection	VERB PART VERB
even after his marriage, to mow the lawn ; it gave her so little enjoyment that Clara wondered why she did not let it go to seed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go to seed	literal	identical	ADV ADP ADJ NOUN PART VERB DET NOUN PUNCT PRON VERB PRON ADV ADJ NOUN ADJ PROPN VERB ADV PRON VERB ADV VERB PRON VERB ADP NOUN
He lifted his nose, like a gone - to - seed beagle.	0 0 0 0 0 0 1 0 1 0 1 0	go to seed	figurative	combined-inflection	PRON VERB ADJ NOUN ADP DET VERB PUNCT ADP PUNCT NOUN NOUN
Betty would probably rather be in the Dordogne, but she was here making sure that Lydia didn't lay violent hands on herself in the profundity of her misery, or let herself go to seed in the spiritless fashion of an old thistle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	go to seed	figurative	identical	PROPN VERB ADV ADV VERB ADP DET PROPN CCONJ PRON VERB ADV VERB ADJ ADP PROPN VERB VERB ADJ NOUN ADP PRON ADP DET NOUN ADP ADJ NOUN CCONJ VERB PRON VERB ADP NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN
