Oh go up in smoke.	0 1 1 1 1	go up in smoke	figurative	identical	INTJ VERB PART ADP NOUN
‘ We haven't worked all these months to have it go up in smoke now,’ he said.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	go up in smoke	figurative	identical	PUNCT PRON VERB VERB ADJ DET NOUN PART VERB PRON VERB PART ADP NOUN ADV PRON VERB
A companion volume, Blades Trivia ( surely the club's entire history? ), asks how Leeds United's hopes of a win went up in smoke when Steve Cammack scored a late equaliser on April Fools ' Day 1975.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	inflection	DET NOUN NOUN PROPN PROPN PUNCT ADV DET NOUN ADJ NOUN PUNCT VERB ADV PROPN PROPN NOUN ADP DET NOUN VERB PART ADP NOUN ADV PROPN PROPN VERB DET ADJ NOUN ADP PROPN PROPN PART PROPN NUM
Before she could throw the water into the wastepaper basket, the reports had gone up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	ADP PRON VERB VERB DET NOUN ADP DET NOUN NOUN DET NOUN VERB VERB PART ADP NOUN
The talks collapsed on Feb. 7, Seoul radio commenting that the idea of a single team had " gone up in smoke ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	go up in smoke	figurative	inflection	DET NOUN VERB ADP PROPN NUM PROPN NOUN VERB ADP DET NOUN ADP DET ADJ NOUN VERB PUNCT VERB PART ADP NOUN PUNCT
FRINGE BENEFITS Colin Ward watches the allotment bonfire going up in smoke	0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	NOUN NOUN PROPN PROPN VERB DET NOUN NOUN VERB PART ADP NOUN
They are the result of a survey in the wake of statistics which revealed that a quarter of a billion pounds goes up in smoke each year as part of Belfast's annual energy bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP NOUN ADJ VERB ADP DET NOUN ADP DET NUM NOUN VERB PART ADP NOUN DET NOUN ADP NOUN ADP PROPN ADJ NOUN NOUN
‘ It is terribly distressing to watch hundreds of years of history going up in smoke,’ she said.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	go up in smoke	figurative	combined-inflection	PUNCT PRON VERB ADV ADJ PART VERB NOUN ADP NOUN ADP NOUN VERB PART ADP NOUN PRON VERB
‘ Matron will go up in smoke if he doesn't.’	0 0 0 1 1 1 1 0 0 0	go up in smoke	figurative	identical	PUNCT PROPN VERB VERB PART ADP NOUN ADP PRON VERB
Aaron Hicklin, in Mostar ( left ), learns how a beautiful mountain region in Bosnia - Herzegovina is co - existing with war after generations of rural tranquillity Centuries of peace go up in smoke	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	identical	PROPN PROPN ADP PROPN PUNCT VERB PUNCT VERB ADV DET ADJ NOUN NOUN ADP PROPN PUNCT PROPN VERB NOUN PUNCT VERB ADP NOUN ADP NOUN ADP ADJ NOUN PROPN ADP NOUN VERB PART ADP NOUN
Jones, still only 30, already had a reputation as an experienced seaman and he began his new career by capturing several British ships in the Irish Sea, but his announcement that he intended to raid Whitehaven in Cumberland and burn the vessels moored there nearly provoked a mutiny, for his crew, already disgruntled that so many ships had been sunk instead of seized, saw their prospect of prize money once again going up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	PROPN ADV ADV NUM ADV VERB DET NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADJ ADJ NOUN ADP VERB ADJ ADJ NOUN ADP DET PROPN PROPN CCONJ ADJ NOUN ADP PRON VERB PART VERB PROPN ADP PROPN CCONJ VERB DET NOUN VERB ADV ADV VERB DET NOUN ADP ADJ NOUN ADV VERB ADP ADV ADJ NOUN VERB VERB VERB ADV ADP VERB VERB ADJ NOUN ADP NOUN NOUN ADV ADV VERB PART ADP NOUN
