Going west :	1 1 0	go west	literal	combined-inflection	VERB NOUN PUNCT
The train going west to Prague was empty and unheated, and arrived two hours late at a different station ; but the weather in Bohemia was a few days ahead of Olomouc and the capital was clear and bright.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go west	literal	inflection	DET NOUN VERB NOUN ADP PROPN VERB ADJ CCONJ ADJ CCONJ VERB NUM NOUN ADV ADP DET ADJ NOUN PUNCT CCONJ DET NOUN ADP PROPN VERB DET ADJ NOUN ADV ADP PROPN CCONJ DET NOUN VERB ADJ CCONJ ADJ
Take the wide path to the right signed Brandon Common and go north - west across the moor to the gate.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	go west	literal	combined-other	VERB DET ADJ NOUN ADP DET NOUN VERB PROPN PROPN CCONJ VERB NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN
Going west, the vineyards on the right bank, from Mareuil towards Dormans, have an excellent south - facing aspect and far outmatch in terms of quality the north - facing, left bank vineyards of Mardeuil, Boursault, etc.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go west	literal	combined-inflection	VERB ADV DET NOUN ADP DET ADJ NOUN ADP PROPN ADP PROPN VERB DET ADJ NOUN PUNCT VERB NOUN CCONJ ADV VERB ADP NOUN ADP NOUN DET NOUN PUNCT NOUN VERB NOUN NOUN ADP PROPN PROPN X
It goes west along the river Humber before passing north around the western edge of the Yorkshire Wolds.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go west	literal	inflection	PRON VERB ADV ADP DET NOUN PROPN ADP VERB ADV ADP DET ADJ NOUN ADP DET PROPN PROPN
We 'll go west.	0 0 1 1	go west	literal	identical	PRON VERB VERB ADV
With the formation of the East Lincolnshire Railway Company in 1848, Louth became an important junction, for in 1874, together with other branch lines, it became like the hub of a wheel, with its main line from Grimsby to Boston, Spalding and Peterborough running north and south, the branch going south - east to Sutton on Sea, Mablethorpe and Skegness, and the Louth - Bardney branch going west through the Lincolnshire Wolds towards Bardney and Lincoln.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	go west	literal	inflection	ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN ADP NUM PROPN VERB DET ADJ NOUN ADP ADP NUM ADV ADP ADJ NOUN NOUN PRON VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP PROPN ADP PROPN PROPN CCONJ PROPN VERB NOUN CCONJ ADV DET NOUN VERB ADJ PUNCT NOUN ADP PROPN ADP PROPN PROPN CCONJ PROPN CCONJ DET PROPN PUNCT PROPN NOUN VERB ADV ADP DET PROPN PROPN ADP PROPN CCONJ PROPN
I suppose it's all East if you go that far West.	0 0 0 0 0 0 0 1 0 0 1	go west	literal	combined-other	PRON VERB PRON DET PROPN ADP PRON VERB ADP ADV PROPN
The full quota of how many and whose scripts went west in this rethink will probably never be known.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	go west	figurative	inflection	DET ADJ NOUN ADP ADV ADJ CCONJ ADJ NOUN VERB ADV ADP DET NOUN VERB ADV ADV VERB VERB
Go west into Wales.	1 1 0 0	go west	literal	case	VERB ADV ADP PROPN
At the same time, though, there are more people who can, perhaps for the first time since 1967, imagine that the Jews could go west, back into the green line, or into new borders adjusted to rid themselves of their Palestinian burden.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go west	literal	identical	ADP DET ADJ NOUN ADV ADV VERB ADJ NOUN NOUN VERB ADV ADP DET ADJ NOUN ADP NUM VERB ADP DET PROPN VERB VERB ADV ADV ADP DET ADJ NOUN CCONJ ADP ADJ NOUN VERB PART VERB PRON ADP ADJ ADJ NOUN
Is that going west is it, or east?	0 0 1 1 0 0 0 0	go west	literal	inflection	VERB DET VERB NOUN VERB PRON CCONJ NOUN
U-20 title goes west	0 0 1 1	go west	literal	inflection	PROPN NOUN VERB NOUN
At the same time, though, there are more people who can, perhaps for the first time since 1967, imagine that the Jews could go west, back into the green line, or into new borders adjusted to rid themselves of their Palestinian burden.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go west	literal	identical	ADP DET ADJ NOUN ADV ADV VERB ADJ NOUN NOUN VERB ADV ADP DET ADJ NOUN ADP NUM VERB ADP DET PROPN VERB VERB ADV ADV ADP DET ADJ NOUN CCONJ ADP ADJ NOUN VERB PART VERB PRON ADP ADJ ADJ NOUN
Previous work centred on his adopted Gloucestershire encouraged the city boy gone west to expand his ideas	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	go west	literal	inflection	ADJ NOUN VERB ADP ADJ VERB PROPN VERB DET NOUN NOUN VERB ADV PART VERB ADJ NOUN
Big guns go west without Barnes	0 0 1 1 0 0	go west	literal	identical	ADJ NOUN VERB ADV ADP PROPN
‘ You go west, I 'll go north.’	0 0 1 1 0 0 0 0	go west	literal	identical	PUNCT PRON VERB ADV PRON VERB VERB PROPN
At the same time, most of the gentry — and especially the sea - going west country gentry — were staunchly Protestant, staunchly loyal to Elizabeth, and determined that she should not be lured back to Rome.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go west	literal	inflection	ADP DET ADJ NOUN ADJ ADP DET NOUN PUNCT CCONJ ADV DET NOUN PUNCT VERB ADJ NOUN NOUN PUNCT VERB ADV ADJ ADV ADJ ADP PROPN CCONJ VERB ADP PRON VERB ADV VERB VERB ADV ADP PROPN
AS SOME 7,000 exhausted but happy East Germans arrived in West Germany on special trains early yesterday, hundreds who missed the trains joined the queue to go west at embassies in Prague and Warsaw.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	go west	literal	identical	ADP DET NUM ADJ CCONJ ADJ PROPN PROPN VERB ADP PROPN PROPN ADP ADJ NOUN ADJ NOUN NOUN NOUN VERB DET NOUN VERB DET NOUN PART VERB NOUN ADP NOUN ADP PROPN CCONJ PROPN
