And up to now, you 've had to quit or grin and bear it.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	CCONJ ADP ADP ADV PRON VERB VERB PART VERB CCONJ VERB CCONJ VERB PRON	▁And ▁up ▁to ▁now , ▁you ▁' ve ▁had ▁to ▁qui t ▁or ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	CCONJ ADP ADP ADV ADV PRON VERB VERB VERB PART VERB VERB CCONJ VERB VERB CCONJ VERB PRON PRON
There was no alternative but to grin and bear it.	0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	ADV VERB DET NOUN CCONJ PART VERB CCONJ VERB PRON	▁There ▁was ▁no ▁alternative ▁but ▁to ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 1 1 1 1 1 1	ADV VERB DET NOUN CCONJ PART VERB VERB CCONJ VERB PRON PRON
Blonde Joanne had to grin and bear it when actor boyfriend Tony Scannell, who stars as Ted in The Bill, whooped it up on one of his fun nights at Stringfellows in London.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	PROPN PROPN VERB PART VERB CCONJ VERB PRON ADV NOUN NOUN PROPN PROPN NOUN VERB ADP PROPN ADP DET PROPN VERB PRON PART ADP NUM ADP ADJ ADJ NOUN ADP NOUN ADP PROPN	▁B lon de ▁Jo anne ▁had ▁to ▁gr in ▁and ▁bear ▁it ▁when ▁act or ▁boy fri end ▁To ny ▁Sca nn ell , ▁who ▁stars ▁as ▁T ed ▁in ▁The ▁Bill , ▁who op ed ▁it ▁up ▁on ▁one ▁of ▁his ▁fun ▁night s ▁at ▁Str ing fel low s ▁in ▁London .	0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB PART VERB VERB CCONJ VERB PRON ADV NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB ADP PROPN PROPN ADP DET PROPN PROPN VERB VERB VERB PRON PART ADP NUM ADP ADJ ADJ NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN ADP PROPN PROPN
I think the few of us on this list who have our reservations about Sgt Wilko are going to have to ‘ grin and bear it’, because in my opinion he's going nowhere.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	grin and bear it	figurative	dashes	PRON VERB DET ADJ ADP PRON ADP DET NOUN NOUN VERB ADJ NOUN ADP PROPN NOUN VERB VERB PART VERB PART PUNCT NOUN CCONJ VERB NOUN ADP ADP ADJ NOUN PRON VERB ADV	▁I ▁think ▁the ▁few ▁of ▁us ▁on ▁this ▁list ▁who ▁have ▁our ▁reservations ▁about ▁S gt ▁Wil ko ▁are ▁going ▁to ▁have ▁to ▁ ‘ ▁gr in ▁and ▁bear ▁it ’ , ▁because ▁in ▁my ▁opinion ▁he ' s ▁going ▁nowhere .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ ADP PRON ADP DET NOUN NOUN VERB ADJ NOUN ADP PROPN PROPN NOUN NOUN VERB VERB PART VERB PART PUNCT PUNCT NOUN NOUN CCONJ VERB NOUN NOUN NOUN ADP ADP ADJ NOUN PRON PRON PRON VERB ADV ADV
Well we 've, we just have to er, grin and bear it.	0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	INTJ PRON VERB PRON ADV VERB PART INTJ VERB CCONJ VERB PRON	▁Well ▁we ▁' ve , ▁we ▁just ▁have ▁to ▁er , ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	INTJ PRON VERB VERB VERB PRON ADV VERB PART INTJ INTJ VERB VERB CCONJ VERB PRON PRON
The vast majority of officers learned to grin and bear it.	0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	DET ADJ NOUN ADP NOUN VERB PART VERB CCONJ VERB PRON	▁The ▁vast ▁majority ▁of ▁officers ▁learned ▁to ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 0 1 1 1 1 1 1	DET ADJ NOUN ADP NOUN VERB PART VERB VERB CCONJ VERB PRON PRON
Oh it is now yes, you 've got, I mean you 've got the service now haven't you and erm, but I like at St Margaret's hospital I 'd been, I had been, I went in there to have my last boy, but they 're very, very good there they were, I 've not been in, I 've been in, I 've had treatment here for my hip and that up at Harlow but they wouldn't do the operation because of my blood clotting you see, so therefore I 've got to grin and bear it, I 've had eight years of it, I couldn't walk for six months, but now I struggle and get around as I say with a couple of sticks I get round	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	INTJ PRON VERB ADV INTJ PRON VERB VERB PRON VERB PRON VERB VERB DET NOUN ADV VERB PRON CCONJ INTJ CCONJ PRON VERB ADP PROPN PROPN NOUN PRON VERB VERB PRON VERB VERB PRON VERB ADV ADV PART VERB ADJ ADJ NOUN CCONJ PRON VERB ADV ADV ADJ ADV PRON VERB PRON VERB ADV VERB ADV PRON VERB VERB ADV PRON VERB VERB NOUN ADV ADP ADJ NOUN CCONJ DET PART ADP PROPN CCONJ PRON VERB VERB DET NOUN ADP ADP ADJ NOUN NOUN PRON VERB ADV ADV PRON VERB VERB PART VERB CCONJ VERB PRON PRON VERB VERB NUM NOUN ADP PRON PRON VERB VERB ADP NUM NOUN CCONJ ADV PRON VERB CCONJ VERB PART ADP PRON VERB ADP DET NOUN ADP NOUN PRON VERB ADJ	▁O h ▁it ▁is ▁now ▁yes , ▁you ▁' ve ▁got , ▁I ▁mean ▁you ▁' ve ▁got ▁the ▁service ▁now ▁have n ' t ▁you ▁and ▁er m , ▁but ▁I ▁like ▁at ▁St ▁Mar gar et ' s ▁hospital ▁I ▁' d ▁been , ▁I ▁had ▁been , ▁I ▁went ▁in ▁there ▁to ▁have ▁my ▁last ▁boy , ▁but ▁they ▁' re ▁very , ▁very ▁good ▁there ▁they ▁were , ▁I ▁' ve ▁not ▁been ▁in , ▁I ▁' ve ▁been ▁in , ▁I ▁' ve ▁had ▁treatment ▁here ▁for ▁my ▁hip ▁and ▁that ▁up ▁at ▁Har low ▁but ▁they ▁would n ' t ▁do ▁the ▁operation ▁because ▁of ▁my ▁blood ▁clott ing ▁you ▁see , ▁so ▁therefore ▁I ▁' ve ▁got ▁to ▁gr in ▁and ▁bear ▁it , ▁I ▁' ve ▁had ▁eight ▁years ▁of ▁it , ▁I ▁could n ' t ▁walk ▁for ▁six ▁months , ▁but ▁now ▁I ▁struggle ▁and ▁get ▁around ▁as ▁I ▁say ▁with ▁a ▁couple ▁of ▁sticks ▁I ▁get ▁round	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB ADV INTJ INTJ PRON VERB VERB VERB VERB PRON VERB PRON VERB VERB VERB DET NOUN ADV VERB VERB VERB VERB PRON CCONJ INTJ INTJ INTJ CCONJ PRON VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN PRON VERB VERB VERB VERB PRON VERB VERB VERB PRON VERB ADV ADV PART VERB ADJ ADJ NOUN NOUN CCONJ PRON VERB VERB ADV ADV ADV ADJ ADV PRON VERB VERB PRON VERB VERB ADV VERB ADV ADV PRON VERB VERB VERB ADV ADV PRON VERB VERB VERB NOUN ADV ADP ADJ NOUN CCONJ DET PART ADP PROPN PROPN CCONJ PRON VERB VERB VERB VERB VERB DET NOUN ADP ADP ADJ NOUN NOUN NOUN PRON VERB VERB ADV ADV PRON VERB VERB VERB PART VERB VERB CCONJ VERB PRON PRON PRON VERB VERB VERB NUM NOUN ADP PRON PRON PRON VERB VERB VERB VERB VERB ADP NUM NOUN NOUN CCONJ ADV PRON VERB CCONJ VERB PART ADP PRON VERB ADP DET NOUN ADP NOUN PRON VERB ADJ
Grin and bear it with Gazza	1 1 1 1 0 0	grin and bear it	figurative	case	VERB CCONJ VERB PRON ADP PROPN	▁Gr in ▁and ▁bear ▁it ▁with ▁Ga zza	1 1 1 1 1 0 0 0	VERB VERB CCONJ VERB PRON ADP PROPN PROPN
But she was not on the tour, so I had to grin and bear it.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	grin and bear it	figurative	identical	CCONJ PRON VERB ADV ADP DET NOUN CCONJ PRON VERB PART VERB CCONJ VERB PRON	▁But ▁she ▁was ▁not ▁on ▁the ▁to ur , ▁so ▁I ▁had ▁to ▁gr in ▁and ▁bear ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	CCONJ PRON VERB ADV ADP DET NOUN NOUN NOUN CCONJ PRON VERB PART VERB VERB CCONJ VERB PRON PRON
In the same way I was unable to do much else but grin and bear it when my then assistant chief constable ( crime ), Ken Oxford ( later to be the chief constable of Merseyside ) implicitly restated police concepts of correct bodily order, when he jokingly told a group of visiting journalists who had come to do a story on this wayward group of detectives, ‘ we pay him a plain clothes allowance you know’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grin and bear it	figurative	identical	ADP DET ADJ NOUN PRON VERB ADJ PART VERB ADJ ADV CCONJ VERB CCONJ VERB PRON ADV ADJ ADV ADJ ADJ NOUN PUNCT NOUN PUNCT PROPN PROPN PUNCT ADV PART VERB DET ADJ NOUN ADP PROPN PUNCT ADV VERB NOUN NOUN ADP ADJ ADJ NOUN ADV PRON ADV VERB DET NOUN ADP VERB NOUN NOUN VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PRON VERB PRON DET ADJ NOUN VERB PRON VERB	▁In ▁the ▁same ▁way ▁I ▁was ▁unable ▁to ▁do ▁much ▁else ▁but ▁gr in ▁and ▁bear ▁it ▁when ▁my ▁then ▁assistant ▁chief ▁con s table ▁( ▁crime ▁ ), ▁K en ▁Oxford ▁( ▁later ▁to ▁be ▁the ▁chief ▁con s table ▁of ▁Mer s ey side ▁ ) ▁implicitly ▁restated ▁police ▁concepts ▁of ▁correct ▁bo di ly ▁order , ▁when ▁he ▁jo king ly ▁told ▁a ▁group ▁of ▁visiting ▁journalists ▁who ▁had ▁come ▁to ▁do ▁a ▁story ▁on ▁this ▁way ward ▁group ▁of ▁detect ive s , ▁ ‘ ▁we ▁pay ▁him ▁a ▁plain ▁clothes ▁allowance ▁you ▁know ’ .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PRON VERB ADJ PART VERB ADJ ADV CCONJ VERB VERB CCONJ VERB PRON ADV ADJ ADV ADJ ADJ NOUN NOUN NOUN PUNCT NOUN PUNCT PUNCT PROPN PROPN PROPN PUNCT ADV PART VERB DET ADJ NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PUNCT PUNCT ADV VERB NOUN NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN ADV PRON ADV ADV ADV VERB DET NOUN ADP VERB NOUN NOUN VERB VERB PART VERB DET NOUN ADP DET ADJ ADJ NOUN ADP NOUN NOUN NOUN NOUN PUNCT PUNCT PRON VERB PRON DET ADJ NOUN VERB PRON VERB VERB VERB
I grin and bear it	0 1 1 1 1	grin and bear it	figurative	identical	PRON VERB CCONJ VERB PRON	▁I ▁gr in ▁and ▁bear ▁it	0 1 1 1 1 1	PRON VERB VERB CCONJ VERB PRON
