God worked hand in glove with the men who put apartheid in place.	0 0 1 1 1 0 0 0 0 0 0 0 0	hand in glove	figurative	identical	PROPN VERB NOUN PART NOUN ADP DET NOUN NOUN VERB NOUN ADP NOUN	▁God ▁worked ▁hand ▁in ▁g lov e ▁with ▁the ▁men ▁who ▁put ▁a partheid ▁in ▁place .	0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PROPN VERB NOUN PART NOUN NOUN NOUN ADP DET NOUN NOUN VERB NOUN NOUN ADP NOUN NOUN
Oil companies insist that exploitation can go hand - in - glove with caring for the environment, and have begun an intensive lobbying campaign to support the bill.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	dashes	NOUN NOUN VERB ADP NOUN VERB VERB NOUN PUNCT ADP PUNCT NOUN ADP VERB ADP DET NOUN CCONJ VERB VERB DET ADJ NOUN NOUN PART VERB DET NOUN	▁Oil ▁companies ▁insist ▁that ▁exploitation ▁can ▁go ▁hand ▁- ▁in ▁- ▁g lov e ▁with ▁caring ▁for ▁the ▁environment , ▁and ▁have ▁begun ▁an ▁intensive ▁lobb ying ▁campaign ▁to ▁support ▁the ▁bill .	0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADP NOUN VERB VERB NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP VERB ADP DET NOUN NOUN CCONJ VERB VERB DET ADJ NOUN NOUN NOUN PART VERB DET NOUN NOUN
Some British officials Muhammad Reza a weak Playboy " hand in glove with the German Legation ".	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	hand in glove	figurative	identical	DET ADJ NOUN PROPN VERB DET ADJ PROPN PUNCT NOUN PART NOUN ADP DET ADJ NOUN PUNCT	▁Some ▁British ▁officials ▁Muhammad ▁Re za ▁a ▁weak ▁Pla y bo y ▁" ▁hand ▁in ▁g lov e ▁with ▁the ▁German ▁L eg ation ▁" .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	DET ADJ NOUN PROPN VERB VERB DET ADJ PROPN PROPN PROPN PROPN PUNCT NOUN PART NOUN NOUN NOUN ADP DET ADJ NOUN NOUN NOUN PUNCT PUNCT
The dream that two ‘ half - a - persons’ can make a whole, fit ‘ hand in glove’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hand in glove	figurative	dashes	DET NOUN ADP NUM NUM ADJ PUNCT DET PUNCT NOUN VERB VERB DET ADJ VERB PUNCT NOUN ADP NOUN	▁The ▁dream ▁that ▁two ▁ ‘ ▁half ▁- ▁a ▁- ▁persons ’ ▁can ▁make ▁a ▁whole , ▁fit ▁ ‘ ▁hand ▁in ▁g lov e ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	DET NOUN ADP NUM NUM NUM ADJ PUNCT DET PUNCT NOUN NOUN VERB VERB DET ADJ ADJ VERB PUNCT PUNCT NOUN ADP NOUN NOUN NOUN NOUN NOUN
Most of the councillors seem to be hand in glove with each other ; you can't make any one of them speak to you, let alone give an interview.’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	identical	ADJ ADP DET NOUN VERB PART VERB NOUN PART NOUN ADP DET ADJ PUNCT PRON VERB VERB DET NUM ADP PRON VERB ADP PRON VERB ADV VERB DET NOUN	▁Most ▁of ▁the ▁councillor s ▁seem ▁to ▁be ▁hand ▁in ▁g lov e ▁with ▁each ▁other ▁ ; ▁you ▁can ' t ▁make ▁any ▁one ▁of ▁them ▁speak ▁to ▁you , ▁let ▁alone ▁give ▁an ▁interview . ’	0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET NOUN NOUN VERB PART VERB NOUN PART NOUN NOUN NOUN ADP DET ADJ PUNCT PUNCT PRON VERB VERB VERB VERB DET NUM ADP PRON VERB ADP PRON PRON VERB ADV VERB DET NOUN NOUN NOUN
Their hand - in - glove co - operation has destroyed the final pretence of army neutrality in eastern Bosnia.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	dashes	ADJ NOUN PUNCT ADP PUNCT NOUN NOUN PUNCT NOUN VERB VERB DET ADJ NOUN ADP NOUN NOUN ADP ADJ PROPN	▁The ir ▁hand ▁- ▁in ▁- ▁g lov e ▁co ▁- ▁operation ▁has ▁destroyed ▁the ▁final ▁pre tence ▁of ▁army ▁neutrality ▁in ▁eastern ▁Bosnia .	0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN PUNCT NOUN VERB VERB DET ADJ NOUN NOUN ADP NOUN NOUN ADP ADJ PROPN PROPN
Biff's whole right arm was encased in a flexible sleeve of slim sensor - studded steel hoops embedded in flexiplast, and his hand in a glove of the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	hand in glove	literal	insertion-determiner	PROPN ADJ ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP ADJ NOUN PUNCT VERB NOUN NOUN VERB ADP NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET ADJ	▁B iff ' s ▁whole ▁right ▁arm ▁was ▁en case d ▁in ▁a ▁flexible ▁sleeve ▁of ▁s lim ▁sensor ▁- ▁stud d ed ▁steel ▁ho op s ▁embedded ▁in ▁flex i plast , ▁and ▁his ▁hand ▁in ▁a ▁g lov e ▁of ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0	PROPN PROPN PROPN PROPN ADJ ADJ NOUN VERB VERB VERB VERB ADP DET ADJ NOUN ADP ADJ ADJ NOUN PUNCT VERB VERB VERB NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN CCONJ ADJ NOUN ADP DET NOUN NOUN NOUN ADP DET ADJ ADJ
As I identified a minute or two ago, our approach to computerizing accounting applications fits hand in glove with the concept of relational database.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	hand in glove	figurative	identical	ADP PRON VERB DET NOUN CCONJ NUM ADV ADJ NOUN ADP VERB NOUN NOUN VERB NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN	▁As ▁I ▁identified ▁a ▁minute ▁or ▁two ▁ago , ▁our ▁approach ▁to ▁computer izing ▁accounting ▁applications ▁fits ▁hand ▁in ▁g lov e ▁with ▁the ▁concept ▁of ▁relation al ▁database .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	ADP PRON VERB DET NOUN CCONJ NUM ADV ADV ADJ NOUN ADP VERB VERB NOUN NOUN VERB NOUN ADP NOUN NOUN NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN
Was he worried that she 'd finally found her proof that he was hand in glove with Harry Martin?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	hand in glove	figurative	identical	VERB PRON ADJ ADP PRON VERB ADV VERB ADJ NOUN ADP PRON VERB NOUN PART NOUN ADP PROPN PROPN	▁Was ▁he ▁worried ▁that ▁she ▁' d ▁finally ▁found ▁her ▁proof ▁that ▁he ▁was ▁hand ▁in ▁g lov e ▁with ▁H arry ▁Martin ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0	VERB PRON ADJ ADP PRON VERB VERB ADV VERB ADJ NOUN ADP PRON VERB NOUN PART NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN
Pacepa argued that Ceauşescu was hand - in - glove with Brezhnev and that the split between Romania and the Soviet Union was a deception agreed by both parties to cheat the West.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	dashes	PROPN VERB ADP PROPN VERB NOUN PUNCT ADP PUNCT NOUN ADP PROPN CCONJ ADP DET NOUN ADP PROPN CCONJ DET PROPN PROPN VERB DET NOUN VERB ADP DET NOUN PART VERB DET PROPN	▁P ace pa ▁argued ▁that ▁C eau ş escu ▁was ▁hand ▁- ▁in ▁- ▁g lov e ▁with ▁B rez hn ev ▁and ▁that ▁the ▁split ▁between ▁Romania ▁and ▁the ▁Soviet ▁Union ▁was ▁a ▁de ception ▁agreed ▁by ▁both ▁parties ▁to ▁che at ▁the ▁West .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB ADP PROPN PROPN PROPN PROPN VERB NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ ADP DET NOUN ADP PROPN CCONJ DET PROPN PROPN VERB DET NOUN NOUN VERB ADP DET NOUN PART VERB VERB DET PROPN PROPN
But the LDP worked hand in glove with Japan ’s deeply entrenched bureaucracy, of which the prosecutors are a part.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	hand in glove	figurative	identical	CCONJ DET PROPN VERB NOUN ADP NOUN ADP PROPN PROPN ADV ADJ NOUN ADP ADJ DET NOUN VERB DET NOUN	▁But ▁the ▁L DP ▁worked ▁hand ▁in ▁g lov e ▁with ▁Japan ▁ ’ s ▁deeply ▁entrench ed ▁bureaucra cy , ▁of ▁which ▁the ▁prosecutor s ▁are ▁a ▁part .	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET PROPN PROPN VERB NOUN ADP NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN ADV ADJ ADJ NOUN NOUN NOUN ADP ADJ DET NOUN NOUN VERB DET NOUN NOUN
But again people will say, don't go hand in glove everywhere with one another	0 0 0 0 0 0 0 1 1 1 0 0 0 0	hand in glove	figurative	identical	CCONJ ADV NOUN VERB VERB VERB VERB NOUN ADP NOUN ADV ADP NUM DET	▁But ▁again ▁people ▁will ▁say , ▁don ' t ▁go ▁hand ▁in ▁g lov e ▁everywhere ▁with ▁one ▁another	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	CCONJ ADV NOUN VERB VERB VERB VERB VERB VERB VERB NOUN ADP NOUN NOUN NOUN ADV ADP NUM DET
