Could I have his telephone number and give him a ring?	0 0 1 1 0 1 0 0 0 0 0	have someone's number	literal	combined-inflection	VERB PRON VERB ADJ NOUN NOUN CCONJ VERB PRON DET NOUN	▁Could ▁I ▁have ▁his ▁telephone ▁number ▁and ▁give ▁him ▁a ▁ring ?	0 0 1 1 0 1 0 0 0 0 0 0	VERB PRON VERB ADJ NOUN NOUN CCONJ VERB PRON DET NOUN NOUN
‘ Perhaps you could let me have your number and then I 'll give you a call when Mr Steen is back in town and we could fix another appointment.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have someone's number	literal	possessive	PUNCT ADV PRON VERB VERB PRON VERB ADJ NOUN CCONJ ADV PRON VERB VERB PRON DET NOUN ADV PROPN PROPN VERB ADV ADP NOUN CCONJ PRON VERB VERB DET NOUN	▁ ‘ ▁Perhaps ▁you ▁could ▁let ▁me ▁have ▁your ▁number ▁and ▁then ▁I ▁' ll ▁give ▁you ▁a ▁call ▁when ▁Mr ▁Ste en ▁is ▁back ▁in ▁town ▁and ▁we ▁could ▁fix ▁another ▁appointment . ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV PRON VERB VERB PRON VERB ADJ NOUN CCONJ ADV PRON VERB VERB VERB PRON DET NOUN ADV PROPN PROPN PROPN VERB ADV ADP NOUN CCONJ PRON VERB VERB DET NOUN NOUN NOUN
Every sales consultant has his or her own unique number.	0 0 0 1 1 0 0 0 0 1	have someone's number	literal	combined-inflection	DET NOUN NOUN VERB ADJ CCONJ ADJ ADJ ADJ NOUN	▁Every ▁sales ▁consultant ▁has ▁his ▁or ▁her ▁own ▁unique ▁number .	0 0 0 1 1 0 0 0 0 1 1	DET NOUN NOUN VERB ADJ CCONJ ADJ ADJ ADJ NOUN NOUN
' Do you have his telephone number? '	0 0 0 1 1 0 1 0	have someone's number	literal	combined-inflection	PUNCT VERB PRON VERB ADJ NOUN NOUN PUNCT	▁' ▁Do ▁you ▁have ▁his ▁telephone ▁number ? ▁'	0 0 0 1 1 0 1 1 0	PUNCT VERB PRON VERB ADJ NOUN NOUN NOUN PUNCT
Only one of them has his phone number in Marbella.	0 0 0 0 1 1 0 1 0 0	have someone's number	literal	combined-inflection	ADV NUM ADP PRON VERB ADJ NOUN NOUN ADP PROPN	▁Only ▁one ▁of ▁them ▁has ▁his ▁phone ▁number ▁in ▁Mar b ella .	0 0 0 0 1 1 0 1 0 0 0 0 0	ADV NUM ADP PRON VERB ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN
Make sure we have your ' phone number.	0 0 0 1 1 0 0 1	have someone's number	literal	combined-inflection	VERB ADJ PRON VERB ADJ PUNCT NOUN NOUN	▁Make ▁sure ▁we ▁have ▁your ▁' ▁phone ▁number .	0 0 0 1 1 0 0 1 1	VERB ADJ PRON VERB ADJ PUNCT NOUN NOUN NOUN
Yeah have his number, yeah.	0 1 1 1 0	have someone's number	literal	possessive	INTJ VERB ADJ NOUN INTJ	▁Ye ah ▁have ▁his ▁number , ▁ye ah .	0 0 1 1 1 1 0 0 0	INTJ INTJ VERB ADJ NOUN NOUN INTJ INTJ INTJ
I 'd like to have your number ; Jean - Luc Ponty is looking for a guitarist.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	have someone's number	literal	possessive	PRON VERB VERB PART VERB ADJ NOUN PUNCT PROPN PUNCT PROPN PROPN VERB VERB ADP DET NOUN	▁I ▁' d ▁like ▁to ▁have ▁your ▁number ▁ ; ▁Jean ▁- ▁Luc ▁Pont y ▁is ▁looking ▁for ▁a ▁g uit arist . ’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB ADJ NOUN PUNCT PUNCT PROPN PUNCT PROPN PROPN PROPN VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN
For a later game, give cards out and the children have to find the people who had their number.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	have someone's number	literal	combined-inflection	ADP DET ADJ NOUN VERB NOUN PART CCONJ DET NOUN VERB PART VERB DET NOUN NOUN VERB ADJ NOUN	▁For ▁a ▁later ▁game , ▁give ▁cards ▁out ▁and ▁the ▁children ▁have ▁to ▁find ▁the ▁people ▁who ▁had ▁their ▁number .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET ADJ NOUN NOUN VERB NOUN PART CCONJ DET NOUN VERB PART VERB DET NOUN NOUN VERB ADJ NOUN NOUN
Do you have his phone number?	0 0 1 1 0 1	have someone's number	literal	combined-inflection	VERB PRON VERB ADJ NOUN NOUN	▁Do ▁you ▁have ▁his ▁phone ▁number ?	0 0 1 1 0 1 1	VERB PRON VERB ADJ NOUN NOUN NOUN
On the street again, suddenly I felt I was in the middle of a farce —'POLICE SEARCH FOR THE BIG BANANA IS ON — and the discovery that actually I did have my cheque numbers in my moneybelt and that it was the photocopies that had been stolen made me almost light - headed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have someone's number	literal	combined-inflection	ADP DET NOUN ADV ADV PRON VERB PRON VERB ADP DET NOUN ADP DET NOUN PROPN PROPN ADP DET PROPN PROPN VERB PROPN PUNCT CCONJ DET NOUN ADJ ADV PRON VERB VERB ADJ ADJ NOUN ADP ADJ NOUN CCONJ ADP PRON VERB DET NOUN ADJ VERB VERB VERB VERB PRON ADV ADV PUNCT ADJ	▁On ▁the ▁street ▁again , ▁suddenly ▁I ▁felt ▁I ▁was ▁in ▁the ▁middle ▁of ▁a ▁far ce ▁ — ' POL ICE ▁SE ARC H ▁FOR ▁THE ▁B IG ▁ BAN ANA ▁IS ▁ON ▁ — ▁and ▁the ▁discovery ▁that ▁actually ▁I ▁did ▁have ▁my ▁cheque ▁numbers ▁in ▁my ▁money belt ▁and ▁that ▁it ▁was ▁the ▁photo co pie s ▁that ▁had ▁been ▁stolen ▁made ▁me ▁almost ▁light ▁- ▁headed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADV ADV ADV PRON VERB PRON VERB ADP DET NOUN ADP DET NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP DET PROPN PROPN PROPN PROPN PROPN VERB PROPN PUNCT PUNCT CCONJ DET NOUN ADJ ADV PRON VERB VERB ADJ ADJ NOUN ADP ADJ NOUN NOUN CCONJ ADP PRON VERB DET NOUN NOUN NOUN NOUN ADJ VERB VERB VERB VERB PRON ADV ADV PUNCT ADJ ADJ
