Holding a rolling pin and determined to have the last laugh.	0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	identical	VERB DET ADJ NOUN CCONJ VERB PART VERB DET ADJ NOUN	▁Holding ▁a ▁rolling ▁pin ▁and ▁determined ▁to ▁have ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 1 0 1 1 1	VERB DET ADJ NOUN CCONJ VERB PART VERB DET ADJ NOUN NOUN
Looking out over the Brussels skyline, it occurs to me that Carter may well not have that many more opportunities to have the last laugh on a scale like this.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	have the last laugh	figurative	identical	VERB PART ADP DET PROPN NOUN PRON VERB ADP PRON ADP PROPN VERB ADV ADV VERB ADV ADJ ADJ NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP DET	▁Look ing ▁out ▁over ▁the ▁Brussels ▁sky line , ▁it ▁occurs ▁to ▁me ▁that ▁Car ter ▁may ▁well ▁not ▁have ▁that ▁many ▁more ▁opportunities ▁to ▁have ▁the ▁last ▁laugh ▁on ▁a ▁scale ▁like ▁this .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	VERB VERB PART ADP DET PROPN NOUN NOUN NOUN PRON VERB ADP PRON ADP PROPN PROPN VERB ADV ADV VERB ADV ADJ ADJ NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP DET DET
Charlie has last laugh on Sir Dickie	0 1 1 1 0 0 0	have the last laugh	figurative	combined-inflection	PROPN VERB ADJ NOUN ADP PROPN PROPN	▁Char lie ▁has ▁last ▁laugh ▁on ▁Sir ▁D ick ie	0 0 1 1 1 0 0 0 0 0	PROPN PROPN VERB ADJ NOUN ADP PROPN PROPN PROPN PROPN
But I 've had the last laugh.	0 0 0 1 0 1 1	have the last laugh	figurative	inflection	CCONJ PRON VERB VERB DET ADJ NOUN	▁But ▁I ▁' ve ▁had ▁the ▁last ▁laugh .	0 0 0 0 1 0 1 1 1	CCONJ PRON VERB VERB VERB DET ADJ NOUN NOUN
Thankfully we had the last laugh when that french fellow ( I can't remember his name ) scored the winner.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	ADV PRON VERB DET ADJ NOUN ADV ADP ADJ NOUN PUNCT PRON VERB VERB ADJ NOUN PUNCT VERB DET NOUN	▁Thank fully ▁we ▁had ▁the ▁last ▁laugh ▁when ▁that ▁fre nch ▁fellow ▁( ▁I ▁can ' t ▁remember ▁his ▁name ▁ ) ▁score d ▁the ▁winner .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB DET ADJ NOUN ADV ADP ADJ ADJ NOUN PUNCT PRON VERB VERB VERB VERB ADJ NOUN PUNCT PUNCT VERB VERB DET NOUN NOUN
DON'T scoff at Skodas, they 're having the last laugh.	0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	VERB NOUN ADP PROPN PRON VERB VERB DET ADJ NOUN	▁DON ' T ▁sc off ▁at ▁Sk od as , ▁they ▁' re ▁having ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	VERB VERB VERB NOUN NOUN ADP PROPN PROPN PROPN PROPN PRON VERB VERB VERB DET ADJ NOUN NOUN
The trouble was, neither of us had been here before and Holyhead Mountain in the gathering gloom emphatically had the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	DET NOUN VERB DET ADP PRON VERB VERB ADV ADV CCONJ PROPN PROPN ADP DET NOUN NOUN ADV VERB DET ADJ NOUN	▁The ▁trouble ▁was , ▁neither ▁of ▁us ▁had ▁been ▁here ▁before ▁and ▁Holy head ▁Mountain ▁in ▁the ▁gathering ▁g loom ▁emphatically ▁had ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET NOUN VERB VERB DET ADP PRON VERB VERB ADV ADV CCONJ PROPN PROPN PROPN ADP DET NOUN NOUN NOUN ADV VERB DET ADJ NOUN NOUN
Pool had the last laugh in the FA Cup a few weeks later.	0 1 0 1 1 0 0 0 0 0 0 0 0	have the last laugh	figurative	inflection	NOUN VERB DET ADJ NOUN ADP DET PROPN PROPN DET ADJ NOUN ADV	▁Pool ▁had ▁the ▁last ▁laugh ▁in ▁the ▁FA ▁C up ▁a ▁few ▁weeks ▁later .	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	NOUN VERB DET ADJ NOUN ADP DET PROPN PROPN PROPN DET ADJ NOUN ADV ADV
Feminist humour is astutely observed by Jackie Fleming in Never Give Up ( Penguin, £ 4.99 ), where women always have the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	identical	ADJ NOUN VERB ADV VERB ADP PROPN PROPN ADP ADV VERB PART PUNCT PROPN SYM NUM PUNCT ADV NOUN ADV VERB DET ADJ NOUN	▁Fe min ist ▁h umour ▁is ▁as t ute ly ▁observed ▁by ▁Jack ie ▁Fle ming ▁in ▁Never ▁Give ▁Up ▁( ▁Pen gu in , ▁£ ▁4. 99 ▁ ), ▁where ▁women ▁always ▁have ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADJ ADJ ADJ NOUN NOUN VERB ADV ADV ADV ADV VERB ADP PROPN PROPN PROPN PROPN ADP ADV VERB PART PUNCT PROPN PROPN PROPN PROPN SYM NUM NUM PUNCT PUNCT ADV NOUN ADV VERB DET ADJ NOUN NOUN
Smith has last laugh	0 1 1 1	have the last laugh	figurative	combined-inflection	PROPN VERB ADJ NOUN	▁Smith ▁has ▁last ▁laugh	0 1 1 1	PROPN VERB ADJ NOUN
‘ You may think you 've won, but I 'll have the last laugh.	0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	identical	PUNCT PRON VERB VERB PRON VERB VERB CCONJ PRON VERB VERB DET ADJ NOUN	▁ ‘ ▁You ▁may ▁think ▁you ▁' ve ▁won , ▁but ▁I ▁' ll ▁have ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT PRON VERB VERB PRON VERB VERB VERB VERB CCONJ PRON VERB VERB VERB DET ADJ NOUN NOUN
Janet added : ‘ My husband had a wicked sense of humour and had to have the last laugh in life and death.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	have the last laugh	figurative	identical	PROPN VERB PUNCT PUNCT ADJ NOUN VERB DET ADJ NOUN ADP NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN CCONJ NOUN	▁Jan et ▁added ▁ : ▁ ‘ ▁My ▁husband ▁had ▁a ▁wicked ▁sense ▁of ▁h umour ▁and ▁had ▁to ▁have ▁the ▁last ▁laugh ▁in ▁life ▁and ▁death .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT ADJ NOUN VERB DET ADJ NOUN ADP NOUN NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP NOUN CCONJ NOUN NOUN
Boy did he have the last laugh.	0 0 0 1 0 1 1	have the last laugh	figurative	identical	INTJ VERB PRON VERB DET ADJ NOUN	▁Boy ▁did ▁he ▁have ▁the ▁last ▁laugh .	0 0 0 1 0 1 1 1	INTJ VERB PRON VERB DET ADJ NOUN NOUN
Quite apart from its technical ingenuity, its wily thematic evolutions and transformations, I love its eccentricity : only Bernstein could have ‘ tuned in’ to Plato's timeless dinner party and still had the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	ADV ADV ADP ADJ ADJ NOUN ADJ ADJ ADJ NOUN CCONJ NOUN PRON VERB ADJ NOUN PUNCT ADV PROPN VERB VERB PUNCT VERB NOUN ADP PROPN NOUN NOUN NOUN CCONJ ADV VERB DET ADJ NOUN	▁Quit e ▁apart ▁from ▁its ▁technical ▁in gen u ity , ▁its ▁wi ly ▁thematic ▁evolution s ▁and ▁transformation s , ▁I ▁love ▁its ▁ec centric ity ▁ : ▁only ▁Bern stein ▁could ▁have ▁ ‘ ▁tune d ▁in ’ ▁to ▁Pla to ' s ▁time less ▁dinner ▁party ▁and ▁still ▁had ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV ADV ADV ADP ADJ ADJ NOUN NOUN NOUN NOUN NOUN ADJ ADJ ADJ ADJ NOUN NOUN CCONJ NOUN NOUN NOUN PRON VERB ADJ NOUN NOUN NOUN PUNCT PUNCT ADV PROPN PROPN VERB VERB PUNCT PUNCT VERB VERB NOUN NOUN ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN CCONJ ADV VERB DET ADJ NOUN NOUN
Hero Freeman has last laugh	0 0 1 1 1	have the last laugh	figurative	combined-inflection	PROPN PROPN VERB ADJ NOUN	▁He ro ▁Free man ▁has ▁last ▁laugh	0 0 0 0 1 1 1	PROPN PROPN PROPN PROPN VERB ADJ NOUN
He does not mind being the butt of his colleagues ' jokes because he always has the last laugh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	have the last laugh	figurative	inflection	PRON VERB ADV VERB VERB DET NOUN ADP ADJ NOUN PART NOUN ADP PRON ADV VERB DET ADJ NOUN	▁He ▁does ▁not ▁mind ▁being ▁the ▁but t ▁of ▁his ▁colleagues ▁' ▁joke s ▁because ▁he ▁always ▁has ▁the ▁last ▁laugh .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB ADV VERB VERB DET NOUN NOUN ADP ADJ NOUN PART NOUN NOUN ADP PRON ADV VERB DET ADJ NOUN NOUN
