I had planned to have a word with my Maker before walking on, but I couldn't get in.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	PRON VERB VERB PART VERB DET NOUN ADP ADJ PROPN ADP VERB PART CCONJ PRON VERB VERB PART
Frederica had words for tea party behaviour and shopping discriminations in North Yorkshire matrons.	0 1 1 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	inflection	PROPN VERB NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN ADP PROPN PROPN NOUN
I just had to say that is beautiful and I wish I had more words to describe it, but I haven't yet.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	have words	literal	combined-inflection	PRON ADV VERB PART VERB DET VERB ADJ CCONJ PRON VERB PRON VERB ADJ NOUN PART VERB PRON CCONJ PRON VERB ADV
He might even, he mused, have a word with old Webb - Bowen's minder.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	have words	figurative	combined-inflection	PRON VERB ADV PRON VERB VERB DET NOUN ADP ADJ PROPN PUNCT PROPN NOUN
The Russians had no word for landscape till the French arrived with ' paysage '.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	DET PROPN VERB DET NOUN ADP NOUN ADP DET PROPN VERB ADP PUNCT NOUN PUNCT
He 'd have a word with Phillis, you bet that he 'd have a word with Phillis — the dirty cow.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	PRON VERB VERB DET NOUN ADP PROPN PRON VERB ADP PRON VERB VERB DET NOUN ADP PROPN PUNCT DET ADJ NOUN
When the Macedonians broke away from ex - Yugoslavia last year, the man who was then Greece's foreign minister, Antonis Samaras, told his EC colleagues that the new state could not have the word ' Macedonia ' in its name.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	have words	literal	combined-inflection	ADV DET PROPN VERB ADV ADP NUM PUNCT PROPN ADJ NOUN DET NOUN NOUN VERB ADV PROPN ADJ NOUN PROPN PROPN VERB ADJ PROPN NOUN ADP DET ADJ NOUN VERB ADV VERB DET NOUN PUNCT PROPN PUNCT ADP ADJ NOUN
You have my word. '	0 1 0 1 0	have words	figurative	combined-inflection	PRON VERB ADJ NOUN PUNCT
If my lips had words for the wondrous feeling of your breasts and nipples I 'd say them.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	inflection	ADP ADJ NOUN VERB NOUN ADP DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN PRON VERB VERB PRON
We will have words for you in a minute,’ and he turned round to the crowd.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	identical	PRON VERB VERB NOUN ADP PRON ADP DET PROPN CCONJ PRON VERB ADV ADP DET NOUN
But then, do the French, Spanish or Italians have a word for it?	0 0 0 0 0 0 0 0 1 0 1 0 0	have words	literal	combined-inflection	CCONJ ADV VERB DET PROPN ADJ CCONJ PROPN VERB DET NOUN ADP PRON
I must have a word with them.	0 0 1 0 1 0 0	have words	figurative	combined-inflection	PRON VERB VERB DET NOUN ADP PRON
The answer need not have exactly the same words as your prize sentence, but the answer must indicate clarity at every level.	0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	insertion-other	DET NOUN VERB ADV VERB ADV DET ADJ NOUN ADP ADJ NOUN NOUN CCONJ DET NOUN VERB VERB NOUN ADP DET NOUN
Stephen, you 'll have to have words with Graham this morning.	0 0 0 0 0 1 1 0 0 0 0	have words	figurative	identical	PROPN PRON VERB VERB PART VERB NOUN ADP PROPN DET NOUN
He spotted her immediately and strolled across, stopping on the way to have a few words with the patron.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	have words	figurative	insertion-other	PRON VERB PRON ADV CCONJ VERB ADP VERB ADP DET NOUN PART VERB DET ADJ NOUN ADP DET NOUN
A team that is challenged and has a real word in mind, but misspells it, loses.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	have words	literal	combined-inflection	DET NOUN ADJ VERB VERB CCONJ VERB DET ADJ NOUN ADP NOUN CCONJ VERB PRON VERB
Out of what appeared to be a tackroom emerged a man who walked with authority, stopping to have a word with one and another of the workers as he crossed towards Jonadab and George.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	ADP ADP NOUN VERB PART VERB DET NOUN VERB DET NOUN NOUN VERB ADP NOUN VERB PART VERB DET NOUN ADP NUM CCONJ DET ADP DET NOUN ADP PRON VERB ADP PROPN CCONJ PROPN
" And while you 're there, " said Bigwig, scowling round at the others from under the great sheaf of fur on his head,"I'll just have a few words with these three.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	have words	figurative	insertion-other	PUNCT CCONJ ADP PRON VERB ADV PUNCT VERB PROPN ADJ NOUN ADP DET NOUN ADP ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN ADV VERB DET ADJ NOUN ADP DET NUM
Greg Downs will be having a few words with his defence about long high balls … corners and free kicks …	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	PROPN PROPN VERB VERB VERB DET ADJ NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN PUNCT NOUN CCONJ ADJ NOUN PUNCT
And isn't it the case that real MOR — the stuff that sells, boys — has words that are anodyne too, that reinforce commonsense views of normality and ( human ) nature?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	inflection	CCONJ VERB PRON DET NOUN ADP ADJ PROPN PUNCT DET NOUN ADJ VERB NOUN PUNCT VERB NOUN ADJ VERB ADJ ADV DET VERB ADJ NOUN ADP NOUN CCONJ PUNCT ADJ PUNCT NOUN
