More choice at your fingertips …	0 0 1 1 1 0	at your fingertips	figurative	identical	ADJ NOUN ADP ADJ NOUN PUNCT	▁More ▁choice ▁at ▁your ▁finger ti ps ▁...	0 0 1 1 1 1 1 0	ADJ NOUN ADP ADJ NOUN NOUN NOUN PUNCT
You should have at your fingertips some basic methods of handling conflict in meetings since it is almost inevitable and occasionally healthy.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at your fingertips	figurative	identical	PRON VERB VERB ADP ADJ NOUN DET ADJ NOUN ADP VERB NOUN ADP NOUN ADP PRON VERB ADV ADJ CCONJ ADV ADJ	▁You ▁should ▁have ▁at ▁your ▁finger ti ps ▁some ▁basic ▁methods ▁of ▁handling ▁conflict ▁in ▁meetings ▁since ▁it ▁is ▁almost ▁inevitable ▁and ▁occasionally ▁healthy .	0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP ADJ NOUN NOUN NOUN DET ADJ NOUN ADP VERB NOUN ADP NOUN ADP PRON VERB ADV ADJ CCONJ ADV ADJ ADJ
I know this is a very foodie ( and fattening! ) time of year, but Moyra Fraser, our Cookery Editor, and the rest of the GHI team have taken enormous care to see that you have a marvellous variety of recipes for festive entertaining at your fingertips.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	PRON VERB DET VERB DET ADV ADJ PUNCT CCONJ NOUN PUNCT NOUN ADP NOUN CCONJ PROPN PROPN ADJ PROPN PROPN CCONJ DET NOUN ADP DET PROPN NOUN VERB VERB ADJ NOUN PART VERB ADP PRON VERB DET ADJ NOUN ADP NOUN ADP NOUN ADJ ADP ADJ NOUN	▁I ▁know ▁this ▁is ▁a ▁very ▁food ie ▁( ▁and ▁fattening ! ▁ ) ▁time ▁of ▁year , ▁but ▁Mo y ra ▁Fra ser , ▁our ▁Cook ery ▁Editor , ▁and ▁the ▁rest ▁of ▁the ▁G HI ▁team ▁have ▁taken ▁enormous ▁care ▁to ▁see ▁that ▁you ▁have ▁a ▁mar vel l ous ▁variety ▁of ▁recipe s ▁for ▁fe s tive ▁entertain ing ▁at ▁your ▁finger ti ps .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PRON VERB DET VERB DET ADV ADJ ADJ PUNCT CCONJ NOUN NOUN PUNCT PUNCT NOUN ADP NOUN NOUN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN ADJ PROPN PROPN PROPN PROPN CCONJ DET NOUN ADP DET PROPN PROPN NOUN VERB VERB ADJ NOUN PART VERB ADP PRON VERB DET ADJ ADJ ADJ ADJ NOUN ADP NOUN NOUN ADP NOUN NOUN NOUN ADJ ADJ ADP ADJ NOUN NOUN NOUN NOUN
Today, if you have an Internet connection, you have at your fingertips an amount of information previously available only to those with access to the world ’s greatest libraries – indeed, in most respects what is available through the Internet dwarfs those libraries, and it is incomparably easier to find what you need.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at your fingertips	figurative	identical	NOUN ADP PRON VERB DET NOUN NOUN PRON VERB ADP ADJ NOUN DET NOUN ADP NOUN ADV ADJ ADV ADP DET ADP NOUN ADP DET NOUN PART ADJ NOUN PUNCT ADV ADP ADJ NOUN NOUN VERB ADJ ADP DET NOUN VERB DET NOUN CCONJ PRON VERB ADV ADJ PART VERB NOUN PRON VERB	▁Today , ▁if ▁you ▁have ▁an ▁Internet ▁connection , ▁you ▁have ▁at ▁your ▁finger ti ps ▁an ▁amount ▁of ▁information ▁previously ▁available ▁only ▁to ▁those ▁with ▁access ▁to ▁the ▁world ▁ ’ s ▁greatest ▁libraries ▁ – ▁indeed , ▁in ▁most ▁respects ▁what ▁is ▁available ▁through ▁the ▁Internet ▁d war f s ▁those ▁libraries , ▁and ▁it ▁is ▁in comp ar ably ▁easier ▁to ▁find ▁what ▁you ▁need .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADP PRON VERB DET NOUN NOUN NOUN PRON VERB ADP ADJ NOUN NOUN NOUN DET NOUN ADP NOUN ADV ADJ ADV ADP DET ADP NOUN ADP DET NOUN PART PART PART ADJ NOUN PUNCT PUNCT ADV ADV ADP ADJ NOUN NOUN VERB ADJ ADP DET NOUN VERB VERB VERB VERB DET NOUN NOUN CCONJ PRON VERB ADV ADV ADV ADV ADJ PART VERB NOUN PRON VERB VERB
‘ The circuitry is faithful to the original GT120, and while it's rudimentary by today's standards, that doesn't detract from the virtually limitless range of good valve sounds it places at your fingertips.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	dashes	PUNCT DET NOUN VERB ADJ ADP DET ADJ NOUN CCONJ ADP PRON ADJ ADP NOUN NOUN ADJ VERB VERB ADP DET ADV ADJ NOUN ADP ADJ NOUN VERB PRON VERB ADP ADJ NOUN	▁ ‘ ▁The ▁circuit ry ▁is ▁faithful ▁to ▁the ▁original ▁ GT 120 , ▁and ▁while ▁it ' s ▁ru di ment ary ▁by ▁today ' s ▁standards , ▁that ▁does n ' t ▁detract ▁from ▁the ▁virtual ly ▁limit less ▁range ▁of ▁good ▁valve ▁sound s ▁it ▁places ▁at ▁your ▁finger ti ps . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PUNCT PUNCT DET NOUN NOUN VERB ADJ ADP DET ADJ NOUN NOUN NOUN NOUN CCONJ ADP PRON PRON PRON ADJ ADJ ADJ ADJ ADP NOUN NOUN NOUN NOUN NOUN ADJ VERB VERB VERB VERB VERB ADP DET ADV ADV ADJ ADJ NOUN ADP ADJ NOUN VERB VERB PRON VERB ADP ADJ NOUN NOUN NOUN NOUN NOUN
Using the latest in audio visual technology, the wonders of these six fascinating ‘ worlds’ are at your fingertips.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	VERB DET ADJ ADP ADJ ADJ NOUN DET NOUN ADP DET NUM VERB PRON NOUN VERB ADP ADJ NOUN	▁Us ing ▁the ▁latest ▁in ▁audio ▁visual ▁technology , ▁the ▁wonder s ▁of ▁these ▁six ▁fascinating ▁ ‘ ▁world s ’ ▁are ▁at ▁your ▁finger ti ps .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	VERB VERB DET ADJ ADP ADJ ADJ NOUN NOUN DET NOUN NOUN ADP DET NUM VERB PRON PRON NOUN NOUN NOUN VERB ADP ADJ NOUN NOUN NOUN NOUN
PAGES 6 & 7 More choice at your fingertips	0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	PROPN NUM CCONJ NUM ADJ NOUN ADP ADJ NOUN	▁PA GES ▁6 ▁& ▁7 ▁More ▁choice ▁at ▁your ▁finger ti ps	0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN NUM CCONJ NUM ADJ NOUN ADP ADJ NOUN NOUN NOUN
It's easy shopping at your fingertips!	0 0 0 1 1 1	at your fingertips	figurative	identical	PRON ADJ NOUN ADP ADJ NOUN	▁It ' s ▁easy ▁shopping ▁at ▁your ▁finger ti ps !	0 0 0 0 0 1 1 1 1 1 1	PRON PRON PRON ADJ NOUN ADP ADJ NOUN NOUN NOUN NOUN
References at your fingertips	0 1 1 1	at your fingertips	figurative	identical	NOUN ADP ADJ NOUN	▁References ▁at ▁your ▁finger ti ps	0 1 1 1 1 1	NOUN ADP ADJ NOUN NOUN NOUN
Anything you want to know, it 'll be there at your fingertips.	0 0 0 0 0 0 0 0 0 1 1 1	at your fingertips	figurative	identical	NOUN PRON VERB PART VERB PRON VERB VERB ADV ADP ADJ NOUN	▁Any thing ▁you ▁want ▁to ▁know , ▁it ▁' ll ▁be ▁there ▁at ▁your ▁finger ti ps .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	NOUN NOUN PRON VERB PART VERB VERB PRON VERB VERB VERB ADV ADP ADJ NOUN NOUN NOUN NOUN
Wealth of information at your fingertips	0 0 0 1 1 1	at your fingertips	figurative	identical	NOUN ADP NOUN ADP ADJ NOUN	▁We al th ▁of ▁information ▁at ▁your ▁finger ti ps	0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN ADP NOUN ADP ADJ NOUN NOUN NOUN
I just thought the more facts you 've got at your fingertips the more easy it is to persuade people.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	at your fingertips	figurative	identical	PRON ADV VERB DET ADJ NOUN PRON VERB VERB ADP ADJ NOUN DET ADV ADJ PRON VERB PART VERB NOUN	▁I ▁just ▁thought ▁the ▁more ▁facts ▁you ▁' ve ▁got ▁at ▁your ▁finger ti ps ▁the ▁more ▁easy ▁it ▁is ▁to ▁persuade ▁people .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	PRON ADV VERB DET ADJ NOUN PRON VERB VERB VERB ADP ADJ NOUN NOUN NOUN DET ADV ADJ PRON VERB PART VERB NOUN NOUN
