as high as a kite radio, all	0 1 1 0 1 0 0	high as a kite	figurative	identical	ADV ADJ ADP DET NOUN NOUN DET
And er, I first started feeling I was overweight when I fourteen and I was, I was twelve stone and I went to the doctor and got black capsules to take which had me as high as a kite for a long time!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	high as a kite	figurative	identical	CCONJ INTJ PRON ADV VERB VERB PRON VERB ADJ ADV PRON VERB CCONJ PRON VERB PRON VERB NUM NOUN CCONJ PRON VERB ADP DET NOUN CCONJ VERB ADJ NOUN PART VERB ADJ VERB PRON ADV ADJ ADP DET NOUN ADP DET ADJ NOUN
If Rainbow seems high as a kite, half - delirious, with racing pulse and her heartbeat dancing the hora, it is only because the delicious hand of Riva now lies firmly clasped within her own.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	high as a kite	figurative	identical	ADP PROPN VERB ADJ ADP DET NOUN ADJ PUNCT ADJ ADP VERB NOUN CCONJ ADJ NOUN VERB DET NOUN PRON VERB ADV ADP DET ADJ NOUN ADP PROPN ADV VERB ADV VERB ADP ADJ ADJ
Well you 're either sort of scraping off the ceiling cos you 're as high as a kite	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	high as a kite	figurative	identical	INTJ PRON VERB CCONJ ADV ADV VERB PART DET NOUN ADP PRON VERB ADV ADJ ADP DET NOUN
as high as a kite radio, all	0 1 1 0 1 0 0	high as a kite	figurative	identical	ADV ADJ ADP DET NOUN NOUN DET
I 'm as high as a kite and there's no champagne in the orange juice.’	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	high as a kite	figurative	identical	PRON VERB ADV ADJ ADP DET NOUN CCONJ ADV DET NOUN ADP DET NOUN NOUN
That he was high as a kite on Ecstasy and had thought they were larking about!	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	high as a kite	figurative	identical	ADP PRON VERB ADJ ADP DET NOUN ADP PROPN CCONJ VERB VERB PRON VERB VERB ADP
The three basic methods are gas and air, which many had used, some so enthusiastically that they ended up either very sleepy, or as one said, " as high as a kite ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	high as a kite	figurative	identical	DET NUM ADJ NOUN VERB NOUN CCONJ NOUN ADJ ADJ VERB VERB DET ADV ADV ADP PRON VERB PART CCONJ ADV ADJ CCONJ ADP NUM VERB PUNCT ADV ADJ ADP DET NOUN PUNCT
Suddenly flying as high as a kite, she couldn't resist the tiny gibe.	0 0 0 1 1 0 1 0 0 0 0 0 0	high as a kite	figurative	identical	ADV VERB ADV ADJ ADP DET NOUN PRON VERB VERB DET ADJ NOUN
Last reported early yesterday morning, high as a kite, heading for a train.	0 0 0 0 0 1 1 0 1 0 0 0 0	high as a kite	figurative	identical	ADJ VERB ADJ NOUN NOUN ADJ ADP DET NOUN VERB ADP DET NOUN
When I put you to bed you were high as a kite.’	0 0 0 0 0 0 0 0 1 1 0 1	high as a kite	figurative	dashes	ADV PRON VERB PRON ADP NOUN PRON VERB ADJ ADP DET NOUN
He give me them, I took them for three days, right, I didn't come down for a fortnight and Russell'll tell you that, I was high as a kite.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	high as a kite	figurative	identical	PRON VERB PRON PRON PRON VERB PRON ADP NUM NOUN INTJ PRON VERB VERB PART ADP DET NOUN CCONJ PROPN VERB PRON ADP PRON VERB ADJ ADP DET NOUN
