The 1987 Sunflowers tour hit the jackpot.	0 0 0 0 1 0 1	hit the jackpot	figurative	identical	DET NUM PROPN NOUN VERB DET NOUN
It numbed the mind of one woman so much recently that she left her baby to suffocate inside her car while hoping to hit the jackpot, a bucketful of balls, which can be exchanged for jars of coffee or pairs of tights.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the jackpot	figurative	identical	PRON VERB DET NOUN ADP NUM NOUN ADV ADV ADV ADP PRON VERB ADJ NOUN PART VERB ADP ADJ NOUN ADP VERB PART VERB DET NOUN DET ADJ ADP NOUN ADJ VERB VERB VERB ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN
And six days later she hit the jackpot … when Bonnie paid back the cash.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	hit the jackpot	figurative	identical	CCONJ NUM NOUN ADV PRON VERB DET NOUN PUNCT ADV PROPN VERB ADV DET NOUN
But they 'd had a thorough look through his life just to be sure and hit the jackpot entirely by chance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	hit the jackpot	figurative	identical	CCONJ PRON VERB VERB DET ADJ NOUN ADP ADJ NOUN ADV PART VERB ADJ CCONJ VERB DET NOUN ADV ADP NOUN
TODAY racing experts hit the jackpot at Sedgefield yesterday.	0 0 0 1 0 1 0 0 0	hit the jackpot	figurative	identical	NOUN NOUN NOUN VERB DET NOUN ADP PROPN NOUN
The new dealer thought he had hit the jackpot.	0 0 0 0 0 0 1 0 1	hit the jackpot	figurative	identical	DET ADJ NOUN VERB PRON VERB VERB DET NOUN
This time, though, they hit the jackpot with number 3 from Richard Jones.	0 0 0 0 1 0 1 0 0 0 0 0 0	hit the jackpot	figurative	identical	DET NOUN ADV PRON VERB DET NOUN ADP NOUN NUM ADP PROPN PROPN
His dazzling victory makes him one of just six men with a realistic chance of hitting the jackpot at the Palace 100,000 dollars for overall victory and 30,000 dollars for winning their particular event.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the jackpot	figurative	inflection	ADJ VERB NOUN VERB PRON NUM ADP ADV NUM NOUN ADP DET ADJ NOUN ADP VERB DET NOUN ADP DET PROPN NUM NOUN ADP ADJ NOUN CCONJ NUM NOUN ADP VERB ADJ ADJ NOUN
Ferguson blasted home a 30-yard drive with six minutes remaining, and there were only two minutes on the clock when substitute Trevor McMullan hit the jackpot from 20 yards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	hit the jackpot	figurative	identical	PROPN VERB ADV DET NUM NOUN ADP NUM NOUN VERB CCONJ ADV VERB ADV NUM NOUN ADP DET NOUN ADV ADJ PROPN PROPN VERB DET NOUN ADP NUM NOUN
Vernon hits the jackpot	0 1 0 1	hit the jackpot	figurative	inflection	PROPN VERB DET NOUN
Hearts hit the jackpot!	0 1 0 1	hit the jackpot	figurative	identical	NOUN VERB DET NOUN
The then Minister of Power, Fred Lee, announcing the successful construction tender for the first AGR, said, ‘ I am quite sure we have hit the jackpot this time’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	hit the jackpot	figurative	identical	DET ADV PROPN ADP PROPN PROPN PROPN VERB DET ADJ NOUN NOUN ADP DET ADJ PROPN VERB PUNCT PRON VERB ADV ADJ PRON VERB VERB DET NOUN DET NOUN
Jimmy Holmes Sunday Market in Kashgar Oriental Museum, Elvet Hill, Durham ( until the end of April ) JIMMY Holmes, who put us very considerably in his debt with a superlative display of photographs of Japan at the Middlesbrough Art Gallery last September, again hits the jackpot with a further photo - essay that deals with Kashgar on the famous Samarkand silk road and its Sunday market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit the jackpot	figurative	inflection	PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PUNCT ADP DET NOUN ADP PROPN PUNCT PROPN PROPN NOUN VERB PRON ADV ADV ADP ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADP PROPN ADP DET PROPN PROPN PROPN ADJ PROPN ADV VERB DET NOUN ADP DET ADJ NOUN PUNCT NOUN ADJ VERB ADP PROPN ADP DET ADJ PROPN NOUN NOUN CCONJ ADJ PROPN NOUN
While United threw away a hatful of chances Luton had two shots on target in the first half and hit the jackpot with one of them as Kerry Hughes got them a goal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hit the jackpot	figurative	identical	ADP PROPN VERB ADV DET NOUN ADP NOUN PROPN VERB NUM NOUN ADP NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN ADP NUM ADP PRON ADP PROPN PROPN VERB PRON DET NOUN
Unemployed roadsweeper Mickey Reid, 39, of Enniskillen, County Fermanagh, hit the jackpot when his £ 4 Lotto ticket won him £ 1.8 m.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hit the jackpot	figurative	identical	ADJ NOUN PROPN PROPN NUM ADP PROPN PROPN PROPN VERB DET NOUN ADV ADJ SYM NUM PROPN NOUN VERB PRON SYM NUM NOUN
Anyway, Alfred couldn't believe his luck ; he 'd never really made it with girls and here he was hitting the jackpot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	hit the jackpot	figurative	inflection	INTJ PROPN VERB VERB ADJ NOUN PUNCT PRON VERB ADV ADV VERB PRON ADP NOUN CCONJ ADV PRON VERB VERB DET NOUN
A for those lucky ones that hit the jackpot at the festival there's plenty of goodies for him and her.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hit the jackpot	figurative	identical	NOUN ADP DET ADJ NOUN ADJ VERB DET NOUN ADP DET NOUN ADV NOUN ADP NOUN ADP PRON CCONJ PRON
