But Mr Espina has his work cut out to convince people that he was not in cahoots with Mr Serrano.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	in cahoots	figurative	identical	CCONJ PROPN PROPN VERB ADJ NOUN VERB PART PART VERB NOUN ADP PRON VERB ADV ADP NOUN ADP PROPN PROPN
A collaboration from the depths of hell looks on the cards, we can report with our fingers stuffed prematurely in our ears, as VIC REEVES and BOB MORTIMER have been spotted in cahoots with THE BEAUTIFUL SOUTH all over London recently.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	DET NOUN ADP DET NOUN ADP NOUN VERB ADP DET NOUN PRON VERB VERB ADP ADJ NOUN VERB ADV ADP ADJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB VERB VERB ADP NOUN ADP DET PROPN PROPN DET ADP PROPN ADV
The choice of Malone was, in itself, surprising ; several years ago he had, in cahoots with Nicholas Ridley, stampeded the conference in favour of the early introduction of the poll tax, thereby sealing Margaret's fate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	DET NOUN ADP PROPN VERB ADP PRON ADJ PUNCT ADJ NOUN ADV PRON VERB ADP NOUN ADP PROPN PROPN VERB DET NOUN ADP NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN ADV VERB PROPN NOUN
Nonetheless, the ULFA has the support of a fair chunk of the population and, more important, is in cahoots with the Asom Gana Parishad, the regional Assamese party that ruled the state till it was sacked last year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	ADV DET PROPN VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ ADV ADJ VERB ADP NOUN ADP DET PROPN PROPN PROPN DET ADJ ADJ NOUN ADJ VERB DET NOUN ADP PRON VERB VERB ADJ NOUN
Some dealers tried to convey the false impression that the two markets were in cahoots.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in cahoots	figurative	identical	DET NOUN VERB PART VERB DET ADJ NOUN ADP DET NUM NOUN VERB ADP NOUN
Moreover, now is not the time for a political ~ party to be seen to be in cahoots with the bankers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	in cahoots	figurative	identical	ADV ADV VERB ADV DET NOUN ADP DET ADJ PUNCT NOUN PART VERB VERB PART VERB ADP NOUN ADP DET NOUN
Are they in cahoots with that mad biker From Leicester?	0 0 1 1 0 0 0 0 0 0	in cahoots	figurative	identical	VERB PRON ADP NOUN ADP DET ADJ NOUN ADP PROPN
out rechecking with Malcolm in cahoots to say, well show me where you counted these and let's do it again.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	PART VERB ADP PROPN ADP NOUN PART VERB INTJ VERB PRON ADV PRON VERB DET CCONJ VERB VERB PRON ADV
But in many booths the presiding officer is in cahoots with the capturers, or may be too terrified of local toughs to protest.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	CCONJ ADP ADJ NOUN DET VERB NOUN VERB ADP NOUN ADP DET NOUN CCONJ VERB VERB ADV ADJ ADP ADJ NOUN PART VERB
Perhaps he was in cahoots with the one who got in through a skylark?	0 0 0 1 1 0 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	ADV PRON VERB ADP NOUN ADP DET NOUN NOUN VERB PART ADP DET NOUN
I even found it difficult to believe that she had ever been in cahoots with Mr Broadhurst.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	in cahoots	figurative	identical	PRON ADV VERB PRON ADJ PART VERB ADP PRON VERB ADV VERB ADP NOUN ADP PROPN PROPN
‘ The Urge’ is an unusual new bass designed by the Fender Custom Shop in cahoots with Satriani's old buddy Stu Hamm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	in cahoots	figurative	identical	PUNCT DET NOUN VERB DET ADJ ADJ NOUN VERB ADP DET PROPN PROPN PROPN ADP NOUN ADP PROPN ADJ NOUN PROPN PROPN
A supermarket assistant, in cahoots with a customer, wrapped goods and deliberately understated the price.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	in cahoots	figurative	identical	DET NOUN NOUN ADP NOUN ADP DET NOUN VERB NOUN CCONJ ADV VERB DET NOUN
