Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN	▁C ig g ie ▁lands ▁ gran ▁in ▁dock	0 0 0 0 0 0 0 1 1	PROPN PROPN PROPN PROPN VERB NOUN NOUN ADP NOUN
Saddam ~ Hussein and Zine ~ El ~ Abidine ~ Ben ~ Ali preceded Mubarak in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	PROPN PUNCT PROPN CCONJ PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN VERB PROPN ADP DET NOUN	▁Sadd am ▁ ~ ▁Hussein ▁and ▁Z ine ▁ ~ ▁El ▁ ~ ▁Ab idine ▁ ~ ▁Ben ▁ ~ ▁Ali ▁preceded ▁Mu bar ak ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PUNCT PUNCT PROPN CCONJ PROPN PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN VERB PROPN PROPN PROPN ADP DET NOUN NOUN
By 1918 North Shields was a clear locale of modern organized capitalism with very large industrial establishments in Smith's Dock and the docks of the Tyne Improvement Commission, with a highly organized capitalist class, particularly in shipping and in urban development, and with a working class organized around production in trade unions and reproduction through ad hoc organizations, especially around housing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	ADP NUM PROPN PROPN VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP ADV ADJ ADJ NOUN ADP PROPN PROPN CCONJ DET NOUN ADP DET PROPN PROPN PROPN ADP DET ADV VERB ADJ NOUN ADV ADP NOUN CCONJ ADP ADJ NOUN CCONJ ADP DET VERB NOUN VERB ADP NOUN ADP NOUN NOUN CCONJ NOUN ADP X X NOUN ADV ADP NOUN	▁By ▁19 18 ▁North ▁Shield s ▁was ▁a ▁clear ▁local e ▁of ▁modern ▁organize d ▁capital ism ▁with ▁very ▁large ▁industrial ▁establishments ▁in ▁Smith ' s ▁Doc k ▁and ▁the ▁dock s ▁of ▁the ▁Ty ne ▁Improvement ▁Commission , ▁with ▁a ▁highly ▁organize d ▁capital ist ▁class , ▁particularly ▁in ▁shipping ▁and ▁in ▁urban ▁development , ▁and ▁with ▁a ▁working ▁class ▁organize d ▁around ▁production ▁in ▁trade ▁unions ▁and ▁reproduction ▁through ▁ad ▁hoc ▁organizations , ▁especially ▁around ▁housing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NUM PROPN PROPN PROPN VERB DET ADJ NOUN NOUN ADP ADJ ADJ ADJ NOUN NOUN ADP ADV ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ DET NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN ADP DET ADV VERB VERB ADJ ADJ NOUN NOUN ADV ADP NOUN CCONJ ADP ADJ NOUN NOUN CCONJ ADP DET VERB NOUN VERB VERB ADP NOUN ADP NOUN NOUN CCONJ NOUN ADP X X NOUN NOUN ADV ADP NOUN NOUN
The UN ’s Human Rights Council would not have dared to put Russia in the dock for razing Grozny, Chechnya ’s capital, or China for brutally suppressing the people of Tibet and the Muslim Uighur minority.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	DET PROPN PART PROPN PROPN PROPN VERB ADV VERB VERB PART VERB PROPN ADP DET NOUN ADP VERB PROPN PROPN PART NOUN CCONJ PROPN ADP ADV VERB DET NOUN ADP PROPN CCONJ DET PROPN PROPN NOUN	▁The ▁UN ▁ ’ s ▁Human ▁Rights ▁Council ▁would ▁not ▁have ▁dare d ▁to ▁put ▁Russia ▁in ▁the ▁dock ▁for ▁ raz ing ▁G roz ny , ▁Chechnya ▁ ’ s ▁capital , ▁or ▁China ▁for ▁brutal ly ▁suppress ing ▁the ▁people ▁of ▁Tibet ▁and ▁the ▁Muslim ▁U igh ur ▁minority .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PART PART PART PROPN PROPN PROPN VERB ADV VERB VERB VERB PART VERB PROPN ADP DET NOUN ADP VERB VERB VERB PROPN PROPN PROPN PROPN PROPN PART PART PART NOUN NOUN CCONJ PROPN ADP ADV ADV VERB VERB DET NOUN ADP PROPN CCONJ DET PROPN PROPN PROPN PROPN NOUN NOUN
I asked Sam, ‘ What's under the water in the dock?’	0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	dashes	PRON VERB PROPN PUNCT NOUN ADP DET NOUN ADP DET NOUN	▁I ▁asked ▁Sam , ▁ ‘ ▁What ' s ▁under ▁the ▁water ▁in ▁the ▁dock ? ’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB PROPN PROPN PUNCT PUNCT NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN
‘ Tory laws have put Britain in the dock alongside Chile and Korea and all those nasty dictatorships that everybody here despises,’ he said.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PUNCT PROPN NOUN VERB VERB PROPN ADP DET NOUN ADP PROPN CCONJ PROPN CCONJ ADJ DET ADJ NOUN ADP NOUN ADV VERB PRON VERB	▁ ‘ ▁To ry ▁laws ▁have ▁put ▁Britain ▁in ▁the ▁dock ▁alongside ▁Chile ▁and ▁Korea ▁and ▁all ▁those ▁na s ty ▁dictat orship s ▁that ▁everybody ▁here ▁despise s , ’ ▁he ▁said .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PROPN PROPN NOUN VERB VERB PROPN ADP DET NOUN ADP PROPN CCONJ PROPN CCONJ ADJ DET ADJ ADJ ADJ NOUN NOUN NOUN ADP NOUN ADV VERB VERB VERB VERB PRON VERB VERB
Wife lands him in dock	0 0 0 1 1	in the dock	figurative	inflection	NOUN VERB PRON ADP NOUN	▁W ife ▁lands ▁him ▁in ▁dock	0 0 0 0 1 1	NOUN NOUN VERB PRON ADP NOUN
Henry Globe, prosecuting, said that another man not in the dock at Liverpool Crown Court, Thomas White, has already pleaded guilty.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PROPN PROPN VERB VERB ADP DET NOUN ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB ADV VERB ADJ	▁Henry ▁Globe , ▁prosecut ing , ▁said ▁that ▁another ▁man ▁not ▁in ▁the ▁dock ▁at ▁Liverpool ▁Crown ▁Court , ▁Thomas ▁White , ▁has ▁already ▁plead ed ▁guilty .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB VERB VERB ADP DET NOUN ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV VERB VERB ADJ ADJ
As Titron lifted, the black water in the dock sucked away, opening up a drop of several feet, only to be followed by a surge upwards.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	ADP PROPN VERB DET ADJ NOUN ADP DET NOUN VERB ADV VERB PART DET NOUN ADP ADJ NOUN ADV PART VERB VERB ADP DET NOUN ADV	▁As ▁Ti tron ▁lifted , ▁the ▁black ▁water ▁in ▁the ▁dock ▁suck ed ▁away , ▁opening ▁up ▁a ▁drop ▁of ▁several ▁feet , ▁only ▁to ▁be ▁followed ▁by ▁a ▁surge ▁upwards .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN VERB VERB DET ADJ NOUN ADP DET NOUN VERB VERB ADV ADV VERB PART DET NOUN ADP ADJ NOUN NOUN ADV PART VERB VERB ADP DET NOUN ADV ADV
I mean, Americans drink it in martinis, the cocktail set love it ' pink ' and a ' G&T'is still the preferred drink of the ' darling luvvy'classes as they bob up and down on their boats moored firmly in the sheltered dock of Liverpool Marina.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	in the dock	literal	insertion-other	PRON VERB PROPN VERB PRON ADP NOUN DET NOUN VERB NOUN PRON PUNCT ADJ PUNCT CCONJ DET PUNCT PROPN ADV DET VERB NOUN ADP DET PUNCT NOUN NOUN ADP PRON VERB PART CCONJ ADV ADP ADJ NOUN VERB ADV ADP DET ADJ NOUN ADP PROPN PROPN	▁I ▁mean , ▁Americans ▁drink ▁it ▁in ▁mar tin is , ▁the ▁ cock tail ▁set ▁love ▁it ▁' ▁pink ▁' ▁and ▁a ▁' ▁G & T ' is ▁still ▁the ▁preferred ▁drink ▁of ▁the ▁' ▁dar ling ▁lu vv y ' class es ▁as ▁they ▁bo b ▁up ▁and ▁down ▁on ▁their ▁boats ▁mo or ed ▁firmly ▁in ▁the ▁shelter ed ▁dock ▁of ▁Liverpool ▁Marin a .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	PRON VERB VERB PROPN VERB PRON ADP NOUN NOUN NOUN NOUN DET NOUN NOUN NOUN VERB NOUN PRON PUNCT ADJ PUNCT CCONJ DET PUNCT PROPN PROPN PROPN PROPN PROPN ADV DET VERB NOUN ADP DET PUNCT NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN ADP PRON VERB VERB PART CCONJ ADV ADP ADJ NOUN VERB VERB VERB ADV ADP DET ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN
With South African Rugby in the dock the Council for the Defence would point to the record of the Springboks.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADP ADJ PROPN PROPN ADP DET NOUN DET PROPN ADP DET PROPN VERB VERB ADP DET NOUN ADP DET PROPN	▁With ▁South ▁African ▁Ru g by ▁in ▁the ▁dock ▁the ▁Council ▁for ▁the ▁Defence ▁would ▁point ▁to ▁the ▁record ▁of ▁the ▁Spring bo ks .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ PROPN PROPN PROPN PROPN ADP DET NOUN DET PROPN ADP DET PROPN VERB VERB ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN
