' In the flesh, ' he supplied.	0 1 0 1 0 0 0	in the flesh	figurative	case	PUNCT ADP DET NOUN PUNCT PRON VERB
But the chemistry that governed sexual attraction had its source in the mind as much as in the flesh, and all too soon her mind betrayed her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	CCONJ DET NOUN ADJ VERB ADJ NOUN VERB ADJ NOUN ADP DET NOUN ADV ADV ADP ADP DET NOUN CCONJ DET ADV ADV ADJ NOUN VERB PRON
‘ Better in the flesh.	0 0 1 0 1	in the flesh	figurative	identical	PUNCT ADV ADP DET NOUN
A frisson of disbelief and unease passed though the male patrons as the woman they had been watching in simulated copulation on the screen materialised in the flesh before their very eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the flesh	figurative	identical	DET NOUN ADP NOUN CCONJ NOUN VERB ADP DET ADJ NOUN ADP DET NOUN PRON VERB VERB VERB ADP ADJ NOUN ADP DET NOUN VERB ADP DET NOUN ADP ADJ ADJ NOUN
A few minutes earlier Ruth would have welcomed the idea of everyone going off to sleep ( not that Sean showed any sign of doing so ) as an opportunity for her to indulge in her own thoughts, but the fits of uninhibited laughter had restored her to something nearer to normality, and at last she was present with her companions in mind as well as in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	DET ADJ NOUN ADJ PROPN VERB VERB VERB DET NOUN ADP NOUN VERB PART ADP VERB PUNCT ADV ADP PROPN VERB DET NOUN ADP VERB ADV PUNCT ADP DET NOUN ADP PRON PART VERB ADP ADJ ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB VERB PRON ADP NOUN ADP ADP NOUN CCONJ ADP ADJ PRON VERB ADJ ADP ADJ NOUN ADP NOUN ADV ADV ADP ADP DET NOUN
Tallis touched her own fingers to the sharp holly on the female's belly and something fluttered in the wood - flesh, causing the mythago pain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	in the flesh	literal	combined-other	PROPN VERB ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN CCONJ NOUN VERB ADP DET NOUN PUNCT NOUN VERB DET ADJ NOUN
Turning to look at Millie again, she ended, ‘ But one always wants more : just to see His face in the night, not in plaster, in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	VERB PART VERB ADP PROPN ADV PRON VERB PUNCT CCONJ PRON ADV VERB ADJ PUNCT ADV PART VERB ADJ NOUN ADP DET NOUN ADV ADP NOUN ADP DET NOUN
It was exhilarating because they were just as good in the flesh as they were on the wireless.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB VERB ADP PRON VERB ADV ADV ADJ ADP DET NOUN ADP PRON VERB ADP DET NOUN
Greg was extremely interested to see whether Viola Machin would be represented in the flesh or the flower at the interment, and he got permission from his Principal to take the morning off and attend.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PROPN VERB ADV ADJ PART VERB ADP PROPN PROPN VERB VERB VERB ADP DET NOUN CCONJ DET NOUN ADP DET NOUN CCONJ PRON VERB NOUN ADP ADJ NOUN PART VERB DET NOUN PART CCONJ VERB
I do think that one can put one's ideas over rather more forcefully and precisely when one's present in the flesh, with all one's conversational resources to hand.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB VERB ADP PRON VERB VERB PRON NOUN ADP ADV ADV ADV CCONJ ADV ADV PRON NOUN ADP DET NOUN ADP DET NOUN ADJ NOUN ADP VERB
We all waved at Uncle Wullie, in spirit if not in the flesh.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON DET VERB ADP PROPN PROPN ADP NOUN ADP ADV ADP DET NOUN
