She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN	▁She ▁smile d ▁again , ▁which ▁Mark ▁again ▁returned , ▁even ▁though ▁he ▁was ▁not ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADV ADV ADJ PROPN ADV VERB VERB ADV ADP PRON VERB ADV ADP DET NOUN NOUN
Lord Romsey — grandson of the late Earl Mountbatten — is facing mounting costs in the running of his Broadlands stately home in Hampshire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	literal	identical	PROPN PROPN PUNCT NOUN ADP DET ADJ PROPN PROPN PUNCT VERB VERB VERB NOUN ADP DET NOUN ADP ADJ PROPN ADJ NOUN ADP PROPN	▁Lord ▁Rom s ey ▁ — ▁grand son ▁of ▁the ▁late ▁Ear l ▁Mount bat ten ▁ — ▁is ▁facing ▁mounting ▁costs ▁in ▁the ▁running ▁of ▁his ▁Broad lands ▁state ly ▁home ▁in ▁H amp shire .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PUNCT PUNCT NOUN NOUN ADP DET ADJ PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT VERB VERB VERB NOUN ADP DET NOUN ADP ADJ PROPN PROPN ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN
MIDDLESBROUGH manager Lennie Lawrence last night warned that victory against Oxford United at Ayresome Park tonight is vital if they are to stay in the running for an automatic promotion spot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the running	figurative	identical	PROPN NOUN PROPN PROPN ADJ NOUN VERB ADP NOUN ADP PROPN PROPN ADP PROPN PROPN NOUN VERB ADJ ADP PRON VERB PART VERB ADP DET NOUN ADP DET ADJ NOUN NOUN	▁MI DD LE SB RO UGH ▁manager ▁L en nie ▁Law r ence ▁last ▁night ▁warned ▁that ▁victory ▁against ▁Oxford ▁United ▁at ▁A y re some ▁Park ▁tonight ▁is ▁vital ▁if ▁they ▁are ▁to ▁stay ▁in ▁the ▁running ▁for ▁an ▁automatic ▁promotion ▁spot .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN NOUN PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN VERB ADP NOUN ADP PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN NOUN VERB ADJ ADP PRON VERB PART VERB ADP DET NOUN ADP DET ADJ NOUN NOUN NOUN
c The past 3 years have destroyed the myth that elderly dementing people can not play a role in the running of a nursing home — we have seen even severe Alzheimer residents respond to normalization programme and reality orientation work and enjoy it and, indeed, remain at a plateau much longer than they would otherwise have done ( highly subjective comment, I know ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PUNCT DET ADJ NUM NOUN VERB VERB DET NOUN ADP ADJ VERB NOUN VERB ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN PUNCT PRON VERB VERB ADV ADJ PROPN NOUN VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ VERB PRON CCONJ ADV VERB ADP DET NOUN ADV ADV ADP PRON VERB ADV VERB VERB PUNCT ADV ADJ NOUN PRON VERB PUNCT	▁c ▁The ▁past ▁3 ▁years ▁have ▁destroyed ▁the ▁my th ▁that ▁elderly ▁de ment ing ▁people ▁can ▁not ▁play ▁a ▁role ▁in ▁the ▁running ▁of ▁a ▁nursing ▁home ▁ — ▁we ▁have ▁seen ▁even ▁severe ▁Alz heimer ▁residents ▁respond ▁to ▁normal ization ▁programme ▁and ▁reality ▁orientation ▁work ▁and ▁enjoy ▁it ▁and , ▁indeed , ▁remain ▁at ▁a ▁plateau ▁much ▁longer ▁than ▁they ▁would ▁otherwise ▁have ▁done ▁( ▁highly ▁subject ive ▁comment , ▁I ▁know ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT DET ADJ NUM NOUN VERB VERB DET NOUN NOUN ADP ADJ VERB VERB VERB NOUN VERB ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN PUNCT PUNCT PRON VERB VERB ADV ADJ PROPN PROPN NOUN VERB ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ VERB PRON CCONJ CCONJ ADV ADV VERB ADP DET NOUN ADV ADV ADP PRON VERB ADV VERB VERB PUNCT ADV ADJ ADJ NOUN NOUN PRON VERB PUNCT PUNCT
The poor little mare wasn't even in the running then was she?	0 0 0 0 0 0 1 0 1 0 0 0	in the running	figurative	identical	DET ADJ ADJ NOUN VERB ADV ADP DET NOUN ADV VERB PRON	▁The ▁poor ▁little ▁mar e ▁was n ' t ▁even ▁in ▁the ▁running ▁then ▁was ▁she ?	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	DET ADJ ADJ NOUN NOUN VERB VERB VERB VERB ADV ADP DET NOUN ADV VERB PRON PRON
After the fiasco in Prague I began to wonder whether there was any point in my running in any more relay teams, began to think that it was just a waste of everyone's time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	determiner-broad	ADP DET NOUN ADP PROPN PRON VERB PART VERB ADP ADV VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN VERB PART VERB ADP PRON VERB ADV DET NOUN ADP NOUN NOUN	▁After ▁the ▁fi asco ▁in ▁Prague ▁I ▁began ▁to ▁wonder ▁whether ▁there ▁was ▁any ▁point ▁in ▁my ▁running ▁in ▁any ▁more ▁relay ▁teams , ▁began ▁to ▁think ▁that ▁it ▁was ▁just ▁a ▁waste ▁of ▁everyone ' s ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN ADP PROPN PRON VERB PART VERB ADP ADV VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN NOUN VERB PART VERB ADP PRON VERB ADV DET NOUN ADP NOUN NOUN NOUN NOUN NOUN
A shareholder is therefore involved in the running of the company, and shares in the profits and losses of the company.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	DET NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN	▁A ▁shareholder ▁is ▁therefore ▁involved ▁in ▁the ▁running ▁of ▁the ▁company , ▁and ▁shares ▁in ▁the ▁profits ▁and ▁losses ▁of ▁the ▁company .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN NOUN
The deputy head assists the head in the running of a school, often liaising between the head and the rest of the staff.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	DET ADJ NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN ADV VERB ADP DET NOUN CCONJ DET NOUN ADP DET NOUN	▁The ▁deputy ▁head ▁assist s ▁the ▁head ▁in ▁the ▁running ▁of ▁a ▁school , ▁often ▁ lia ising ▁between ▁the ▁head ▁and ▁the ▁rest ▁of ▁the ▁staff .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADV VERB VERB VERB ADP DET NOUN CCONJ DET NOUN ADP DET NOUN NOUN
In a sense, Richard consolidated the supremacy of the Christian cavalry which El Cid had established over Islam in Spain and he proved this to great effect in the running battles which followed the siege of Acre.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	literal	identical	ADP DET NOUN PROPN VERB DET NOUN ADP DET PROPN NOUN ADJ PROPN PROPN VERB VERB ADP PROPN ADP PROPN CCONJ PRON VERB DET ADP ADJ NOUN ADP DET VERB NOUN ADJ VERB DET NOUN ADP PROPN	▁In ▁a ▁sense , ▁Richard ▁consolidated ▁the ▁suprem acy ▁of ▁the ▁Christian ▁ca val ry ▁which ▁El ▁C id ▁had ▁established ▁over ▁Islam ▁in ▁Spain ▁and ▁he ▁proved ▁this ▁to ▁great ▁effect ▁in ▁the ▁running ▁battle s ▁which ▁followed ▁the ▁si ege ▁of ▁A cre .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN PROPN VERB DET NOUN NOUN ADP DET PROPN NOUN NOUN NOUN ADJ PROPN PROPN PROPN VERB VERB ADP PROPN ADP PROPN CCONJ PRON VERB DET ADP ADJ NOUN ADP DET VERB NOUN NOUN ADJ VERB DET NOUN NOUN ADP PROPN PROPN PROPN
Patients are at the bottom of the pecking order and have very little say in the running of services.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	literal	identical	NOUN VERB ADP DET NOUN ADP DET VERB NOUN CCONJ VERB ADV ADJ NOUN ADP DET NOUN ADP NOUN	▁Patients ▁are ▁at ▁the ▁bottom ▁of ▁the ▁p eck ing ▁order ▁and ▁have ▁very ▁little ▁say ▁in ▁the ▁running ▁of ▁services .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	NOUN VERB ADP DET NOUN ADP DET VERB VERB VERB NOUN CCONJ VERB ADV ADJ NOUN ADP DET NOUN ADP NOUN NOUN
DAVID MELLOR and Eldorado were in the running but the judges agreed there could be only one Turkey of the Year — the European Exchange Rate Mechanism.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN CCONJ PROPN VERB ADP DET NOUN CCONJ DET NOUN VERB ADV VERB VERB ADV NUM PROPN ADP DET PROPN PUNCT DET PROPN PROPN PROPN PROPN	▁D AV ID ▁M EL LOR ▁and ▁El d or ado ▁were ▁in ▁the ▁running ▁but ▁the ▁judges ▁agreed ▁there ▁could ▁be ▁only ▁one ▁Turkey ▁of ▁the ▁Year ▁ — ▁the ▁European ▁Exchange ▁Rate ▁Mechanism .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN VERB ADP DET NOUN CCONJ DET NOUN VERB ADV VERB VERB ADV NUM PROPN ADP DET PROPN PUNCT PUNCT DET PROPN PROPN PROPN PROPN PROPN
