The wind that you experience blowing in your face when moving.	0 0 0 0 0 0 1 1 1 0 0	in your face	literal	identical	DET NOUN ADJ PRON VERB VERB ADP ADJ NOUN ADV VERB	▁The ▁wind ▁that ▁you ▁experience ▁blow ing ▁in ▁your ▁face ▁when ▁moving .	0 0 0 0 0 0 0 1 1 1 0 0 0	DET NOUN ADJ PRON VERB VERB VERB ADP ADJ NOUN ADV VERB VERB
Now the cracks are widening in your face	0 0 0 0 0 1 1 1	in your face	literal	identical	ADV DET NOUN VERB VERB ADP ADJ NOUN	▁Now ▁the ▁crack s ▁are ▁widening ▁in ▁your ▁face	0 0 0 0 0 0 1 1 1	ADV DET NOUN NOUN VERB VERB ADP ADJ NOUN
And you 've got hair that falls in your face and you sort of, and all those things you 've got to learn to cope with because if you 're worried about what you 're doing with your hands, or your feet, or your hair, then you can't then concentrate on putting over your information effectively.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	CCONJ PRON VERB VERB NOUN ADJ VERB ADP ADJ NOUN CCONJ PRON ADV ADV CCONJ ADJ DET NOUN PRON VERB VERB PART VERB PART VERB ADP ADP ADP PRON VERB ADJ ADP NOUN PRON VERB VERB ADP ADJ NOUN CCONJ ADJ NOUN CCONJ ADJ NOUN ADV PRON VERB ADV VERB ADP VERB PART ADJ NOUN ADV	▁And ▁you ▁' ve ▁got ▁hair ▁that ▁falls ▁in ▁your ▁face ▁and ▁you ▁sort ▁of , ▁and ▁all ▁those ▁things ▁you ▁' ve ▁got ▁to ▁learn ▁to ▁cope ▁with ▁because ▁if ▁you ▁' re ▁worried ▁about ▁what ▁you ▁' re ▁doing ▁with ▁your ▁hands , ▁or ▁your ▁feet , ▁or ▁your ▁hair , ▁then ▁you ▁can ' t ▁then ▁concentrate ▁on ▁putting ▁over ▁your ▁information ▁effectively .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB VERB NOUN ADJ VERB ADP ADJ NOUN CCONJ PRON ADV ADV ADV CCONJ ADJ DET NOUN PRON VERB VERB VERB PART VERB PART VERB ADP ADP ADP PRON VERB VERB ADJ ADP NOUN PRON VERB VERB VERB ADP ADJ NOUN NOUN CCONJ ADJ NOUN NOUN CCONJ ADJ NOUN NOUN ADV PRON VERB VERB VERB ADV VERB ADP VERB PART ADJ NOUN ADV ADV
At least have some wine, to put the colour back in your face ; you came in like a ghost.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	in your face	literal	identical	ADP ADJ VERB DET NOUN PART VERB DET NOUN ADV ADP ADJ NOUN PUNCT PRON VERB PART ADP DET NOUN	▁At ▁least ▁have ▁some ▁wine , ▁to ▁put ▁the ▁colour ▁back ▁in ▁your ▁face ▁ ; ▁you ▁came ▁in ▁like ▁a ▁g host .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADP ADJ VERB DET NOUN NOUN PART VERB DET NOUN ADV ADP ADJ NOUN PUNCT PUNCT PRON VERB PART ADP DET NOUN NOUN NOUN
In - your - face and offensive, the work that results is typically experimental in form and preoccupied with the red - light subjects of sex and violence.	1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	figurative	combined-other	ADP PUNCT ADJ PUNCT NOUN CCONJ NOUN DET NOUN ADJ VERB VERB ADV ADJ ADP NOUN CCONJ VERB ADP DET ADJ PUNCT ADJ NOUN ADP NOUN CCONJ NOUN	▁In ▁- ▁your ▁- ▁face ▁and ▁offensive , ▁the ▁work ▁that ▁results ▁is ▁typically ▁experimental ▁in ▁form ▁and ▁pre occupied ▁with ▁the ▁red ▁- ▁light ▁subjects ▁of ▁sex ▁and ▁violence .	1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PUNCT ADJ PUNCT NOUN CCONJ NOUN NOUN DET NOUN ADJ VERB VERB ADV ADJ ADP NOUN CCONJ VERB VERB ADP DET ADJ PUNCT ADJ NOUN ADP NOUN CCONJ NOUN NOUN
‘ When you get into European competition sometimes they do spit in your face, pull your hair and pinch you when they pretend to help you up.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	PUNCT ADV PRON VERB ADP ADJ NOUN ADV PRON VERB VERB ADP ADJ NOUN VERB ADJ NOUN CCONJ VERB PRON ADV PRON VERB PART VERB PRON PART	▁ ‘ ▁When ▁you ▁get ▁into ▁European ▁competition ▁sometimes ▁they ▁do ▁sp it ▁in ▁your ▁face , ▁pull ▁your ▁hair ▁and ▁pinch ▁you ▁when ▁they ▁pretend ▁to ▁help ▁you ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV PRON VERB ADP ADJ NOUN ADV PRON VERB VERB VERB ADP ADJ NOUN NOUN VERB ADJ NOUN CCONJ VERB PRON ADV PRON VERB PART VERB PRON PART PART
Whereas the Mondays were once upfront and in your face, now they 've polished up their act, they 've sacrificed the power punch of their old menace.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	figurative	identical	ADP DET PROPN VERB ADV ADJ CCONJ ADP ADJ NOUN ADV PRON VERB VERB PART ADJ NOUN PRON VERB VERB DET NOUN NOUN ADP ADJ ADJ NOUN	▁Whereas ▁the ▁Monday s ▁were ▁once ▁up front ▁and ▁in ▁your ▁face , ▁now ▁they ▁' ve ▁polished ▁up ▁their ▁act , ▁they ▁' ve ▁sacrificed ▁the ▁power ▁punch ▁of ▁their ▁old ▁men ace .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET PROPN PROPN VERB ADV ADJ ADJ CCONJ ADP ADJ NOUN NOUN ADV PRON VERB VERB VERB PART ADJ NOUN NOUN PRON VERB VERB VERB DET NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN
The wind in your face produced by fast skiing has the same cooling effect and can result in frostbite.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN VERB DET ADJ VERB NOUN CCONJ VERB VERB ADP NOUN	▁The ▁wind ▁in ▁your ▁face ▁produced ▁by ▁fast ▁ski ing ▁has ▁the ▁same ▁cooling ▁effect ▁and ▁can ▁result ▁in ▁frost b ite .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN NOUN VERB DET ADJ VERB NOUN CCONJ VERB VERB ADP NOUN NOUN NOUN NOUN
Yes, I agree, ‘ if you mentioned clubs to most indie bands 18 months ago they would have spat in your face’, but only because the elitists controlled it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	in your face	literal	dashes	INTJ PRON VERB PUNCT ADP PRON VERB NOUN ADP ADV NOUN NOUN NUM NOUN ADV PRON VERB VERB VERB ADP ADJ NOUN CCONJ ADV ADP DET NOUN VERB PRON	▁Yes , ▁I ▁agree , ▁ ‘ ▁if ▁you ▁mentioned ▁clubs ▁to ▁most ▁indi e ▁bands ▁18 ▁months ▁ago ▁they ▁would ▁have ▁sp at ▁in ▁your ▁face ’ , ▁but ▁only ▁because ▁the ▁e lit ists ▁controlled ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB VERB PUNCT PUNCT ADP PRON VERB NOUN ADP ADV NOUN NOUN NOUN NUM NOUN ADV PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN NOUN CCONJ ADV ADP DET NOUN NOUN NOUN VERB PRON PRON
The real action, however, begins on Side Two with ‘ Perversonality’, an adrenalin rush of murder and hate which spits straight in your face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in your face	figurative	identical	DET ADJ NOUN ADV VERB ADP PROPN NUM ADP PROPN PROPN DET NOUN NOUN ADP NOUN CCONJ VERB ADJ VERB ADV ADP ADJ NOUN	▁The ▁real ▁action , ▁however , ▁begins ▁on ▁Side ▁Two ▁with ▁ ‘ ▁Per vers on ality ’ , ▁an ▁adrenal in ▁rush ▁of ▁murder ▁and ▁hate ▁which ▁sp its ▁straight ▁in ▁your ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADJ NOUN NOUN ADV ADV VERB ADP PROPN NUM ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN ADP NOUN CCONJ VERB ADJ VERB VERB ADV ADP ADJ NOUN NOUN
It's very much in your face.	0 0 0 1 1 1	in your face	figurative	identical	PRON ADV ADJ ADP ADJ NOUN	▁It ' s ▁very ▁much ▁in ▁your ▁face .	0 0 0 0 0 1 1 1 1	PRON PRON PRON ADV ADJ ADP ADJ NOUN NOUN
