At the moment all we 're doing is keeping the lid on a still a pretty serious problem.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	keep a lid on	figurative	inflection	ADP DET NOUN DET PRON VERB VERB VERB VERB DET NOUN ADP DET ADV DET ADV ADJ NOUN
A leading industry figure said : ‘ We could have real problems keeping a lid on this situation.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	keep a lid on	figurative	inflection	DET VERB NOUN NOUN VERB PUNCT PUNCT PRON VERB VERB ADJ NOUN VERB DET NOUN ADP DET NOUN
The new year, 1989, opened with the government barely keeping a ' lid ' on the situation.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0	keep a lid on	figurative	combined-inflection	DET ADJ NOUN NUM VERB ADP DET NOUN ADV VERB DET PUNCT NOUN PUNCT ADP DET NOUN
Or it may be there but the police and the stewards aren't allowing it to come out because they 're keeping a lid on it so efficiently these days.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	keep a lid on	figurative	inflection	CCONJ PRON VERB VERB ADV CCONJ DET NOUN CCONJ DET NOUN VERB VERB PRON PART VERB PART ADP PRON VERB VERB DET NOUN ADP PRON ADV ADV DET NOUN
But erm generally, s what we say, keeping the lid on the problem.	0 0 0 0 0 0 0 1 0 1 1 0 0	keep a lid on	figurative	inflection	CCONJ ADV ADV VERB NOUN PRON VERB VERB DET NOUN ADP DET NOUN
Third, the national and international art press have shunned ‘ WONDERS’, and the dearth of mainstream press coverage serves to keep a lid on the series.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	keep a lid on	figurative	identical	ADV DET ADJ CCONJ ADJ NOUN NOUN VERB VERB PUNCT PROPN CCONJ DET NOUN ADP ADJ NOUN NOUN VERB PART VERB DET NOUN ADP DET NOUN
Instead of controlling Government spending, and keeping the lid on inflation, the Labour Government borrowed more and more — increasing spending by over 12 per cent in just one year ( 1974–5 ), and presiding over an inflationary spiral the like of which has never been recorded before or since.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	ADV ADP VERB PROPN NOUN CCONJ VERB DET NOUN ADP NOUN DET PROPN PROPN VERB ADJ CCONJ ADV PUNCT VERB NOUN ADP ADP NUM ADP NOUN ADP ADV NUM NOUN PUNCT PROPN PUNCT CCONJ VERB ADP DET ADJ NOUN DET NOUN ADP ADJ VERB ADV VERB VERB ADP CCONJ ADV
Oh, heavens, Leith thought, trying her hardest to keep a lid on her panic.	0 0 0 0 0 0 0 0 1 0 1 1 0 0	keep a lid on	figurative	identical	INTJ NOUN PROPN VERB VERB PRON ADJ PART VERB DET NOUN ADP ADJ NOUN
But sky - high interest bills kept the lid on profits, up just one per cent to £ 353 million in the six months to July.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	CCONJ NOUN PUNCT ADJ NOUN NOUN VERB DET NOUN ADP NOUN ADV ADV NUM ADP NOUN ADP SYM NUM NUM ADP DET NUM NOUN ADP PROPN
Rosemary : ' You can keep the lid on so tightly.	0 0 0 0 0 1 0 1 1 0 0	keep a lid on	figurative	inflection	PROPN PUNCT PUNCT PRON VERB VERB DET NOUN ADP ADV ADV
Keeping the lid on his bubbly personality has always been an important part of managing Ian Wright.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	combined-inflection	VERB DET NOUN ADP ADJ ADJ NOUN VERB ADV VERB DET ADJ NOUN ADP VERB PROPN PROPN
This kept the lid on shares in both London and New York, and at the close of trading the FT - SE Index was up, but only marginally.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	DET VERB DET NOUN ADP NOUN ADP CCONJ PROPN CCONJ PROPN PROPN CCONJ ADP DET NOUN ADP VERB DET PROPN PUNCT PROPN PROPN VERB ADV CCONJ ADV ADV
The Western banks regarded Romania as a good risk : cynically, they judged that Ceauşescu would keep the lid on the pot in Romania in a way that Gierek had manifestly failed to do in Poland.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	inflection	DET ADJ NOUN VERB PROPN ADP DET ADJ NOUN PUNCT ADV PRON VERB ADP PROPN VERB VERB DET NOUN ADP DET NOUN ADP PROPN ADP DET NOUN ADJ PROPN VERB ADV VERB PART VERB ADP PROPN
If only, thought Hugh, between amusement and anxiety, if only the lady has been gracious enough and considerate enough to keep the lid firmly on that reliquary of hers, we may yet come out of this without scandal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a lid on	figurative	combined-other	ADP ADV VERB PROPN ADP NOUN CCONJ NOUN ADP ADV DET NOUN VERB VERB ADJ ADV CCONJ VERB ADV PART VERB DET NOUN ADV ADP DET NOUN ADP PRON PRON VERB ADV VERB ADP ADP DET ADP NOUN
