We 'll not allow these unelected faceless Tory supporters to keep the public in the dark.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	keep someone in the dark	figurative	combined-other	PRON VERB ADV VERB DET ADJ NOUN PROPN NOUN PART VERB DET NOUN ADP DET NOUN	▁We ▁' ll ▁not ▁allow ▁these ▁un elected ▁face less ▁To ry ▁supporters ▁to ▁keep ▁the ▁public ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1	PRON VERB VERB ADV VERB DET ADJ ADJ NOUN NOUN PROPN PROPN NOUN PART VERB DET NOUN ADP DET NOUN NOUN
Then she wondered suddenly if Tom Russell had known she would find it intimidating and had deliberately kept her in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	combined-inflection	ADV PRON VERB ADV ADP PROPN PROPN VERB VERB PRON VERB VERB PRON VERB CCONJ VERB ADV VERB PRON ADP DET NOUN	▁Then ▁she ▁wonder ed ▁suddenly ▁if ▁Tom ▁R usse ll ▁had ▁known ▁she ▁would ▁find ▁it ▁intimidat ing ▁and ▁had ▁deliberately ▁kept ▁her ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	ADV PRON VERB VERB ADV ADP PROPN PROPN PROPN PROPN VERB VERB PRON VERB VERB PRON VERB VERB CCONJ VERB ADV VERB PRON ADP DET NOUN NOUN
Washington had been kept completely in the dark over the invasion which, to make matters worse, coincided with the suppression of the Hungarian rising by Soviet tanks.	1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PROPN VERB VERB VERB ADV ADP DET NOUN ADP DET NOUN ADJ PART VERB NOUN ADJ VERB ADP DET NOUN ADP DET PROPN VERB ADP ADJ NOUN	▁Washington ▁had ▁been ▁kept ▁completely ▁in ▁the ▁dark ▁over ▁the ▁invasion ▁which , ▁to ▁make ▁matters ▁worse , ▁coincided ▁with ▁the ▁suppression ▁of ▁the ▁Hungarian ▁rising ▁by ▁Soviet ▁tanks .	1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB VERB ADV ADP DET NOUN ADP DET NOUN ADJ ADJ PART VERB NOUN ADJ ADJ VERB ADP DET NOUN ADP DET PROPN VERB ADP ADJ NOUN NOUN
For instance, I couldn't believe it when we were kept in the dark about the team until the hour before kick - off.	0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	ADP NOUN PRON VERB VERB PRON ADV PRON VERB VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN	▁For ▁instance , ▁I ▁could n ' t ▁believe ▁it ▁when ▁we ▁were ▁kept ▁in ▁the ▁dark ▁about ▁the ▁team ▁until ▁the ▁hour ▁before ▁kick ▁- ▁off .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN PRON VERB VERB VERB VERB VERB PRON ADV PRON VERB VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN NOUN
TRADING standards officers are preparing to swoop on retailers who keep customers in the dark over prices.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0	keep someone in the dark	figurative	combined-other	NOUN NOUN NOUN VERB VERB PART VERB ADP NOUN NOUN VERB NOUN ADP DET NOUN ADP NOUN	▁TRADING ▁standards ▁officers ▁are ▁preparing ▁to ▁sw o op ▁on ▁retailers ▁who ▁keep ▁customers ▁in ▁the ▁dark ▁over ▁prices .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0	NOUN NOUN NOUN VERB VERB PART VERB VERB VERB ADP NOUN NOUN VERB NOUN ADP DET NOUN ADP NOUN NOUN
LABOUR & LIBERAL DEMOCRATS WANT TO KEEP YOU IN THE DARK ABOUT :	0 0 0 0 0 0 1 1 1 0 1 0 0	keep someone in the dark	figurative	combined-other	PROPN CCONJ PROPN PROPN VERB PART VERB PRON ADP DET PROPN ADV PUNCT	▁LABOUR ▁& ▁LI BER AL ▁DEM OC RAT S ▁W ANT ▁TO ▁K EEP ▁YOU ▁IN ▁THE ▁D AR K ▁AB OUT ▁ :	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 0 0	PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PART VERB VERB PRON ADP DET PROPN PROPN PROPN ADV ADV PUNCT PUNCT
He wants to keep Portsmouth in the dark until the teams line - up for the kick - off.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-other	PRON VERB PART VERB PROPN ADP DET NOUN ADP DET NOUN NOUN PUNCT NOUN ADP DET NOUN PUNCT NOUN	▁He ▁wants ▁to ▁keep ▁Port s mouth ▁in ▁the ▁dark ▁until ▁the ▁teams ▁line ▁- ▁up ▁for ▁the ▁kick ▁- ▁off .	0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB PROPN PROPN PROPN ADP DET NOUN ADP DET NOUN NOUN PUNCT NOUN ADP DET NOUN PUNCT NOUN NOUN
‘ She deliberately kept us in the dark because she wanted to prove that she could get over this monster barrier of performing live on her own.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	PUNCT PRON ADV VERB PRON ADP DET NOUN ADP PRON VERB PART VERB ADP PRON VERB VERB ADP DET NOUN NOUN ADP VERB ADV ADP ADJ ADJ	▁ ‘ ▁She ▁deliberately ▁kept ▁us ▁in ▁the ▁dark ▁because ▁she ▁wanted ▁to ▁prove ▁that ▁she ▁could ▁get ▁over ▁this ▁monster ▁barrier ▁of ▁performing ▁live ▁on ▁her ▁own .	0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON ADV VERB PRON ADP DET NOUN ADP PRON VERB PART VERB ADP PRON VERB VERB ADP DET NOUN NOUN ADP VERB ADV ADP ADJ ADJ ADJ
The controversy extends to the US Administration, where many officials were kept in the dark over the White House initiatives.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	DET NOUN VERB ADP DET PROPN PROPN ADV ADJ NOUN VERB VERB ADP DET NOUN ADP DET PROPN PROPN NOUN	▁The ▁controversy ▁extend s ▁to ▁the ▁US ▁Administration , ▁where ▁many ▁officials ▁were ▁kept ▁in ▁the ▁dark ▁over ▁the ▁White ▁House ▁initiatives .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	DET NOUN VERB VERB ADP DET PROPN PROPN PROPN ADV ADJ NOUN VERB VERB ADP DET NOUN ADP DET PROPN PROPN NOUN NOUN
Anger that for so long manufacturers have kept us in the dark and industry’ experts’continue to make vital decisions on our behalf.	0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0	keep someone in the dark	figurative	combined-inflection	NOUN ADP ADP ADV ADJ NOUN VERB VERB PRON ADP DET ADJ CCONJ ADJ NOUN PART VERB ADJ NOUN ADP ADJ NOUN	▁An ger ▁that ▁for ▁so ▁long ▁manufacturers ▁have ▁kept ▁us ▁in ▁the ▁dark ▁and ▁industry ’ ▁experts ’ continu e ▁to ▁make ▁vital ▁decisions ▁on ▁our ▁behalf .	0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADP ADP ADV ADJ NOUN VERB VERB PRON ADP DET ADJ CCONJ ADJ ADJ NOUN NOUN NOUN NOUN PART VERB ADJ NOUN ADP ADJ NOUN NOUN
The Enterprise, that shadowy sump of money, weapons and operatives that lay behind both policies, was intended to operate in other places too, in fact to be ‘ pulled off the shelf, as North said Casey said, any time it was needed, with Congress kept well in the dark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	keep someone in the dark	figurative	combined-inflection	DET NOUN DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN ADJ VERB ADP DET NOUN VERB VERB PART VERB ADP ADJ NOUN ADV ADP NOUN PART VERB PRON VERB PART DET NOUN ADP PROPN VERB PROPN VERB DET NOUN PRON VERB VERB ADP PROPN VERB ADV ADP DET NOUN	▁The ▁Enterprise , ▁that ▁shadow y ▁sum p ▁of ▁money , ▁weapons ▁and ▁operative s ▁that ▁lay ▁behind ▁both ▁policies , ▁was ▁intended ▁to ▁operate ▁in ▁other ▁places ▁too , ▁in ▁fact ▁to ▁be ▁ ‘ ▁pulled ▁off ▁the ▁shelf , ▁as ▁North ▁said ▁Case y ▁said , ▁any ▁time ▁it ▁was ▁needed , ▁with ▁Congress ▁kept ▁well ▁in ▁the ▁dark .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	DET NOUN NOUN DET ADJ ADJ NOUN NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN ADJ VERB ADP DET NOUN NOUN VERB VERB PART VERB ADP ADJ NOUN ADV ADV ADP NOUN PART VERB PRON PRON VERB PART DET NOUN NOUN ADP PROPN VERB PROPN PROPN VERB VERB DET NOUN PRON VERB VERB VERB ADP PROPN VERB ADV ADP DET NOUN NOUN
