Shrewd movie bosses are laughing all the way to the bank — they have already planned Home Alone 3.	0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0	laugh all the way to the bank	figurative	inflection	PROPN NOUN NOUN VERB VERB ADJ DET NOUN ADP DET NOUN PUNCT PRON VERB ADV VERB NOUN ADV NUM
This talk of laughing all the way to the bank reminds me of a delightful line from Shakespeare :	0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	laugh all the way to the bank	figurative	inflection	DET NOUN ADP VERB ADJ DET NOUN ADP DET NOUN VERB PRON ADP DET ADJ NOUN ADP PROPN PUNCT
laughing all the way to the bank.	1 1 0 1 1 0 1	laugh all the way to the bank	figurative	inflection	VERB ADJ DET NOUN ADP DET NOUN
‘ In Argentina they cheat you and laugh all the way to the bank.	0 0 0 0 0 0 0 1 1 0 1 1 0 1	laugh all the way to the bank	figurative	identical	PUNCT ADP PROPN PRON VERB PRON CCONJ VERB ADJ DET NOUN ADP DET NOUN
BRITAIN 'S biggest debt collection company is laughing all the way to the bank.	0 0 0 0 0 0 0 1 1 0 1 1 0 1	laugh all the way to the bank	figurative	inflection	PROPN PART ADJ NOUN NOUN NOUN VERB VERB ADJ DET NOUN ADP DET NOUN
Believe it or not, he is that fat cheery cockney who does entirely facile washing powder and chocolate gunge bar adverts on telly for which, laughing all the way to the bank, he gets paid vast quantities of money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0	laugh all the way to the bank	figurative	inflection	VERB PRON CCONJ ADV PRON VERB ADP ADJ ADJ NOUN NOUN VERB ADV VERB NOUN NOUN CCONJ VERB NOUN NOUN NOUN ADP NOUN ADP ADJ VERB ADJ DET NOUN ADP DET NOUN PRON VERB VERB ADJ NOUN ADP NOUN
Bet he's laughing all the way to the bank!	0 0 1 1 0 1 1 0 1	laugh all the way to the bank	figurative	inflection	PROPN PRON VERB ADJ DET NOUN ADP DET NOUN
‘ General Electric must be laughing all the way to the bank,’ he says.	0 0 0 0 0 1 1 0 1 1 0 1 0 0	laugh all the way to the bank	figurative	combined-inflection	PUNCT PROPN PROPN VERB VERB VERB ADJ DET NOUN ADP DET PROPN PRON VERB
I don't know if they 're laughing all the way to the bank, but they can certainly afford to get there in a cab.	0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	laugh all the way to the bank	figurative	inflection	PRON VERB VERB ADP PRON VERB VERB ADJ DET NOUN ADP DET NOUN CCONJ PRON VERB ADV VERB PART VERB ADV ADP DET NOUN
The Newmarket trainer runs Top Class in the Longchamp spectacular and the faithful backing Brittain will expect to be laughing all the way to the bank as they help themselves to the generous 40 - 1 on offer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	laugh all the way to the bank	figurative	inflection	DET PROPN NOUN VERB PROPN PROPN ADP DET PROPN ADJ CCONJ DET ADJ NOUN PROPN VERB VERB PART VERB VERB ADJ DET NOUN ADP DET NOUN ADP PRON VERB PRON ADP DET ADJ NUM SYM NUM ADP NOUN
INVESTORS in South Wales Electricity — the smallest of the distributors — are laughing all the way to the bank.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1	laugh all the way to the bank	figurative	inflection	PROPN ADP PROPN PROPN PROPN PUNCT DET ADJ ADP DET NOUN PUNCT VERB VERB ADJ DET NOUN ADP DET NOUN
they 're laughing all the way to the bank.	0 0 1 1 0 1 1 0 1	laugh all the way to the bank	figurative	inflection	PRON VERB VERB ADJ DET NOUN ADP DET NOUN
First Edition MANILA ( Reuter)— President Aquino, admitting that the death of Ferdinand Marcos had sparked a wave of sympathy for the late dictator, urged Filipinos to stop weeping for the man who had ‘ laughed all the way to the bank.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1	laugh all the way to the bank	figurative	combined-inflection	PROPN PROPN PROPN PUNCT PROPN PROPN PROPN VERB ADP DET NOUN ADP PROPN PROPN VERB VERB DET NOUN ADP NOUN ADP DET ADJ NOUN VERB PROPN PART VERB VERB ADP DET NOUN NOUN VERB PRON VERB ADJ DET NOUN ADP DET NOUN
