He doesn't beat about the bush.	0 0 1 1 0 1	beat about the bush	figurative	identical	PRON VERB VERB ADP DET NOUN	▁He ▁does n ' t ▁beat ▁about ▁the ▁bus h .	0 0 0 0 0 1 1 0 1 1 1	PRON VERB VERB VERB VERB VERB ADP DET NOUN NOUN NOUN
No point in beating about the bush.	0 0 0 1 1 0 1	beat about the bush	figurative	inflection	DET NOUN ADP VERB ADP DET NOUN	▁No ▁point ▁in ▁be ating ▁about ▁the ▁bus h .	0 0 0 1 1 1 0 1 1 1	DET NOUN ADP VERB VERB ADP DET NOUN NOUN NOUN
I mean, let's not beat about the bush here.	0 0 0 0 1 1 0 1 0	beat about the bush	figurative	identical	PRON VERB VERB ADV VERB ADP DET NOUN ADV	▁I ▁mean , ▁let ' s ▁not ▁beat ▁about ▁the ▁bus h ▁here .	0 0 0 0 0 0 0 1 1 0 1 1 0 0	PRON VERB VERB VERB VERB VERB ADV VERB ADP DET NOUN NOUN ADV ADV
Topaz didn't beat about the bush.	0 0 1 1 0 1	beat about the bush	figurative	identical	PROPN VERB VERB ADP DET NOUN	▁Top az ▁did n ' t ▁beat ▁about ▁the ▁bus h .	0 0 0 0 0 0 1 1 0 1 1 1	PROPN PROPN VERB VERB VERB VERB VERB ADP DET NOUN NOUN NOUN
Eliot did not beat about the bush.	0 0 0 1 1 0 1	beat about the bush	figurative	identical	PROPN VERB ADV VERB ADP DET NOUN	▁Eli ot ▁did ▁not ▁beat ▁about ▁the ▁bus h .	0 0 0 0 1 1 0 1 1 1	PROPN PROPN VERB ADV VERB ADP DET NOUN NOUN NOUN
Seeing no point in beating about the bush, she spoke directly.	0 0 0 0 1 1 0 1 0 0 0	beat about the bush	figurative	inflection	VERB DET NOUN ADP VERB ADP DET NOUN PRON VERB ADV	▁See ing ▁no ▁point ▁in ▁be ating ▁about ▁the ▁bus h , ▁she ▁spoke ▁directly .	0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0	VERB VERB DET NOUN ADP VERB VERB ADP DET NOUN NOUN NOUN PRON VERB ADV ADV
That's the difference between arts and science, because you 've actually got something there you can look at and study, so you 're talking about facts, whereas in the arts side it's all airy - fairy and you 're beating about the bush a lot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	beat about the bush	figurative	inflection	DET DET NOUN ADP NOUN CCONJ NOUN ADP PRON VERB ADV VERB NOUN ADV PRON VERB VERB ADP CCONJ VERB CCONJ PRON VERB VERB ADP NOUN ADP ADP DET NOUN NOUN PRON DET NOUN PUNCT NOUN CCONJ PRON VERB VERB ADP DET NOUN DET NOUN	▁That ' s ▁the ▁difference ▁between ▁arts ▁and ▁science , ▁because ▁you ▁' ve ▁actually ▁got ▁something ▁there ▁you ▁can ▁look ▁at ▁and ▁study , ▁so ▁you ▁' re ▁talking ▁about ▁facts , ▁whereas ▁in ▁the ▁arts ▁side ▁it ' s ▁all ▁air y ▁- ▁fair y ▁and ▁you ▁' re ▁be ating ▁about ▁the ▁bus h ▁a ▁lot .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0	DET DET DET DET NOUN ADP NOUN CCONJ NOUN NOUN ADP PRON VERB VERB ADV VERB NOUN ADV PRON VERB VERB ADP CCONJ VERB VERB CCONJ PRON VERB VERB VERB ADP NOUN NOUN ADP ADP DET NOUN NOUN PRON PRON PRON DET NOUN NOUN PUNCT NOUN NOUN CCONJ PRON VERB VERB VERB VERB ADP DET NOUN NOUN DET NOUN NOUN
No point in beating about the bush.	0 0 0 1 1 0 1	beat about the bush	figurative	inflection	DET NOUN ADP VERB ADP DET NOUN	▁No ▁point ▁in ▁be ating ▁about ▁the ▁bus h .	0 0 0 1 1 1 0 1 1 1	DET NOUN ADP VERB VERB ADP DET NOUN NOUN NOUN
It's no good my beating about the bush.’	0 0 0 0 1 1 0 1	beat about the bush	figurative	combined-inflection	PRON ADV ADJ ADJ NOUN ADP DET PROPN	▁It ' s ▁no ▁good ▁my ▁be ating ▁about ▁the ▁bus h . ’	0 0 0 0 0 0 1 1 1 0 1 1 1 1	PRON PRON PRON ADV ADJ ADJ NOUN NOUN ADP DET PROPN PROPN PROPN PROPN
If you have something to say then say it, but stop beating about the bush.’	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	beat about the bush	figurative	combined-inflection	ADP PRON VERB NOUN PART VERB ADV VERB PRON CCONJ VERB VERB ADP DET PROPN	▁If ▁you ▁have ▁something ▁to ▁say ▁then ▁say ▁it , ▁but ▁stop ▁be ating ▁about ▁the ▁bus h . ’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1	ADP PRON VERB NOUN PART VERB ADV VERB PRON PRON CCONJ VERB VERB VERB ADP DET PROPN PROPN PROPN PROPN
You don't beat about the bush do you?	0 0 1 1 0 1 0 0	beat about the bush	figurative	identical	PRON VERB VERB ADP DET NOUN VERB PRON	▁You ▁don ' t ▁beat ▁about ▁the ▁bus h ▁do ▁you ?	0 0 0 0 1 1 0 1 1 0 0 0	PRON VERB VERB VERB VERB ADP DET NOUN NOUN VERB PRON PRON
