I am living it up with Survage at the Coq d'Or.	0 0 1 1 1 0 0 0 0 0 0	live it up	figurative	inflection	PRON VERB VERB PRON PART ADP PROPN ADP DET PROPN NOUN
Roxburgh's licence to live it up could be a matchwinner for a Scotland side who have lost in Switzerland and scraped a lucky home draw with Portugal in their opening Group One matches.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live it up	figurative	identical	PROPN NOUN PART VERB PRON PART VERB VERB DET NOUN ADP DET PROPN NOUN NOUN VERB VERB ADP PROPN CCONJ VERB DET ADJ NOUN NOUN ADP PROPN ADP ADJ NOUN PROPN NUM NOUN
Sam was living it up.	0 0 1 1 1	live it up	figurative	inflection	PROPN VERB VERB PRON PART
We were living on a shoestring all the time he was living it up down there.’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	live it up	figurative	inflection	PRON VERB VERB ADP DET NOUN ADJ DET NOUN PRON VERB VERB PRON PART ADP NOUN
While you 've been living it up in the lap of luxury —’	0 0 0 0 1 1 1 0 0 0 0 0 0	live it up	figurative	inflection	ADP PRON VERB VERB VERB PRON PART ADP DET NOUN ADP NOUN ADV
But as you are determined to live it up and have a good time, you must watch your health and try not to burn the candle at both ends.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live it up	figurative	identical	CCONJ ADP PRON VERB VERB PART VERB PRON PART CCONJ VERB DET ADJ NOUN PRON VERB VERB ADJ NOUN CCONJ VERB ADV PART VERB DET NOUN ADP DET NOUN
You 'd think they wouldn't want to be seen in public ; but no, there they are, living it up, and my own daughter aiding and abetting them as if she were doing some thing clever.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live it up	figurative	inflection	PRON VERB VERB PRON VERB VERB PART VERB VERB ADP NOUN PUNCT CCONJ INTJ ADV PRON VERB VERB PRON PART CCONJ ADJ ADJ NOUN VERB CCONJ VERB PRON ADP ADP PRON VERB VERB DET NOUN ADJ
I have often reflected that if the founders, Dorothy and Leonard Elmhirst, had behaved like any other rural landowners, living it up through judicious stock - market investments, no one would have raised an eyebrow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	live it up	figurative	inflection	PRON VERB ADV VERB ADP ADP DET NOUN PROPN CCONJ PROPN PROPN VERB VERB ADP DET ADJ ADJ NOUN VERB PRON PART ADP ADJ NOUN PUNCT NOUN NOUN DET NOUN VERB VERB VERB DET NOUN
But Chapman accepted that the short, stocky James was one of football's great characters, an outstanding individualist who liked to do things his own way, like living it up at West End night clubs until the early hours.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	live it up	figurative	inflection	CCONJ PROPN VERB ADP DET ADJ ADJ PROPN VERB NUM ADP NOUN ADJ NOUN DET ADJ NOUN NOUN VERB PART VERB NOUN ADJ ADJ NOUN ADP VERB PRON PART ADP PROPN PROPN NOUN NOUN ADP DET ADJ NOUN
" I thought now was supposed to be the marvellous time, and we 're all meant to be living it up, burning the candle at both ends, finding out what we want to do with our lives. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live it up	figurative	inflection	PUNCT PRON VERB ADV VERB VERB PART VERB DET ADJ NOUN CCONJ PRON VERB DET VERB PART VERB VERB PRON PART VERB DET NOUN ADP DET NOUN VERB PART NOUN PRON VERB PART VERB ADP ADJ NOUN PUNCT
This contented canine's living it up.	0 0 0 1 1 1	live it up	figurative	inflection	DET ADJ NOUN VERB PRON PART
It must be difficult if you had someone who wanted to go out all the time or if they 're sort of really living it up or something I mean	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	live it up	figurative	inflection	PRON VERB VERB ADJ ADP PRON VERB NOUN NOUN VERB PART VERB PART ADJ DET NOUN CCONJ ADP PRON VERB ADV ADV ADV VERB PRON PART CCONJ NOUN PRON VERB
‘ Honey,’ he said, without thinking, ‘ it's time you started to live it up a bit.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	live it up	figurative	identical	PUNCT PROPN PRON VERB ADP VERB PUNCT PRON NOUN PRON VERB PART VERB PRON PART DET NOUN
All the time he and Rufus were living it up, driving about the countryside in Goblander, driving to London once to buy marijuana from the dealer Rufus knew in Notting Hill, drinking and smoking ( as he had put it ) Hilbert's furniture away, all that time Vivien and her boyfriend Shiva were making arrangements to join Ecalpemos.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live it up	figurative	inflection	ADJ DET NOUN PRON CCONJ PROPN VERB VERB PRON PART VERB ADP DET NOUN ADP PROPN VERB ADP PROPN ADV PART VERB NOUN ADP DET NOUN PROPN VERB ADP PROPN PROPN NOUN CCONJ NOUN PUNCT ADP PRON VERB VERB PRON PUNCT PROPN NOUN ADV ADJ DET NOUN PROPN CCONJ ADJ NOUN PROPN VERB VERB NOUN PART VERB PROPN
It's no good looking for a man's body round here if the owner's living it up in Costa Rica.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	live it up	figurative	inflection	PRON DET ADJ VERB ADP DET NOUN NOUN NOUN ADV ADP DET NOUN VERB PRON PART ADP PROPN PROPN
A MOTHER lay dying on the floor of her home for a week while her 12-year - old son ignored her and lived it up with his pals, an inquest heard yesterday.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	live it up	figurative	inflection	DET PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN ADP ADJ NUM PUNCT ADJ NOUN VERB PRON CCONJ VERB PRON PART ADP ADJ NOUN DET NOUN VERB NOUN
Tell you what she's living it up more now than she did before!	0 0 0 0 1 1 1 0 0 0 0 0 0	live it up	figurative	inflection	VERB PRON NOUN PRON VERB PRON PART ADV ADV ADP PRON VERB ADV
Living it up then you are	1 1 1 0 0 0	live it up	figurative	combined-inflection	VERB PRON PART ADV PRON VERB
