So let's look on the bright side, Mr. Coles.	0 0 1 1 0 1 1 0 0	look on the bright side	figurative	identical	ADV VERB VERB ADP DET ADJ NOUN PROPN PROPN	▁So ▁let ' s ▁look ▁on ▁the ▁bright ▁side , ▁Mr . ▁Col es .	0 0 0 0 1 1 0 1 1 1 0 0 0 0 0	ADV VERB VERB VERB VERB ADP DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN
Always ready to look on the bright side she expected that the remission would last for a long time, and there was a conspiracy between Maureen and her mother to conceal Julia's suffering from her.	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	ADV ADJ PART VERB ADP DET ADJ NOUN PRON VERB ADP DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ ADV VERB DET NOUN ADP PROPN CCONJ ADJ NOUN PART VERB PROPN NOUN ADP PRON	▁Always ▁ready ▁to ▁look ▁on ▁the ▁bright ▁side ▁she ▁expected ▁that ▁the ▁remission ▁would ▁last ▁for ▁a ▁long ▁time , ▁and ▁there ▁was ▁a ▁con spira cy ▁between ▁M aure en ▁and ▁her ▁mother ▁to ▁conceal ▁Ju lia ' s ▁suffering ▁from ▁her .	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ PART VERB ADP DET ADJ NOUN PRON VERB ADP DET NOUN VERB VERB ADP DET ADJ NOUN NOUN CCONJ ADV VERB DET NOUN NOUN NOUN ADP PROPN PROPN PROPN CCONJ ADJ NOUN PART VERB PROPN PROPN PROPN PROPN NOUN ADP PRON PRON
Still, to look on the bright side : if they had been together all this time, by now they might already be a dull settled couple, instead of which the long separation had preserved the thrill of courtship in their marriage, with letters passing between them constantly.	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	ADV PART VERB ADP DET ADJ NOUN PUNCT ADP PRON VERB VERB ADV ADJ DET NOUN ADP ADV PRON VERB ADV VERB DET ADJ ADJ NOUN ADV ADP ADJ DET ADJ NOUN VERB VERB DET NOUN ADP NOUN ADP ADJ NOUN ADP NOUN VERB ADP PRON ADV	▁Still , ▁to ▁look ▁on ▁the ▁bright ▁side ▁ : ▁if ▁they ▁had ▁been ▁together ▁all ▁this ▁time , ▁by ▁now ▁they ▁might ▁already ▁be ▁a ▁du ll ▁settled ▁couple , ▁instead ▁of ▁which ▁the ▁long ▁separation ▁had ▁preserved ▁the ▁th rill ▁of ▁court ship ▁in ▁their ▁marriage , ▁with ▁letters ▁passing ▁between ▁them ▁constantly .	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PART VERB ADP DET ADJ NOUN PUNCT PUNCT ADP PRON VERB VERB ADV ADJ DET NOUN NOUN ADP ADV PRON VERB ADV VERB DET ADJ ADJ ADJ NOUN NOUN ADV ADP ADJ DET ADJ NOUN VERB VERB DET NOUN NOUN ADP NOUN NOUN ADP ADJ NOUN NOUN ADP NOUN VERB ADP PRON ADV ADV
and let's hope they 're all looking on the bright side of life for this week's coca cola cup games … now there was a time when Gloucester rugby would always give us a cheer … but they 're down in the dumps too …	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	inflection	CCONJ VERB VERB PRON VERB DET VERB ADP DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN NOUN NOUN NOUN PUNCT ADV ADV VERB DET NOUN ADV PROPN NOUN VERB ADV VERB PRON DET NOUN PUNCT CCONJ PRON VERB ADV ADP DET NOUN ADV PUNCT	▁and ▁let ' s ▁hope ▁they ▁' re ▁all ▁looking ▁on ▁the ▁bright ▁side ▁of ▁life ▁for ▁this ▁week ' s ▁co ca ▁col a ▁cup ▁games ▁... ▁now ▁there ▁was ▁a ▁time ▁when ▁G lo uc ester ▁ rug by ▁would ▁always ▁give ▁us ▁a ▁che er ▁... ▁but ▁they ▁' re ▁down ▁in ▁the ▁dump s ▁too ▁...	0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ VERB VERB VERB VERB PRON VERB VERB DET VERB ADP DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT ADV ADV VERB DET NOUN ADV PROPN PROPN PROPN PROPN NOUN NOUN NOUN VERB ADV VERB PRON DET NOUN NOUN PUNCT CCONJ PRON VERB VERB ADV ADP DET NOUN NOUN ADV PUNCT
' Look on the bright side, ' I kept saying : ' They 'll need munitions. '	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	case	PUNCT VERB ADP DET ADJ NOUN PUNCT PRON VERB VERB PUNCT PUNCT PRON VERB VERB NOUN PUNCT	▁' ▁Look ▁on ▁the ▁bright ▁side , ▁' ▁I ▁kept ▁saying ▁ : ▁' ▁They ▁' ll ▁need ▁munitions . ▁'	0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT VERB ADP DET ADJ NOUN NOUN PUNCT PRON VERB VERB PUNCT PUNCT PUNCT PRON VERB VERB VERB NOUN NOUN PUNCT
But, looking on the bright side, she might have more idea of how to proceed after her visit to the cuttings library that afternoon.	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	inflection	CCONJ VERB ADP DET ADJ NOUN PRON VERB VERB ADJ NOUN ADP ADV PART VERB ADP ADJ NOUN ADP DET NOUN NOUN DET NOUN	▁But , ▁looking ▁on ▁the ▁bright ▁side , ▁she ▁might ▁have ▁more ▁idea ▁of ▁how ▁to ▁proceed ▁after ▁her ▁visit ▁to ▁the ▁cutting s ▁library ▁that ▁afternoon .	0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ VERB ADP DET ADJ NOUN NOUN PRON VERB VERB ADJ NOUN ADP ADV PART VERB ADP ADJ NOUN ADP DET NOUN NOUN NOUN DET NOUN NOUN
Let's ltake a look on the bright side for once …	0 0 0 1 1 0 1 1 0 0 0	look on the bright side	figurative	identical	VERB VERB DET NOUN ADP DET ADJ NOUN ADP ADV PUNCT	▁Let ' s ▁l take ▁a ▁look ▁on ▁the ▁bright ▁side ▁for ▁once ▁...	0 0 0 0 0 0 1 1 0 1 1 0 0 0	VERB VERB VERB VERB VERB DET NOUN ADP DET ADJ NOUN ADP ADV PUNCT
Hey, look on the bright side, at least it gives them a head start for their biology GCSEs.	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	INTJ VERB ADP DET ADJ NOUN ADP ADJ PRON VERB PRON DET ADJ VERB ADP ADJ NOUN NOUN	▁He y , ▁look ▁on ▁the ▁bright ▁side , ▁at ▁least ▁it ▁gives ▁them ▁a ▁head ▁start ▁for ▁their ▁biology ▁GC SE s .	0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ VERB ADP DET ADJ NOUN NOUN ADP ADJ PRON VERB PRON DET ADJ VERB ADP ADJ NOUN NOUN NOUN NOUN NOUN
Still ; look on the bright side : they 'd have to order another one.	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	ADV PUNCT VERB ADP DET ADJ NOUN PUNCT PRON VERB VERB PART VERB DET NOUN	▁Still ▁ ; ▁look ▁on ▁the ▁bright ▁side ▁ : ▁they ▁' d ▁have ▁to ▁order ▁another ▁one .	0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV PUNCT PUNCT VERB ADP DET ADJ NOUN PUNCT PUNCT PRON VERB VERB VERB PART VERB DET NOUN NOUN
He says the children were singing’ always look on the bright side of life’which says something for the spirit of the school.	0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	PRON VERB DET NOUN VERB ADJ ADV VERB ADP DET ADJ NOUN ADP ADJ VERB NOUN ADP DET NOUN ADP DET NOUN	▁He ▁says ▁the ▁children ▁were ▁s ing ing ’ ▁always ▁look ▁on ▁the ▁bright ▁side ▁of ▁life ’ which ▁says ▁something ▁for ▁the ▁spirit ▁of ▁the ▁school .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN VERB ADJ ADJ ADJ ADJ ADV VERB ADP DET ADJ NOUN ADP ADJ ADJ ADJ VERB NOUN ADP DET NOUN ADP DET NOUN NOUN
Look on the bright side, that's what I say. '	1 1 0 1 1 0 0 0 0 0	look on the bright side	figurative	case	VERB ADP DET ADJ NOUN DET NOUN PRON VERB PUNCT	▁Look ▁on ▁the ▁bright ▁side , ▁that ' s ▁what ▁I ▁say . ▁'	1 1 0 1 1 1 0 0 0 0 0 0 0 0	VERB ADP DET ADJ NOUN NOUN DET DET DET NOUN PRON VERB VERB PUNCT
