The shoulder belays and cricket sweaters were intended to look the part.	0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	identical	DET NOUN NOUN CCONJ NOUN NOUN VERB VERB PART VERB DET NOUN	▁The ▁shoulder ▁be lay s ▁and ▁cri cke t ▁sweat ers ▁were ▁intended ▁to ▁look ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN VERB VERB PART VERB DET NOUN NOUN
I thought maybe he 'd convinced Malcolm that he was overweight — which he wasn't — and Malcolm had this real thing about us looking the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	PRON VERB ADV PRON VERB VERB PROPN ADP PRON VERB ADJ PUNCT ADJ PRON VERB PUNCT CCONJ PROPN VERB DET ADJ NOUN ADP PRON VERB DET NOUN	▁I ▁thought ▁maybe ▁he ▁' d ▁convinced ▁Mal col m ▁that ▁he ▁was ▁over weight ▁ — ▁which ▁he ▁was n ' t ▁ — ▁and ▁Mal col m ▁had ▁this ▁real ▁thing ▁about ▁us ▁looking ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV PRON VERB VERB VERB PROPN PROPN PROPN ADP PRON VERB ADJ ADJ PUNCT PUNCT ADJ PRON VERB VERB VERB VERB PUNCT PUNCT CCONJ PROPN PROPN PROPN VERB DET ADJ NOUN ADP PRON VERB DET NOUN NOUN
It may pay to be early at Catford where Dromina Duke looks the part in the second race.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	look the part	figurative	inflection	PRON VERB VERB PART VERB ADJ ADP PROPN ADV PROPN PROPN VERB DET NOUN ADP DET ADJ NOUN	▁It ▁may ▁pay ▁to ▁be ▁early ▁at ▁Cat ford ▁where ▁D rom ina ▁D uke ▁looks ▁the ▁part ▁in ▁the ▁second ▁race .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON VERB VERB PART VERB ADJ ADP PROPN PROPN ADV PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET ADJ NOUN NOUN
Flowers, a surprise call - up a month ago when the squads for the World Cup double in Poland and Norway were announced, so much looked the part as Chris Woods's stand - in that he may have leapfrogged up the goalkeeping queue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	NOUN DET NOUN NOUN PUNCT NOUN DET NOUN ADV ADV DET NOUN ADP DET PROPN PROPN ADJ ADP PROPN CCONJ PROPN VERB VERB ADV ADV VERB DET NOUN ADP PROPN PROPN NOUN PUNCT NOUN ADP PRON VERB VERB VERB PART DET VERB NOUN	▁Flower s , ▁a ▁surprise ▁call ▁- ▁up ▁a ▁month ▁ago ▁when ▁the ▁squa ds ▁for ▁the ▁World ▁C up ▁double ▁in ▁Poland ▁and ▁Norway ▁were ▁announced , ▁so ▁much ▁looked ▁the ▁part ▁as ▁Chr is ▁Wood s ' s ▁stand ▁- ▁in ▁that ▁he ▁may ▁have ▁leap fr ogged ▁up ▁the ▁goal keeping ▁queue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN DET NOUN NOUN PUNCT NOUN DET NOUN ADV ADV DET NOUN NOUN ADP DET PROPN PROPN PROPN ADJ ADP PROPN CCONJ PROPN VERB VERB VERB ADV ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN PUNCT NOUN ADP PRON VERB VERB VERB VERB VERB PART DET VERB VERB NOUN NOUN
This has recently reached Volume 4 and now really looks the part.	0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	DET VERB ADV VERB NOUN NUM CCONJ ADV ADV VERB DET NOUN	▁This ▁has ▁recently ▁reached ▁Volume ▁4 ▁and ▁now ▁really ▁looks ▁the ▁part .	0 0 0 0 0 0 0 0 0 1 0 1 1	DET VERB ADV VERB NOUN NUM CCONJ ADV ADV VERB DET NOUN NOUN
Harry Foy as Needle Nugent looked the part and always stayed in character.	0 0 0 0 0 1 0 1 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN ADP PROPN PROPN VERB DET NOUN CCONJ ADV VERB ADP NOUN	▁H arry ▁Fo y ▁as ▁Needle ▁N ug ent ▁looked ▁the ▁part ▁and ▁always ▁stayed ▁in ▁character .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN VERB DET NOUN CCONJ ADV VERB ADP NOUN NOUN
Black silk skirt maroon blouse her hair done up in a bun draped with gold jewellery oh talk about looking the part!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	ADJ NOUN NOUN NOUN ADP ADJ NOUN VERB PART ADP DET NOUN VERB ADP NOUN NOUN INTJ VERB ADP VERB DET NOUN	▁Black ▁silk ▁skirt ▁mar oon ▁bl ous e ▁her ▁hair ▁done ▁up ▁in ▁a ▁b un ▁d rap ed ▁with ▁gold ▁jewellery ▁ oh ▁talk ▁about ▁looking ▁the ▁part !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN NOUN NOUN NOUN ADP ADP ADP ADJ NOUN VERB PART ADP DET NOUN NOUN VERB VERB VERB ADP NOUN NOUN INTJ INTJ VERB ADP VERB DET NOUN NOUN
That apart Derby are unstoppable at home and it must be some consolation to Arthur Cox that the twelve million pound team he assembled at last looks the part.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	look the part	figurative	inflection	ADP ADV PROPN VERB ADJ ADP NOUN CCONJ PRON VERB VERB DET NOUN ADP PROPN PROPN ADP DET NUM NUM NOUN NOUN PRON VERB ADP ADJ VERB DET NOUN	▁That ▁apart ▁D er by ▁are ▁un stop p able ▁at ▁home ▁and ▁it ▁must ▁be ▁some ▁con so lation ▁to ▁Art hur ▁Cox ▁that ▁the ▁twelve ▁million ▁pound ▁team ▁he ▁assembled ▁at ▁last ▁looks ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADV PROPN PROPN PROPN VERB ADJ ADJ ADJ ADJ ADP NOUN CCONJ PRON VERB VERB DET NOUN NOUN NOUN ADP PROPN PROPN PROPN ADP DET NUM NUM NOUN NOUN PRON VERB ADP ADJ VERB DET NOUN NOUN
Guitarist Warren De Martini looks the part — skinny, cocky, codpiece screaming, is all tart and no voice.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	look the part	figurative	inflection	PROPN PROPN PROPN PROPN VERB DET NOUN PUNCT NOUN ADJ NOUN VERB VERB DET ADJ CCONJ DET NOUN	▁Gui tar ist ▁War ren ▁De ▁Martin i ▁looks ▁the ▁part ▁ — ▁skin ny , ▁ cock y , ▁cod piece ▁s cream ing , ▁is ▁all ▁tar t ▁and ▁no ▁voice .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN PUNCT PUNCT NOUN NOUN NOUN ADJ ADJ ADJ ADJ NOUN NOUN VERB VERB VERB VERB VERB DET ADJ ADJ CCONJ DET NOUN NOUN
Only seven years later the pope recovered this stone in the new tiara presented to him to make him look the part while anointing Napoleon as self - crowned Emperor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	look the part	figurative	identical	ADV NUM NOUN ADV DET NOUN VERB DET NOUN ADP DET ADJ NOUN VERB ADP PRON PART VERB PRON VERB DET NOUN ADP VERB PROPN ADP NOUN PUNCT VERB PROPN	▁Only ▁seven ▁years ▁later ▁the ▁po pe ▁recovered ▁this ▁stone ▁in ▁the ▁new ▁ti ara ▁presented ▁to ▁him ▁to ▁make ▁him ▁look ▁the ▁part ▁while ▁an o int ing ▁Napol e on ▁as ▁self ▁- ▁crown ed ▁E mper or .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV NUM NOUN ADV DET NOUN NOUN VERB DET NOUN ADP DET ADJ NOUN NOUN VERB ADP PRON PART VERB PRON VERB DET NOUN ADP VERB VERB VERB VERB PROPN PROPN PROPN ADP NOUN PUNCT VERB VERB PROPN PROPN PROPN PROPN
Flabbergasted experts who overlooked Lin have been saying things like “ he just did n’t look the part. ”	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	look the part	figurative	identical	ADJ NOUN NOUN VERB PROPN VERB VERB VERB NOUN ADP PUNCT PRON ADV VERB ADV VERB DET NOUN PUNCT	▁F lab berg ast ed ▁experts ▁who ▁overlooked ▁L in ▁have ▁been ▁saying ▁things ▁like ▁ “ ▁he ▁just ▁did ▁n ’ t ▁look ▁the ▁part . ▁ ”	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	ADJ ADJ ADJ ADJ ADJ NOUN NOUN VERB PROPN PROPN VERB VERB VERB NOUN ADP PUNCT PUNCT PRON ADV VERB ADV ADV ADV VERB DET NOUN NOUN PUNCT PUNCT
