I shall soon lose my own face and character for ever.	0 0 0 1 0 0 1 0 0 0 0	lose face	figurative	insertion-other	PRON VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV	▁I ▁shall ▁soon ▁lose ▁my ▁own ▁face ▁and ▁character ▁for ▁ever .	0 0 0 1 0 0 1 0 0 0 0 0	PRON VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV ADV
What face could possibly be lost by Iran, doing so small a thing?	0 1 0 0 0 1 0 0 0 0 0 0 0	lose face	figurative	misc	ADJ NOUN VERB ADV VERB VERB ADP PROPN VERB ADV ADJ DET NOUN	▁What ▁face ▁could ▁possibly ▁be ▁lost ▁by ▁Iran , ▁doing ▁so ▁small ▁a ▁thing ?	0 1 0 0 0 1 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB ADV VERB VERB ADP PROPN PROPN VERB ADV ADJ DET NOUN NOUN
I chase each of the monks and nuns round the canopy until all have been similarly consumed and thrown themselves over the battlements ; for who can bear to lose face?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB DET ADP DET NOUN CCONJ NOUN VERB DET NOUN ADP DET VERB VERB ADV VERB CCONJ VERB PRON ADP DET NOUN PUNCT ADP NOUN VERB VERB PART VERB NOUN	▁I ▁chase ▁each ▁of ▁the ▁mon ks ▁and ▁nu ns ▁round ▁the ▁can op y ▁until ▁all ▁have ▁been ▁similarly ▁consumed ▁and ▁thrown ▁themselves ▁over ▁the ▁battle ments ▁ ; ▁for ▁who ▁can ▁bear ▁to ▁lose ▁face ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB DET ADP DET NOUN NOUN CCONJ NOUN NOUN VERB DET NOUN NOUN NOUN ADP DET VERB VERB ADV VERB CCONJ VERB PRON ADP DET NOUN NOUN PUNCT PUNCT ADP NOUN VERB VERB PART VERB NOUN NOUN
‘ You lose face if you break your word, but not if you use defenceless kids as hostages to force an injured opponent into fighting you!’	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	PUNCT PRON VERB NOUN ADP PRON VERB ADJ NOUN CCONJ ADV ADP PRON VERB ADJ NOUN ADP NOUN PART VERB DET ADJ NOUN ADP VERB NOUN	▁ ‘ ▁You ▁lose ▁face ▁if ▁you ▁break ▁your ▁word , ▁but ▁not ▁if ▁you ▁use ▁defence less ▁kid s ▁as ▁hostages ▁to ▁force ▁an ▁injured ▁opp on ent ▁into ▁fighting ▁you ! ’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB NOUN ADP PRON VERB ADJ NOUN NOUN CCONJ ADV ADP PRON VERB ADJ ADJ NOUN NOUN ADP NOUN PART VERB DET ADJ NOUN NOUN NOUN ADP VERB NOUN NOUN NOUN
His package appealed primarily to upscale white suburbanites, but it has taken hold with other candidates and could be merged with Mr Clinton's platform without either side losing face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	inflection	ADJ NOUN VERB ADV PART ADJ ADJ NOUN CCONJ PRON VERB VERB NOUN ADP ADJ NOUN CCONJ VERB VERB VERB ADP PROPN PROPN NOUN ADP DET NOUN VERB NOUN	▁His ▁package ▁appealed ▁primarily ▁to ▁up scale ▁white ▁sub urban ites , ▁but ▁it ▁has ▁taken ▁hold ▁with ▁other ▁candidates ▁and ▁could ▁be ▁merged ▁with ▁Mr ▁Clinton ' s ▁platform ▁without ▁either ▁side ▁ losing ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ NOUN VERB ADV PART ADJ ADJ ADJ NOUN NOUN NOUN NOUN CCONJ PRON VERB VERB NOUN ADP ADJ NOUN CCONJ VERB VERB VERB ADP PROPN PROPN PROPN PROPN NOUN ADP DET NOUN VERB VERB NOUN NOUN
The vital thing was not to lose face.	0 0 0 0 0 0 1 1	lose face	figurative	identical	DET ADJ NOUN VERB ADV PART VERB NOUN	▁The ▁vital ▁thing ▁was ▁not ▁to ▁lose ▁face .	0 0 0 0 0 0 1 1 1	DET ADJ NOUN VERB ADV PART VERB NOUN NOUN
Officials ’ preoccupation with commanding respect and not losing face leads them to focus almost exclusively on China ’s achievements.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	NOUN PART NOUN ADP VERB NOUN CCONJ ADV VERB NOUN VERB PRON PART VERB ADV ADV ADP PROPN PART NOUN	▁Official s ▁ ’ ▁preoccupation ▁with ▁command ing ▁respect ▁and ▁not ▁ losing ▁face ▁leads ▁them ▁to ▁focus ▁almost ▁exclusively ▁on ▁China ▁ ’ s ▁achievements .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN PART PART NOUN ADP VERB VERB NOUN CCONJ ADV VERB VERB NOUN VERB PRON PART VERB ADV ADV ADP PROPN PART PART PART NOUN NOUN
Best of all Miss Martineau writes with a wry humour — of the karaoke bar that bans her as a foreigner and then welcomes her lest her Japanese host lose face ; of the popularity of sado - masochistic pornography, but without pubic hair ; of the burglar who first took his shoes off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	ADJ ADP DET PROPN PROPN VERB ADP DET ADJ NOUN PUNCT ADP DET NOUN NOUN ADJ VERB PRON ADP DET NOUN CCONJ ADV VERB PRON ADP ADJ ADJ NOUN VERB NOUN PUNCT ADP DET NOUN ADP NOUN PUNCT ADJ NOUN CCONJ ADP ADJ NOUN PUNCT ADP DET NOUN NOUN ADV VERB ADJ NOUN PART	▁Best ▁of ▁all ▁Miss ▁Martin eau ▁write s ▁with ▁a ▁w ry ▁h umour ▁ — ▁of ▁the ▁ka ra ok e ▁bar ▁that ▁ban s ▁her ▁as ▁a ▁foreign er ▁and ▁then ▁welcome s ▁her ▁lest ▁her ▁Japanese ▁host ▁lose ▁face ▁ ; ▁of ▁the ▁popular ity ▁of ▁sad o ▁- ▁ma s och istic ▁pornography , ▁but ▁without ▁pub ic ▁hair ▁ ; ▁of ▁the ▁ burg lar ▁who ▁first ▁took ▁his ▁shoes ▁off .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET PROPN PROPN PROPN VERB VERB ADP DET ADJ ADJ NOUN NOUN PUNCT PUNCT ADP DET NOUN NOUN NOUN NOUN NOUN ADJ VERB VERB PRON ADP DET NOUN NOUN CCONJ ADV VERB VERB PRON ADP ADJ ADJ NOUN VERB NOUN PUNCT PUNCT ADP DET NOUN NOUN ADP NOUN NOUN PUNCT ADJ ADJ ADJ ADJ NOUN NOUN CCONJ ADP ADJ ADJ NOUN PUNCT PUNCT ADP DET NOUN NOUN NOUN NOUN ADV VERB ADJ NOUN PART PART
Simple social skills like apologizing are given no place because the most important thing is not to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	ADJ ADJ NOUN ADP VERB VERB VERB DET NOUN ADP DET ADV ADJ NOUN VERB ADV PART VERB NOUN	▁Simple ▁social ▁skills ▁like ▁apolog izing ▁are ▁given ▁no ▁place ▁because ▁the ▁most ▁important ▁thing ▁is ▁not ▁to ▁lose ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADJ ADJ NOUN ADP VERB VERB VERB VERB DET NOUN ADP DET ADV ADJ NOUN VERB ADV PART VERB NOUN NOUN
It should have been a fairly calm journey but the car was driven by a nervous new driver who did not want to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB VERB VERB DET ADV ADJ NOUN CCONJ DET NOUN VERB VERB ADP DET ADJ ADJ NOUN NOUN VERB ADV VERB PART VERB NOUN	▁It ▁should ▁have ▁been ▁a ▁fairly ▁calm ▁journey ▁but ▁the ▁car ▁was ▁driven ▁by ▁a ▁nervous ▁new ▁driver ▁who ▁did ▁not ▁want ▁to ▁lose ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB VERB DET ADV ADJ NOUN CCONJ DET NOUN VERB VERB ADP DET ADJ ADJ NOUN NOUN VERB ADV VERB PART VERB NOUN NOUN
how to say No without losing face with their peers	0 0 0 0 0 1 1 0 0 0	lose face	figurative	inflection	ADV PART VERB INTJ ADP VERB NOUN ADP ADJ NOUN	▁how ▁to ▁say ▁No ▁without ▁ losing ▁face ▁with ▁their ▁peer s	0 0 0 0 0 1 1 1 0 0 0 0	ADV PART VERB INTJ ADP VERB VERB NOUN ADP ADJ NOUN NOUN
