' The killings are made all the more reprehensible by the fact that innocent children were involved, ' he said.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	literal	misc	PUNCT DET NOUN VERB VERB ADJ DET ADV ADJ ADP DET NOUN ADP ADJ NOUN VERB VERB PUNCT PRON VERB
It's created senior executives in water, gas and electricity, who have made a killing through massive pay rises, but they pall into insignificance, when you look at the scandal of the share allocations and what's been going on there.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	inflection	PRON VERB ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN NOUN CCONJ PRON VERB ADP NOUN ADV PRON VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN VERB VERB PART ADV
Drew Porter, head of the Ulster Bank's Personal Investment Unit in Belfast, said although the two share issues were likely to be very close together, investors may be able to ‘ make a killing’ on NIE and still be ready to snap up the BT3 opportunity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	dashes	PROPN PROPN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN ADP PROPN VERB ADP DET NUM NOUN NOUN VERB ADJ PART VERB ADV ADJ ADV NOUN VERB VERB ADJ PART PUNCT VERB DET NOUN ADP PROPN CCONJ ADV VERB ADJ PART VERB PART DET PROPN NOUN
A great inducement of ‘ start - ups’ or ‘ green - field projects’, where the original investors are in on the ground floor, is that they will make a killing if the company one day goes on to the Stock Exchange, or is gobbled up by a predator in a takeover bid.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	identical	DET ADJ NOUN ADP PUNCT NOUN PUNCT ADJ CCONJ NUM ADJ PUNCT NOUN PUNCT ADV DET ADJ NOUN VERB ADV ADP DET NOUN NOUN VERB ADP PRON VERB VERB DET NOUN ADP DET NOUN NUM NOUN VERB PART ADP DET PROPN PROPN CCONJ VERB VERB PART ADP DET NOUN ADP DET NOUN NOUN
In slump - hit Britain, one company is making a real killing	0 0 0 0 0 0 0 0 1 0 0 1	make a killing	figurative	combined-inflection	ADP NOUN PUNCT VERB PROPN NUM NOUN VERB VERB DET ADJ NOUN
Mr Steinkühler, a member of Daimler - Benz's supervisory board, made a killing by buying shares of Mercedes Holding shortly before they were exchanged for shares in Daimler - Benz.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	inflection	PROPN PROPN DET NOUN ADP PROPN PUNCT PROPN ADJ NOUN VERB DET NOUN ADP VERB NOUN ADP PROPN PROPN ADV ADP PRON VERB VERB ADP NOUN ADP PROPN PUNCT PROPN
Abattoirs make a killing abroad	0 1 0 1 0	make a killing	figurative	identical	PROPN VERB DET NOUN ADV
Pundits reckon he has his sights on at least two other UK concerns, and if you can put your finger on them before he pounces, you will make a killing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make a killing	figurative	identical	NOUN VERB PRON VERB ADJ NOUN ADP ADV ADV NUM ADJ PROPN NOUN CCONJ ADP PRON VERB VERB ADJ NOUN ADP PRON ADP PRON VERB PRON VERB VERB DET NOUN
I 'm here to make a killing.	0 0 0 0 1 0 1	make a killing	figurative	identical	PRON VERB ADV PART VERB DET NOUN
They believe MPs could make a killing as they will know the likely outcome before the vote.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	identical	PRON VERB NOUN VERB VERB DET NOUN ADP PRON VERB VERB DET ADJ NOUN ADP DET NOUN
How I made a killing from death	0 0 1 0 1 0 0	make a killing	figurative	inflection	ADV PRON VERB DET NOUN ADP NOUN
CLEVER Ulster investors are set to make a killing on the forthcoming NIE and British Telecom share sell - offs, a local building society boss predicted today.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	identical	PROPN PROPN NOUN VERB VERB PART VERB DET NOUN ADP DET ADJ PROPN CCONJ PROPN PROPN VERB NOUN PUNCT NOUN DET ADJ NOUN NOUN NOUN VERB NOUN
But an on - the - ball whisky shop could make a killing with its special EC - label malt Scotch at £ 27.70 a bottle.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make a killing	figurative	identical	CCONJ DET ADP PUNCT DET PUNCT NOUN NOUN NOUN VERB VERB DET NOUN ADP ADJ ADJ PROPN PUNCT NOUN NOUN PROPN ADP SYM NUM DET NOUN
Be under no illusion, Murder By Misadventure deserves to make a killing.	0 0 0 0 0 0 0 0 0 1 0 1	make a killing	figurative	identical	VERB ADP DET NOUN NOUN ADP PROPN VERB PART VERB DET NOUN
‘ Afterwards, you can sit back and watch the investment grow handsomely, before you offer it out to the highest bidder and make a killing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make a killing	figurative	identical	PUNCT ADV PRON VERB VERB ADV CCONJ VERB DET NOUN VERB ADV ADP PRON VERB PRON PART ADP DET ADJ NOUN CCONJ VERB DET NOUN
