As you know, I ' ve lost my job, so I ' m having trouble making ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	ADP PRON VERB PRON PUNCT VERB VERB ADJ NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB	▁As ▁you ▁know , ▁I ▁' ▁ve ▁lost ▁my ▁job , ▁so ▁I ▁' ▁m ▁having ▁trouble ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB VERB PRON PUNCT VERB VERB ADJ NOUN NOUN CCONJ PRON PUNCT VERB VERB NOUN VERB NOUN VERB VERB
They had no machinery for making ends meet.	0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	PRON VERB DET NOUN ADP VERB NOUN VERB	▁They ▁had ▁no ▁machinery ▁for ▁making ▁ends ▁meet .	0 0 0 0 0 1 1 1 1	PRON VERB DET NOUN ADP VERB NOUN VERB VERB
Mr Hodgson explained that in buying up so many small firms, who really could no longer make ends meet, he, Howard Hodgson, could do better and cheaper funerals and that no one need worry about the cost any way, because if the deceased or whoever was taking the responsibility of next - of - kin possessed less than £ 300, the DHSS would pay for the whole thing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	PROPN PROPN VERB ADP ADP VERB PART ADV ADJ ADJ NOUN NOUN ADV VERB ADV ADV VERB NOUN VERB PRON PROPN PROPN VERB VERB ADJ CCONJ ADJ NOUN CCONJ ADP DET NOUN VERB VERB ADP DET NOUN DET NOUN ADP ADP DET ADJ CCONJ NOUN VERB VERB DET NOUN ADP ADJ PUNCT ADP PUNCT NOUN VERB ADJ ADP SYM NUM DET PROPN VERB VERB ADP DET ADJ NOUN	▁Mr ▁Ho d g son ▁explained ▁that ▁in ▁buying ▁up ▁so ▁many ▁small ▁firms , ▁who ▁really ▁could ▁no ▁longer ▁make ▁ends ▁meet , ▁he , ▁How ard ▁Ho d g son , ▁could ▁do ▁better ▁and ▁cheaper ▁funeral s ▁and ▁that ▁no ▁one ▁need ▁worry ▁about ▁the ▁cost ▁any ▁way , ▁because ▁if ▁the ▁deceased ▁or ▁whoever ▁was ▁taking ▁the ▁responsibility ▁of ▁next ▁- ▁of ▁- ▁ kin ▁possess ed ▁less ▁than ▁£ ▁300 , ▁the ▁D HS S ▁would ▁pay ▁for ▁the ▁whole ▁thing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB ADP ADP VERB PART ADV ADJ ADJ NOUN NOUN NOUN ADV VERB ADV ADV VERB NOUN VERB VERB PRON PRON PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADJ CCONJ ADJ NOUN NOUN CCONJ ADP DET NOUN VERB VERB ADP DET NOUN DET NOUN NOUN ADP ADP DET ADJ CCONJ NOUN VERB VERB DET NOUN ADP ADJ PUNCT ADP PUNCT NOUN NOUN VERB VERB ADJ ADP SYM NUM NUM DET PROPN PROPN PROPN VERB VERB ADP DET ADJ NOUN NOUN
DG has over the last three to four years put a good deal of energy into reducing that cost base, but now, even with a quarterly breakeven level reduced to $ 270 m from $ 350 m, the company is struggling to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	PROPN VERB ADP DET ADJ NUM PART NUM NOUN VERB DET ADJ NOUN ADP NOUN ADP VERB DET NOUN NOUN CCONJ ADV ADV ADP DET ADJ ADJ NOUN VERB ADP SYM NUM NOUN ADP SYM NUM NOUN DET NOUN VERB VERB PART VERB NOUN VERB	▁DG ▁has ▁over ▁the ▁last ▁three ▁to ▁four ▁years ▁put ▁a ▁good ▁deal ▁of ▁energy ▁into ▁reducing ▁that ▁cost ▁base , ▁but ▁now , ▁even ▁with ▁a ▁quarterly ▁break even ▁level ▁reduced ▁to ▁$ ▁270 ▁m ▁from ▁$ ▁350 ▁m , ▁the ▁company ▁is ▁struggling ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN VERB ADP DET ADJ NUM PART NUM NOUN VERB DET ADJ NOUN ADP NOUN ADP VERB DET NOUN NOUN NOUN CCONJ ADV ADV ADV ADP DET ADJ ADJ ADJ NOUN VERB ADP SYM NUM NOUN ADP SYM NUM NOUN NOUN DET NOUN VERB VERB PART VERB NOUN VERB VERB
At first, we could make ends meet, but as it continued we became unable to cover our expenses.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	ADP ADV PRON VERB VERB NOUN VERB CCONJ ADP PRON VERB PRON VERB ADJ PART VERB ADJ NOUN	▁At ▁first , ▁we ▁could ▁make ▁ends ▁meet , ▁but ▁as ▁it ▁continued ▁we ▁became ▁unable ▁to ▁cover ▁our ▁expenses .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV ADV PRON VERB VERB NOUN VERB VERB CCONJ ADP PRON VERB PRON VERB ADJ PART VERB ADJ NOUN NOUN
Sandys acknowledged that the Army would have the greatest difficulty in making ends meet.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	inflection	NOUN VERB ADP DET PROPN VERB VERB DET ADJ NOUN ADP VERB NOUN VERB	▁San dys ▁acknowledged ▁that ▁the ▁Army ▁would ▁have ▁the ▁greatest ▁difficulty ▁in ▁making ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN VERB ADP DET PROPN VERB VERB DET ADJ NOUN ADP VERB NOUN VERB VERB
Some can no longer make ends meet.	0 0 0 0 1 1 1	make ends meet	figurative	identical	DET VERB ADV ADV VERB NOUN VERB	▁Some ▁can ▁no ▁longer ▁make ▁ends ▁meet .	0 0 0 0 1 1 1 1	DET VERB ADV ADV VERB NOUN VERB VERB
But she also had to keep house for Aunt Bessie and for a lodger she had to take in to make ends meet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	make ends meet	figurative	identical	CCONJ PRON ADV VERB PART VERB NOUN ADP PROPN PROPN CCONJ ADP DET NOUN PRON VERB PART VERB PART PART VERB NOUN VERB	▁But ▁she ▁also ▁had ▁to ▁keep ▁house ▁for ▁A unt ▁Be s s ie ▁and ▁for ▁a ▁lodge r ▁she ▁had ▁to ▁take ▁in ▁to ▁make ▁ends ▁meet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ PRON ADV VERB PART VERB NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADP DET NOUN NOUN PRON VERB PART VERB PART PART VERB NOUN VERB VERB
‘ It helps to make ends meet.’	0 0 0 0 1 1 1	make ends meet	figurative	dashes	PUNCT PRON VERB PART VERB NOUN PROPN	▁ ‘ ▁It ▁helps ▁to ▁make ▁ends ▁meet . ’	0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT PRON VERB PART VERB NOUN PROPN PROPN PROPN
The Vale Wildlife Rescue Centre in Evesham was struggling to make ends meet because the recession caused donations to dry up.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	make ends meet	figurative	identical	DET PROPN PROPN PROPN PROPN ADP PROPN VERB VERB PART VERB NOUN VERB ADP DET NOUN VERB NOUN PART VERB PART	▁The ▁Val e ▁Wild life ▁Rescue ▁Centre ▁in ▁E ves ham ▁was ▁struggling ▁to ▁make ▁ends ▁meet ▁because ▁the ▁recession ▁caused ▁donation s ▁to ▁dry ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB VERB PART VERB NOUN VERB ADP DET NOUN VERB NOUN NOUN PART VERB PART PART
I know that it has been hard to make ends meet over the past two years.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make ends meet	figurative	identical	PRON VERB ADP PRON VERB VERB ADJ PART VERB NOUN VERB ADP DET ADJ NUM NOUN	▁I ▁know ▁that ▁it ▁has ▁been ▁hard ▁to ▁make ▁ends ▁meet ▁over ▁the ▁past ▁two ▁years .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PRON VERB ADP PRON VERB VERB ADJ PART VERB NOUN VERB ADP DET ADJ NUM NOUN NOUN
