NEW ~ YORK – The upcoming G-20 meeting is a make - or - break event.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	make or break	figurative	dashes	ADJ PUNCT PROPN PUNCT DET ADJ PROPN NOUN VERB DET VERB PUNCT CCONJ PUNCT NOUN NOUN
Venables insists Taylor should be allowed to stay in charge of England's World Cup campaign for the three remaining make - or - break qualifiers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	make or break	figurative	dashes	PROPN VERB PROPN VERB VERB VERB PART VERB ADP NOUN ADP PROPN PROPN PROPN NOUN ADP DET NUM VERB NOUN PUNCT CCONJ PUNCT VERB NOUN
And what does it matter to us, ordinary businesspeople, who have day to day jobs to do which certainly do not involve make or break run - ins with unions?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make or break	figurative	identical	CCONJ NOUN VERB PRON VERB ADP PRON ADJ NOUN NOUN VERB NOUN ADP NOUN NOUN PART VERB ADJ ADV VERB ADV VERB VERB CCONJ VERB NOUN PUNCT NOUN ADP NOUN
Just as the adventurers are making ( or breaking ) camp, a thin mist drifts across their camp site, chilling everybody to the bone.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	literal	combined-inflection	ADV ADP DET NOUN VERB VERB PUNCT CCONJ VERB PUNCT NOUN DET ADJ NOUN VERB ADP ADJ NOUN NOUN VERB NOUN ADP DET NOUN
Oxford United manager Brian Horton knows tomorrow's match against Tranmere is make or break.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	make or break	figurative	identical	PROPN PROPN NOUN PROPN PROPN VERB NOUN NOUN ADP PROPN VERB VERB CCONJ VERB
In what is regarded as a make - or - break move for his political career, Mr Lamont will set out to demonstrate a clear route out of recession while underlining the Government's clamp on public spending.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	ADP NOUN VERB VERB ADP DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP ADJ ADJ NOUN PROPN PROPN VERB VERB PART PART VERB DET ADJ NOUN ADP ADP NOUN ADP VERB DET PROPN NOUN ADP ADJ NOUN
Ironically enough, the main reason for the collective's buoyant humour ( they 're all Harry Enfield jokes and Kenneth Williams double entendres ) is a forthcoming trip across the Atlantic for a five week make - or - break binge, headlining a package bill with — get this, Pop Kids — Bleach and Kingmaker!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	ADV ADV DET ADJ NOUN ADP DET NOUN ADJ NOUN PUNCT PRON VERB DET PROPN PROPN NOUN CCONJ PROPN PROPN ADJ NOUN PUNCT VERB DET ADJ NOUN ADP DET PROPN ADP DET NUM NOUN NOUN PUNCT CCONJ PUNCT NOUN NOUN VERB DET NOUN NOUN ADP PUNCT VERB DET PROPN PROPN PUNCT PROPN CCONJ PROPN
Members at the Party's Bridlington conference were told that this was a " make or break " time for the Greens.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	make or break	figurative	identical	NOUN ADP DET PROPN PROPN NOUN VERB VERB ADP DET VERB DET PUNCT VERB CCONJ VERB PUNCT NOUN ADP DET PROPN
make or break you is it?	1 1 1 0 0 0	make or break	figurative	identical	VERB CCONJ VERB PRON VERB PRON
‘ The cross connections between her and Charles were so powerful, it was very make or break,’ says Penny.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	make or break	figurative	dashes	PUNCT DET NOUN NOUN ADP PRON CCONJ PROPN VERB ADV ADJ PRON VERB ADV ADJ CCONJ PROPN VERB NOUN
On the eve of Nigel Lawson's make - or - break speech to the Tory conference in Blackpool, an opinion poll last night suggested that 68 per cent of the voters had little confidence in his management of the economy.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make or break	figurative	dashes	ADP DET NOUN ADP PROPN PROPN VERB PUNCT CCONJ PUNCT VERB NOUN ADP DET PROPN NOUN ADP PROPN DET NOUN NOUN ADJ NOUN VERB ADP NUM ADP NOUN ADP DET NOUN VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN
