He should make short work of his rivals in Ayr's opener ( 2.0 ).	0 0 1 1 1 1 0 0 0 0 0 0 0 0	make short work of	figurative	identical	PRON VERB VERB ADJ NOUN ADP ADJ NOUN ADP PROPN NOUN PUNCT NUM PUNCT
Guernsey made short work of the opposition when they won the event on home soil in 1990.	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	make short work of	figurative	inflection	PROPN VERB ADJ NOUN ADP DET NOUN ADV PRON VERB DET NOUN ADP NOUN NOUN ADP NUM
Carmen would have made short work of Michael too.	0 0 0 1 1 1 1 0 0	make short work of	figurative	inflection	NOUN VERB VERB VERB ADJ NOUN ADP PROPN ADV
The one - armed, ‘ Praying General’ Oliver Otis Howard predicted of his campaign against the Nez Perce : ‘ Think we will make short work of it’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	make short work of	figurative	identical	DET NUM PUNCT ADJ PUNCT PROPN PROPN PROPN PROPN PROPN VERB ADP ADJ NOUN ADP DET PROPN PROPN PUNCT PUNCT VERB PRON VERB VERB ADJ NOUN ADP NOUN
Geoff's Barnsdale buddies make short work of kitchen waste	0 0 0 1 1 1 1 0 0	make short work of	figurative	identical	NOUN PROPN NOUN VERB ADJ NOUN ADP NOUN NOUN
He 'd make short work of her.	0 0 1 1 1 1 0	make short work of	figurative	identical	PRON VERB VERB ADJ NOUN ADP PRON
‘ They 'll make short work of it at the end of their river trip.’	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	make short work of	figurative	identical	PUNCT PRON VERB VERB ADJ NOUN ADP PRON ADP DET NOUN ADP ADJ NOUN PUNCT
Wood mice make short work of fruit crops	0 0 1 1 1 1 0 0	make short work of	figurative	identical	NOUN NOUN VERB ADJ NOUN ADP NOUN NOUN
Unbeaten Bohunt ‘ B’ made short work of doomed Legionnaires ‘ B’.	0 0 0 0 1 1 1 1 0 0 0 0	make short work of	figurative	inflection	ADJ PROPN PUNCT PROPN VERB ADJ NOUN ADP VERB PROPN PART NOUN
Ted thought we 'd have made short work of a mere hundred thousand Hun.	0 0 0 0 0 1 1 1 1 0 0 0 0 0	make short work of	figurative	inflection	PROPN VERB PRON VERB VERB VERB ADJ NOUN ADP DET ADJ NUM NUM PROPN
The march might be a girdle of lawless palatines, only elusively within reach of the King's justice, but the shadow of royal displeasure was at least a curb there ; but Gwynedd, though it formerly owned Henry as suzerain, was a free principality, and could harbour runaways and make short work of captured felons with impunity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	make short work of	figurative	identical	DET NOUN VERB VERB DET NOUN ADP ADJ NOUN ADV ADV ADP NOUN ADP DET PROPN NOUN CCONJ DET NOUN ADP ADJ NOUN VERB ADP ADJ DET NOUN ADV PUNCT CCONJ PROPN ADP PRON ADV VERB PROPN ADP NOUN VERB DET ADJ NOUN CCONJ VERB VERB NOUN CCONJ VERB ADJ NOUN ADP VERB NOUN ADP NOUN
He suddenly muttered in exasperation and took her arm, making short work of the steps.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	make short work of	figurative	inflection	PRON ADV VERB ADP NOUN CCONJ VERB ADJ NOUN VERB ADJ NOUN ADP DET NOUN
It made short work of our Windows performance tests, WinTach, clocking up an impressive index of over 9.3.	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make short work of	figurative	inflection	PRON VERB ADJ NOUN ADP ADJ PROPN NOUN NOUN PROPN VERB PART DET ADJ NOUN ADP ADP NUM
The bruiser got up again and bought a large measure of whisky, which he gave to the bearded man, who made short work of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	make short work of	figurative	inflection	DET NOUN VERB PART ADV CCONJ VERB DET ADJ NOUN ADP NOUN ADJ PRON VERB ADP DET ADJ NOUN NOUN VERB ADJ NOUN ADP PRON
Armed with sticks and bottles and bare fists the sturdy folk of Sinkport made short work of their opponents, and Aunt Clarabel herself ended the contest by knocking Cut - throat Jake senseless with a rolling - pin.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make short work of	figurative	inflection	ADJ ADP NOUN CCONJ NOUN CCONJ ADJ NOUN DET ADJ NOUN ADP PROPN VERB ADJ NOUN ADP ADJ NOUN CCONJ PROPN PROPN PRON VERB DET NOUN ADP VERB PROPN PUNCT NOUN PROPN ADJ ADP DET ADJ PUNCT NOUN
