I went into the garden where I made an H - shaped cut through to the nest with a spade.	0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	PRON VERB ADP DET NOUN ADV PRON VERB DET NOUN PUNCT VERB NOUN PART ADP DET NOUN ADP DET NOUN
First, the surgeon made a vertical three - inch cut upwards from the base of my palm.	0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	ADV DET NOUN VERB DET ADJ NUM PUNCT NOUN NOUN ADV ADP DET NOUN ADP ADJ NOUN
Saw cuts should be made into the curve, as illustrated.	0 1 0 0 1 0 0 0 0 0	make the cut	literal	misc	VERB NOUN VERB VERB VERB ADP DET NOUN ADP VERB
Norman Swash, a Middlesbrough councillor and former process worker at Wilton, said : ' Why have they targeted the pensioners when they make their cuts?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the cut	literal	determiner-broad	PROPN PROPN DET PROPN NOUN CCONJ ADJ NOUN NOUN ADP PROPN VERB PUNCT PUNCT ADV VERB PRON VERB DET NOUN ADV PRON VERB ADJ NOUN
In one model of the mechanism of cleavage, R · Eco K is believed to make a single - stranded cut in the DNA molecule ; therefore, a complete double - stranded cleavage requires two endonuclease molecules [ 11 ].	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-other	ADP NUM NOUN ADP DET NOUN ADP NOUN NOUN PUNCT PROPN PROPN VERB VERB PART VERB DET ADJ PUNCT VERB NOUN ADP DET PROPN NOUN PUNCT ADV DET ADJ ADV PUNCT VERB NOUN VERB NUM NOUN NOUN PUNCT NUM PUNCT
The choice of words to describe America's fiscal situation matters, given the hysteria that has been whipped up in recent months, primarily by people who want to make big cuts in the country's two main entitlement programs, Social ~ Security and Medicare.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	determiner-broad	DET NOUN ADP NOUN PART VERB PROPN ADJ NOUN VERB VERB DET NOUN ADJ VERB VERB VERB PART ADP ADJ NOUN ADV ADP NOUN NOUN VERB PART VERB ADJ NOUN ADP DET NOUN NUM ADJ NOUN NOUN PROPN PUNCT PROPN CCONJ PROPN
Trim the nozzle tip to give the required sealant width, making the cut at 45 ° ( do not throw away the nozzle tip )	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	inflection	VERB DET NOUN NOUN PART VERB DET VERB NOUN NOUN VERB DET NOUN ADP NUM NOUN PUNCT VERB ADV VERB ADV DET NOUN NOUN PUNCT
The same I 'm afraid applies to the two competitors from our region, Sarah Niklin and Nina Holloway haven't made the cut and will take no further part in the tournament.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	DET ADJ PRON VERB ADJ NOUN ADP DET NUM NOUN ADP ADJ NOUN PROPN PROPN CCONJ PROPN PROPN VERB VERB DET NOUN CCONJ VERB VERB DET ADJ NOUN ADP DET NOUN
If you have single - frame advance, you will also find this very useful to help you find particular frames on which to make a cut.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the cut	literal	determiner-narrow	ADP PRON VERB ADJ PUNCT NOUN NOUN PRON VERB ADV VERB DET ADV ADJ PART VERB PRON VERB ADJ NOUN ADP ADJ PART VERB DET NOUN
The cuts were not made evenly ; Salford, for example, suffered a 44 per cent cut and Hull's grant fell by 31 per cent.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	misc	DET NOUN VERB ADV VERB ADV PUNCT PROPN ADP NOUN VERB DET NUM NOUN NOUN NOUN CCONJ PROPN NOUN VERB ADP NUM ADP NOUN
YOU have a chance to alter the top line ( membership ), if not you, as members, can look at the expenditure sheet and suggest where we start making cuts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	make the cut	literal	combined-inflection	PRON VERB DET NOUN PART VERB DET ADJ NOUN PUNCT NOUN PUNCT ADP ADV PRON ADP NOUN VERB VERB ADP DET NOUN NOUN CCONJ VERB ADV PRON VERB VERB NOUN
Make easing cuts at external and internal corners.	1 0 1 0 0 0 0 0	make the cut	literal	combined-inflection	VERB VERB NOUN ADP ADJ CCONJ ADJ NOUN
Make the cut through the floorboard as near as possible to the middle of a joist.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	case	VERB DET NOUN ADP DET NOUN ADV ADV ADP ADJ ADP DET NOUN ADP DET NOUN
Whatever may have been the problems of making the cut from Leicester to Debdale, those of the Grand Union were formidable.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	make the cut	figurative	inflection	ADJ VERB VERB VERB DET NOUN ADP VERB DET NOUN ADP PROPN ADP PROPN DET ADP DET PROPN PROPN VERB ADJ
Yet another, fortunately quite rare, follows you around when it sees secateurs in your hands and drops a few eggs into the soft pith of the stem when you make a cut, before the cut wound has had time to callus and heal itself — another reason why you should always try to confine cutting to a fine dry day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	determiner-narrow	ADV DET ADV ADV ADJ VERB PRON ADV ADV PRON VERB NOUN ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADV PRON VERB DET NOUN ADP DET NOUN NOUN VERB VERB NOUN PART VERB CCONJ VERB PRON PUNCT DET NOUN ADV PRON VERB ADV VERB PART VERB NOUN ADP DET ADJ ADJ NOUN
Earlier English inoculators had made deep cuts with the lancet and inserted large amounts of material from mature smallpox pustules, believing that protection was not obtainable unless the patient suffered a pronounced smallpox attack.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	combined-inflection	ADJ ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB ADJ NOUN ADP NOUN ADP ADJ NOUN NOUN VERB ADP NOUN VERB ADV ADJ ADP DET NOUN VERB DET VERB NOUN NOUN
A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would make the cut.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the cut	figurative	identical	DET NUM NOUN NOUN ADV ADV ADP DET ADJ NUM NOUN CCONJ DET ADJ PROPN ADP DET NUM VERB DET ADJ NOUN PART VERB ADP PRON VERB VERB DET NOUN
But supposing we had to make cuts all the same, supposing we just were forced into it, would you suggest that the best idea would be to close down one or two universities, not Sussex of course but one or two of the other universities?	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the cut	literal	deletion-determiner	CCONJ VERB PRON VERB PART VERB NOUN ADJ DET ADJ VERB PRON ADV VERB VERB ADP PRON VERB PRON VERB ADP DET ADJ NOUN VERB VERB PART VERB PART NUM CCONJ NUM NOUN ADV PROPN ADP NOUN CCONJ NUM CCONJ NUM ADP DET ADJ NOUN
