so you didn't make the grade	0 0 0 1 0 1	make the grade	figurative	identical	ADV PRON VERB VERB DET NOUN
A bronze plaque, featuring Professor Solomons, will hang in the corridors of the university alongside the other 51 inductees — including two other British chartered accountants who also made the grade, Arthur Dicksee and Lord Benson.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	make the grade	figurative	inflection	DET NOUN NOUN VERB PROPN PROPN VERB VERB ADP DET NOUN ADP DET NOUN ADP DET ADJ NUM NOUN PUNCT VERB NUM ADJ ADJ VERB NOUN NOUN ADV VERB DET NOUN PROPN PROPN CCONJ PROPN PROPN
It's also vital that your shades make the grade.	0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	PRON ADV ADJ ADP ADJ NOUN VERB DET NOUN
Rowland Jones, from Wimbledon Park Golf Club, was a promising golfer but never made the grade in comparison with the Great Triumvirate of Vardon, Braid and Taylor.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	inflection	PROPN PROPN ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN CCONJ ADV VERB DET NOUN ADP NOUN ADP DET ADJ PROPN ADP PROPN PROPN CCONJ PROPN
So what does it take to first qualify and then make the grade as a PGA European Tour player?	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	make the grade	figurative	identical	CCONJ NOUN VERB PRON VERB ADP ADV VERB CCONJ ADV VERB DET NOUN ADP DET PROPN PROPN PROPN NOUN
The new flankers could make the grade, but their efforts will be wasted if the backs rely only on crash ball to make ground.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	DET ADJ NOUN VERB VERB DET NOUN CCONJ ADJ NOUN VERB VERB VERB ADP DET NOUN VERB ADV ADP NOUN NOUN PART VERB NOUN
Sex manuals and sex therapists soon flooded the market to help people make the grade.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	NOUN NOUN CCONJ NOUN NOUN ADV VERB DET NOUN PART VERB NOUN VERB DET NOUN
Cleveland was bottom of the 107 authorities with just 67 per cent of children making the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	inflection	PROPN VERB NOUN ADP DET NUM NOUN ADP ADV NUM NOUN NOUN ADP NOUN VERB DET NOUN
Unfortunately, he has never made the grade and after knocking on the door of inter - pub midweek leagues without success, has at last found his niche at Athletico where this season he will team up with YTS trainees Adie Smith and Phil Meek.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	inflection	ADV PRON VERB ADV VERB DET NOUN CCONJ ADP VERB ADP DET NOUN ADP NOUN PUNCT NOUN ADJ NOUN ADP NOUN VERB ADP ADV VERB ADJ NOUN ADP PROPN ADV DET NOUN PRON VERB VERB PART ADP PROPN VERB PROPN PROPN CCONJ PROPN PROPN
But Patrick Farrell, who began his riding career with champion trainer Michael Dickinson, believes his hero can make the grade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	CCONJ PROPN PROPN NOUN VERB ADJ VERB NOUN ADP ADJ NOUN PROPN PROPN VERB ADJ NOUN VERB VERB DET NOUN
He had no great difficulty in getting together the numbers he required, and simply told them that if they failed to make the grade in training, they would have to return to their original units.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	PRON VERB DET ADJ NOUN ADP VERB ADV DET NOUN PRON VERB CCONJ ADV VERB PRON ADP ADP PRON VERB PART VERB DET NOUN ADP NOUN PRON VERB VERB PART VERB ADP ADJ ADJ NOUN
But for every two up - and - coming clubs that make the grade, there are always two on the way down.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	make the grade	figurative	identical	CCONJ ADP DET NUM ADV PUNCT CCONJ PUNCT VERB NOUN ADJ VERB DET NOUN ADV VERB ADV NUM ADP DET NOUN ADV
In the 1780s, when Highgate Hill was so steep and deeply rutted that carriages regularly failed to make the grade, and the drive to town sufficiently dangerous that a wise man went with pistols, a merchant called Thomas Roxborough had constructed a handsome house on Hornsey Lane, designed for him by one Henry Holland.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make the grade	figurative	identical	ADP DET NOUN ADV PROPN PROPN VERB ADV ADJ CCONJ ADV ADJ ADP NOUN ADV VERB PART VERB DET NOUN CCONJ DET NOUN ADP NOUN ADV ADJ ADP DET ADJ NOUN VERB ADP NOUN DET NOUN VERB PROPN PROPN VERB VERB DET ADJ NOUN ADP PROPN PROPN VERB ADP PRON ADP NUM PROPN PROPN
It was then that I resolved to enjoy the rest of the year, accept that I simply did not have the talent to make the professional grade, and find a job.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	make the grade	figurative	insertion-other	PRON VERB ADV ADP PRON VERB PART VERB DET NOUN ADP DET NOUN VERB ADP PRON ADV VERB ADV VERB DET NOUN PART VERB DET ADJ NOUN CCONJ VERB DET NOUN
Could do better? for marks DID your schooling make the grade?	0 0 0 0 0 0 0 0 1 0 1	make the grade	figurative	identical	VERB VERB ADJ ADP NOUN VERB ADJ NOUN VERB DET NOUN
The first thing to remember is that you have not necessarily lost your place even if you haven't quite made the grades required.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	make the grade	figurative	inflection	DET ADJ NOUN PART VERB VERB ADP PRON VERB ADV ADV VERB ADJ NOUN ADV ADP PRON VERB ADV VERB DET NOUN VERB
