‘ You might call it’ he said, ‘ a marriage of convenience.’	0 0 0 0 0 0 0 0 0 1 1 1	marriage of convenience	figurative	dashes	PUNCT PRON VERB VERB PROPN PRON VERB PUNCT DET NOUN ADP PUNCT
To trick her into a marriage of convenience,’ she accused.	0 0 0 0 0 1 1 1 0 0	marriage of convenience	figurative	dashes	PART VERB PRON ADP DET NOUN ADP NOUN PRON VERB
There's is just a marriage of er convenience.	0 0 0 0 1 1 0 1	marriage of convenience	figurative	insertion-other	ADV VERB ADV DET NOUN ADP INTJ NOUN
Should this be announced during my absence, as is not unlikely, I would you should know it as a marriage of convenience, no more.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	marriage of convenience	figurative	identical	VERB DET VERB VERB ADP ADJ NOUN ADP VERB ADV ADJ PRON VERB PRON VERB VERB PRON ADP DET NOUN ADP NOUN ADV ADV
The southern German Christian Democrats are talking of an alliance with the Greens — a marriage of convenience certainly, but a progressive, positive one, that corresponds to what Europe's richest voters want.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	DET ADJ ADJ ADJ PROPN VERB VERB ADP DET NOUN ADP DET PROPN PUNCT DET NOUN ADP NOUN ADV CCONJ DET ADJ ADJ NOUN ADJ VERB ADP NOUN PROPN ADJ NOUN VERB
In recent days, Putin decided to reaffirm the Russian - Syrian geopolitical marriage of convenience by following through on a sale of deadly arms to Bashar al - Assad ’s regime, enabling Assad ’s army to slay his opponents with greater precision and resolve.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	ADP ADJ NOUN PROPN VERB PART VERB DET ADJ PUNCT ADJ ADJ NOUN ADP NOUN ADP VERB PART ADP DET NOUN ADP ADJ NOUN ADP PROPN PROPN PUNCT PROPN PART NOUN VERB PROPN PART NOUN PART VERB ADJ NOUN ADP ADJ NOUN CCONJ NOUN
When two people are forced into a marriage of convenience, they will be an unhappy, bickering couple until the very end.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	ADV NUM NOUN VERB VERB ADP DET NOUN ADP NOUN PRON VERB VERB DET ADJ VERB NOUN ADP DET ADJ NOUN
It was a marriage of convenience.	0 0 0 1 1 1	marriage of convenience	figurative	identical	PRON VERB DET NOUN ADP NOUN
However, the differences are sufficient to make some lecturers feel that the linking of art and design is a marriage of convenience which would be better sundered, even to the extent of having separate departments.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	ADV DET NOUN VERB ADJ PART VERB DET NOUN VERB ADP DET NOUN ADP NOUN CCONJ NOUN VERB DET NOUN ADP NOUN ADJ VERB VERB ADV VERB ADV ADP DET NOUN ADP VERB ADJ NOUN
In the WFS surveys questions about marriage of the women interviewed referred to " marital unions, " i.e., " More or less stable cohabitation with a man whether based on a marriage which is sanctified by religion, law, or custom, or is simply a " marriage " of convenience. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	marriage of convenience	figurative	dashes	ADP DET PROPN NOUN NOUN ADP NOUN ADP DET NOUN VERB VERB ADP PUNCT ADJ NOUN PUNCT X PUNCT ADJ CCONJ ADV ADJ NOUN ADP DET NOUN ADP VERB ADP DET NOUN ADJ VERB VERB ADP NOUN NOUN CCONJ NOUN CCONJ VERB ADV DET PUNCT NOUN PUNCT ADP NOUN PUNCT
And so the prospects of a happily - monied marriage of convenience were ever diminishing, until an idea occurred to the pair of them — certainly to Laura Stratton.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	CCONJ ADV DET NOUN ADP DET ADV PUNCT VERB NOUN ADP NOUN VERB ADV VERB ADP DET NOUN VERB ADP DET NOUN ADP PRON PUNCT ADV ADP PROPN PROPN
The Home Office had suspected that it was a marriage of convenience, to get the woman in.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	marriage of convenience	figurative	identical	DET PROPN PROPN VERB VERB ADP PRON VERB DET NOUN ADP NOUN PART VERB DET NOUN PART
Here James's own marriage of convenience to Margaret Tudor took place in 1503, after he had sired a number of children on various mistresses.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	ADV PROPN ADJ NOUN ADP NOUN ADP PROPN PROPN VERB NOUN ADP NUM ADP PRON VERB VERB DET NOUN ADP NOUN ADP ADJ NOUN
This was a highly effective marriage of convenience, helping to balance the demand for electricity.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	DET VERB DET ADV ADJ NOUN ADP NOUN VERB PART VERB DET NOUN ADP NOUN
Though the diplomatic courtship is at an early stage, the Foreign Office is optimistic about such a marriage of convenience.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	marriage of convenience	figurative	identical	ADP DET ADJ NOUN VERB ADP DET ADJ NOUN DET PROPN PROPN VERB ADJ ADP ADJ DET NOUN ADP NOUN
It was a marriage of convenience : the loans came thick and fast.	0 0 0 1 1 1 0 0 0 0 0 0 0	marriage of convenience	figurative	identical	PRON VERB DET NOUN ADP NOUN PUNCT DET NOUN VERB ADJ CCONJ ADV
