The only thing she could do now was find Ana and mend a few fences.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	mend fences	figurative	insertion-other	DET ADJ NOUN PRON VERB VERB ADV VERB VERB PROPN CCONJ VERB DET ADJ NOUN	▁The ▁only ▁thing ▁she ▁could ▁do ▁now ▁was ▁find ▁An a ▁and ▁men d ▁a ▁few ▁fence s .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1	DET ADJ NOUN PRON VERB VERB ADV VERB VERB PROPN PROPN CCONJ VERB VERB DET ADJ NOUN NOUN NOUN
' Will we mend the fence? ' said Lee.	0 0 0 1 0 1 0 0 0	mend fences	literal	combined-inflection	PUNCT VERB PRON VERB DET NOUN PUNCT VERB PROPN	▁' ▁Will ▁we ▁men d ▁the ▁fence ? ▁' ▁said ▁Le e .	0 0 0 1 1 0 1 1 0 0 0 0 0	PUNCT VERB PRON VERB VERB DET NOUN NOUN PUNCT VERB PROPN PROPN PROPN
He has withdrawn his chapters from an authorised English translation due later this year, and is about to spend a month in America mending fences.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	mend fences	figurative	misc	PRON VERB VERB ADJ NOUN ADP DET ADJ ADJ NOUN ADJ ADV DET NOUN CCONJ VERB ADJ PART VERB DET NOUN ADP PROPN VERB NOUN	▁He ▁has ▁withdrawn ▁his ▁chapters ▁from ▁an ▁authorised ▁English ▁translation ▁due ▁later ▁this ▁year , ▁and ▁is ▁about ▁to ▁spend ▁a ▁month ▁in ▁America ▁m ending ▁fence s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB ADJ NOUN ADP DET ADJ ADJ NOUN ADJ ADV DET NOUN NOUN CCONJ VERB ADJ PART VERB DET NOUN ADP PROPN VERB VERB NOUN NOUN NOUN
Stephen Morgan wants to mend fences with the council not build obstacles.	0 0 0 0 1 1 0 0 0 0 0 0	mend fences	figurative	identical	PROPN PROPN VERB PART VERB NOUN ADP DET NOUN ADV VERB NOUN	▁Step hen ▁M organ ▁wants ▁to ▁men d ▁fence s ▁with ▁the ▁council ▁not ▁build ▁obstacles .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB PART VERB VERB NOUN NOUN ADP DET NOUN ADV VERB NOUN NOUN
Is it too late to mend fences with your ex - wife?	0 0 0 0 0 1 1 0 0 0 0 0	mend fences	figurative	identical	VERB PRON ADV ADV PART VERB NOUN ADP ADJ NUM PUNCT NOUN	▁Is ▁it ▁too ▁late ▁to ▁men d ▁fence s ▁with ▁your ▁ex ▁- ▁wife ?	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	VERB PRON ADV ADV PART VERB VERB NOUN NOUN ADP ADJ NUM PUNCT NOUN NOUN
In the 1950s Khrushchev's attempt to do so by de - throning Stalin and mending fences with Tito torpedoed two client regimes, Bierut's in Poland and Rákosi's in Hungary, whose authority derived as much from venerating the first as from anathematising the second.is	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	misc	ADP DET NOUN PROPN NOUN PART VERB ADV ADP PROPN PUNCT VERB PROPN CCONJ VERB NOUN ADP PROPN VERB NUM NOUN NOUN PROPN ADP PROPN CCONJ PROPN ADP PROPN ADJ NOUN VERB ADV ADV ADP VERB DET ADJ ADP ADP VERB DET PROPN	▁In ▁the ▁1950 s ▁Kh rus h che v ' s ▁attempt ▁to ▁do ▁so ▁by ▁de ▁- ▁thr on ing ▁Stal in ▁and ▁m ending ▁fence s ▁with ▁T ito ▁to rp ed o ed ▁two ▁client ▁regimes , ▁B ier ut ' s ▁in ▁Poland ▁and ▁R á kos i ' s ▁in ▁Hungary , ▁whose ▁authority ▁derived ▁as ▁much ▁from ▁ vener ating ▁the ▁first ▁as ▁from ▁ana the mat ising ▁the ▁second . is	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN PART VERB ADV ADP PROPN PUNCT VERB VERB VERB PROPN PROPN CCONJ VERB VERB NOUN NOUN ADP PROPN PROPN VERB VERB VERB VERB VERB NUM NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN ADP PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN ADJ NOUN VERB ADV ADV ADP VERB VERB VERB DET ADJ ADP ADP VERB VERB VERB VERB DET PROPN PROPN PROPN
The electoral campaigning in the constituencies, they said, had to be accompanied by a strengthened UWC and mended fences with the paramilitary organisations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	mend fences	figurative	misc	DET ADJ NOUN ADP DET NOUN PRON VERB VERB PART VERB VERB ADP DET VERB PROPN CCONJ VERB NOUN ADP DET ADJ NOUN	▁The ▁elector al ▁campaign ing ▁in ▁the ▁constituencies , ▁they ▁said , ▁had ▁to ▁be ▁accompanied ▁by ▁a ▁strengthened ▁U WC ▁and ▁ mended ▁fence s ▁with ▁the ▁para military ▁organisations .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	DET ADJ ADJ NOUN NOUN ADP DET NOUN NOUN PRON VERB VERB VERB PART VERB VERB ADP DET VERB PROPN PROPN CCONJ VERB VERB NOUN NOUN ADP DET ADJ ADJ NOUN NOUN
You won't be asked to mend fences or brand steers, but you will have the chance to watch the ranch hands — the wranglers — at work ; go riding or walking, or take a drive into town for some shopping.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	identical	PRON VERB VERB VERB PART VERB NOUN CCONJ NOUN NOUN CCONJ PRON VERB VERB DET NOUN PART VERB DET NOUN NOUN PUNCT DET NOUN PUNCT ADP NOUN PUNCT VERB VERB CCONJ NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET NOUN	▁You ▁won ' t ▁be ▁asked ▁to ▁men d ▁fence s ▁or ▁brand ▁steer s , ▁but ▁you ▁will ▁have ▁the ▁chance ▁to ▁watch ▁the ▁ ranch ▁hands ▁ — ▁the ▁wr angle rs ▁ — ▁at ▁work ▁ ; ▁go ▁rid ing ▁or ▁walking , ▁or ▁take ▁a ▁drive ▁into ▁town ▁for ▁some ▁shopping .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB VERB PART VERB VERB NOUN NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ PRON VERB VERB DET NOUN PART VERB DET NOUN NOUN NOUN PUNCT PUNCT DET NOUN NOUN NOUN PUNCT PUNCT ADP NOUN PUNCT PUNCT VERB VERB VERB CCONJ NOUN NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET NOUN NOUN
Anyone interested in mending fences or burning Bill Gates in effigy should call ( 415 ) 354–4454 and come on along.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	misc	NOUN ADJ ADP VERB NOUN CCONJ VERB PROPN PROPN ADP NOUN VERB VERB PUNCT NUM PUNCT ADV CCONJ VERB PART ADP	▁Any one ▁interested ▁in ▁m ending ▁fence s ▁or ▁burning ▁Bill ▁G ates ▁in ▁e ffi gy ▁should ▁call ▁( ▁415 ▁ ) ▁354 – 44 54 ▁and ▁come ▁on ▁along .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADJ ADP VERB VERB NOUN NOUN CCONJ VERB PROPN PROPN PROPN ADP NOUN NOUN NOUN VERB VERB PUNCT NUM PUNCT PUNCT ADV ADV ADV ADV CCONJ VERB PART ADP ADP
After so long thinking that the reason for our kidnap had been bad feeling between Britain and Iran, and knowing that, before the Rushdie affair at least, fences had been mended, it was hard to believe now that it had all been a mirage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	misc	ADP ADV ADJ NOUN ADP DET NOUN ADP ADJ NOUN VERB VERB ADJ NOUN ADP PROPN CCONJ PROPN CCONJ VERB ADP ADP DET PROPN NOUN ADP ADJ NOUN VERB VERB VERB PRON VERB ADJ PART VERB ADV ADP PRON VERB DET VERB DET NOUN	▁After ▁so ▁long ▁thinking ▁that ▁the ▁reason ▁for ▁our ▁kid n ap ▁had ▁been ▁bad ▁feeling ▁between ▁Britain ▁and ▁Iran , ▁and ▁knowing ▁that , ▁before ▁the ▁Ru sh di e ▁affair ▁at ▁least , ▁fence s ▁had ▁been ▁ mended , ▁it ▁was ▁hard ▁to ▁believe ▁now ▁that ▁it ▁had ▁all ▁been ▁a ▁ mir age .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN NOUN VERB VERB ADJ NOUN ADP PROPN CCONJ PROPN PROPN CCONJ VERB ADP ADP ADP DET PROPN PROPN PROPN PROPN NOUN ADP ADJ ADJ NOUN NOUN VERB VERB VERB VERB VERB PRON VERB ADJ PART VERB ADV ADP PRON VERB DET VERB DET NOUN NOUN NOUN NOUN
Opening a debate on public spending, the Prime Minister tried to mend fences with the Tory Right by vowing that Britain would not join a single European currency in the next seven years, and ruled out any return to Europe's Exchange Rate Mechanism in this Parliament.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	mend fences	figurative	identical	VERB DET NOUN ADP ADJ NOUN DET PROPN PROPN VERB PART VERB NOUN ADP DET PROPN ADV ADP VERB ADP PROPN VERB ADV VERB DET ADJ ADJ NOUN ADP DET ADJ NUM NOUN CCONJ VERB PART DET NOUN ADP PROPN PROPN PROPN PROPN ADP DET PROPN	▁Opening ▁a ▁debate ▁on ▁public ▁spending , ▁the ▁Prime ▁Minister ▁tried ▁to ▁men d ▁fence s ▁with ▁the ▁To ry ▁Right ▁by ▁vo wing ▁that ▁Britain ▁would ▁not ▁join ▁a ▁single ▁European ▁currency ▁in ▁the ▁next ▁seven ▁years , ▁and ▁ruled ▁out ▁any ▁return ▁to ▁Europe ' s ▁Exchange ▁Rate ▁Mechanism ▁in ▁this ▁Parliament .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB DET NOUN ADP ADJ NOUN NOUN DET PROPN PROPN VERB PART VERB VERB NOUN NOUN ADP DET PROPN PROPN ADV ADP VERB VERB ADP PROPN VERB ADV VERB DET ADJ ADJ NOUN ADP DET ADJ NUM NOUN NOUN CCONJ VERB PART DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADP DET PROPN PROPN
