After a good sniff round, the moment of truth … and approval.	0 0 0 0 0 0 1 1 1 0 0 0	moment of truth	figurative	identical	ADP DET ADJ NOUN ADV DET NOUN ADP NOUN PUNCT CCONJ NOUN
This is the moment of truth for the Lions the six build - up provincial games can be forgotten.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	DET VERB DET NOUN ADP NOUN ADP DET NOUN DET NUM NOUN PUNCT PART ADJ NOUN VERB VERB VERB
Sitting there in the regulation dressing gown waiting for the results of these critical proceedings, this was certainly my moment of truth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	moment of truth	figurative	identical	VERB ADV ADP DET NOUN VERB NOUN VERB ADP DET NOUN ADP DET ADJ NOUN DET VERB ADV ADJ NOUN ADP NOUN
The traditional ceremony by which candidates must stand and face the music as the returning officer reads out the results presents the moment of truth for all to see.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	moment of truth	figurative	identical	DET ADJ NOUN ADP ADJ NOUN VERB VERB CCONJ VERB DET NOUN ADP DET VERB NOUN VERB PART DET NOUN VERB DET NOUN ADP NOUN ADP DET PART VERB
And tomorrow week the men from the Oak Leaf county take on Cork in their moment of truth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	moment of truth	figurative	identical	CCONJ NOUN NOUN DET NOUN ADP DET PROPN PROPN NOUN VERB ADP PROPN ADP ADJ NOUN ADP NOUN
The Middle ~ East's Moment of Truth	0 0 0 0 1 1 1	moment of truth	figurative	case	DET PROPN PUNCT PROPN PROPN ADP PROPN
This autumn's public - spending round will be a moment of truth.	0 0 0 0 0 0 0 0 0 1 1 1	moment of truth	figurative	identical	DET NOUN NOUN PUNCT NOUN NOUN VERB VERB DET NOUN ADP NOUN
However, after a few weeks, cinema audiences dropped dramatically and the moment of truth arrived.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	moment of truth	figurative	identical	ADV ADP DET ADJ NOUN NOUN NOUN VERB ADV CCONJ DET NOUN ADP NOUN VERB
They felt sure that at the moment of truth in the polling booth most voters will consider their wallets.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	PRON VERB ADJ ADP ADP DET NOUN ADP NOUN ADP DET NOUN NOUN ADJ NOUN VERB VERB ADJ NOUN
A moment of truth is looming for both sides of this co - dependent, and ultimately dysfunctional, economic relationship.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	DET NOUN ADP NOUN VERB VERB ADP DET NOUN ADP DET NOUN PUNCT ADJ CCONJ ADV ADJ ADJ NOUN
The moment of truth comes on Tuesday when they meet unstoppable Portadown in a quarter - final at Shamrock Park, Glentoran having only qualified on goal difference.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	moment of truth	figurative	identical	DET NOUN ADP NOUN VERB ADP PROPN ADV PRON VERB ADJ PROPN ADP DET NOUN PUNCT ADJ ADP PROPN PROPN PROPN VERB ADV ADJ ADP NOUN NOUN
