a hair's breadth	yes	hair/NOUN s/PART breadth/NOUN	hair breadth	cabello amplitud	cabellos;pelos;pelo;cabello ancho;anchura;anchos;amplitud;anchuras
a little bird told me	yes	little/ADJ bird/NOUN told/VERB me/PRON tells/VERB	bird	pájaro	aves;pájaros;ave;pajarito;pájaro
a penny for your thoughts	yes	penny/NOUN for/ADP your/DET thoughts/NOUN	penny thoughts	centavir;centavo pensamientos;pensamiento	penique;centavo;pence;centavir;Pence idea;pensamientos;pensamiento
a pretty penny	yes	pretty/ADJ penny/NOUN	penny	centavir;centavo	penique;centavo;pence;centavir;Pence
above board	yes	above/ADP board/NOUN	board	tablero;tablerir	tablero;tablerir;tabla;tablón;pizarrir;pizarra;Tablero;junta;tablas;board;tableros;tablones
above par	yes	above/ADP par/NOUN	par	par	par;pars;de
across the board	yes	across/ADP board/NOUN	board	tablero;tablerir	tablero;tablerir;tabla;tablón;pizarrir;pizarra;Tablero;junta;tablas;board;tableros;tablones
act of god	yes	of/ADP god/PROPN act/NOUN	act	actuar	actuación;acto;actuar;actos
add fuel to the fire	yes	fuel/NOUN to/ADP fire/NOUN	fuel fire	combustible fuego	combustible;combustibles;gasolina;carburante Fuegos;fuegos;fuego;incendio
add insult to injury	yes	insult/NOUN to/ADP injury/NOUN add/VERB	insult injury	insulto lesión	ofensa;insultos;insulto herida;lesión;lesiones;heridas;herido
against the grain	yes	against/ADP grain/NOUN	grain	grano	granos;grano
ahead of the curve	yes	ahead/ADV of/ADP curve/NOUN	curve	curir;curva	curir;curve;curvar;curva;curvas
ahead of the game	yes	ahead/ADV of/ADP game/NOUN	game	juego	juego;juegos;games;partido;gam
all bets are off	yes	all/DET bets/NOUN were/AUX off/ADV are/AUX	bets	apuestas;apuesta	apostar;apuestas;apuesta
all hell broke loose	yes	all/DET hell/NOUN broke/VERB loose/ADV	hell	infierno	infierno;infiernos
all in a day's work	yes	all/DET in/ADP day/NOUN s/PART work/NOUN	day work	día trabajar;trabaja	days;día;day;días obra;obras;trabajo;trabajos
all over bar the shouting	yes	all/ADV over/ADP bar/NOUN shouting/NOUN	bar shouting	bar gritos;grito	barras;bares;bars;bar;barra gritar;grito;gritos;grita;gritando
all over the map	yes	all/ADV over/ADP map/NOUN	map	mapa	mapa;mapas
all over the place	yes	all/ADV over/ADP place/NOUN	place	lugar	place;placir;sitio;lugar;lugares
all over the shop	yes	all/ADV over/ADP shop/NOUN	shop	tienda;tiendar	tienda;tiendar;tiendas;negocio;shop
all over the show	yes	all/ADV over/ADP show/NOUN /PUNCT	show	show	espectáculo;show;shows;programa;mostrar;serie;muestra
all the rage	yes	all/DET rage/NOUN	rage	rabia;rabio	rabio;rabia;ira;furio;furia;rabias;iras
all things being equal	yes	all/DET things/NOUN being/AUX equal/ADJ	things	cosa;cosas	cosa;cosas;asunto;algo
an englishman's home is his castle	yes	englishman/PROPN s/PART home/NOUN is/AUX his/DET castle/NOUN /PUNCT	home castle	hogar castillo	hogar;casas;casa;home;hogares castillos;castillo;Castillos;Castillo
an old flame	yes	old/ADJ flame/NOUN	flame	fuego	llamas;llama;llamar;fuego
and all that jazz	yes	and/CCONJ all/DET that/DET jazz/NOUN	jazz	jazz	jazz;Jazz;jazzes
any port in a storm	yes	any/DET port/NOUN in/ADP storm/NOUN /PUNCT	port storm	Puerto tormenta	oporto;puerto;oportir;porte;puertos;ports tormentas;tormenta
anyone's guess	yes	anyone/PRON s/PART guess/NOUN	guess	adivinar	adivina;conjetura;adivinar;suposición
apples and oranges	yes	apples/NOUN and/CCONJ oranges/NOUN	apples oranges	manzanas;manzana naranjas;naranja	manzanas;manzán;manzana naranjar;anaranjado;naranjas;naranja
argue the toss	yes	argue/VERB toss/NOUN	toss	sacudido;sacudida	tiro;lanza;lanzamiento;lanzar;lance
armed to the teeth	yes	armed/VERB to/ADP teeth/NOUN	teeth	diente;dientes	dentadura;muela;Diente;dentaduro;diente;dientes
around the clock	yes	around/ADP clock/NOUN	clock	reloj	reloj;relojes
arse about face	yes	arse/ADJ about/ADP face/NOUN	face	cara	cara;rostros;rostro;caras
as a rule	yes	as/SCONJ rule/NOUN	rule	regla	reglas;regla;norma
as luck would have it	yes	as/SCONJ luck/NOUN would/VERB have/AUX it/PRON	luck	suerte	suerte;suertes
as the actress said to the bishop	yes	as/SCONJ actress/NOUN said/VERB to/ADP bishop/NOUN	actress bishop	Actriz obispo	actriz alfil;Obispos;obispo;obispos;Obispo
as the crow flies	yes	as/SCONJ crow/NOUN flies/VERB	crow	Cuervo	cuervo;cuervos
ask for the moon	yes	asked/VERB for/ADP moon/NOUN	moon	Luna	luna;Luna;lunas
asleep at the wheel	yes	asleep/ADJ at/ADP wheel/NOUN	wheel	rodar;rueda	rodar;volante;ruedas;rueda
at a canter	yes	at/ADP canter/NOUN	canter	galope	cantor;cater;bote;canters;catter;cantores;caters;canter;cánter
at a loose end	yes	at/ADP loose/ADJ end/NOUN	end	fin	end;fin;fines;final
at a loss for words	yes	at/ADP loss/NOUN for/ADP words/NOUN	loss words	pérdida palabra;palabras	pérdida;perdido;perdida término;palabra;palabras
at a pinch	yes	at/ADP pinch/NOUN	pinch	pellizco;pellicer	pellizco;pellicer;pellizcar;pellizque;pellizca;problema;pinzas;pinza;pellizcos;pizca;pinchazo
at a snail's pace	yes	at/ADP snail/NOUN s/PART pace/NOUN	snail pace	Caracol ritmo	caracoles;caracol pasos;paso;ritmo
at a stretch	yes	at/ADP stretch/NOUN	stretch	estirarse;estirar él	extensión;estiradura;estiramiento;exageración;tramo;estira;estirar;mucho;estiramientos;trecho;stretch
at cross purposes	yes	at/ADP cross/NOUN purposes/NOUN	cross purposes	Cruz propósito;propósitos	cruz;cross;crucifijo Propósito;propósito;propósitos;finalidad;objetivo;Propósitos
at daggers drawn	yes	at/ADP daggers/NOUN drawn/VERB	daggers	daga;dagas	puñal;daga;puñalada;dagas
at death's door	yes	at/ADP death/NOUN s/PART door/NOUN	death door	muerte puerta	muerto;muertes;Muertes;muerte puerta;puertas;Puertas
at full tilt	yes	at/ADP full/ADJ tilt/NOUN	tilt	inclinación	basculante;inclinación;tilts;inclinaciones;tilt;giro
at loggerheads	yes	at/ADP loggerheads/NOUN	loggerheads	boba	cabezota;hueca;leña;loggerheads;logger;loggerhead;leñador;tronco
at sea	yes	at/ADP sea/NOUN	sea	mar	mares;mar
at sixes and sevens	yes	at/ADP sixes/NOUN and/CCONJ sevens/NOUN	sixes sevens	seis;seises siet;sietes	seis;seises;6 siet;sietes;siete
at the coalface	yes	at/ADP coalface/NOUN /PUNCT	coalface	carbonface;carbonfacir	carbonfaz;carbón;carbonera;carbonface;carbonfaces;carbonfacir
at the crossroads	yes	at/ADP crossroads/NOUN	crossroads	cruce	camino;cruce;caminos;encrucijado;encrucijada
at the drop of a hat	yes	at/ADP drop/NOUN of/ADP hat/NOUN	drop hat	soltar sombrero	caída;gota;gotas;entrega gorro;Sombreros;gorra;sombreros;sombrero
at the end of the day	yes	at/ADP end/NOUN of/ADP day/NOUN	end day	fin día	end;fin;fines;final days;día;day;días
at your fingertips	yes	at/ADP your/DET fingertips/NOUN	fingertips	dedo;dedos	punta;dedo;dedos
away with the fairies	yes	away/ADV with/ADP fairies/NOUN /PUNCT	fairies	hadas;hada	hadas;Hada;hada;hado
babe in arms	yes	babe/NOUN in/ADP arms/NOUN	babe arms	bebé brazo;brazos	nenas;nenar;cariño;chico;bebé;chica;nena;niña arma;brazo;brazos;armas;Brazo
back to square one	yes	back/ADV to/ADP square/NOUN one/NUM	square one	cuadrado uno	cuadrados;casilla;cuadrado;plaza una;él;uno;unos;ellas
back to the drawing board	yes	back/ADV to/ADP drawing/NOUN board/NOUN	drawing board	dibujo tablero;tablerir	empate;sorteo;dibujo;sorteos;dibujos;sortear tablero;tablerir;tabla;tablón;pizarrir;pizarra;Tablero;junta;tablas;board;tableros;tablones
bag and baggage	yes	bag/NOUN and/CCONJ baggage/NOUN	bag baggage	bolso equipaje	bolsos;saco;bolsa;bolsas;bolso maleta;equipaje;bagaje;carga;equipajes
banana republic	yes	banana/PROPN republic/NOUN	republic	república	República;repúblicas;república
bang for the buck	yes	bang/NOUN for/ADP buck/NOUN	bang buck	estallir;estallido dólar	bang;golpe;flequillo;flequillos;genial;bangs;explosión dólares;pavo;buck;dolar;dolares;dinero;Buck;dólar
bang to rights	yes	bang/NOUN to/ADP rights/NOUN	bang rights	estallir;estallido derechos;derecho	bang;golpe;flequillo;flequillos;genial;bangs;explosión derechos;derecha;derecho
bar none	yes	bar/NOUN none/NOUN	bar none	bar ninguno	barras;bares;bars;bar;barra non;nones;Nones;nos;nons;nada;ninguno;";no;yo
bark up the wrong tree	yes	barking/VERB up/ADP wrong/ADJ tree/NOUN	tree	árbol	árbol;árboles;arbol
basket case	yes	basket/NOUN case/NOUN	basket case	cesta caso	cesto;canasta;cesta;cestas;canastas caja;caso;cás;casos;case;cajar;cases
batten down the hatches	yes	batten/VERB down/ADP hatches/NOUN	hatches	escotillas;escotilla	trampillar;trampilla;compuerta;escotilla;escotillas
be all ears	yes	were/AUX all/DET ears/NOUN	ears	orejas;oreja	oído;orejar;oídos;oer;oidos;oreja;orejas;oido
be left holding the baby	yes	been/AUX left/VERB holding/VERB baby/NOUN was/AUX	baby	bebé	bebés;niño;bebé;baby;beber;bebe
be my guest	yes	be/AUX my/DET guest/NOUN	guest	huésped	invitado;huésped;invitados
bear fruit	yes	fruit/NOUN bear/VERB	fruit	Fruta	frutos;fruta;frutas;fruto
bear in mind	yes	in/ADP mind/NOUN	mind	mente	mente;mentes;pensamiento
beard the lion in his den	yes	bearding/VERB lion/NOUN in/ADP his/DET den/NOUN	lion den	león guarida;guarido	leones;leon;leons;León;león;Leones dar;cueva;refugio;guaridas;antro;guarida;den;guarido
beat about the bush	yes	beat/VERB about/ADP bush/NOUN	bush	arbusto	arbustos;matorral;arbusto;zarza
beat swords into ploughshares	yes	sword/NOUN beaten/VERB into/ADP ploughshare/NOUN	sword ploughshare	espada arado	espada;espadas arado;compartidos;aradoshare;compartido;arados;aradorejas;aradoshar;aradoshares;aradoreja
beat the clock	yes	beat/VERB clock/NOUN	clock	reloj	reloj;relojes
beat the daylights out of	yes	beat/VERB daylights/NOUN out/SCONJ of/ADP	daylights	día	days;día;luz
beat the meat	yes	beat/VERB meat/NOUN	meat	carne	carne;carnes
beat the rap	yes	beat/VERB rap/NOUN	rap	rap	raps;violación;rap
bedroom eyes	yes	bedroom/NOUN eyes/NOUN /PUNCT	bedroom eyes	Cuarto ojo;ojos	dormitorios;habitación;dormitoriir;habitaciones;dormitorio mirada;ojo;ojos
beer and skittles	yes	beer/NOUN and/CCONJ skittles/NOUN	beer skittles	cerveza bolos;bolo	cerveza;cervezas Skittles;skittles;bote;skittle;esquiador;skittl;boquete;Skittle
before you can say knife	yes	before/ADP you/PRON can/VERB say/VERB knife/NOUN	knife	cuchillo	cuchillos;cuchillo;navaja
beg the question	yes	question/NOUN begs/VERB	question	pregunta;preguntar	preguntas;Pregunta;pregunta;preguntar
beggars can't be choosers	yes	beggars/NOUN ca/VERB nt/PART be/AUX choosers/NOUN	beggars choosers	mendigos;mendigo elector;Electores	mendiga;mendigos;mendigo;mendigar selectores;elector;selector;selección;elegidor
behind bars	yes	behind/ADP bars/NOUN	bars	barras;barra	barras;bares;bars;bar;barra
behind closed doors	yes	behind/ADP closed/ADJ doors/NOUN	doors	puerta;puertas	puerta;puertas;Puertas
behind someone's back	yes	behind/ADP back/NOUN	back	espalda	trasera;dors;atrás;trasero;volver;backs;respaldo;espalda
behind the curve	yes	behind/ADP curve/NOUN	curve	curir;curva	curir;curve;curvar;curva;curvas
behind the eight ball	yes	behind/ADP eight/NUM ball/NOUN	eight ball	ocho bola	ochos;8;ocho pelotas;bola;pelota;bolas
behind the scenes	yes	behind/ADP scenes/NOUN	scenes	escenas;escena	escenario;escenas;escena
bell the cat	yes	belling/VERB cat/NOUN	cat	gato	gato;cat;gatita;gatitar;gata;gatos
bells and whistles	yes	bells/NOUN and/CCONJ whistles/NOUN	bells whistles	campana;campanas silbido;silbidos	campanilla;timbre;campana;campanas silbato;silbatos;silbido;silbidos;silbar
below par	yes	below/ADP par/NOUN	par	par	par;pars;de
below the belt	yes	below/ADP belt/NOUN	belt	cinturón	correas;cinturones;cinturón;Cinturón;correa
belt and braces	yes	belt/NOUN and/CCONJ braces/NOUN	belt braces	cinturón tirant;tirantes	correas;cinturones;cinturón;Cinturón;correa aparato;ortodoxo;tirante;ortopédicos;tirantes;corsé;ortopédico;llave;brace;llaves;tirant;bracir;ortodoncia
bend someone's ear	yes	ear/NOUN bending/VERB	ear	orejar;oreja	oído;oreja;oer;oídos;oidos;orejar;orejas;oido
better the devil you know	yes	better/ADV devil/NOUN you/PRON know/VERB	devil	demonio	diablir;diablo;demonio;diablos;infierno;demonios
between a rock and a hard place	yes	between/ADP rock/NOUN and/CCONJ hard/ADJ place/NOUN	rock place	Roca lugar	rocar;piedras;rocas;rock;piedra;roca place;placir;sitio;lugar;lugares
between the devil and the deep blue sea	yes	between/ADP devil/NOUN and/CCONJ deep/ADJ blue/ADJ sea/NOUN	devil blue sea	demonio azul mar	diablir;diablo;demonio;diablos;infierno;demonios tristeza;blues;azul mares;mar
betwixt and between	yes	betwixt/NOUN and/CCONJ between/ADP	betwixt	entre	Ninguna;entre;Ninguno;ninguno;entretanto;None;dos
beyond the pale	yes	beyond/ADP pale/NOUN	pale	pálido	palidez;pálida;pálido;palidece;palido;palidecer;palidecir
big girl's blouse	yes	big/ADJ girl/NOUN s/PART blouse/NOUN	girl blouse	muchacha blús;blusa	niñas;chico;chicas;chica;niña blusas;blús;camisa;blusa
big hitter	yes	big/ADJ hitters/NOUN hitter/NOUN	hitters hitter	bateadores;bateador bateador	bateadores;hitter;asesino;hitters;bateador bateadores;hitter;asesino;hitters;bateador
birds of a feather	yes	birds/NOUN of/ADP feather/NOUN	birds feather	aves;ave pluma	aves;pájaros;ave;pajarito;pájaro plumazo;pluma;plumaje;plumas
bite someone's head off	yes	head/NOUN off/ADP bite/VERB	head	cabeza	head;cabeza;cabezas;cabezal
bite the big one	yes	bit/NOUN big/ADJ one/NOUN	bit one	poco uno	poquito;poco;bit;pedacito;trocito;pedazo;trozo;bits;pedacitir una;él;uno;unos;ellas
bite the bullet	yes	bullet/NOUN bite/VERB	bullet	bala	balas;balazo;bala
bite the dust	yes	dust/NOUN	dust	polvo	polvos;polvo
bite your lip	yes	bite/VERB your/DET lip/NOUN	lip	labio	bocazo;bocar;bocado;labio;boca;labios
bite your tongue	yes	your/DET tongue/NOUN bite/VERB	tongue	lengua	lenguaje;lengua;lenguas
bits and bobs	yes	bits/NOUN and/CCONJ bobs/PROPN	bits	bits;bit	poquito;poco;bit;pedacito;trocito;pedazo;trozo;bits;pedacitir
blaze a trail	yes	blazing/VERB trail/NOUN	trail	sendero;senderir	senderos;rastro;camino;senderir;pista;sendero
bleeding heart	yes	bleeding/VERB heart/NOUN	heart	corazón	corazones;corazón
blood and guts	yes	blood/NOUN and/CCONJ guts/NOUN	blood guts	sangre víscera;vísceras	sangría;sanger;sangre;sangres agallas;tripas;coraje;agalla;gut;corazonada;instinto;corazonado;tripa;tripo
blood and thunder	yes	blood/NOUN and/CCONJ thunder/NOUN	blood thunder	sangre trueno	sangría;sanger;sangre;sangres truenos;trueno
blood is thicker than water	yes	blood/NOUN is/AUX thicker/ADJ than/SCONJ water/NOUN	blood water	sangre agua	sangría;sanger;sangre;sangres agua;aguas
blow a fuse	yes	fuse/NOUN blew/VERB	fuse	fusible	fusibles;mecha;fusibl;fusible
blow a gasket	yes	gasket/NOUN blew/VERB	gasket	empaquetadura	Juntas;Junta;empalme;junta;juntas;junto
blow off steam	yes	blew/VERB off/ADP steam/NOUN	steam	vapor	vapores;vapor
