a hair's breadth	yes	hair/NOUN s/PART breadth/NOUN	hair breadth	haar breedte;breeden	haar;kapsel;haren;hair breedten;wijdte;breedtes;breedte;breed;breeden;brede;breedheid
a little bird told me	yes	little/ADJ bird/NOUN told/VERB me/PRON tells/VERB	bird	vogel	bird;Bird;vogels;vogeltje;Vogel;vogeltjes;duiven;Vogels;duif;vogel
a penny for your thoughts	yes	penny/NOUN for/ADP your/DET thoughts/NOUN	penny thoughts	cent gedachte;gedachten	cent;stuivertje;pence;penc;stuiver;penny;pency;Penny dacht;gedachtes;gedachten;denken;denk;idee;gedachte
a pretty penny	yes	pretty/ADJ penny/NOUN	penny	cent	cent;stuivertje;pence;penc;stuiver;penny;pency;Penny
above board	yes	above/ADP board/NOUN	board	bord	planken;board;bord;Board;Borden;plankenbord;boards;bestuur;borden;plank;Boards
above par	yes	above/ADP par/NOUN	par	par	par;paraat;pars;para
across the board	yes	across/ADP board/NOUN	board	bord	planken;board;bord;Board;Borden;plankenbord;boards;bestuur;borden;plank;Boards
act of god	yes	of/ADP god/PROPN act/NOUN	act	handeling	handeling;Act;daad;acte;optreden;actes;toneelstukje;acts;acteren;act;toneelstukken;handelingen;acteer;toneelstuk
add fuel to the fire	yes	fuel/NOUN to/ADP fire/NOUN	fuel fire	brandstof vuur	brandstof;benzine;brandstoffen;fuels;fuel branden;vuren;brand;vuurtje;vuur
add insult to injury	yes	insult/NOUN to/ADP injury/NOUN add/VERB	insult injury	belediging blessure	beledigen;beledigingen;belediging;beledigend letsel;wond;letsels;verwonding;verwondingen;blessures;winden;blessure
against the grain	yes	against/ADP grain/NOUN	grain	korrel	graankorrel;Grain;graan;korreltje;graankorrels;grains;korrel;korrels;granen;grain;graantje
ahead of the curve	yes	ahead/ADV of/ADP curve/NOUN	curve	kromme	ronding;curve;krommen;curves;kromme;bocht;bochten;rondingen;kromming;curven
ahead of the game	yes	ahead/ADV of/ADP game/NOUN	game	spel	spel;Games;spelletjes;game;spelletje;spellen;games
all bets are off	yes	all/DET bets/NOUN were/AUX off/ADV are/AUX	bets	weddenschappen;weddenschap	bets;inzet;weddenschappen;wedden;weddenschap;Weddenschap;er;gokken;gok;bet;inzetten;betten;Weddenschappen;wedde
all hell broke loose	yes	all/DET hell/NOUN broke/VERB loose/ADV	hell	hel	Hells;hells;hels;Hell;hel;hell
all in a day's work	yes	all/DET in/ADP day/NOUN s/PART work/NOUN	day work	dag werk	dagen;Dag;dag;day;days werken;klusje;klus;werkt;werk
all over bar the shouting	yes	all/ADV over/ADP bar/NOUN shouting/NOUN	bar shouting	bar schreeuwen	tralie;stangen;bar;tralies;café;kroeg;balken;streep;naamwoord;balk;streepjes;stang;bars schreeuwen;kreet;schreeuwt;roept;roep;roepen;geroep;schreeuwend;geschreeuw;schreeuw
all over the map	yes	all/ADV over/ADP map/NOUN	map	kaart	kaart;map;maps;kaarten;plattegrond
