My neighbours were anxious to have some work done on their house.	0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	determiner-broad	ADJ NOUN VERB ADJ PART VERB DET NOUN VERB ADP ADJ NOUN
She's going to model for us so she gets grub on the house.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	figurative	identical	PRON VERB PART VERB ADP PRON ADV PRON VERB NOUN ADP DET NOUN
On a new house one expects to see shrinkage cracks in the plaster on walls and ceilings, but not on the outside.	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	ADP DET ADJ NOUN PRON VERB PART VERB NOUN NOUN ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ ADV ADP DET NOUN
Scotland Yard said shots were fired at anti - terrorist squad detectives and a tactical firearms unit as they moved in on a house in Stoke Newington, north London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the house	literal	determiner-narrow	PROPN PROPN VERB NOUN VERB VERB ADP ADV PUNCT ADJ ADJ NOUN CCONJ DET ADJ NOUN NOUN ADP PRON VERB ADV ADP DET NOUN ADP PROPN PROPN NOUN PROPN
Does a neighbour keep an eye on your house while you are away?	0 0 0 0 0 0 1 0 1 0 0 0 0	on the house	literal	determiner-broad	VERB DET NOUN VERB DET NOUN ADP ADJ NOUN ADP PRON VERB ADV
And just as you would keep a watch on your neighbour's house if they were away, you should do the same for unoccupied caravans on the site and report anything suspicious immediately.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	combined-other	CCONJ ADV ADP PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB ADV PRON VERB VERB DET ADJ ADP ADJ NOUN ADP DET NOUN CCONJ VERB NOUN ADJ ADV
If I didn't go I could stay at home and work on the house.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the house	literal	identical	ADP PRON VERB VERB PRON VERB VERB ADP NOUN CCONJ NOUN ADP DET NOUN
Our neighbour, who had been given a key to check on our house while we had been away, had thoughtfully lit a fire to welcome us home.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	ADJ NOUN NOUN VERB VERB VERB DET NOUN PART VERB ADP ADJ NOUN ADP PRON VERB VERB ADV VERB ADV VERB DET NOUN PART VERB PRON ADV
There was a small top storey, a room on the flat roof which may have functioned as a sleeping place on hot summer nights : there were similar roof chambers on Egyptian houses too.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the house	literal	determiner-broad	ADV VERB DET ADJ ADJ NOUN DET NOUN ADP DET ADJ NOUN ADJ VERB VERB VERB ADP DET VERB NOUN ADP ADJ NOUN NOUN PUNCT ADV VERB ADJ ADJ NOUN ADP ADJ NOUN ADV
He says no, he says any man wanting to build an extension on his house, he's gon na sit down and gon na count the cost of it.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on the house	literal	determiner-broad	PRON VERB INTJ PRON VERB DET NOUN VERB PART VERB DET NOUN ADP ADJ NOUN PRON VERB PART VERB PART CCONJ VERB PART VERB DET NOUN ADP PRON
It's on a house is only worth what somebody will give.	0 1 0 1 0 0 0 0 0 0 0	on the house	literal	determiner-narrow	PRON ADP DET NOUN VERB ADV ADJ NOUN NOUN VERB VERB
