‘ All right, I 'll take you out to lunch one day.’	0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	PUNCT ADV ADV PRON VERB VERB PRON PART ADP NOUN NUM ADJ
They didn't even buy me lunch — we went out to lunch, but we didn't get any.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	PRON VERB ADV VERB PRON NOUN PUNCT PRON VERB PART ADP NOUN CCONJ PRON VERB VERB ADJ
‘ Could I take you out to lunch?’	0 0 0 0 0 1 1 1	out to lunch	literal	dashes	PUNCT VERB PRON VERB PRON PART ADP NOUN
Having explained carefully to Willis what he was about to do, Richard invited Pinkie out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	VERB VERB ADV ADP VERB NOUN PRON VERB ADJ PART VERB PROPN VERB PROPN PART ADP NOUN
I 've taken her out to lunch.	0 0 0 0 1 1 1	out to lunch	literal	identical	PRON VERB VERB PRON PART ADP NOUN
A suggestion that he should take her out to lunch, instead, didn't, surprisingly, fall flat.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	DET NOUN ADP PRON VERB VERB PRON PART ADP NOUN ADV VERB ADV VERB ADJ
The troll was out to lunch, the sky did not fall in and the three pals arrived without mishap at the Gruff's house.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	DET NOUN VERB ADV ADP NOUN DET NOUN VERB ADV VERB ADP CCONJ DET NUM NOUN VERB ADP NOUN ADP DET PROPN NOUN
She was so obviously upset by the break - up that I asked her out to lunch to cheer her up, and I asked her home because I thought my mother and sister might help her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB ADV ADV ADJ ADP DET NOUN PUNCT NOUN ADJ PRON VERB PRON PART ADP NOUN PART VERB PRON PART CCONJ PRON VERB ADJ NOUN ADP PRON VERB ADJ NOUN CCONJ NOUN VERB VERB PRON
He was usually invited out to lunch, resumed work or attended a concert in the evening, and then went to see Constanze, when her mother ( who was often drunk ) berated both of them.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB ADV VERB PART ADP NOUN VERB NOUN CCONJ VERB DET NOUN ADP DET NOUN CCONJ ADV VERB PART VERB PROPN ADV ADJ NOUN PUNCT NOUN VERB ADV ADJ PUNCT VERB DET ADP PRON
I 'm going out to lunch myself.’	0 0 0 1 1 1 0	out to lunch	literal	identical	PRON VERB VERB PART ADP NOUN NOUN
‘ I can't have all my staff out to lunch at the same time.’	0 0 0 0 0 0 0 1 1 1 0 0 0 0	out to lunch	literal	identical	PUNCT PRON VERB VERB DET ADJ NOUN PART ADP NOUN ADP DET ADJ NOUN
I had called Professor Ruiperez from my hostal, and at once he came to take me out to lunch at an expensive restaurant featuring all the local dishes, including a hearty paella and fine Rioja wines.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB PROPN PROPN ADP ADJ ADJ CCONJ ADP ADV PRON VERB PART VERB PRON PART ADP NOUN ADP DET ADJ NOUN VERB ADJ DET ADJ NOUN VERB DET ADJ NOUN CCONJ ADJ PROPN NOUN
and him, my mother was away and erm I was with him and we went out he took me out to lunch and he took me shopping and stu well I mean he took, but he was really really, you know how your father always dotes on you if it's just you and him?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	CCONJ PRON ADJ NOUN VERB ADV CCONJ NOUN PRON VERB ADP PRON CCONJ PRON VERB PART PRON VERB PRON PART ADP NOUN CCONJ PRON VERB PRON NOUN CCONJ NOUN INTJ PRON VERB PRON VERB CCONJ PRON VERB ADV ADV PRON VERB ADV ADJ NOUN ADV VERB ADP PRON ADP PRON ADV PRON CCONJ PRON
Come Friday, take her out to lunch ( and make sure that it's the best restaurant around and, furthermore, that you pay — not the company ).	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PROPN PROPN VERB PRON PART ADP NOUN PUNCT CCONJ VERB ADJ ADP PRON DET ADJ NOUN ADV CCONJ ADV ADP PRON VERB PUNCT ADV DET NOUN PUNCT
We went out to lunch to er Tesco's we got to pick Christopher up from school and we went just for lunch time, that was quite nice	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PART ADP NOUN ADP INTJ PROPN PRON VERB PART VERB PROPN PART ADP NOUN CCONJ PRON VERB ADV ADP NOUN NOUN ADJ VERB ADV ADJ
Next spring, a messenger from the hospital told me that two of those men had come back to say ‘ Thank you’ and take Deputy Superintendent Dr Lloyd out to lunch to celebrate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	ADJ NOUN DET NOUN ADP DET NOUN VERB PRON ADP NUM ADP DET NOUN VERB VERB ADV PART VERB PUNCT PROPN NOUN CCONJ VERB PROPN PROPN PROPN PROPN PART ADP NOUN PART VERB
‘ I think he's finally out to lunch.	0 0 0 0 0 1 1 1	out to lunch	figurative	identical	PUNCT PRON VERB PRON ADV ADP ADP NOUN
‘ We are going out to lunch,’ Alain informed her, reading her expression with little difficulty.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	out to lunch	literal	dashes	PUNCT PRON VERB VERB PART ADP PROPN PROPN VERB PRON VERB ADJ NOUN ADP ADJ NOUN
And we 're all going to go out to lunch together.	0 0 0 0 0 0 0 1 1 1 0	out to lunch	literal	identical	CCONJ PRON VERB DET VERB PART VERB PART ADP NOUN ADV
Don't you have a boyfriend to take you out to lunch?’	0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	dashes	VERB PRON VERB DET NOUN PART VERB PRON PART ADP NOUN
That is why reporters at Westminster spend half their time drinking in the bars or taking politicians out to lunch and dinner.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	DET VERB ADV NOUN ADP PROPN VERB ADJ ADJ NOUN NOUN ADP DET NOUN CCONJ VERB NOUN PART ADP NOUN CCONJ NOUN
He reminded her of her concern when she had heard her father had gone out to lunch the day he died, and he put it to her that she had guessed whom he had met.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PRON ADP ADJ NOUN ADV PRON VERB VERB ADJ NOUN VERB VERB ADV ADP NOUN DET NOUN PRON VERB CCONJ PRON VERB PRON ADP PRON ADP PRON VERB VERB NOUN PRON VERB VERB
I rang Sorrel's flat from Sergeant Purvis's desk, and as he was out to lunch I sat on it and rearranged his pencils in a petty and thoroughly satisfying bit of vandalism.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB PROPN ADJ ADP PROPN PROPN NOUN CCONJ ADP PRON VERB ADV ADP NOUN PRON VERB ADP PRON CCONJ VERB ADJ NOUN ADP DET ADJ CCONJ ADV VERB NOUN ADP NOUN
‘ Why me Lord?’ is asking God if he was out to lunch when this painful incident occurred.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out to lunch	literal	identical	PUNCT ADV PRON VERB VERB VERB PROPN ADP PRON VERB ADV ADP NOUN ADV DET ADJ NOUN VERB
Which was why, on Thursday 13th December, he was taking Gerald Venables out to lunch.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	identical	ADJ VERB ADV ADP PROPN NOUN PROPN PRON VERB VERB PROPN PROPN PART ADP NOUN
" Where do you go when you take people out to lunch from the office? "	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	out to lunch	literal	identical	PUNCT ADV VERB PRON VERB ADV PRON VERB NOUN PART ADP NOUN ADP DET NOUN PUNCT
‘ Haven't you noticed how often he takes his dear friend Councillor Waverly out to lunch?’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out to lunch	literal	dashes	PUNCT VERB PRON VERB ADV ADV PRON VERB ADJ ADJ NOUN PROPN PROPN ADP ADP NOUN
Mother Francis stood at a window and watched little Eve go down the long avenue of the convent out to Sunday lunch on her own with the Hogans.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	out to lunch	literal	insertion-other	PROPN PROPN VERB ADP DET NOUN CCONJ VERB ADJ PROPN VERB ADP DET ADJ NOUN ADP DET NOUN PART ADP PROPN NOUN ADP ADJ ADJ ADP DET PROPN
She was invited to a few parties, kissed good - night outside her door in South Kensington, taken out to lunch by a young man training to be a chartered accountant, and to an Italian film by another who was ‘ in the City’ ; she was beginning to forget about Rupert when one evening towards the end of January she was later than usual leaving Toogood and Shelve, the publishers, where she worked as secretary to Mr Shelve.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	PRON VERB VERB ADP DET ADJ NOUN VERB ADJ PUNCT NOUN ADP ADJ NOUN ADP PROPN PROPN VERB PART ADP NOUN ADP DET ADJ NOUN VERB PART VERB DET VERB NOUN CCONJ ADP DET ADJ NOUN ADP DET NOUN VERB VERB ADP DET NOUN PUNCT PRON VERB VERB PART VERB ADP PROPN ADV NUM NOUN ADP DET NOUN ADP PROPN PRON VERB ADV ADP ADJ VERB PROPN CCONJ PROPN DET NOUN ADV PRON VERB ADP NOUN ADP PROPN PROPN
The producer, a blase+ young woman, toyed with a lettuce leaf and an olive, but on the rare occasions I am asked out to lunch I generally do without breakfast, so I made up for her and discussed the shooting schedule ( you soon pick up the jargon ) with the director.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	DET NOUN DET NOUN ADJ NOUN VERB ADP DET NOUN NOUN CCONJ DET NOUN CCONJ ADP DET ADJ NOUN PRON VERB VERB PART ADP NOUN PRON ADV VERB ADP NOUN CCONJ PRON VERB PART ADP PRON CCONJ VERB DET NOUN NOUN PUNCT PRON ADV VERB PART DET NOUN PUNCT ADP DET NOUN
I treated me and mum out to lunch.	0 0 0 0 0 1 1 1	out to lunch	literal	identical	PRON VERB PRON CCONJ VERB PART ADP NOUN
A couple more to show you then you can practise these when you have a bit more practice time so we can get you out to lunch on time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out to lunch	literal	identical	DET NOUN ADJ PART VERB PRON ADV PRON VERB VERB DET ADV PRON VERB DET NOUN ADJ NOUN NOUN ADP PRON VERB VERB PRON PART ADP NOUN ADP NOUN
Right, well we want to make sure that you can get out to lunch sort of by, that's running a bit fast that clock, we 'd like to get you out to lunch by about half past twelve otherwise you 'll end up being late don't you with all the other people	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out to lunch	literal	identical	INTJ INTJ PRON VERB PART VERB ADJ ADP PRON VERB VERB PART ADP NOUN ADV ADV ADV DET VERB DET NOUN ADV ADP NOUN PRON VERB VERB PART VERB PRON PART ADP NOUN ADP ADP NOUN ADJ NUM ADV PRON VERB VERB PART VERB ADV VERB PRON ADP ADJ DET ADJ NOUN
They had meant to go out to lunch, or Nick had.	0 0 0 0 0 1 1 1 0 0 0	out to lunch	literal	identical	PRON VERB VERB PART VERB ADV ADP NOUN CCONJ PROPN VERB
