Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET
And here's hoping we put paid to Fedorov too.’	0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ ADV VERB PRON VERB VERB ADP PROPN NOUN
My arrival put paid to her travels — at least for the first couple of years.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN PUNCT ADP ADJ ADP DET ADJ NOUN ADP NOUN
To throw ourselves into those turbulent waters and then be unable to regain the punt would have put paid to any hope of rescuing Dennis.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PART VERB PRON ADP DET ADJ NOUN CCONJ ADV VERB ADJ PART VERB DET NOUN VERB VERB VERB VERB ADP DET NOUN ADP VERB PROPN
The Yom Kippur War, and the oil crisis put paid to that as western governments tried to buy their way out of recession by borrowing heavily.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET PROPN PROPN PROPN CCONJ DET NOUN NOUN VERB VERB ADP DET ADP ADJ NOUN VERB PART VERB ADJ NOUN ADP ADP NOUN ADP VERB ADV
The decision, regarded as inevitable due to the activities of Loop offshoots The Hair And Skin Trading Company and Main, puts paid to speculation that the band would reunite for a US tour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	DET NOUN VERB ADP ADJ ADP ADP DET NOUN ADP PROPN NOUN DET PROPN CCONJ NOUN PROPN PROPN CCONJ PROPN VERB VERB ADP NOUN ADP DET NOUN VERB VERB ADP DET PROPN NOUN
Certainly, the multi - studio techniques used for the famous 1959 Decca Aida were meat and drink to Karajan ; and although he sometimes thought he knew more than he did, occasionally putting paid to expensive equipment, his mastery was of an order not previously seen in a working musician.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	ADV DET ADJ PUNCT NOUN NOUN VERB ADP DET ADJ NUM PROPN PROPN VERB NOUN CCONJ VERB ADP PROPN PUNCT CCONJ ADP PRON ADV VERB PRON VERB ADV ADP PRON VERB ADV VERB VERB ADP ADJ NOUN ADJ NOUN VERB ADP DET NOUN ADV ADV VERB ADP DET VERB NOUN
The shock of finding out, when I finally persuaded a partner to play with me, that I was colour - blind, put paid to my dreams of a misspent youth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN ADP VERB PART ADV PRON ADV VERB DET NOUN PART VERB ADP PRON ADP PRON VERB NOUN PUNCT ADJ VERB VERB ADP ADJ NOUN ADP DET NOUN NOUN
Opposition parties claimed that government's plans were intended to put paid to the current social welfare state, and convert the lot to capitalism.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NOUN NOUN VERB ADP NOUN NOUN VERB VERB PART VERB VERB ADP DET ADJ ADJ NOUN NOUN CCONJ VERB DET NOUN ADP NOUN
Putting paid to Daisy's hour of peace were also hoards of children clambering over pews, chasing each other down the aisles, punching their mothers, and having to be repeatedly hushed for talking.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	combined-inflection	VERB VERB ADP PROPN NOUN ADP NOUN VERB ADV NOUN ADP NOUN VERB ADP NOUN VERB DET ADJ ADP DET NOUN VERB ADJ NOUN CCONJ VERB PART VERB ADV VERB ADP VERB
1940 had put paid to all that when, to echo a slogan, Britain and her Commonwealth stood alone, and the post - war cultural world was in little doubt that British was best.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NUM VERB VERB VERB ADP ADJ DET ADV PART VERB DET NOUN PROPN CCONJ ADJ PROPN VERB ADJ CCONJ DET NOUN PUNCT NOUN ADJ NOUN VERB ADP ADJ NOUN ADP PROPN VERB ADJ
A well aimed flower bomb soon put paid to the battling vegies, but only for a few seconds to give you time to pass, save the children and leave quickly.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET ADV VERB NOUN NOUN ADV VERB VERB ADP DET VERB NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB PRON NOUN PART VERB VERB DET NOUN CCONJ VERB ADV
Perhaps they have been a touch too comfortable — but the collapse of Elliot and Michael's business has put paid to that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	ADV PRON VERB VERB DET NOUN ADV ADJ PUNCT CCONJ DET NOUN ADP PROPN CCONJ PROPN NOUN VERB VERB VERB ADP DET
Rachel had imagined that the accident would put paid to Family Day and that the other activities, including the firework display, would be cancelled, but within the hour a message came through from the hospital from Sir Anthony to say that, because miraculously there had been no fatalities, with even the pilot surviving his injuries, it was his express wish that the Family Day celebration should continue.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PROPN VERB VERB ADP DET NOUN VERB VERB VERB ADP PROPN PROPN CCONJ ADP DET ADJ NOUN VERB DET NOUN NOUN VERB VERB VERB CCONJ ADP DET NOUN DET NOUN VERB PART ADP DET NOUN ADP PROPN PROPN PART VERB ADP ADP ADV ADV VERB VERB DET NOUN ADP ADV DET NOUN VERB ADJ NOUN PRON VERB ADJ ADJ NOUN ADP DET PROPN PROPN NOUN VERB VERB
Only I would wish to tell my sister as soon as possible and put paid to her nonsense.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADV PRON VERB VERB PART VERB ADJ NOUN ADV ADV ADP ADJ CCONJ VERB VERB ADP ADJ NOUN
