Mr Major's bacon was saved by 19 Liberal Democrat votes.	0 1 1 0 1 0 0 0 0 0	save someone's bacon	figurative	misc	PROPN PROPN NOUN VERB VERB ADP NUM PROPN PROPN NOUN
Also here is the UNDELETE command which will sometimes ( don't rely on this as a guaranteed safety catch ) save your bacon if you have accidentally wiped ( deleted ) a file from a disk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	save someone's bacon	figurative	possessive	ADV ADV VERB DET ADJ NOUN ADJ VERB ADV PUNCT VERB VERB ADP DET ADP DET VERB NOUN NOUN PUNCT VERB ADJ NOUN ADP PRON VERB ADV VERB PUNCT VERB PUNCT DET NOUN ADP DET NOUN
But she also didn't see any way she could graciously say no after Nelson had just saved her bacon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	save someone's bacon	figurative	combined-inflection	CCONJ PRON ADV VERB VERB DET NOUN PRON VERB ADV VERB INTJ ADP PROPN VERB ADV VERB ADJ NOUN
Her latest film Romuald et Juliette is about the extraordinary goings - on in a yoghurt manufacturing company which brings together the white boss and the Black night - cleaner who saves his bacon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	save someone's bacon	figurative	combined-inflection	ADJ ADJ NOUN PROPN PROPN PROPN VERB ADP DET ADJ NOUN PUNCT PART ADP DET NOUN NOUN NOUN ADJ VERB ADV DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADJ NOUN VERB ADJ NOUN
Then I worked for Jimmy Young for quite a long time … he saved my bacon.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	save someone's bacon	figurative	combined-inflection	ADV PRON VERB ADP PROPN PROPN ADP ADJ DET ADJ NOUN PUNCT PRON VERB ADJ NOUN
Rik Mayell in goal saved Norwich's bacon in the second half, no doubt about it.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	save someone's bacon	figurative	combined-inflection	PROPN PROPN ADP NOUN VERB PROPN NOUN ADP DET ADJ NOUN DET NOUN ADP PRON
They want to take the matter to a public inquirey, in the hope that one way or another, their bacon will be saved.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	save someone's bacon	figurative	misc	PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NUM NOUN CCONJ DET ADJ NOUN VERB VERB VERB
That saved Rough Trade's bacon, as it turned out.	0 1 0 1 1 0 0 0 0	save someone's bacon	figurative	combined-inflection	DET VERB PROPN PROPN NOUN ADP PRON VERB PART
They saved our bacon!’ cried Middle.	0 1 1 1 0 0	save someone's bacon	figurative	combined-inflection	PRON VERB ADJ NOUN VERB PROPN
She saved young Michael's bacon tonight, that's a fact. '	0 1 0 1 1 0 0 0 0 0	save someone's bacon	figurative	combined-inflection	PRON VERB ADJ PROPN NOUN NOUN DET DET NOUN PUNCT
Evert's prediction was spot - on as Minter grabbed a thrilling 6 - 3, 2 - 6, 6 - 4 victory that saved Australia's bacon after Liz Smylie had lost the opening singles rubber 6 - 2, 6 - 1 to Katerina Maleeva.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	save someone's bacon	figurative	combined-inflection	PROPN NOUN VERB NOUN PUNCT PART ADP PROPN VERB DET VERB NUM SYM NUM NUM SYM NUM NUM SYM NUM NOUN ADJ VERB PROPN NOUN ADP PROPN PROPN VERB VERB DET NOUN NOUN NOUN NUM SYM NUM NUM SYM NUM ADP PROPN PROPN
