Whether they 'll sit tight or run.	0 0 0 1 1 0 0	sit tight	figurative	identical	ADP PRON VERB VERB ADV CCONJ VERB
‘ We 'll sit tight and wait for the storm to blow itself out.’	0 0 0 1 1 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PUNCT PRON VERB VERB ADV CCONJ VERB ADP DET NOUN PART VERB PRON X
His response, echoing what he had so often done on the battlefield, was first to sit tight and then to try to turn an apparently negative situation to his advantage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADJ NOUN VERB NOUN PRON VERB ADV ADV VERB ADP DET NOUN VERB ADJ PART VERB ADV CCONJ ADV PART VERB PART VERB DET ADV ADJ NOUN ADP ADJ NOUN
I 've actually seen them only once — Lawrence and I wandered in there one morning– the torch beam just happened to fall on a clutch of them sitting tight on the wall, right by my ear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	sit tight	figurative	inflection	PRON VERB ADV VERB PRON ADV ADV PUNCT PROPN CCONJ PRON VERB ADP ADV NUM VERB DET NOUN NOUN ADV VERB PART VERB ADP DET NOUN ADP PRON VERB ADV ADP DET NOUN ADV ADP ADJ NOUN
Sit tight.	1 1	sit tight	figurative	case	VERB ADV
‘ Just sit tight.’	0 0 1 1	sit tight	figurative	dashes	PUNCT ADV VERB ADP
IF you are planning to take part in the sponsored step aerobics session for the day care centre sit tight for a few weeks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	sit tight	figurative	identical	ADP PRON VERB VERB PART VERB NOUN ADP DET VERB NOUN NOUN NOUN ADP DET NOUN NOUN NOUN VERB ADV ADP DET ADJ NOUN
She was told to sit tight while he went round the corner to the newsagent, returning with an armful of print.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PRON VERB VERB PART VERB ADV ADP PRON VERB ADV DET NOUN ADP DET NOUN VERB ADP DET ADJ ADP NOUN
Will you sit tight in your little kingdom, and watch it crumbling all around you?	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	VERB PRON VERB ADV ADP ADJ ADJ NOUN CCONJ VERB PRON VERB ADV ADP PRON
Or it may sit tight in the reasonable hope that either the economic strain proves too great and Syria's military strength is sapped by political and economic instability, or that Syria will dissipate its strength against its eastern adversary, Iraq.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	CCONJ PRON VERB VERB ADV ADP DET ADJ NOUN ADP CCONJ DET ADJ NOUN VERB ADV ADJ CCONJ PROPN ADJ NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN CCONJ ADP PROPN VERB VERB ADJ NOUN ADP ADJ ADJ NOUN PROPN
He pulls me close and tells me to sit tight.	0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	PRON VERB PRON ADV CCONJ VERB PRON PART VERB ADV
