One mistake could blow his cover and ruin years of careful work in the North.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	blow someone's cover	figurative	possessive	NUM NOUN VERB VERB ADJ NOUN CCONJ NOUN NOUN ADP ADJ NOUN ADP DET PROPN
And after such a lengthy period of secrecy, was Lucy going to blow her cover so comprehensively in a single gesture?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	blow someone's cover	figurative	possessive	CCONJ ADP ADJ DET ADJ NOUN ADP NOUN VERB PROPN VERB PART VERB ADJ NOUN ADV ADV ADP DET ADJ NOUN
She was more than capable of defending herself if the need arose, but what if her pursuer was someone who had recognized her from a previous UNACO assignment, someone out to blow her cover?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	blow someone's cover	figurative	possessive	PRON VERB ADJ ADP ADJ ADP VERB PRON ADP DET NOUN VERB CCONJ NOUN ADP ADJ NOUN VERB NOUN NOUN VERB VERB PRON ADP DET ADJ PROPN NOUN NOUN PART PART VERB ADJ NOUN
In fact, that single action was the one thing that blew their cover, caused the failure of the entire operation.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	ADP NOUN DET ADJ NOUN VERB DET NUM NOUN ADJ VERB ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN
‘ Don't you dare blow her cover,’ I warn, ‘ or I 'll make you stand on your head and sing ‘ We Wish You a Merry Christmas’in the middle of the dancefloor.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	blow someone's cover	figurative	combined-other	PUNCT VERB PRON VERB VERB PRON PROPN PRON VERB PUNCT CCONJ PRON VERB VERB PRON VERB ADP ADJ NOUN CCONJ VERB PRON PRON VERB PRON DET PROPN PROPN DET NOUN ADP DET NOUN
‘ All I have to do is make one phone call to the plant manager and I can blow your cover.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	blow someone's cover	figurative	combined-other	PUNCT DET PRON VERB PART VERB VERB VERB NUM NOUN NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB ADJ NOUN
If this has blown my cover, you may not hear from me again.	0 0 0 1 1 1 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	ADP DET VERB VERB ADJ NOUN PRON VERB ADV VERB ADP PRON ADV
‘ You didn't blow your cover?’	0 0 0 1 1 1	blow someone's cover	figurative	combined-other	PUNCT PRON VERB VERB ADJ NOUN
Stirling, however, was worried that their cover was blown and decided on a change of plan.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	VERB ADV VERB ADJ ADP ADJ NOUN VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN
More serious from the point of view of his personal safety, by blowing his cover and stressing that he no longer enjoyed the government's protection, the CNN broadcast, in effect, declared open season on Lester Coleman.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	ADV ADJ ADP DET NOUN ADP NOUN ADP ADJ ADJ NOUN ADP VERB ADJ NOUN CCONJ VERB ADP PRON ADV ADV VERB DET NOUN NOUN DET PROPN NOUN ADP NOUN VERB ADJ NOUN ADP PROPN PROPN
His cover would have been blown.	1 1 0 0 0 1	blow someone's cover	figurative	misc	ADJ NOUN VERB VERB VERB VERB
But if you were arrested for murder they would have to be very careful not to blow their cover.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	blow someone's cover	figurative	possessive	CCONJ ADP PRON VERB VERB ADP NOUN PRON VERB VERB PART VERB ADV ADJ ADV PART VERB ADJ NOUN
Blow your cover! '	1 1 1 0	blow someone's cover	figurative	combined-other	VERB ADJ NOUN PUNCT
