And there will be no danger of fans taking a shine to the ‘ special effects’.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	inflection	CCONJ ADV VERB VERB DET NOUN ADP NOUN VERB DET NOUN ADP DET ADJ ADJ NOUN
Baloo the bear takes a shine to his mancub friend Mowgli in The Jungle Book.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PROPN DET NOUN VERB DET NOUN ADP ADJ NOUN NOUN PROPN ADP DET PROPN PROPN
When I was political editor of the Daily Mirror, Maxwell took a shine to this hat and asked me to get him one identical to it.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	ADV PRON VERB ADJ NOUN ADP DET PROPN PROPN PROPN VERB DET NOUN ADP DET NOUN CCONJ VERB PRON PART VERB PRON NUM ADJ ADP PRON
There were times, though, when he rather hoped a working - class bloke would take a shine to his wife and beat the hell out of her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a shine to	figurative	identical	ADV VERB NOUN ADV ADV PRON ADV VERB DET VERB PUNCT NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN ADP ADP PRON
‘ Well, she's usually particular who rides Leopold, but she seems to have taken a shine to the boy.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	take a shine to	figurative	inflection	PUNCT INTJ PRON ADV ADJ NOUN VERB PROPN CCONJ PRON VERB PART VERB VERB DET NOUN ADP DET NOUN
And she warned that not all viewers will take a shine to their taste for booze, cocaine and bed - hopping.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a shine to	figurative	identical	CCONJ PRON VERB ADP ADV DET NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP NOUN NOUN CCONJ NOUN PUNCT VERB
SPINSTER Nina Vessey took a shine to her window cleaner — and left him £ 170,000 in her will.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN NOUN PUNCT CCONJ VERB PRON SYM NUM ADP ADJ NOUN
‘ You haven't taken a shine to the girl, have you?’	0 0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	inflection	PUNCT PRON VERB VERB DET NOUN ADP DET NOUN VERB NOUN
The Spaniard had taken a shine to Angela.	0 0 0 1 0 1 1 0	take a shine to	figurative	inflection	DET PROPN VERB VERB DET NOUN ADP PROPN
It's clear that ace coach Eddie Futch has taken a shine to him.	0 0 0 0 0 0 0 0 1 0 1 1 0	take a shine to	figurative	inflection	PRON ADJ ADP NOUN NOUN PROPN PROPN VERB VERB DET NOUN ADP PRON
Hamish would take a shine to the duffle - coat.	0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	identical	PROPN VERB VERB DET NOUN ADP DET NOUN PUNCT NOUN
Whether it's boots or shoes, slip - ons or sandals, you 're bound to take a shine to the latest in leather.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	identical	ADP PRON NOUN CCONJ NOUN NOUN PUNCT NOUN CCONJ NOUN PRON VERB VERB PART VERB DET NOUN ADP DET ADJ ADP NOUN
She 'd taken a shine to Tom Rudge whom she now knew to be an apprentice fitter, as was Cyril, his mate.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PRON VERB VERB DET NOUN ADP PROPN PROPN NOUN PRON ADV VERB PART VERB DET NOUN NOUN ADP VERB PROPN ADJ NOUN
He must have taken a shine to the jacket because he turned the corner — and never came back leaving the police red - faced.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP PRON VERB DET NOUN PUNCT CCONJ ADV VERB ADV VERB DET NOUN ADJ PUNCT ADJ
It was, it was very nice except that Fred had a piece and left the last couple of slices in the tin on the side and the dog took a shine to it so it was in a tin and then in the dog.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PRON VERB PRON VERB ADV ADJ ADP ADP PROPN VERB DET NOUN CCONJ VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP DET NOUN CCONJ DET NOUN VERB DET NOUN ADP PRON ADV PRON VERB ADP DET NOUN CCONJ ADV ADP DET NOUN
