Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB
Only time will tell if this is a serious effort at improving both public sector accountability and overall performance.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP DET VERB DET ADJ NOUN ADP VERB DET ADJ NOUN NOUN CCONJ ADJ NOUN
Only time will tell if the ban will be lifted on Friday … ironic then that the clock should stop half way through today's announcement, and refuse to start again.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP DET NOUN VERB VERB VERB ADP PROPN PUNCT ADJ ADV ADP DET NOUN VERB VERB DET NOUN ADP NOUN NOUN CCONJ VERB PART VERB ADV
‘ Only time will tell whether things will change back to the way they were.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	PUNCT ADJ NOUN VERB VERB ADP NOUN VERB VERB ADV ADP DET NOUN PRON PUNCT
Many of the developments outlined in succeeding chapters are relatively new, and only time will tell whether politicians, management and the public at large are, as a result, better informed on the activities of government.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ ADP DET NOUN VERB ADP VERB NOUN VERB ADV ADJ CCONJ ADJ NOUN VERB VERB ADP NOUN NOUN CCONJ DET NOUN ADP ADJ VERB ADP DET NOUN ADV VERB ADP DET NOUN ADP NOUN
‘ We thought Eric would be here for years, but time will tell if we 'll miss him.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	time will tell	figurative	identical	PUNCT PRON VERB PROPN VERB VERB ADV ADP NOUN CCONJ NOUN VERB VERB ADP PRON VERB VERB PRON
‘ Only time will tell if we are successful.’	0 0 1 1 1 0 0 0 0	time will tell	figurative	identical	PUNCT ADJ NOUN VERB VERB ADP PRON VERB ADJ
Only time will tell if he is the right man for the job.	0 1 1 1 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP PRON VERB DET ADJ NOUN ADP DET NOUN
Afshar suggested, " Your Majesty, time will tell, but you could say to him " If you try to sit on two stills, you will fall between. " "	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	PROPN VERB PUNCT ADJ PROPN NOUN VERB VERB CCONJ PRON VERB VERB ADP PRON PUNCT ADP PRON VERB PART VERB ADP NUM NOUN PRON VERB VERB ADP PUNCT PUNCT
‘ Only time will tell.	0 0 1 1 1	time will tell	figurative	identical	PUNCT ADJ NOUN VERB VERB
Time will tell whether collecting the alpine 4000ers will become as popular as Munro bagging, but for a real challenge, how about going for a complete set of 150 peaks and 4000 m tops!	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP VERB DET NOUN NUM VERB VERB ADV ADJ ADP PROPN NOUN CCONJ ADP DET ADJ NOUN ADV ADP VERB ADP DET ADJ NOUN ADP NUM NOUN CCONJ NUM NOUN NOUN
Whether the bloom shape is the ultimate, only time will tell, for there have been other occasions in the development of the rose when a new type has been regarded as the last word.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADP DET NOUN NOUN VERB DET ADJ ADJ NOUN VERB VERB ADP ADV VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADV DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN
