' By the by, Cornelius.	0 0 0 1 0	by the by	figurative	misc	PUNCT ADP DET NOUN PROPN
We said they couldn't have the corpse if we didn't get it — that's by the by— but it's understood by both sides that this is the last of such meetings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	dashes	PRON VERB PRON VERB VERB DET NOUN ADP PRON VERB VERB PRON PUNCT DET ADP DET NOUN CCONJ PRON VERB ADP DET NOUN ADJ DET VERB DET ADJ ADP ADJ NOUN
Your Mr Bernard is, by the by, even if unwell, a terrific fellow.	0 0 0 0 1 0 1 0 0 0 0 0 0	by the by	figurative	identical	ADJ PROPN PROPN VERB ADP DET NOUN ADV ADP ADJ DET ADJ NOUN
Okay, fair enough, it was turned over on appeal eventually erm but erm it was a bit of a miscarriage of justice being kept in prison for that period of time until it was overturned pleaded guilty to another murder but that's by the by.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the by	figurative	identical	INTJ ADJ ADV PRON VERB VERB PART ADP NOUN ADV NOUN CCONJ NOUN PRON VERB DET NOUN ADP DET NOUN ADP NOUN VERB VERB ADP NOUN ADP DET NOUN ADP NOUN ADP PRON VERB VERB VERB ADJ ADP DET NOUN CCONJ DET ADP DET NOUN
As always Bernard, at the end of each season or at the beginning of a new season, one or two clubs go by the by ; we 've lost a couple this year haven't we?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	ADP ADV PROPN ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN NUM CCONJ NUM NOUN VERB ADP DET NOUN PUNCT PRON VERB VERB DET NOUN DET NOUN VERB PRON
one or two companies may have gone as we know by the by as it were.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	by the by	figurative	identical	NUM CCONJ NUM NOUN VERB VERB VERB ADP PRON VERB ADP DET NOUN ADP PRON VERB
No that's that's completely gone by the by yeah, yeah.	0 0 0 0 0 1 0 1 0 0	by the by	figurative	identical	INTJ DET DET ADV VERB ADP DET NOUN INTJ INTJ
Me, I 'd take half a dozen ski trips a year, spend a lot of time on the beach, have a lot of fun in pubs and clubs ( and, by the by, give Middlesbrough FC enough money to win the Football League and FA Cup ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	PRON PRON VERB VERB ADJ DET NOUN NOUN VERB DET NOUN VERB DET NOUN ADP NOUN ADP DET NOUN VERB DET NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT CCONJ ADP DET NOUN VERB PROPN PROPN ADJ NOUN PART VERB DET PROPN PROPN CCONJ PROPN PROPN PUNCT
Oh, and by the by, I want you to promise me that you will not go out on the rampage with Rose again.’	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	INTJ CCONJ ADP DET NOUN PRON VERB PRON PART VERB PRON ADP PRON VERB ADV VERB PART ADP DET NOUN ADP PROPN NUM
By the by, he called in at London on his way from New York. '	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	misc	ADP DET NOUN PRON VERB PART ADP PROPN ADP ADJ NOUN ADP PROPN PROPN PUNCT
they say oh tax is too high, I mean Labour want to put it up any way, but by the by, this answered them any way, what they say is oh its too high, erm even the American tax is four per cent, who gives a dam, because the thing is in America what you 're loosing, what you gain in your tax you have to pay out through the nose for health care	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	PRON VERB INTJ NOUN VERB ADV ADJ PRON VERB PROPN VERB PART VERB PRON PART DET NOUN CCONJ ADP DET NOUN DET VERB PRON DET NOUN NOUN PRON VERB VERB INTJ ADJ ADV ADJ ADV ADV DET ADJ NOUN VERB NUM ADP NOUN NOUN VERB DET NOUN ADP DET NOUN VERB ADP PROPN NOUN PRON VERB VERB NOUN PRON VERB ADP ADJ NOUN PRON VERB PART VERB PART ADP DET NOUN ADP NOUN NOUN
