Perhaps he could produce chapter and verse evidence of such incidents.	0 0 0 0 1 1 1 0 0 0 0	chapter and verse	figurative	identical	ADV PRON VERB VERB NOUN CCONJ NOUN NOUN ADP ADJ NOUN
In erm Romans chapter three and verse twenty seven it says that er Jesus died for our sins and I 'd just like to leave this thought with you, that n er just like me, when I could have died the other week in that plane crash, that none of us knows how long we 've got on this life and, however long or short it is, there's no time like the present to get right with God if you, if you aren't and the only way to do that is through Jesus.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	ADP ADJ PROPN NOUN NUM CCONJ NOUN NUM NUM PRON VERB ADP INTJ PROPN VERB ADP ADJ NOUN CCONJ PRON VERB ADV VERB PART VERB DET NOUN ADP PRON ADP CCONJ INTJ ADV ADP PRON ADV PRON VERB VERB VERB DET ADJ NOUN ADP DET NOUN NOUN ADP NOUN ADP PRON VERB ADV ADV PRON VERB VERB ADP DET NOUN CCONJ ADV ADJ CCONJ ADJ PRON VERB ADV DET NOUN ADP DET NOUN PART VERB ADJ ADP PROPN ADP PRON ADP PRON VERB CCONJ DET ADJ NOUN PART VERB DET VERB ADP PROPN
One of the accusations used and levelled against er against Christianity against the, the evangelical message, against things like the, the mission of Graham and, and others is that it, it doesn't meet the needs the, the material needs of people but if you deal with the persons spiritual needs, if their sins are forgiven, those problems that are causing the material problem, it's amazing how there are dealt with as well, the best way to sober up a person, the best way to deal with a person who's an alcoholic, the best way to deal with a person who is a drug addict, the best way to deal with a person who, who commits adultery is not by telling them the wrongs of those things, it's not by trying to, to, to do, to, to, you know, to, to counsel them it's presenting the gospel allowing Jesus Christ to come into their lives and to forgive them, that will make the person sober quicker than all the counselling in the world and Paul says I brought you the most important the fundamental thing, that Christ died for our sins Paul again when he's writing to the Romans in chapter five and verse eight he says but God demonstrates his own love towards us, in that while we were yet sinners Christ died for us so God did in Jesus Christ what we couldn't do for ourselves, so all of you have sin, so all of my sin, and he came and he died on the cross and as he was dying there was that transmit there, for he wasn't dying for his own sin buy he was dying for your sin and for mine, it was all piled on him and so when we except what Christ has done, when we come to that place and yes I believe that you died for me,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	NUM ADP DET NOUN VERB CCONJ VERB ADP INTJ ADP PROPN ADP DET DET ADJ NOUN ADP NOUN ADP DET DET NOUN ADP PROPN CCONJ CCONJ NOUN VERB ADP PRON PRON VERB VERB DET NOUN DET DET NOUN NOUN ADP NOUN CCONJ ADP PRON VERB ADP DET NOUN ADJ NOUN ADP ADJ NOUN VERB VERB DET NOUN ADJ VERB VERB DET NOUN NOUN PRON ADJ ADV ADV VERB VERB ADP ADV ADV DET ADJ NOUN PART VERB PART DET NOUN DET ADJ NOUN PART VERB ADP DET NOUN NOUN DET NOUN DET ADJ NOUN PART VERB ADP DET NOUN NOUN VERB DET NOUN NOUN DET ADJ NOUN PART VERB ADP DET NOUN NOUN NOUN VERB NOUN VERB ADV ADP VERB PRON DET NOUN ADP DET NOUN PRON ADV ADP VERB PART ADP PART VERB ADP ADP PRON VERB ADP PART VERB PRON PRON VERB DET NOUN VERB PROPN PROPN PART VERB ADP ADJ NOUN CCONJ PART VERB PRON DET VERB VERB DET NOUN ADJ ADV ADP ADJ DET NOUN ADP DET NOUN CCONJ PROPN VERB PRON VERB PRON DET ADV ADJ DET ADJ NOUN ADP PROPN VERB ADP ADJ NOUN PROPN ADV ADV PRON VERB ADP DET PROPN ADP NOUN NUM CCONJ NOUN NUM PRON VERB CCONJ PROPN VERB ADJ ADJ NOUN ADP PRON ADP DET ADP PRON VERB ADV NOUN PROPN VERB ADP PRON ADV PROPN VERB ADP PROPN PROPN NOUN PRON VERB VERB ADP PRON ADV DET ADP PRON VERB NOUN ADV DET ADP ADJ NOUN CCONJ PRON VERB CCONJ PRON VERB ADP DET NOUN CCONJ ADP PRON VERB VERB ADV VERB DET NOUN ADV ADP PRON VERB VERB ADP ADJ ADJ NOUN VERB PRON VERB VERB ADP ADJ NOUN CCONJ ADP NOUN PRON VERB ADV VERB ADP PRON CCONJ ADV ADV PRON ADP NOUN PROPN VERB VERB ADV PRON VERB ADP DET NOUN CCONJ INTJ PRON VERB ADP PRON VERB ADP PRON
The wise man back in Proverbs in chapter twenty eight and verse thirteen he says, he who conceals his transgression will not prosper but he who confesses and forsakes them will find compassion.	0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	DET ADJ NOUN ADV ADP NOUN ADP NOUN NUM NUM CCONJ NOUN NUM PRON VERB PRON NOUN VERB ADJ NOUN VERB ADV VERB CCONJ PRON NOUN VERB CCONJ VERB PRON VERB VERB NOUN
Let me give you one scripture in closing, in two Timothy chapter one and verse twelve, the apostle says, for this reason, he says I suffer these things but I am not ashamed, for I know whom I have believed, and I am convinced that he is able to guard what I have entrusted to him until that day.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	VERB PRON VERB PRON NUM NOUN ADP NOUN ADP NUM PROPN NOUN NUM CCONJ NOUN NUM DET NOUN VERB ADP DET NOUN PRON VERB PRON VERB DET NOUN CCONJ PRON VERB ADV ADJ ADP PRON VERB NOUN PRON VERB VERB CCONJ PRON VERB ADJ ADP PRON VERB ADJ PART VERB NOUN PRON VERB VERB ADP PRON ADP DET NOUN
If anyone wants chapter and verse on this the erm address of the British Agro - chemicals Association who put out this literature will be on our fact sheet.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	ADP NOUN VERB NOUN CCONJ NOUN ADP DET DET NOUN NOUN ADP DET ADJ PROPN PUNCT NOUN PROPN NOUN VERB PART DET NOUN VERB VERB ADP ADJ NOUN NOUN
In a voice hesitant between exultation and awe he read out : ' Saint John, the fifteenth chapter and the sixteenth verse : ' Ye have not chosen me, but I have chosen you. ''	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	ADP DET NOUN ADJ ADP NOUN CCONJ NOUN PRON VERB PART PUNCT PUNCT PROPN PROPN DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PUNCT NOUN VERB ADV VERB PRON CCONJ PRON VERB VERB PRON PUNCT
( For chapter and verse without going to France look at the lists of specialities given by the starred restaurants in the guide books. )	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	identical	PUNCT ADP NOUN CCONJ NOUN ADP VERB ADP PROPN VERB ADP DET NOUN ADP NOUN VERB ADP DET VERB NOUN ADP DET NOUN NOUN PUNCT
' It is John, the seventh chapter and the fifty - fourth verse.	0 0 0 0 0 0 1 1 0 0 0 0 1	chapter and verse	literal	combined-other	PUNCT PRON VERB PROPN DET ADJ NOUN CCONJ DET NUM PUNCT ADJ NOUN
Paul again when he's writing to the Philippians, in chapter four and verse thirteen, he says I can do all things, oh how arrogant of you Paul, how boastful you are, oh no he didn't just finish there did he, he says I can do all things through Christ who strengthens me, and writing to the Romans in that tremendous eighth chapter of Romans and verse thirty seven he says in all these things, in all the problems of life, in all the difficulties and all the temptations, in all the pressures that we are called to go through he says, in all of these things we overwhelmingly concur, we are triumphant he says, how, through him who loved us.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	chapter and verse	literal	insertion-other	PROPN ADV ADV PRON VERB ADP DET PROPN ADP NOUN NUM CCONJ NOUN NUM PRON VERB PRON VERB VERB DET NOUN INTJ ADV ADJ ADP PRON PROPN ADV ADJ PRON VERB INTJ INTJ PRON VERB ADV VERB ADV VERB PRON PRON VERB PRON VERB VERB DET NOUN ADP PROPN NOUN VERB PRON CCONJ VERB ADP DET PROPN ADP DET ADJ ADJ NOUN ADP PROPN CCONJ NOUN NUM NUM PRON VERB ADP ADJ DET NOUN ADP ADJ DET NOUN ADP NOUN ADP ADJ DET NOUN CCONJ ADJ DET NOUN ADP ADJ DET NOUN ADJ PRON VERB VERB PART VERB ADP PRON VERB ADP DET ADP DET NOUN PRON ADV VERB PRON VERB NOUN PRON VERB ADV ADP PRON NOUN VERB PRON
Chapter and verse were to be forthcoming when the deal was settled.	1 1 1 0 0 0 0 0 0 0 0 0	chapter and verse	figurative	case	NOUN CCONJ NOUN VERB PART VERB ADJ ADV DET NOUN VERB VERB
