Oh yes, and I suppose I 'd better come clean.	0 0 0 0 0 0 0 0 1 1	come clean	figurative	identical	INTJ INTJ CCONJ PRON VERB PRON VERB ADV VERB ADJ
' Come clean with me, Mister Cowley.	0 1 1 0 0 0 0	come clean	figurative	case	PUNCT VERB ADJ ADP PRON PROPN PROPN
Why is the government why is the government refusing to come clean about the size of the further tax increases that British families will face in nineteen ninety five?	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADV VERB DET NOUN ADV VERB DET NOUN VERB PART VERB ADJ ADP DET NOUN ADP DET ADJ NOUN NOUN ADP ADJ NOUN VERB VERB ADP NUM NUM NUM
‘ To force Nader to come clean about the ship.’	0 0 0 0 0 1 1 0 0 0	come clean	figurative	identical	PUNCT PART VERB PROPN PART VERB ADJ ADP DET NOUN
The news came as quite a shock : Recall that when Greek officials came clean about the true state of their country ’s public finances in 2010, the budget deficit was more than 10 % of GDP – a moment of statistical honesty that triggered the eurozone debt crisis.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	inflection	DET NOUN VERB ADP ADJ DET NOUN PUNCT VERB ADP ADV ADJ NOUN VERB ADJ ADP DET ADJ NOUN ADP ADJ NOUN PART ADJ VERB ADP NUM DET NOUN NOUN VERB ADJ ADP NUM NOUN ADP PROPN PUNCT DET NOUN ADP ADJ NOUN ADJ VERB DET NOUN NOUN NOUN
Cookability comes clean	0 1 1	come clean	literal	inflection	NOUN VERB ADJ
If the Secretary of State for Education and Science does not want to be charged with the suppression of evidence, the Leader of the House should appeal to him to come clean, go public and reveal the evidence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	come clean	figurative	identical	ADP DET PROPN ADP PROPN ADP PROPN CCONJ PROPN VERB ADV VERB PART VERB VERB ADP DET NOUN ADP NOUN DET PROPN ADP DET PROPN VERB VERB ADP PRON PART VERB ADJ VERB ADJ CCONJ VERB DET NOUN
Well, there you are, I 've come clean.	0 0 0 0 0 0 1 1	come clean	figurative	identical	INTJ ADV PRON VERB PRON VERB VERB ADJ
So when the station came clean, they had to field several angry calls accusing them of pro - Nottingham Forest bias.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	inflection	ADV ADV DET NOUN VERB ADJ PRON VERB PART VERB ADJ ADJ NOUN VERB PRON ADP ADJ PUNCT PROPN PROPN NOUN
And it is thought the boss did a ‘ Paddy Ashdown’ by coming clean before the affair was revealed in a newspaper.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	come clean	figurative	inflection	CCONJ PRON VERB VERB DET NOUN VERB DET PUNCT PROPN PROPN ADP VERB ADJ ADP DET NOUN VERB VERB ADP DET NOUN
Although CDC would not come clean with its actual choice of another RISC, it ruled out Sparc, said DEC's Alpha was just vapourware and admitted it had been positively influenced by HP's technology commitment.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come clean	figurative	identical	ADP PROPN VERB ADV VERB ADJ ADP ADJ ADJ NOUN ADP DET PROPN PRON VERB PART PROPN VERB PROPN NOUN VERB ADV NOUN CCONJ VERB PRON VERB VERB ADV VERB ADP PROPN NOUN NOUN
