‘ What's the matter — am I cramping your style?	0 0 0 0 0 0 0 1 1 1	cramp someone's style	figurative	misc	PUNCT NOUN DET NOUN PUNCT VERB PRON VERB ADJ NOUN
Yes, well you 'd be cramping his style wouldn't you?	0 0 0 0 0 1 1 1 0 0	cramp someone's style	figurative	misc	INTJ INTJ PRON VERB VERB VERB ADJ NOUN VERB PRON
Being colour - blind has not cramped his style : ‘ Although, because I mix up greens and browns, I seem to have had lots of green hair.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cramp someone's style	figurative	misc	VERB NOUN PUNCT ADJ VERB ADV VERB ADJ NOUN PUNCT PUNCT ADP ADP PRON VERB PART NOUN CCONJ NOUN PRON VERB PART VERB VERB NOUN ADP ADJ NOUN
The false idea of God will act like a tight collar on faith, cramping its style, confining its movements, throttling the full freedom of the wider truth.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	cramp someone's style	figurative	misc	DET ADJ NOUN ADP PROPN VERB VERB ADP DET ADJ NOUN ADP NOUN VERB ADJ NOUN VERB ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN
‘ He's not putting any pressure on me that would cramp my style at all.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	cramp someone's style	figurative	possessive	PUNCT PRON ADV VERB DET NOUN ADP PRON ADJ VERB VERB ADJ NOUN ADP NOUN
Bloody cramping our stu, they 'll be a bit cramping our style wouldn't they?	0 0 0 0 0 0 0 0 0 1 1 1 0 0	cramp someone's style	figurative	misc	ADJ VERB ADJ NOUN PRON VERB VERB DET NOUN VERB ADJ NOUN VERB PRON
And, when, finally, she did emerge from her curtain cubicle to face the other girls, they took it very well, for they could afford to be charitable, and they were secretly glad that Clara's style was cramped, for without some handicap she would have been a more serious threat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	cramp someone's style	figurative	misc	CCONJ ADV ADV PRON VERB VERB ADP ADJ NOUN NOUN PART VERB DET ADJ NOUN PRON VERB PRON ADV ADV ADP PRON VERB VERB PART VERB ADJ CCONJ PRON VERB ADV ADJ ADP PROPN NOUN VERB VERB ADP ADP DET NOUN PRON VERB VERB VERB DET ADV ADJ NOUN
Now that he was left alone with the two women, both of whom ( he imagined ) rather admired him, Rupert felt a sense of power, though there being two of them rather limited the scope of what he could do — cramped his style, he might almost have said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	cramp someone's style	figurative	misc	ADV ADP PRON VERB VERB ADV ADP DET NUM NOUN DET ADP NOUN PUNCT PRON VERB PUNCT ADV VERB PRON PROPN VERB DET NOUN ADP NOUN ADP ADV VERB NUM ADP PRON ADV VERB DET NOUN ADP NOUN PRON VERB VERB PUNCT VERB ADJ NOUN PRON VERB ADV VERB VERB
Craftily she added, ‘ It might cramp your style where this Michele Diomede is concerned.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cramp someone's style	figurative	possessive	PROPN PRON VERB PUNCT PRON VERB VERB ADJ NOUN ADV DET PROPN PROPN VERB NOUN
Good job that bastard back there was only a captain ; might have cramped my style otherwise.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	cramp someone's style	figurative	misc	ADJ NOUN ADJ NOUN ADV ADV VERB ADV DET NOUN PUNCT VERB VERB VERB ADJ NOUN NUM
It looks as if it might cramp the teacher's style.	0 0 0 0 0 0 1 0 1 1	cramp someone's style	figurative	combined-other	PRON VERB ADP ADP PRON VERB VERB DET NOUN NOUN
