‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN
This obviously did the trick in Stirling, Ayr, South Aberdeen and Kincardine — but not in Edinburgh South, Fife NE, or Strathkelvin.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PUNCT CCONJ ADV ADP PROPN PROPN PROPN PROPN CCONJ PROPN
A few well - aimed, well - considered words above the hubbub may well do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET ADJ ADV PUNCT VERB ADV PUNCT VERB NOUN ADP DET NOUN VERB ADV VERB DET NOUN
Something less than a precision guided missile would do the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	NOUN ADJ ADP DET NOUN VERB NOUN VERB VERB DET NOUN
The powder was a pretty strong absorbent mixture and I felt sure it would do the trick, but a week later Mrs Rumney was on the phone again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET NOUN VERB DET ADV ADJ ADJ NOUN CCONJ PRON VERB ADJ PRON VERB VERB DET NOUN CCONJ DET NOUN ADV PROPN PROPN VERB ADP DET NOUN ADV
If all that money we gave to Band Aid didn't do the trick, it must be because there are just too many of them.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADP ADJ DET NOUN PRON VERB ADP PROPN PROPN VERB VERB DET NOUN PRON VERB VERB ADP ADV VERB ADV ADV ADJ ADP PRON
If live food is not available, and frozen too expensive, then finely - grated heart, and other finely - chopped foods such as mussel, prawn, chicken, together with cod roe, may do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP ADJ NOUN VERB ADV ADJ CCONJ VERB ADV ADJ ADV ADV PUNCT VERB NOUN CCONJ ADJ ADV PUNCT VERB NOUN ADJ ADP NOUN ADJ NOUN ADV ADP NOUN NOUN VERB VERB DET NOUN
There would be the same tremolo electric organ, but this time there would be no crowds of mourners — only a straggle of Buffons doing their circus tricks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	do the trick	literal	combined-inflection	ADV VERB VERB DET ADJ NOUN ADJ NOUN CCONJ DET NOUN ADV VERB VERB DET NOUN ADP NOUN PUNCT ADV DET NOUN ADP NOUN VERB ADJ NOUN NOUN
It must have done the trick!’	0 0 0 1 0 1	do the trick	figurative	combined-inflection	PRON VERB VERB VERB DET NOUN
‘ Butterfly sutures should do the trick, though obviously we 'll need to check on it again.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	PUNCT PROPN NOUN VERB VERB DET NOUN ADP ADV PRON VERB VERB PART VERB ADP PRON ADV
Well I 'll just do a little trick.	0 0 0 0 1 0 0 1	do the trick	literal	combined-other	INTJ PRON VERB ADV VERB DET ADJ NOUN
The room smelt horribly of burnt rubber, but it had done the trick.	0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	DET NOUN VERB ADV ADP VERB NOUN CCONJ PRON VERB VERB DET NOUN
Preventing a young and disruptive child from playing, but allowing him / her to watch the others at play, may also do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	VERB DET ADJ CCONJ ADJ NOUN ADP NOUN CCONJ VERB PRON SYM PRON PART VERB DET NOUN ADP NOUN VERB ADV VERB DET NOUN
They are doing conjuring tricks without knowing it '.	0 0 1 0 1 0 0 0 0	do the trick	literal	combined-inflection	PRON VERB VERB VERB NOUN ADP VERB PRON PUNCT
