" Don't expect me to live out there, " he said, shaking a bag of apples and oranges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	apples and oranges	literal	identical	PUNCT VERB VERB PRON PART VERB ADV ADV PUNCT PRON VERB VERB DET NOUN ADP NOUN CCONJ NOUN
They saw men trying to make money by selling apples and oranges at street corners and the brave attempt of others to look smart with well - polished shoes, pressed suits and hidden frayed cuffs.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	apples and oranges	literal	identical	PRON VERB NOUN VERB PART VERB NOUN ADP VERB NOUN CCONJ NOUN ADP NOUN NOUN CCONJ DET ADJ NOUN ADP NOUN PART VERB ADJ ADP ADV PUNCT VERB NOUN VERB NOUN CCONJ VERB ADJ NOUN
In her wicker basket there was a shopping list for a packet of porridge, one pork chop, some oven - ready chips, a carton of frozen broccoli, one apple and one orange, a small loaf of wholemeal sliced bread, and an 8 oz tin of Pedigree Chum.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	apples and oranges	literal	combined-inflection	ADP ADJ NOUN NOUN ADV VERB DET NOUN NOUN ADP DET NOUN ADP NOUN NUM NOUN NOUN DET VERB PUNCT ADJ NOUN DET NOUN ADP ADJ NOUN NUM NOUN CCONJ NUM NOUN DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ DET NUM NOUN NOUN ADP PROPN PROPN
Some sort of squash will do, but put some slices of apple and orange in, to make it look something special.’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	apples and oranges	literal	inflection	DET NOUN ADP NOUN VERB VERB CCONJ VERB DET NOUN ADP NOUN CCONJ NOUN ADV PART VERB PRON VERB NOUN ADJ
They passed the greengrocer with his window full of apples and oranges, and the butcher with bloody lumps of meat on display and naked chickens hanging up, and the small bank, and the grocery store and the electrical shop, and then they came out at the other side of the village on to the narrow country road where there were no people any more and very few motor - cars.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	apples and oranges	literal	identical	PRON VERB DET NOUN ADP ADJ NOUN ADJ ADP NOUN CCONJ NOUN CCONJ DET NOUN ADP ADJ NOUN ADP NOUN ADP NOUN CCONJ ADJ NOUN VERB PART CCONJ DET ADJ NOUN CCONJ DET NOUN NOUN CCONJ DET ADJ NOUN CCONJ ADV PRON VERB PART ADP DET ADJ NOUN ADP DET NOUN ADP ADP DET ADJ NOUN NOUN ADV ADV VERB DET NOUN DET ADV CCONJ ADV ADJ NOUN PUNCT NOUN
We need apples and oranges this week, that kind of thing.’	0 0 1 1 1 0 0 0 0 0 0	apples and oranges	literal	identical	PRON VERB NOUN CCONJ NOUN DET NOUN DET NOUN ADV PUNCT
Thus, in effect, ICI and GEC — and all UK companies which use historical cost money accounting — are adding and subtracting apples and oranges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	apples and oranges	figurative	identical	ADV ADP NOUN PROPN CCONJ PROPN PUNCT CCONJ DET PROPN NOUN ADJ VERB ADJ NOUN NOUN NOUN PUNCT VERB VERB CCONJ VERB NOUN CCONJ NOUN
For my dinner then I 'd have er jacket potato with tuna then about four o'clock I would have an apple and an orange and maybe a Mars Bar cos right.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	apples and oranges	literal	combined-inflection	ADP ADJ NOUN ADV PRON VERB VERB INTJ NOUN NOUN ADP NOUN ADV ADV NUM NOUN PRON VERB VERB DET NOUN CCONJ DET NOUN CCONJ ADV DET PROPN PROPN ADP ADV
The compound in the jug being tasted, and considered perfect, apples and oranges were put upon the table, and a shovel - full of chesnuts on the fire.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	apples and oranges	literal	identical	DET NOUN ADP DET NOUN VERB VERB CCONJ VERB ADJ NOUN CCONJ NOUN VERB VERB ADP DET NOUN CCONJ DET NOUN PUNCT ADJ ADP NOUN ADP DET NOUN
At first it is difficult to think of anything except apples and oranges!	0 0 0 0 0 0 0 0 0 0 1 1 1	apples and oranges	literal	identical	ADP ADV PRON VERB ADJ PART VERB ADP NOUN ADP NOUN CCONJ NOUN
First, allow loo calories from the half pint of skimmed milk, and another loo calories for your daily apple and orange.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	apples and oranges	literal	inflection	ADV VERB ADJ NOUN ADP DET ADJ NOUN ADP VERB NOUN CCONJ DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ NOUN
It's apples and oranges.	0 1 1 1	apples and oranges	figurative	identical	PRON NOUN CCONJ NOUN
A non - competitive way of playing this is to get the children in a circle with, as well as bananas, several pieces of other fruit such as apples and oranges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	apples and oranges	literal	identical	DET ADJ PUNCT ADJ NOUN ADP VERB DET VERB PART VERB DET NOUN ADP DET NOUN ADP ADV ADV ADP NOUN ADJ NOUN ADP ADJ NOUN ADJ ADP NOUN CCONJ NOUN
