Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN
We roared off down the road from the village in the direction of the River Orne.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB PART ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN
From a position, parked a few yards down the road from the Stones ' house, Bodie watched as Anne Hanvey finally delivered Nick to the house.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADP DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET PROPN PART NOUN PROPN VERB ADP PROPN PROPN ADV VERB PROPN ADP DET NOUN
He lived down the road there.	0 0 1 0 1 0	down the road	literal	identical	PRON VERB ADP DET NOUN ADV
Mangled remains were hurled 500 yards down the road.	0 0 0 0 0 0 1 0 1	down the road	literal	identical	VERB NOUN VERB VERB NUM NOUN ADP DET NOUN
In the autumn of 1959 I was eleven, and I went to the girls ' grammar school down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADP DET NOUN ADP NUM PRON VERB NUM CCONJ PRON VERB ADP DET NOUN PART NOUN NOUN ADP DET NOUN
You have to start at the top of the town that way, and go down over down and come round like that, finish off start down Norwich Road and come up Bury Road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the road	literal	combined-other	PRON VERB PART VERB ADP DET NOUN ADP DET NOUN DET NOUN CCONJ VERB PART ADV ADV CCONJ VERB ADV ADP DET VERB PART NOUN PART PROPN PROPN CCONJ VERB PART PROPN PROPN
This was the best ; it was John exactly as I remembered him, walking down a road, waiting at a bus stop, hunched inside his big coat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	determiner-narrow	DET VERB DET ADJ PUNCT PRON VERB PROPN ADV ADP PRON VERB PRON VERB PART DET NOUN VERB ADP DET NOUN NOUN VERB ADP ADJ ADJ NOUN
" I still don't like it, " he said seven days later, as the tough little mountain ponies carried them down the winding road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the road	literal	insertion-other	PUNCT PRON ADV VERB VERB PRON PUNCT PRON VERB NUM NOUN ADV ADP DET ADJ ADJ NOUN NOUN VERB PRON ADP DET VERB NOUN
There is no risk or default premium baked into British interest rates to indicate that fear of political - economic chaos down the road is discouraging investment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	figurative	identical	ADV VERB DET NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN NOUN PART VERB ADP NOUN ADP ADJ PUNCT ADJ NOUN ADP DET NOUN VERB VERB NOUN
You 're walking down the road and in each doorway, in each alleyway, they 're sizing you up.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB VERB ADP DET NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB PRON PART
